start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, James here at Merry Christmas. This is our Christmas special and what it is,"
00:00:05,00:00:11,it's a compilation of all the best bits of the first half of our live TV show.
00:00:11,00:00:15,So what we did is we asked the audience to bring in their facts and we read them out and we
00:00:15,00:00:20,talked about them. Hopefully you'll enjoy it. The audio is a little bit sketchy because it's made
00:00:20,00:00:26,of five or six different episodes but we hope it's really good. And if you haven't got everyone
00:00:26,00:00:30,"there present yet then why not run out to the bookshop now and buy one, three, four, two,"
00:00:30,00:00:34,"cue our facts to leave you flabbergasted, a perfect stocking filler for that one person who you"
00:00:34,00:00:37,"can't think of anything else to buy them. Okay, on with the show."
00:00:37,00:00:51,[Music]
00:00:51,00:01:06,Please welcome to stage its anichesensky James Harkin and Andrew Hunter Murray. [Applause]
00:01:06,00:01:12,Hi everyone. So you guys have sent in your facts. We have a prize which is here which is one of our
00:01:12,00:01:20,no such thing as a fish t-shirt. Very exciting. And so we're going to read them out now. Do you
00:01:20,00:01:28,"guys want to start with one? Okay, what have I got? Oh yeah, I like this one so it's about"
00:01:29,00:01:37,"soon and now and it's from Alex. Hello, thank you very much Alex. Okay, so the fact is the word soon"
00:01:37,00:01:42,used to mean right now but people would misuse it and so it came to mean in a bit.
00:01:42,00:01:50,Because maybe people started saying soon to mean right now but then they were a bit delayed on their way
00:01:50,00:01:53,and so they got to the place and then someone said oh they must have meant in a bit.
00:01:53,00:01:59,"Yeah, that's how language it rolls. Can I read another one here? Yeah, yeah go ahead. I just read this and this"
00:01:59,00:02:06,"seems, well I actually don't believe it. So Karen, where are you? Karen's favourite fact."
00:02:06,00:02:11,"Karen, you better be right about this. According to Karen."
00:02:11,00:02:22,The numplate of the car in which Fransford and Ann was shot is the date that World War One ended.
00:02:22,00:02:30,"Do you know what that, how exact to date is 18 or is it literally 11/11/18?"
00:02:30,00:02:40,"I've got a picture of the car. Okay. And this is esusicsworldwarone.org.uk and it says, did you"
00:02:40,00:02:48,know the Arschteuk's number plate reads A111-118? So that could be 11/11/18.
00:02:48,00:02:55,"Karen, I take it all back. One thing I know about Fransford and Ann is that"
00:02:55,00:03:01,they used to sew him into his clothes. Oh really? And so when he was shot they couldn't really
00:03:01,00:03:07,loosen his clothes because obviously he was like sewn into them and that was perhaps one of
00:03:07,00:03:12,"the reasons why he died because they couldn't get the bullet out. Mainly the shooting thing, but"
00:03:13,00:03:21,that's not a layer 100% of the blame for the clothes. He was shot essentially by incredibly bad luck.
00:03:21,00:03:25,Wasn't here in the end because they missed him and then I think this is trying to get another
00:03:25,00:03:29,person I can't say. They missed him and then they gave up and all the people who'd plotted to
00:03:29,00:03:33,assassinate him were arrested and sent away except there's one guy who went to buy a bagel somewhere
00:03:33,00:03:39,else in town and he stepped out and I think he was holding a sandwich in one hand as Fransford and
00:03:39,00:03:46,and his wife went past the car broke down. Oh yeah. He stood there with the bagel and the car just
00:03:46,00:03:51,stopped because he thought that it was going in a completely different direction and then I'm
