start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[BELL RINGS]
00:00:02,00:00:27,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast coming to you from the QI offices in Covert Garden. My name is Dan Schreiber, and I'm sitting here with James Harkin, Andrew Huntamari, and Sarah Pasco."
00:00:27,00:00:37,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go. Starting with you, James Harkin."
00:00:37,00:00:45,"Okay, my fact this week is that the first man to use an umbrella in London was pelted with rubbish for doing so."
00:00:45,00:00:58,"But fortunately, he had an umbrella. Was that why he took it out? He didn't, although according to his biographer, when one person threw rubbish at him, he used his umbrella to give the man a right good thrashing."
00:00:58,00:00:59,"Oh, really?"
00:00:59,00:01:08,Yeah. Wow. So that should be the fact. The first ever outing of an umbrella was used to beat a man. That's quite cool.
00:01:08,00:01:20,"So this is a guy called Jonas Hamwey, and he had been to France. He was a bit of a traveler, and he came back from France, and in France they'd all been using umbrellas for quite a long time."
00:01:20,00:01:28,"But in England, they were seen as kind of either a feminer or a weakness of character that you would have it or just French, which was a bad thing at the time."
00:01:28,00:01:34,"So when you say it's the first person seeing public with an umbrella, it just means the first man. Like the women had them every day. They were beating each other."
00:01:34,00:01:45,"Right. Did I not say man? You did say men. Did I say man? Yeah. Oh, so women were used, so he was the first guy. So women were using them, and men were using them all over Europe, go on Andy."
00:01:45,00:01:56,"Well, I think also priests were using them, because there is a limit. They're basically women in a girly clothes, always singing songs."
00:01:56,00:02:15,"Smelling perfume everywhere. Basically, I think they had them at funerals, but they had these huge heavy things at funerals, which maybe they'd have an assistant, because they'd be outside, and they'd be raining, so they wanted to keep dry like that."
00:02:15,00:02:34,"But yeah, no proper lads, Sarah rightly points out, I did not have them, I think. Yeah, you're right. And so what happened was, if it was raining in London, this was in the 1750s, you would probably hire down a handsome cab or someone carrying a sedan chair or something like that, and that would help you get out of the rain."
00:02:34,00:02:42,"And so it was the people who were driving these caps, who didn't like the guy, and so they started throwing things out, because they thought that he might put them out of business."
00:02:42,00:02:49,"So I knew it was the hackney kind of carriageman that had pelted him with rubbish, but I just thought it was because he wasn't very popular."
00:02:49,00:02:55,"No, so it was because actually he was their competition. So also did you know that he was anti-tipping this joke? Was he?"
00:02:55,00:02:56,"No, no, no."
00:02:56,00:03:03,"Do you mean by tipping people? So I get another reason where the hackney cab drivers might have been like, ""You shut your mouth, I'm with you."""
00:03:03,00:03:06,And he was anti-t-drinking?
00:03:06,00:03:08,Okay. Why was the anti-t-drinking?
00:03:08,00:03:19,"It's just Wikipedia says he was. Oh, I do know. Oh, you do know. So he wrote this whole essay about T, because he thought it would be, he again thought it was French, and that was a bad thing at the time."
00:03:19,00:03:28,"And he said, ""Men seem to have lost their stature and comeliness, and women their beauty, your very chambermaids have lost their bloom, I suppose, by sipping T."""
00:03:28,00:03:30,So he thought it was bad for people.
00:03:30,00:03:41,"Well, it's a good job that me, Sarah, and Dan are all drinking wine and you're drinking tea. Like an ugly chambermaid."
00:03:41,00:03:50,"And it's weird isn't it, because actually umbrellas anti both Chinese, originally, so actually it feels like he's kept saying French, but it was a different kind of racist."
00:03:50,00:03:51,That was less acceptable.
00:03:51,00:04:00,"But also now very English, right? Yes. Or carrying an umbrella like a businessman like that. Apparently most umbrellas are still made in China."
00:04:00,00:04:06,"But actually, they found that the terracotta army is one of the chariots that has a giant umbrella that's a tattoo."
00:04:06,00:04:09,That must have been an amazing discovery when they saw that.
00:04:09,00:04:19,"Because you would think you'd invent the umbrella before the house, but you'd think that in terms of people, they would get like a rough kind of covering, and hang on, we could add walls to this."
00:04:19,00:04:23,"I mean, we would be that way, wow. So you think that the house is just a very advanced umbrella?"
00:04:23,00:04:30,"Umbrella, it is. If they were to look at, oh my gosh, look what they've done. I've got toilets in their umbrellas."
00:04:30,00:04:40,"This was the 1700s that this happened in, but do you know the first time that an umbrella was mentioned in the UK was in the 1600s."
00:04:40,00:04:47,Okay. And it was in a book by Thomas Corriott. He was a court jester for the son of King James I.
00:04:47,00:04:57,"And he wrote this amazing book, which came out in the same year as the King James Bible, which was called Corriott's Crudities, hastily gobbled up in five months travel."
00:04:57,00:05:01,"And he went from London to Venice in the same pair of shoes, and he came back."
00:05:01,00:05:08,"Oh, it sounds like someone who needs an Edinburgh show. Doesn't it sound like a third year scraping the barrel?"
00:05:08,00:05:12,I'm going to walk to Venice and I'm not going to change my shoes.
00:05:12,00:05:18,"Oh, yeah, so he came back and he put his supposedly put his shoes into a church hung them up."
00:05:18,00:05:21,"He was like, this is the one pair I wore. And he was quite famous in his day."
00:05:21,00:05:26,"So in his book, he mentions umbrellas for the first time, because as he was passing through Europe, he saw them."
00:05:26,00:05:34,He also mentions the fact that everyone was eating using this fort device. And that supposedly as well is how we started using forts.
00:05:34,00:05:39,"That's interesting, because actually, I think the first people to use forks were kind of ridiculed, weren't they?"
00:05:39,00:05:42,"Yes, again, effeminate, I think. Were they? Yeah."
00:05:42,00:05:47,"There was one famous guy, I can't remember who it was, who used to fork, and was known as fork user."
00:05:47,00:05:50,"And that was supposed to be an insult. It would be like, you fork user."
00:05:50,00:05:53,It's that because it sounded exactly like fork user.
00:05:53,00:05:56,"Yeah, it's that sound. Is that what we got it from?"
00:05:56,00:05:59,Do you know what early umbrellas were nicknamed in England?
00:05:59,00:06:05,"No. They were called Robinson's, because in the book, Robinson Crusoe, he makes himself an umbrella."
00:06:05,00:06:11,Before he makes a house. Yeah. It's all coming together. How did it make sense?
00:06:11,00:06:17,Do you know who had the first umbrella covered with kevlar to make it a bulletproof?
00:06:17,00:06:19,"No, no. Nicola Sarkozy."
00:06:19,00:06:22,"Why? Isn't he? Yeah, he was like, I'm going to be dry and safe."
00:06:22,00:06:25,"Anyway, there's a sky assassins."
00:06:25,00:06:30,Wow. Did he carry the umbrella or was that a bodyguard?
00:06:30,00:06:32,"No, he held it himself."
00:06:32,00:06:35,It must have been very heavy. How many other people have them now?
00:06:35,00:06:38,Yeah. Who's in heavy kevlar? I'm assuming it must be.
00:06:38,00:06:43,"I assume so. But maybe not. I mean, I'm sure he had special stuff as light as possible."
00:06:43,00:06:46,He'll be making houses out of kevlar next.
00:06:46,00:06:51,"I found some famous umbrellas that I thought, is there a Wikipedia list of famous umbrellas?"
00:06:51,00:06:56,"It should be. And there should also be an umbrella museum where they keep them, because I would definitely go."
00:06:56,00:07:00,I haven't found an umbrella museum. I have found an umbrella cover museum.
00:07:00,00:07:03,Huh? What do you mean the thing that slips over it?
00:07:03,00:07:07,You know when you buy a short umbrella and it's got that little sort of slip of material.
00:07:07,00:07:09,That little power that you lose within about 20 seconds.
00:07:09,00:07:12,Yeah. There's a museum in Maine devoted to those.
00:07:12,00:07:17,"You're kidding. No. The website says, people flocked by the tents to see the museum."
00:07:17,00:07:23,People were thrilled to donate their old umbrella sheets and the international press went bonkers.
00:07:23,00:07:28,So the umbrella is that I would put into the museum if I had a couple of entries.
00:07:28,00:07:31,The first one is Mary Kingsley's umbrella.
00:07:31,00:07:34,"Oh, yeah. Very important umbrella. And I'm surprised that it's not in the RGS."
00:07:34,00:07:37,I'm surprised that I couldn't find if anyone's actually got it.
00:07:37,00:07:39,Because it was the umbrella that she used to ward off the animals.
00:07:39,00:07:43,"Famously, she smacked her hippopotamus away while she was in her canoe."
00:07:43,00:07:45,So she was an explorer in Africa wasn't she?
00:07:45,00:07:50,"Yeah, she was. And she went out of time when she was still, she didn't even wear trousers."
00:07:50,00:07:55,"She still wore a full Victorian garb, the dress. Like it was insane."
00:07:55,00:07:58,"And she was like, ""Sounds like such a bitch."""
00:07:58,00:08:01,"She was like, ""What can hippos if umbrellas get there in my way?"""
00:08:01,00:08:05,"""You went to Africa if you didn't put any trousers on for God's sake."""
00:08:05,00:08:08,"""Who's in the wrong habitat here?"""
00:08:08,00:08:14,I'm being unfair on her. She tickled the behind the veneer of a hippopotamus in order to get it away.
00:08:14,00:08:16,That's nice when you say that.
00:08:16,00:08:19,And I think she kicked a crocodile in the face and I'm not sure.
00:08:19,00:08:25,Yeah. So that's one umbrella because she was an incredible explorer.
00:08:25,00:08:30,And the second one is the umbrella that was thought to have assassinated JFK.
00:08:30,00:08:31,Do you know about this story?
00:08:31,00:08:32,"Oh no, is that a theory?"
00:08:32,00:08:34,I've heard about umbrella man.
00:08:34,00:08:36,"Umbrella man. So umbrella man, I hadn't heard of this."
00:08:36,00:08:42,"So in the famous footage of the JFK assassination, there's famously this shot"
00:08:42,00:08:45,when people are analysing it and not knowing where the shot might have come from.
00:08:45,00:08:48,"Out of nowhere, as the car is passing a bunch of people on the side,"
00:08:48,00:08:51,there's just this one guy standing there holding an umbrella.
00:08:51,00:08:52,Oh.
00:08:52,00:08:54,"And it's a sunny day, there's no reason."
00:08:54,00:08:56,"Yeah. And they thought, how is this possible?"
00:08:56,00:09:00,"It could have been a parasol, that's true. It was an umbrella though. It was a dark umbrella."
00:09:00,00:09:04,It turned out that it was a guy who was actually protesting Kennedy's father
00:09:04,00:09:10,because Kennedy's father was a sympathizer with Neville Chamberlain who was quite nice to the Nazis
00:09:10,00:09:12,during his time and he was just protesting that.
00:09:12,00:09:14,"Okay, that doesn't make any sense."
00:09:14,00:09:17,"Like if his father was a rain cloud, great protest."
00:09:17,00:09:22,"Well, because apparently a trademark accessory of Chamberlains was to carry an umbrella."
00:09:22,00:09:24,"Okay, that's still like six removes."
00:09:24,00:09:27,So he had to explain to everyone what your protest meant.
00:09:27,00:09:30,He had to go to a fancy dress party where you look nothing like what you're supposed to be.
00:09:30,00:09:31,Yeah.
00:09:31,00:09:32,You have to explain to everyone.
00:09:32,00:09:35,"Or being an impressionist who goes, oh, hello."
00:09:35,00:09:39,That was uncanny.
00:09:39,00:09:43,"Well, except that while Kennedy was at Harvard, he wrote a thesis."
00:09:43,00:09:46,"And it kind of, that was very much a part of that."
00:09:46,00:09:49,So he thought Kennedy would get the little nod.
00:09:49,00:09:51,"And so everyone's going, who's the umbrella man?"
00:09:51,00:09:56,"He turned himself in, he brought the umbrella in and basically explained this convoluted reason why it was protesting."
00:09:56,00:10:00,"And this is the quote from me said, I think if the Guinness Book of World Records had a category for people"
00:10:00,00:10:04,"who were at the wrong place at the wrong time doing the wrong thing, I would be number one in that position."
00:10:04,00:10:05,Wow.
00:10:05,00:10:08,Because he was there two seconds or so before Kennedy and Shawna.
00:10:08,00:10:13,So there is a website which claims that in 1797 there was only one umbrella in Cambridge
00:10:13,00:10:17,and that you could hire it out for an hour at a time.
00:10:17,00:10:18,So 1797.
00:10:18,00:10:22,"I think as soon as it starts raining, there's going to be a rush in there."
00:10:22,00:10:24,But I don't know what there was only one there.
00:10:24,00:10:29,"But it's true that in Paris, it was common practice as then you could hire them out by the hour."
00:10:29,00:10:31,And they had that they were all clearly recognizable.
00:10:31,00:10:33,They had a number painted on so they couldn't be next.
00:10:33,00:10:34,Yeah.
00:10:34,00:10:35,So it was like the Boris bike.
00:10:35,00:10:36,"Oh, yeah, like the bike system."
00:10:36,00:10:37,Yeah.
00:10:37,00:10:38,Except obviously they could be next.
00:10:38,00:10:41,I don't know how you would legislate against that or prevent it.
00:10:41,00:10:45,In France because they had the bike system before us then they weren't getting stolen there.
00:10:45,00:10:50,It's really interesting culturally that in Paris they left them all and in Amsterdam they all got stolen instantly.
00:10:50,00:10:51,I don't know what we're doing.
00:10:51,00:10:52,Really?
00:10:52,00:10:53,What are we doing in London?
00:10:53,00:10:54,I think they're too heavy in shit aren't they?
00:10:54,00:10:55,"Yeah, very heavy."
00:10:55,00:10:56,Yeah.
00:10:56,00:11:01,"I think if you're kind of riding that around, someone's going to know that it's not your actual bike."
00:11:01,00:11:02,You reckon.
00:11:02,00:11:06,People are like detectives like that sometimes.
00:11:06,00:11:09,Just we were talking about ancient China before in the umbrella.
00:11:09,00:11:13,Something I thought I'd show you guys which obviously doesn't translate too well but people can google this.
00:11:13,00:11:19,"The Chinese character for umbrella, San, it was designed to look just like an umbrella."
00:11:19,00:11:20,Oh.
00:11:20,00:11:21,So part of the...
00:11:21,00:11:22,It looks like a house.
00:11:22,00:11:23,"It does, doesn't it?"
00:11:23,00:11:24,Yeah.
00:11:24,00:11:25,Yeah.
00:11:25,00:11:26,That's it there.
