start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Oh, yeah."
00:00:02,00:00:04,- [speaking in foreign language]
00:00:04,00:00:07,[theme music]
00:00:07,00:00:09,- [speaking in foreign language]
00:00:09,00:00:13,[theme music]
00:00:13,00:00:16,"- Hello and welcome to No Such Things A Fish,"
00:00:16,00:00:18,a weekly podcast coming to you from the queue.
00:00:18,00:00:20,I offer this in Covent Garden.
00:00:20,00:00:23,"My name is Anna and I am here with Andrew Hunter Murray,"
00:00:23,00:00:26,James Harkin and Anne Miller.
00:00:26,00:00:28,"Once again, we've gathered around the microphones"
00:00:28,00:00:31,with our four favorite maps that we found in the last seven days
00:00:31,00:00:33,and in no particular order.
00:00:33,00:00:36,"Here we go, starting with you, James."
00:00:36,00:00:38,- My fact this week is that Anna wants to be like
00:00:38,00:00:41,with Donna and known by just one name.
00:00:41,00:00:43,[laughing]
00:00:43,00:00:44,- What is that all about?
00:00:44,00:00:47,"- Did I, I couldn't work out if normally we do two names"
00:00:47,00:00:48,or one side mix it up?
00:00:48,00:00:50,- I thought it was casual and friendly.
00:00:50,00:00:51,"Like, don't enough podcast now."
00:00:51,00:00:52,- I thought it was power mad.
00:00:52,00:00:54,[laughing]
00:00:54,00:00:56,- I thought it was maybe that you could work out
00:00:56,00:00:57,to pronounce your old surname.
00:00:57,00:00:59,[laughing]
00:00:59,00:01:02,- It might have been that dance confused me over the years.
00:01:02,00:01:03,- I'd like to be known as Lightning from now
00:01:03,00:01:05,"and I'm this podcast, please."
00:01:05,00:01:05,"- All right, that's fine."
00:01:05,00:01:06,- You've already got three calls.
00:01:06,00:01:08,- So I'll introduce you all again.
00:01:08,00:01:12,"My name is Anna and I'm joined by Lightning, James and Anne."
00:01:12,00:01:13,[laughing]
00:01:13,00:01:14,- I'm followed.
00:01:14,00:01:18,"- Okay, my fact this week is that in 1758,"
00:01:18,00:01:20,"there were two camels on display in London,"
00:01:20,00:01:23,one with a single hump and one with two humps.
00:01:23,00:01:26,They were advertised as the surprising camel
00:01:26,00:01:27,and the wonderful camel.
00:01:27,00:01:29,[laughing]
00:01:29,00:01:31,"- Yeah, which was it?"
00:01:31,00:01:35,- I think the one with a single hump was surprising
00:01:35,00:01:37,and the one with two humps was wonderful.
00:01:37,00:01:39,- I think they're all surprising to start off with.
00:01:39,00:01:39,"- Yeah, I agree."
00:01:39,00:01:42,- And then a difference in humps is also surprising.
00:01:42,00:01:43,So I think they're both surprising.
00:01:43,00:01:44,- Are they?
00:01:44,00:01:45,- I think it was wonderful.
00:01:45,00:01:46,- Yeah. - Let's not do camels down there.
00:01:46,00:01:47,- I agree with Lightning.
00:01:47,00:01:49,[laughing]
00:01:49,00:01:52,I read this in the London Review of Books
00:01:52,00:01:55,"and it was a review of a book called ""Managerie"""
00:01:55,00:01:57,by Caroline Griggsson.
00:01:57,00:01:59,"I haven't read that book yet, but I am going to read it"
00:01:59,00:02:00,'cause it looks amazing.
00:02:00,00:02:02,There's some really good facts in that review.
00:02:02,00:02:04,- I read a really good book about the history of London
00:02:04,00:02:05,and zoo a couple of years ago.
00:02:05,00:02:07,My favorite thing in the whole book was that London zoo
00:02:07,00:02:08,used to be at the Tower of London
00:02:08,00:02:10,"and when it was there, you could get in for free"
00:02:10,00:02:13,if you brought a dog or a cat to feed to the lions.
00:02:13,00:02:14,- Nice.
00:02:14,00:02:16,Was it entry for one or was it for a family?
00:02:16,00:02:17,Or did you have to bring kittens
00:02:17,00:02:19,if you wanted your children to go and see the lions?
00:02:19,00:02:20,"- I think if you were bringing a family,"
00:02:20,00:02:21,you had to bring a surprising camel.
00:02:21,00:02:23,[laughing]
00:02:23,00:02:26,"- So one other thing that I saw 'cause yeah,"
00:02:26,00:02:27,"that book does look incredible, doesn't it?"
00:02:27,00:02:29,And one other thing that I really like that she spotted
00:02:29,00:02:33,is that this was in the age where it was very fashionable
00:02:33,00:02:34,if you're a wealthy person to bring
00:02:34,00:02:36,back lots of exotic animals from various places
00:02:36,00:02:38,or descend agents off to get them
00:02:38,00:02:40,and apparently one London merchant asked his agent
00:02:40,00:02:43,"to send him two or three apes,"
00:02:43,00:02:46,"but he forgot the ""R"" on ""Or"""
00:02:46,00:02:49,and so he was delivered 203 apes.
00:02:49,00:02:50,[laughing]
00:02:50,00:02:51,- Where did he put them?
00:02:51,00:02:52,- I don't know.
00:02:52,00:02:53,- I don't know.
00:02:53,00:02:55,"Apparently the first cargo of ""80 apes"" arrived"
00:02:55,00:02:57,when the legs are promising them more.
00:02:57,00:02:58,[laughing]
00:02:58,00:02:59,- There was one other thing in there
00:02:59,00:03:03,that George the Fourth had a giraffe at Windsor
00:03:03,00:03:05,and the giraffe didn't flourish very well
00:03:05,00:03:06,because it was in Windsor
00:03:06,00:03:09,and not where it's supposed to live in Africa.
00:03:09,00:03:10,- Which is a Sandriggum.
00:03:10,00:03:12,[laughing]
00:03:12,00:03:15,"- And when it got sick, they put it down to sympathy"
00:03:15,00:03:19,for the King's gout and load of peon nonsense.
00:03:19,00:03:22,"- sympathy for the gout, that's outrageous."
00:03:22,00:03:25,"- You can say that or in an alternative fact universe,"
00:03:25,00:03:27,you can say that maybe it was feeling sad
00:03:27,00:03:28,'cause the King was sad.
00:03:28,00:03:29,- Maybe it was sad.
00:03:29,00:03:31,- Do you know they have camel wrestling festivals
00:03:31,00:03:32,in Turkey?
00:03:32,00:03:34,- Is that camel's wrestling against each other?
00:03:34,00:03:36,- It is camel's wrestling against each other.
00:03:36,00:03:37,Yeah.
00:03:37,00:03:37,- But how does a camel wrestle?
00:03:37,00:03:39,"- Yeah, they're on all fours."
00:03:39,00:03:40,"- Well, with great difficulty."
00:03:40,00:03:41,- Yeah.
00:03:41,00:03:43,- It's the odd joke.
00:03:43,00:03:45,"They, I don't know if they do it with camels,"
00:03:45,00:03:46,but often they do it by showing
00:03:46,00:03:50,"the two competence, a sexy lady insert animal here."
00:03:50,00:03:52,So they might bring on a sexy lady camel
00:03:52,00:03:54,and then remove it and then the two blokes remaining
00:03:54,00:03:56,"say, ""Well, I want it, well, I want it."""
00:03:56,00:03:58,And little did they know they're not gonna get it.
00:03:58,00:03:59,- Do you know what constitutes a beautiful camel
00:03:59,00:04:01,since you mentioned a sexy lady?
00:04:01,00:04:02,- Long eyelashes.
00:04:02,00:04:03,"- Yeah, of course, the eyelashes."
00:04:03,00:04:05,"- They do, have lots of wine lashes."
00:04:05,00:04:06,Although maybe in the camel world
00:04:06,00:04:07,"'cause that's so common then short eyelashes,"
00:04:07,00:04:08,lovely lady humps.
00:04:08,00:04:12,[laughing]
00:04:12,00:04:13,So I've been reading about Omar lately
00:04:13,00:04:15,'cause we're researching for the O series
00:04:15,00:04:18,when they have camel beauty contests in Oman.
00:04:18,00:04:19,And they're put on by the government
00:04:19,00:04:22,and it's a milking and beauty contest.
