start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(electronic music)
00:00:02,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:19,"of No Such Thing as a Fish, a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Covert Garden.
00:00:22,00:00:23,My name is Dan Schreiber.
00:00:23,00:00:26,"I am sitting here with James Harkin,"
00:00:26,00:00:28,Anichezinski and Drew Murray.
00:00:28,00:00:31,"And once again, we have gathered around the microphones."
00:00:31,00:00:32,"- Can't do it, can't do it."
00:00:32,00:00:34,- I think it's Drew Hunter Murray.
00:00:34,00:00:35,- It's Drew Hunter Murray.
00:00:35,00:00:37,"- It's not that, it's not that."
00:00:37,00:00:38,"I've acetate, we acetate last week."
00:00:38,00:00:40,It's lightning.
00:00:40,00:00:41,I wanna stick with that.
00:00:41,00:00:42,Please never Drew.
00:00:42,00:00:44,- Oh.
00:00:44,00:00:46,- I love Drew's photograph.
00:00:46,00:00:48,"- And once again, we have gathered around the microphones"
00:00:48,00:00:51,with our four favorite facts from the last seven days
00:00:51,00:00:54,"and in a particular order, here we go."
00:00:54,00:00:57,"Starting with my facts, my fact this week is that"
00:00:57,00:01:00,"in the final years of its construction,"
00:01:00,00:01:03,Mount Rushmore was built by baseball players.
00:01:03,00:01:04,- Nice.
00:01:04,00:01:05,- Did they run out of dynamite?
00:01:05,00:01:08,"And they said, ""Well, we better just get a bunch of guys"
00:01:08,00:01:09,"with bad stuff."""
00:01:09,00:01:10,(laughing)
00:01:10,00:01:13,"No, so Mount Rushmore was constructed"
00:01:13,00:01:17,between 1927 and 1941 in the first early stages
00:01:17,00:01:20,and actually right up until about 1938.
00:01:20,00:01:22,It was being led by a guy called Gutson Borglum
00:01:22,00:01:25,and Gutson Borglum had a sun working on it called Lincoln
00:01:25,00:01:27,and Lincoln was obsessed with baseball
00:01:27,00:01:29,and he really wanted to put a baseball team together.
00:01:29,00:01:33,"So from 1938, when he started hiring all the people"
00:01:33,00:01:35,"to work on it, one of the things that he required you"
00:01:35,00:01:37,to be able to do was play baseball
00:01:37,00:01:39,so that you could be part of the team.
00:01:39,00:01:42,It almost didn't matter if you were able to be
00:01:42,00:01:43,(laughing)
00:01:43,00:01:44,- Is it true?
00:01:44,00:01:46,"Well, one of the guys, his name's Nick Clifford,"
00:01:46,00:01:49,he's the last construction worker on Mount Rushmore
00:01:49,00:01:52,who's still alive and you can meet him in the summers.
00:01:52,00:01:54,"So if you're this year, 2017 in the summer,"
00:01:54,00:01:57,he's 95 years old at the moment.
00:01:57,00:01:59,Go to Mount Rushmore and he sits there
00:01:59,00:02:01,"and he gives tours, he explains what's going on,"
00:02:01,00:02:03,"how they built it, he signs books"
00:02:03,00:02:06,and he hands out baseball cards from the team
00:02:06,00:02:09,and they actually competed in amateur baseball
00:02:09,00:02:11,"and they made it to the semi-finals, they came in third."
00:02:11,00:02:13,So they were really good and...
00:02:13,00:02:14,- The semi-finals of...
00:02:14,00:02:17,"- Of the amateur baseball, no one's heard of League."
00:02:17,00:02:18,(laughing)
00:02:18,00:02:20,- Just in the Mount Rushmore area.
00:02:20,00:02:22,"- Yeah, no, I'm not fully sure on that actually."
00:02:22,00:02:25,"- Actually, it did sound when you read people's memoirs"
00:02:25,00:02:28,"about it, it sounds like they had a really good team work"
00:02:28,00:02:31,"kind of bond, doesn't it, the workers."
00:02:31,00:02:33,So they all had these weird nicknames
00:02:33,00:02:35,so they were all called stuff like
