start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hey everyone, big news, no such thing as a fish is turning three."
00:00:03,00:00:10,"Yeah, it's our birthday coming up on March the 9th and we are going to celebrate it by throwing a big party."
00:00:10,00:00:13,"Well, actually, it's a live recording, but we're calling it a big party."
00:00:13,00:00:16,"And if you want to come along, it's going to be in London."
00:00:16,00:00:20,"It's going to be at our regular recording venue, which is up the creek, which is in Greenwich."
00:00:20,00:00:25,And we're going to be starting at 7.30pm on the 28th of February.
00:00:25,00:00:29,"Tickets are going to be going on sale this coming Monday, the 20th of February."
00:00:29,00:00:35,And they're going to be available at qi.com/fishevents and the tickets will go live at 11am.
00:00:35,00:00:37,It's going to be really fun. There's going to be balloons.
00:00:37,00:00:43,"I've just decided. I've just decided. There's going to be balloons and cake, cake."
00:00:43,00:00:50,We're going to have a cake and Andy is going to do a strip tease and it is going to be packed all together with a live recording.
00:00:50,00:00:52,You'll get to see a show recorded live.
00:00:52,00:00:56,"So please come along, go get the tickets. Again, they'll be available at 11am."
00:00:56,00:00:58,"Monday, the 20th, go to qi.com/fishevents."
00:00:58,00:01:00,"Okay, on with the show."
00:01:00,00:01:04,Three-year-olds birthday party for strip tease.
00:01:04,00:01:09,"And also if you're not interstripping and you're into wearing stuff,"
00:01:09,00:01:11,then we have a hoodie.
00:01:11,00:01:13,No such thing as a fish hoodie.
00:01:13,00:01:17,And you can buy that by going to qi.com/hoody.
00:01:17,00:01:22,"And we also have t-shirts and we have vinyls, but they've just had a big new delivery of the hoodies that come in basically."
00:01:22,00:01:24,All the sizes you could want.
00:01:24,00:01:30,And it has on the back of the hoodie a huge list of our headline facts that we've done in the first year of our podcast.
00:01:30,00:01:35,You want to celebrate the end of winter and the return of wall weather with a new hoodie?
00:01:35,00:01:38,Go ahead and come slash hoodie.
00:01:38,00:01:40,"Okay, on with the show."
00:01:40,00:02:02,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming to you from the qi offices in Covent Garden."
00:02:02,00:02:08,"My name is Dan Schreiber and I'm sitting here with James Harkin, Andrew Hunter Murray and Anna Chazinski."
00:02:08,00:02:14,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days and in no particular order."
00:02:14,00:02:17,"Here we go, starting with you Andy."
00:02:17,00:02:25,My fact is the doomsday clock was originally set at seven minutes to midnight because the artist responsible for it thought it looked good.
00:02:25,00:02:27,Those were literally her words.
00:02:27,00:02:35,"She was a lady called Martil Langsdorf and she was asked to come up with a cover for a magazine, basically, but the magazine was the bulletin of atomic scientists."
00:02:36,00:02:41,And she said it looked good to my eye when she drew the doomsday clock at the original thing.
00:02:41,00:02:48,So the doomsday clock for anyone who doesn't know is is a sort of theoretical clock saying how know we are to the end of the world.
00:02:48,00:02:55,And it's put together by a body of atomic scientists and nuclear weapons experts and they have just moved it.
00:02:55,00:03:00,"So we're now two and a half minutes to midnight, which is just about the closest it's ever been."
00:03:00,00:03:03,I think at one point it might have been on two minutes.
00:03:03,00:03:05,"Yeah, I think it was on two at one point. Yeah, you're right."
00:03:05,00:03:07,"Yeah, it was. It was around Cuba Missile Crisis time."
00:03:07,00:03:09,"No, that's the weird thing."
00:03:09,00:03:12,They didn't move it for the Cuba Missile Crisis. Do you know why?
00:03:12,00:03:12,What?
00:03:12,00:03:14,They had no idea what was going on.
00:03:14,00:03:16,They said we just don't have any data to make a judgment.
00:03:16,00:03:18,"Ah, but it wasn't the newspapers."
00:03:18,00:03:24,"Yeah, I don't think they knew whether the missiles were being primed or loaded or whether they were going to get to Cuba or"
00:03:24,00:03:27,but that's one of the times where they didn't change the clock at all.
00:03:27,00:03:29,So were they this artist?
00:03:29,00:03:33,"Hey, was she an atomic scientist as well by night? No, it's by day or?"
00:03:33,00:03:40,"No, she was married to a guy who worked on both the magazine and was also part of the Manhattan project, I believe."
00:03:40,00:03:43,He was one of the scientists who was helping out on that.
00:03:43,00:03:46,She was just asked to design a cover.
00:03:46,00:03:49,So she wasn't even designing a Doomsday clock as such.
00:03:49,00:03:53,"She thought she was going to do a U, the letter U, for uranium as the cover."
00:03:53,00:03:57,"But she noticed in the talk that a deadline was sort of looming and she thought,"
00:03:57,00:04:00,"like a clock going to 12, it's just on its way kind of thing."
00:04:00,00:04:02,"It's an analog clock as well, isn't it?"
00:04:02,00:04:06,So we don't know for sure that it's not like two minutes to midday.
00:04:06,00:04:08,"Yeah, absolutely fine."
00:04:08,00:04:11,"Oh, that's great. We're whole 12 hours away."
00:04:11,00:04:15,I think they gave us not very much wiggle room by putting it seven minutes to.
00:04:15,00:04:17,"And I think that's causing the problem now, isn't it?"
00:04:17,00:04:20,"Because actually the world could get much, much more dangerous before catastrophe."
00:04:20,00:04:26,"And so for instance, now is the first time that they've only added half a minute rather than a full minute."
00:04:26,00:04:29,"Yeah, because clearly we're getting closer and closer to midnight,"
00:04:29,00:04:32,but you don't want to say we've gone a full third of the way closer.
00:04:32,00:04:36,"It is like a parent saying, I'm going to count to three to a naughty child."
00:04:36,00:04:42,"And like one, two, two and a half, two and a half, two and three quarters."
00:04:42,00:04:46,Do they factor in for when the clock's going forward?
00:04:46,00:04:52,I think the important thing for everyone listening is that there is no scientific basis
00:04:52,00:04:54,or proper scale to this clock.
00:04:54,00:04:57,They just kind of wing it. There is scientific basis as in.
00:04:57,00:05:01,It's a load of scientists who come up with it and assess whether the world is more dangerous or less dangerous.
00:05:01,00:05:05,"Yeah, but it's sort of an arbitrary scale, you know, they haven't actually worked out."
00:05:05,00:05:08,This is 20% more dangerous than it was yesterday in it.
00:05:08,00:05:13,"But it's just, I think it's just 10 scientists and security experts and they just get together in a room, don't they?"
00:05:13,00:05:15,And they just kind of discuss things.
00:05:15,00:05:20,"And then at the end of the day before they crack open the whiskey, they go, okay, what we're going to say?"
00:05:20,00:05:22,"Two minutes. Pretty much that, isn't it?"
00:05:22,00:05:26,"So the Manhattan project, you know, when it was underway."
00:05:26,00:05:30,"So this is when they, obviously, Oppenheimer and co-exploded an atomic bomb."
00:05:30,00:05:38,"They discussed at the time when they were planning the Manhattan project, the possibility that it could, in fact, blow up the entire world."
00:05:38,00:05:47,"So one of the guys working on it, Edward Teller did some calculations and he said that it was possible that the explosion they generated would create this"
00:05:47,00:05:53,"vision reaction that generated heat so intense that it would trigger, run away fusion in the atmosphere."
00:05:53,00:05:55,"Now, I only know what a few of those words mean."
00:05:55,00:06:01,"Essentially, the explosion was going to generate such a huge heat that the fusion in the atmosphere would spread all around the world."
00:06:01,00:06:02,And the world would explode.
00:06:02,00:06:07,"We'd basically become a sun, which is like the sun's energy comes from nuclear fusion, isn't it?"
00:06:07,00:06:09,"Yeah, exactly."
00:06:09,00:06:15,"I really like that Oppenheimer said at one point, and this is before the Manhattan project, that in an interview he said,"
00:06:15,00:06:20,"""Two great loves are physics and desert country. It's a pity they can't be combined."""
00:06:20,00:06:24,And then he actually had the chance to marry his two great loves.
00:06:24,00:06:28,But marry them by blowing one of them up.
00:06:28,00:06:35,"My third love, of course, is tiny uninhabited islands in the South Pacific."
00:06:35,00:06:42,"So on the end of the world, there are lots of stories recently about preppers, I think, like us."
00:06:42,00:06:45,"And people, so there's been a recent news story that everyone is buying a house in New Zealand."
00:06:45,00:06:50,"Everyone, everyone who's anyone and has a billion pounds is buying a house in New Zealand."
00:06:50,00:06:53,My buddy Reese bought a house in New Zealand recently.
00:06:53,00:06:54,He's from New Zealand.
00:06:54,00:06:55,"Yeah, he lives there."
00:06:55,00:06:58,I don't think he counts as a prepper in that case.
00:06:58,00:07:03,Because they think it's less likely to be bombed because everyone basically likes people from New Zealand.
00:07:03,00:07:05,They're pretty innocuous people.
00:07:05,00:07:08,But what about Mordor? That's there. That's very dangerous.
00:07:08,00:07:10,"That's true. That is a rogue nation, if ever there was one."
00:07:10,00:07:15,"But did you know, before the American election in November,"
00:07:15,00:07:21,"prepper meal firms, a lot of them saw sales triple in the three weeks leading up to the election."
00:07:21,00:07:22,Wow. Yeah.
00:07:22,00:07:27,Which is substantial because people were thinking it's all going to kick off once we've had the election.
00:07:27,00:07:29,Do they think that would be his first move?
00:07:29,00:07:31,"Literally get into the White House, the red button."
00:07:31,00:07:37,I was reading a prepper's list of things that you take into your bunker with you.
00:07:37,00:07:39,"Should the apocalypse happen, do as they arrive?"
00:07:40,00:07:43,This was actually a crack article and they were saying that one of the things that's on the list
00:07:43,00:07:48,that sticks out as quite odd is non-lubricated condoms.
00:07:48,00:07:51,And they say you should have lots of non-lubricated condoms.
00:07:51,00:07:52,Lubricated condoms?
00:07:52,00:07:54,"So cracked, they start saying, okay, it kind of makes sense."
00:07:54,00:07:57,Imagine if there's a big group down there and suddenly STI starts spreading.
00:07:57,00:08:00,So you want to make sure that in any sex that that's happening.
00:08:00,00:08:02,"But then you think, okay, why non-lubricated condoms?"
00:08:02,00:08:07,Turns out that condoms are incredibly practical as a thing to have.
00:08:07,00:08:10,It's almost like if you were out in a bare-grill situation with nothing.
00:08:10,00:08:12,"You can carry water in them, can you?"
00:08:12,00:08:14,"You can carry water in them, where it's called the..."
00:08:14,00:08:16,"Yeah, yeah, yeah, I can carry two leaders."
00:08:16,00:08:17,They're non-lubricated as well.
00:08:17,00:08:20,I'm just going to put a bottle in the bunker and carry my water in there.
00:08:20,00:08:22,You'll be totally around your condom.
00:08:22,00:08:25,You can put them around your head and blow it up with your nose.
00:08:25,00:08:26,"Yeah, for fun, yeah."
00:08:26,00:08:30,"Because you need entertainment in these bunkers, very dry places."
00:08:30,00:08:31,You can make a slingshot out of them.
00:08:31,00:08:32,"No, you can't."
00:08:32,00:08:33,"Yeah, you can."
00:08:33,00:08:37,"So, there's the Prepper's Journal and they have 11 ways a condom can save your life."
00:08:37,00:08:43,And one of them is make a slingshot and it acts as the actual bit of rubber that you pull back on.
00:08:43,00:08:48,"And they show you how to make it, so you carve out the wood and then you strap two condoms and tie them up."
00:08:48,00:08:49,That's going to save your life.
00:08:49,00:08:54,It says a giant coming and you need to send a small boy to defeat him.
00:08:54,00:08:58,"And in the post-New Clear Landscape, there probably will be giants walking around there."
00:08:58,00:08:59,I hope to be for this.
00:08:59,00:09:02,Any other ways a condom can save your life?
00:09:02,00:09:04,"Starting fires, starting fire."
00:09:04,00:09:05,Starting fires.
00:09:05,00:09:08,That's why sex is such a dangerous business.
00:09:08,00:09:09,That's the song.
00:09:09,00:09:11,This sex is on fire.
00:09:11,00:09:14,Due to this non-lubricated condom.
00:09:14,00:09:18,It's that friction.
00:09:18,00:09:20,Does it say how you might start a fire with a condom?
00:09:20,00:09:25,"Well, actually, it's not about starting the fire, it's about protecting Tinder from moisture."
00:09:25,00:09:27,Not your Tinder app.
00:09:30,00:09:34,It does feel like that list is compiled by completely insane people.
00:09:34,00:09:36,"Well, no, it's on this amazing site called Preparations.com."
00:09:36,00:09:38,"Yeah, I think they're completely insane people."
00:09:38,00:09:40,They're really secretive as well.
00:09:40,00:09:45,So the New York did a profile and the journalist writing the article was approaching
00:09:45,00:09:47,possible preppers to interview them.
00:09:47,00:09:51,"And one prepper wrote back saying, asking to see my prepper stash."
00:09:51,00:09:55,You just asked me one of the most personal things I've ever heard.
00:09:55,00:09:58,"That is effectively like going to someone's house, meeting their new girlfriend."
00:09:59,00:10:00,Have you got any condoms?
00:10:00,00:10:02,"Yeah, he said."
00:10:02,00:10:04,It's like saying I'd like to see her naked and have sex with her.
00:10:04,00:10:07,So they are very secretive about it.
00:10:07,00:10:09,That's because I think they're the kind of people who's prepper stash
00:10:09,00:10:11,does contain 100 blow-up dolls.
00:10:11,00:10:17,We should say that this is genuinely really quite widespread in America.
00:10:17,00:10:22,So there was a study done recently that found 22% of Americans believe
00:10:22,00:10:25,that the world will end in their lifetime.
00:10:25,00:10:29,"Another study, the National Geographic did, that said 40% of Americans,"
00:10:29,00:10:32,"almost half, think that's stocking up on end to the world's applies."
00:10:32,00:10:37,"It's a more sensible idea than getting a pension scheme, getting a mortgage scheme."
00:10:37,00:10:38,Right.
00:10:38,00:10:42,"If you don't get a pension, but you do have a lot of can food and water,"
00:10:42,00:10:45,"you can, once you retire, just go and live in your bunker anyway."
00:10:45,00:10:47,It doesn't matter that the world's starting.
00:10:47,00:10:51,It doesn't really affect you whether the world's going on or not.
00:10:51,00:10:56,It's the red time and everyone's always dreamed of. The windowless can food dependent
00:10:56,00:10:59,30 years post-working life.
00:10:59,00:11:09,"OK, it's time for fact number two, and that is James."
00:11:09,00:11:13,"OK, my fact this week is that some villagers in the Central African Republic"
00:11:13,00:11:19,deliberately allow lions to live nearby so they can steal their food.
00:11:19,00:11:24,"So what would normally happen if if you lived in a village and there were lions nearby,"
00:11:24,00:11:25,you would always try and shoot them away.
00:11:25,00:11:28,But these guys kind of allow them to live nearby.
