start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Hey everyone, before we begin this week's show,"
00:00:02,00:00:04,we just have a quick request.
00:00:04,00:00:07,We are doing a live show on the 28th of February.
00:00:07,00:00:08,It's our third birthday party.
00:00:08,00:00:11,And we were hoping that we could ask you
00:00:11,00:00:14,"to submit a bunch of questions, interesting thoughts,"
00:00:14,00:00:18,"ideas, whatever it is you want for us to read out on stage."
00:00:18,00:00:20,"- Yeah, make them funny, make them snappy,"
00:00:20,00:00:24,"make them cool, make them worthy of being aired,"
00:00:24,00:00:26,"and they will be podcast at qi.com,"
00:00:26,00:00:28,email us your questions.
00:00:28,00:00:29,You could even tweet it to us as well
00:00:29,00:00:31,on our @qipodcast account.
00:00:31,00:00:34,Please do before this coming Tuesday.
00:00:34,00:00:35,And if we see it and it's short enough
00:00:35,00:00:37,"and funny enough and intelligent enough,"
00:00:37,00:00:39,we will read it on stage.
00:00:39,00:00:41,"Okay, on with the show."
00:00:41,00:00:43,(blues music)
00:00:55,00:00:58,- Hello and welcome to another episode of No Such Thing
00:00:58,00:01:01,"as a Fish, a weekly podcast coming to you"
00:01:01,00:01:03,from the QI offices in Covert Garden.
00:01:03,00:01:06,My name is Dan Schreiber and I'm sitting here
00:01:06,00:01:08,"with James Harkin, Andrew Hunter Murray,"
00:01:08,00:01:09,and Anna Chazinski.
00:01:09,00:01:12,"And once again, we have gathered around the microphones"
00:01:12,00:01:15,with our four favorite facts from the last seven days
00:01:15,00:01:17,"and in no particular order, here we go."
00:01:17,00:01:19,"Starting with you, Andy Murray."
00:01:19,00:01:21,- My fact this week is that the smallest football league
00:01:21,00:01:24,in the world consists of two teams
00:01:24,00:01:26,who play each other 22 times every season.
00:01:26,00:01:29,- Where is it?
00:01:29,00:01:31,"- It's on the Isles of Silly,"
00:01:31,00:01:33,"which is just off Cornwall,"
00:01:33,00:01:35,which is the southwest tip of Britain
00:01:35,00:01:37,for anyone who's not from Britain listening.
00:01:37,00:01:39,And they're called the Woolpack Wanderers
00:01:39,00:01:40,and the Garrison Gunners.
00:01:40,00:01:42,And they used to be called the Rangers and the Rovers
00:01:42,00:01:43,and then they thought that was a bit boring
00:01:43,00:01:46,so they could make it more interesting.
00:01:46,00:01:47,- And it's weird that they did that
00:01:47,00:01:49,because you can only really call yourself the Gunners
00:01:49,00:01:51,if you've got a historical connection
00:01:51,00:01:54,to like an Arsenal's case and armaments factory
00:01:54,00:01:55,and the Wanderers.
00:01:55,00:01:57,People are called that when they don't have a permanent stadium
00:01:57,00:01:58,which I assume they always have
00:01:58,00:02:00,because there aren't any other teams in this place.
00:02:00,00:02:01,- Yes.
00:02:01,00:02:02,- So their names are lies.
00:02:02,00:02:06,"- I mean, they've been playing since World War I, I believe."
00:02:06,00:02:08,"- Well, they must be knackered."
00:02:08,00:02:09,(laughing)
00:02:09,00:02:12,"They've got, he forgot to match how long the matches are."
00:02:12,00:02:14,Half-time's coming up next year.
00:02:14,00:02:18,"No, so maybe there is a connection potentially for the Gunners."
00:02:18,00:02:19,"- Well, they're called the Garrison Gunners"
00:02:19,00:02:22,so is it not to do with some kind of Garrison?
00:02:22,00:02:24,"- Yeah, I'm sure they're the Garrison on the Elves of Cili."
00:02:24,00:02:25,"I don't know, I don't have the facts."
00:02:25,00:02:26,- Do you know what I really like?
00:02:26,00:02:29,They play on the same football pitch every time
00:02:29,00:02:32,but they swap for being a home and a way team
00:02:32,00:02:33,so they're changing rooms.
00:02:33,00:02:36,They change to say a way for the way team that way
00:02:36,00:02:38,and then home on the next match.
00:02:38,00:02:40,- But that means they're the exact opposite
00:02:40,00:02:43,of what you would expect a Wanderers team to be then.
00:02:43,00:02:43,- It's true.
00:02:43,00:02:46,- Because not only have they always played on the same pitch
00:02:46,00:02:49,they even play all their away games on the same pitch as well.
00:02:49,00:02:50,(laughing)
00:02:50,00:02:51,- It's very true.
00:02:51,00:02:54,- The Wikipedia on them is unbelievably cautious.
00:02:54,00:02:57,"It says, ""The league is reportedly the smallest in the world."""
00:02:57,00:03:01,I do not believe there's a one team league anywhere in the world.
00:03:01,00:03:02,- You know how they pick the teams?
00:03:02,00:03:04,"They pick them by every year, a few weeks before the season,"
00:03:04,00:03:06,the captains of the two teams.
00:03:06,00:03:09,"They meet up in the pub and they basically, they take turns."
00:03:09,00:03:10,- No. - Yes.
00:03:10,00:03:11,- Oh my god. - Oh my god.
00:03:11,00:03:12,"- Yeah, yeah, yeah."
00:03:12,00:03:14,So they try and make it so the teams
00:03:14,00:03:16,are roughly equal in ability.
00:03:16,00:03:17,- I was reading an interview with them though
00:03:17,00:03:19,and they don't seem to even know which team they play for.
00:03:19,00:03:21,One of them was us.
00:03:21,00:03:23,"One of them was us whose team he was on and he said,"
00:03:23,00:03:25,"""Oh, I'm wearing red, which team is that?"""
00:03:25,00:03:28,(laughing)
00:03:28,00:03:32,- Just the Isle of Silly for the people overseas
00:03:32,00:03:34,"who haven't heard of it, it's incredibly small"
00:03:34,00:03:38,and it's population size as of 2001.
00:03:38,00:03:40,That's the last update I've seen that I could find
00:03:40,00:03:42,"2,153 people."
00:03:42,00:03:44,So it's a very tiny population
00:03:44,00:03:47,but they've worked out that 32% of the population participate
00:03:47,00:03:51,"at least three times a week in 30 minutes more sport,"
00:03:51,00:03:53,way greater than any other bit of Britain.
00:03:53,00:03:56,- But then 1% of the population are in one of these football teams
00:03:56,00:03:57,presumably.
00:03:57,00:03:59,"- Yeah, that's amazing."
00:03:59,00:04:00,"- Yeah, that's really good."
00:04:00,00:04:02,That must be the highest anywhere.
00:04:02,00:04:04,- Highest proportion of football players anywhere.
00:04:04,00:04:05,- Yeah.
00:04:05,00:04:06,- Professionals.
00:04:06,00:04:07,"- And also on their teams, I really like this,"
00:04:07,00:04:11,there's a huge gap of the age bracket of who plays
00:04:11,00:04:15,where they're majorotively missing 16 to 25 year olds
00:04:15,00:04:18,and the reason is because the schools in the Isle of Silly
00:04:18,00:04:21,only go up to six form.
00:04:21,00:04:23,"So when you're 16, you have to go to the mainland"
00:04:23,00:04:24,to finish off your schooling.
00:04:24,00:04:26,And so they end up just staying on the mainland
00:04:26,00:04:28,when they come over rather than going back.
00:04:28,00:04:29,"- Basically on holiday, there is a kid."
00:04:29,00:04:32,"It's so lovely, amazing bird watching."
