start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,"- Hello, and welcome to another episode"
00:00:16,00:00:19,"of ""No Such Thing as a Fish, A Weekly Podcast"""
00:00:19,00:00:22,coming to you from the QI offices and covered guarded.
00:00:22,00:00:26,"My name is Dad Shriver, and I'm sitting here"
00:00:26,00:00:28,"with James Harkin, Andrew Hunter-Marie,"
00:00:28,00:00:30,and Adich Zinski.
00:00:30,00:00:32,"And Adich Zinski, and once again,"
00:00:32,00:00:35,we have Gather Grown on my face.
00:00:35,00:00:37,"And once again, we have Gather Grown on the microphones"
00:00:37,00:00:39,with our four favorite facts from the last seven days
00:00:39,00:00:41,and in no particular order.
00:00:41,00:00:43,Here we go.
00:00:43,00:00:47,- What even does that have to do with the sound of the microphone?
00:00:47,00:00:48,- Very confusing.
00:00:48,00:00:50,"- Starting with my fact, my fact this week"
00:00:50,00:00:53,is that the man who popularized the high five
00:00:53,00:00:54,only has four fingers.
00:00:54,00:00:55,(laughing)
00:00:55,00:00:57,And this was a basketball player
00:00:57,00:00:59,called Wiley Brown.
00:00:59,00:01:03,"Back in 1978/79 season of basketball,"
00:01:03,00:01:07,he and his mate started high fiveing.
00:01:07,00:01:11,"And they talk about it really, really interestingly."
00:01:11,00:01:13,"Like I read an interview where he said,"
00:01:13,00:01:16,"""No one was doing it, they all did it low."
00:01:16,00:01:18,"""There's all these low fives going on."
00:01:18,00:01:18,"""No one did it high."""
00:01:18,00:01:20,"And then he said, ""Then the first time we did it,"
00:01:20,00:01:23,"""both of us looked at each other and said,"
00:01:23,00:01:24,"""Did that just happen?"""
00:01:24,00:01:26,(laughing)
00:01:26,00:01:27,- He really did to it.
00:01:27,00:01:28,There's a magical moment.
00:01:28,00:01:30,"- Can I just ask, when you say four fingers,"
00:01:30,00:01:32,you mean on one of his hands?
00:01:32,00:01:33,"- Exactly, nine fingers."
00:01:33,00:01:34,"- Yes, exactly."
00:01:34,00:01:36,So he had nine fingers in total.
00:01:36,00:01:37,He was missing a thumb.
00:01:37,00:01:39,He lost his thumb when he was four years old
00:01:39,00:01:41,"and prosthetic thumb was made,"
00:01:41,00:01:43,which meant that he could still become
00:01:43,00:01:44,an amazing sports star
00:01:44,00:01:47,'cause he played basketball and football.
00:01:47,00:01:50,He was a bit sort of carefree about his thumb at times.
00:01:50,00:01:54,"He actually went to the finals of a basketball match,"
00:01:54,00:01:56,having left his thumb back at the hotel
00:01:56,00:01:57,that he stayed at and they had to rescue it.
00:01:57,00:01:59,- That would be awful if you had to hitchhike hold.
00:01:59,00:02:01,(laughing)
00:02:01,00:02:03,"- Well, you could only do it on one side of the road."
00:02:03,00:02:04,(laughing)
00:02:04,00:02:08,"- He actually hated his thumb, his prosthetic thumb."
00:02:08,00:02:09,"Yeah, he tried not to wear it."
00:02:09,00:02:11,So he played basketball without the thumb for ages
00:02:11,00:02:12,"and then one of his coaches said,"
00:02:12,00:02:14,"""You're really good without that."
00:02:14,00:02:15,"""But you'd be even better with it."""
00:02:15,00:02:16,And they made him wear one
00:02:16,00:02:18,and it kept on flying off matches
00:02:18,00:02:20,and he said it made him look like a freak
00:02:20,00:02:22,"'cause you know, it was someone would bash into his thumb"
00:02:22,00:02:23,and it would fly into the crowd.
00:02:23,00:02:25,And so he tried not to wear it
00:02:25,00:02:27,and the coach was adamant.
00:02:27,00:02:30,"And so much so that he said if he wasn't wearing his thumb,"
00:02:30,00:02:32,he wouldn't let the other teammates pass
00:02:32,00:02:35,"to his right hand, which really damaged the game."
00:02:35,00:02:37,So they could only pass to his left hand.
00:02:37,00:02:38,"- Oh, so."
00:02:38,00:02:40,"- Yeah, he wasn't a fan."
00:02:40,00:02:42,- I should say that I got this fact.
00:02:42,00:02:45,It was sent into us by a guy called Michael Buccino.
00:02:45,00:02:48,"He's a listener and again, it's quickly up to say this."
00:02:48,00:02:52,"If you wanna see the finest interview ever, ever recorded,"
00:02:52,00:02:54,"go to YouTube and put in Wiley Brown,"
00:02:54,00:02:56,talking about the high five.
00:02:56,00:02:59,"It is nine minutes of interview where they ask a question,"
00:02:59,00:03:01,"which is, ""So you invented the high five, how was it?"""
00:03:01,00:03:03,"He says, ""Yeah, it's great."""
00:03:03,00:03:05,And then they've got nine minutes more of interview.
00:03:05,00:03:06,- It's too long.
00:03:06,00:03:07,- It's not too long.
00:03:07,00:03:08,- It is.
00:03:08,00:03:09,- I watched it.
00:03:09,00:03:10,"- No, 'cause they run out of questions"
00:03:10,00:03:11,but he does not run out of answers.
00:03:11,00:03:13,He is so enthusiastic.
00:03:13,00:03:16,And he has a new tale for each time the high five started.
00:03:16,00:03:19,"So he did it with Derek Smith, who Wiley Brown says,"
00:03:19,00:03:21,"""Is the actual creator of the high five?"""
00:03:21,00:03:24,Because in all the stories Smith is the one who instigates it.
00:03:24,00:03:27,"So for example, another story is that he said he was going up"
00:03:27,00:03:30,"during practice to Derek Smith to give him a low five,"
00:03:30,00:03:32,"classic low five, as they always did."
00:03:32,00:03:33,"And then he said, ""Out of nowhere,"
00:03:33,00:03:38,"""Smith looked brown in the eye and said, 'No, up high.'"""
00:03:38,00:03:41,"I mean, that's what I can also do."
00:03:41,00:03:44,- There was another theory about who invented the high five.
00:03:44,00:03:46,"- Yeah, it's very controversial, isn't it?"
00:03:46,00:03:51,"- Yeah, so there's a baseball player called Dusty Baker,"
00:03:51,00:03:54,"and another called Glenn Burke, and it's claimed that when Baker"
00:03:54,00:03:55,"was getting back towards the dugout,"
00:03:55,00:03:57,"Burke offered a raised hand and Baker,"
00:03:57,00:04:00,"not knowing what to do, smacked it."
00:04:00,00:04:03,"Again, very much the same sort of amazing foundation moment."
00:04:03,00:04:05,And then Burke went out and he got a home run
00:04:05,00:04:06,and then on the way back he gave him another high five.
00:04:06,00:04:09,And that was in 1977 that that supposedly happened.
00:04:09,00:04:10,- So that's earlier?
00:04:10,00:04:12,"- It's earlier, so that predates."
00:04:12,00:04:13,- Yes.
00:04:13,00:04:14,- Maybe an origin.
00:04:14,00:04:16,"- Do you know Glenn Burke, who you were talking about?"
00:04:16,00:04:17,- Yeah.
00:04:17,00:04:19,- He's famous because he was pretty much the first
00:04:19,00:04:21,major league baseball player to come out as gay.
00:04:21,00:04:24,"And there was a documentary in 2010 called Out,"
00:04:24,00:04:28,"The Glenn Burke Story, and they said that the Dodgers'"
00:04:28,00:04:33,"executives offered him $75,000 to get married,"
00:04:33,00:04:36,because it would cause such a problem if people found out
00:04:36,00:04:38,he was gay while he was still playing.
00:04:38,00:04:39,- No way.
00:04:39,00:04:41,"- And apparently when they said,"
00:04:41,00:04:44,"""Would you take $75,000 to get married?"""
00:04:44,00:04:46,"He said, ""I guess you mean to a woman?"""
00:04:46,00:04:49,It's just quite a good reply.
00:04:49,00:04:51,"- That's a great title for a movie, Out."
00:04:51,00:04:53,I guess you mean to a woman?
00:04:53,00:04:54,"- Oh, right, no, no."
00:04:54,00:04:55,Out.
00:04:55,00:04:57,"- Oh, the actual movie itself."
00:04:57,00:04:59,- Do you think there was any confusion at the start
00:04:59,00:05:01,"when people would say, ""Hey, how's Glenn?"""
00:05:01,00:05:02,"And then you go, ""Oh, he's out."""
00:05:02,00:05:05,"And they go, ""No, he's not, he's still out."""
00:05:05,00:05:07,Just years of playing.
00:05:07,00:05:08,"- Yeah, that's good."
00:05:08,00:05:11,"And then Dusty Baker, just one fact about him,"
00:05:11,00:05:15,he was famous for liking to chew toothpicks.
00:05:15,00:05:18,"He said toothpicks are an excellent source of protein,"
00:05:18,00:05:20,which he was wrong about.
00:05:20,00:05:20,- No.
00:05:20,00:05:23,"- So on high fives, there is a basketball team"
00:05:23,00:05:25,called the Phoenix Sons.
00:05:25,00:05:26,- Yes.
00:05:26,00:05:26,- Has he heard of them?
00:05:26,00:05:27,- Yeah.
00:05:27,00:05:28,"- Is that like saying, there is a football team"
00:05:28,00:05:30,called Manchester United.
00:05:30,00:05:31,"- Yes, it is."
00:05:31,00:05:32,- You're on it.
00:05:32,00:05:38,"- Anyway, these Phoenix Sons in 2016,"
00:05:38,00:05:40,they announced that they were keeping track
00:05:40,00:05:43,"of all the high fives that their team passed to each other,"
00:05:43,00:05:45,"hoping that they would create more camaraderie,"
00:05:45,00:05:47,like throughout the season they did this.
00:05:47,00:05:51,And supposedly teams which embrace the most
00:05:51,00:05:53,in terms of the high fives or other celebrations
00:05:53,00:05:54,are more successful.
00:05:54,00:05:55,"- Yeah, I think it's surely more likely"
00:05:55,00:05:57,"that if you're more successful,"
00:05:57,00:05:59,you score more points than you high fives each other more.
