start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:20,00:00:23,coming to you from the QI offices in Covent Garden.
00:00:23,00:00:28,"My name is Dan Schreiber, and I am sitting here with James Harkin, Andrew Hunter Murray,"
00:00:28,00:00:32,"and Anna Chazinsky, and once again, we have gathered around the microphones with our"
00:00:32,00:00:39,"four favorite facts from the last seven days, and in no particular order, here we go."
00:00:39,00:00:44,"Starting this week with my fact, my fact this week is that at rush hour, there are more"
00:00:44,00:00:49,people under the ground in London than there are above the ground in Edinburgh.
00:00:49,00:00:51,"Wow, that's great."
00:00:51,00:00:52,No.
00:00:52,00:00:53,And you don't mean dead people do you?
00:00:53,00:00:54,"No, I don't."
00:00:54,00:00:58,"I mean, rush hour, I mean the London Underground system."
00:00:58,00:01:03,There are more people on trains below the ground than there are people in total every day.
00:01:03,00:01:08,"Actually, you might have underestimated that because did you count people living in basement"
00:01:08,00:01:09,flats?
00:01:09,00:01:11,"No, I didn't."
00:01:11,00:01:12,You didn't.
00:01:12,00:01:14,I bet there are even more people.
00:01:14,00:01:16,What about dead people?
00:01:16,00:01:17,That's cold.
00:01:17,00:01:19,We can't go there.
00:01:19,00:01:23,"Actually, you know you just said dead people, and vaguely about population."
00:01:23,00:01:27,"I found out this week that the thing about there, this is probably something everyone else"
00:01:27,00:01:28,knows.
00:01:28,00:01:32,But the thing about there being more people alive today than had ever lived in the past is
00:01:32,00:01:34,so far wrong.
00:01:34,00:01:35,It's ridiculously wrong.
00:01:35,00:01:40,"So, you know you always hear that fact, and I think there's something like about 100 billion"
00:01:40,00:01:44,"people have been alive on earth, and obviously there isn't nearly that many people alive today,"
00:01:44,00:01:45,and so it's just rubbish.
00:01:45,00:01:46,Okay.
00:01:46,00:01:47,And let's come from.
00:01:47,00:01:48,Wow.
00:01:48,00:01:49,"Anyway, sorry about to you."
00:01:49,00:01:51,Busted a myth right at the top of the show.
00:01:51,00:01:52,That's exciting.
00:01:52,00:01:53,Is this people on the London Underground?
00:01:53,00:01:54,Yep.
00:01:54,00:01:55,This is people on the London Underground.
