start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"Oh hello and welcome to another episode, and no such thing as a fish, a weekly podcast"
00:00:20,00:00:23,coming to you from the QI offices in Covent Garden.
00:00:23,00:00:28,"My name is Dan Schreiber, I'm sitting here with James Harkin, Andrew Huntamari, and Anna"
00:00:28,00:00:32,"Chazinski, and once again we have gathered around the microphones only this time not with"
00:00:32,00:00:36,"our four favorite facts from the last seven days, but with the best four facts sent in by"
00:00:36,00:00:38,you the listener.
00:00:38,00:00:42,"And so in no particular order, here we go."
00:00:42,00:00:45,"Starting with fact number one, and that is you Chazinski."
00:00:45,00:00:50,"Yeah, my fact was tweeted into us by someone called Owen Nelligan, so thanks for this Owen,"
00:00:50,00:00:54,this fact is that the person who invented the lie detector married the first person he
00:00:54,00:00:55,interrogated with it.
00:00:55,00:00:59,"Did he say will you eventually marry me, and she said no, and then it came up as a lie?"
00:00:59,00:01:01,"Well, it's so close to that."
00:01:01,00:01:05,"According to a book about the history of lie detection and polygraphs, he, so this is"
00:01:05,00:01:11,"a guy called John Augustus Larson, and he was using a lie detector to interrogate Margaret"
00:01:11,00:01:16,"Taylor, and it was about a diamond ring that she'd had stolen, and so the result of the"
00:01:16,00:01:21,"interrogation was that her diamond ring was found and returned to her, and she was so grateful"
00:01:21,00:01:26,that she volunteered her services to him to play criminal in other lie detection tests.
00:01:26,00:01:30,"And then after about a year, apparently he had her on the lie detection test, and he said,"
00:01:30,00:01:31,do you love me?
00:01:31,00:01:35,"And she said no, and it came up as a lie, and she said, did you tell me that?"
00:01:35,00:01:36,That's bullshit.
00:01:36,00:01:37,"Yeah, right."
00:01:37,00:01:40,"But no, no, I really don't."
00:01:40,00:01:41,"Oh, well, the machine's saying it."
00:01:41,00:01:42,"Sorry, what?"
00:01:42,00:01:45,"I got something the machine's saying, and I must do it."
00:01:45,00:01:48,Do you take this man to be a lovely wedding husband?
00:01:48,00:01:49,No.
00:01:49,00:01:51,Sorry.
00:01:51,00:01:56,"Because it made news, the fact that they got married, it was headline news at the time."
00:01:56,00:02:01,"The San Francisco Examiner had it on its front page, it said, inventor of lie detector traps"
00:02:01,00:02:04,bride.
00:02:04,00:02:09,"They had their wedding as well with all the police force there, and yeah, and they played,"
00:02:09,00:02:12,"they played a prank on them, basically immediately after the ceremony."
00:02:12,00:02:13,They beat them up.
00:02:13,00:02:18,"Yeah, they handcuffed them, and they packed them into a patty wagon and just abandoned"
00:02:18,00:02:20,"them in a countryside, just left them."
00:02:20,00:02:21,Yeah.
00:02:21,00:02:22,It's a classic police prank.
00:02:22,00:02:23,Yeah.
00:02:23,00:02:25,So I'm a bit confused about him inventing this thing.
00:02:25,00:02:28,John Augustus last at the man who married the woman he interrogated.
00:02:28,00:02:29,Yes.
00:02:29,00:02:32,"So the invention of lie detector involves several stages, I guess."
00:02:32,00:02:37,But what he did was he integrated a test for blood pressure that had already been invented
00:02:37,00:02:42,"by someone called William Masterson, and he integrated that with a way to measure your"
00:02:42,00:02:47,"pulse, your respiration, and your skin conductivity, and put that all together."
00:02:47,00:02:49,And then that was what became called the polygraph.
00:02:49,00:02:52,So there are lots of different people who might have invented it.
00:02:52,00:02:53,Yes.
00:02:53,00:02:57,If only we had a way of telling who was the real one.
00:02:57,00:03:02,"And you say someone called William Masterson, but William Masterson is hugely famous in the"
00:03:02,00:03:05,world of comic books because he is the inventor of Wonder Woman.
00:03:05,00:03:06,"Oh, yeah."
00:03:06,00:03:07,Yeah.
00:03:07,00:03:11,"So the inventor of the lie detector also, well, the inventor of one of the stages of the"
00:03:11,00:03:14,lie detector also created Wonder Woman.
00:03:14,00:03:19,"And it was his wife, Elizabeth, who helped him sort of connect the dots about the idea of"
00:03:19,00:03:24,emotion and blood pressure being combined as a thing that you could tell people's emotions
00:03:24,00:03:25,from.
