start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"♪ Hello and welcome to another episode, a no such thing as a fish, a weekly podcast"
00:00:19,00:00:23,"coming to you from the QI offices in Covern, Garden."
00:00:23,00:00:27,"My name is Dan Schreiber and I'm sitting here with Andrew Huntamari, Anna Chizinski and"
00:00:27,00:00:31,James Harkin and once again we have gathered around the microphones with our four favorite
00:00:31,00:00:36,facts from the last seven days and in no particular order here we go.
00:00:36,00:00:39,Starting with fact number one and that's my fact.
00:00:39,00:00:44,My fact this week is that the Chinese government are planning on giving their national anthem
00:00:44,00:00:47,a speed limit.
00:00:47,00:00:51,So this is a plan at the moment.
00:00:51,00:00:55,"They haven't enforced it yet, apparently in the next month or so a paper will be proposed"
00:00:55,00:00:56,to enforce this.
00:00:56,00:01:01,They believe that the anthem is being abused by the people singing it.
00:01:01,00:01:02,Really?
00:01:02,00:01:07,"Yeah, they've called it a damaging situation, they're saying it's not universally respected"
00:01:07,00:01:08,and cherished.
00:01:08,00:01:11,"People are laughing when they're singing, they're singing too fast, they're singing"
00:01:11,00:01:12,too slow.
00:01:12,00:01:13,They're singing too furious?
00:01:13,00:01:16,"Yeah, they're singing."
00:01:16,00:01:19,So the song is called March of the Volunteers.
00:01:19,00:01:20,Right.
00:01:20,00:01:25,"It's originally, although anyone not volunteering will be in trouble."
00:01:25,00:01:28,It originally appeared in a movie soundtrack.
00:01:28,00:01:30,It was part of a movie.
00:01:30,00:01:31,The movie was cool.
00:01:31,00:01:36,You're now not allowed to fast forward that movie anymore.
00:01:36,00:01:41,"Yeah, it was in a movie called Children of Trouble Times and it was actually quite a political"
00:01:41,00:01:46,movie and the song was wrote in specifically for it and what ended up happening was people
00:01:46,00:01:50,started singing it and it caught on more and more and people thought this would make
00:01:50,00:01:51,a good anthem.
00:01:51,00:01:52,So it became the official anthem.
00:01:52,00:01:56,How are they going to deal with the laughter issue because you can still laugh at tempo?
00:01:56,00:01:57,You can.
00:01:57,00:01:58,They've got any plan to...
00:01:58,00:01:59,Welcome back.
00:01:59,00:02:03,"Yeah, there's going to be... you're going to get dressed down basically, you'll be criticised"
00:02:03,00:02:04,and corrected.
00:02:04,00:02:06,"What, put in more casual clothes?"
00:02:06,00:02:07,Yeah.
00:02:07,00:02:08,Yeah.
00:02:08,00:02:09,So it's like Mufti Day.
00:02:09,00:02:10,No.
00:02:10,00:02:13,"No, it's different because dress down Friday isn't where you come in and just get told"
00:02:13,00:02:14,off all day.
00:02:14,00:02:18,It is one I do it.
00:02:18,00:02:23,"But interestingly, the Chinese government, they banned their own national anthem three years"
00:02:23,00:02:29,ago from all sorts of places so they said you're not allowed to sing it outside major sporting
00:02:29,00:02:33,events or formal diplomatic occasions so you're not allowed to sing it at your wedding
00:02:33,00:02:37,if you want to or at a funeral or anywhere which has apparently an inappropriate atmosphere.
00:02:37,00:02:38,Right.
00:02:38,00:02:42,Do weddings if you're not allowed to have particularly similar atmospheres?
00:02:42,00:02:50,"So Germany banned their own... some of their own anthem, didn't they?"
00:02:50,00:02:51,"Oh, yeah."
00:02:51,00:02:53,"Wait, I mean like a bit of the song or..."
00:02:53,00:02:57,"Yeah, they banned the first couple of verses because it was associated with the Nazi regime"
00:02:57,00:03:00,and there was that really embarrassing moment.
00:03:00,00:03:05,"I think it was last year or a couple of years ago, it was a US-Germany football match, like"
00:03:05,00:03:08,a friendly football match I think and there was an opera singer there from America called
00:03:08,00:03:12,"Will Kimball who was singing as a mark of respect to the Germans, the German national"
00:03:12,00:03:17,"anthem, but he started singing the lines that were associated only with Nazi Germany."
00:03:17,00:03:19,"With Dutchland, Dutchland, Uber-Allers."
00:03:19,00:03:20,Yeah.
00:03:20,00:03:24,"Which, when you hear those words, you do think immediately of Hitler."
00:03:24,00:03:27,"That's the version I've been singing this whole time, is that really not the version"
00:03:27,00:03:28,anymore?
00:03:28,00:03:29,Yeah.
00:03:29,00:03:30,You're not meant to sing that.
00:03:30,00:03:31,It's the thing.
00:03:31,00:03:32,"It's in German, I didn't know."
00:03:32,00:03:33,I didn't know what I'm singing.
00:03:33,00:03:38,"It's because the only words you know really are Dutch and Dutch and Uber means good, right?"
00:03:38,00:03:39,"Good, yeah."
00:03:39,00:03:43,"So, until you get to that level, it sounds like quite a good lyrics, right?"
00:03:43,00:03:45,What's the word that tips it over?
00:03:45,00:03:47,"There's no word that's bad, it just means Germany, Germany, overall."
00:03:47,00:03:51,"It's just like the fact that Hitler itself is not a bad sound, but the association now"
00:03:51,00:03:55,"with Hitler, the man, made it a name you probably, hopefully, won't call your child."
00:03:55,00:03:56,But I shouldn't.
00:03:56,00:03:59,"And in the same way, the National Anthem was often sung by the Nazis."
00:03:59,00:04:01,So now it's got those bad associations.
00:04:01,00:04:09,"Speaking of people who made National Anthem full par, is it full par or false par?"
00:04:09,00:04:10,I think.
00:04:10,00:04:16,"Have we ever mentioned about opera singer Tony Henry, who's sang the Croatian National Anthem"
00:04:16,00:04:17,before England v. Croatia?
00:04:17,00:04:18,No.
00:04:18,00:04:24,"And instead of singing Milla Cuda C. Planina, meaning my dear, how much we love your mountains,"
00:04:24,00:04:29,"he sang Milla Cura C. Planina, meaning my dear, my penis is a mountain."
00:04:29,00:04:30,Oh.
00:04:30,00:04:33,There was a dozi for Milla I winner.
00:04:33,00:04:34,We spoke about him on the show.
00:04:34,00:04:35,Do you remember his name?
00:04:35,00:04:36,I can't remember his name off the top of my head.
00:04:36,00:04:37,Australia for me.
00:04:37,00:04:38,Not the one who pushed his car.
00:04:38,00:04:39,"Yeah, who won it on foot."
00:04:39,00:04:40,My problem was it.
00:04:40,00:04:41,"Yeah, Jack Rowan."
00:04:41,00:04:43,I think it's him when he won the Formula One once.
00:04:43,00:04:47,"They realized they didn't have the ozzy National Anthem, because they thought it was God save"
00:04:47,00:04:48,the Queen.
00:04:48,00:04:50,"And so they were like, what do we do?"
00:04:50,00:04:54,And all they could think to do was find a drunken trumpet player who just played happy
00:04:54,00:04:55,both days.
00:04:55,00:05:00,It burns amazing.
00:05:00,00:05:04,"In Luxembourg, not in Luxembourg, in the Olympics in 1952 Luxembourg weren't expected to win"
00:05:04,00:05:06,anything.
00:05:06,00:05:10,"And they won the 1500 meters, I think, and they got gold."
00:05:10,00:05:13,"And the band, who was supposed to play all the anthems, hadn't been given the score and"
00:05:13,00:05:16,"didn't know the Luxembourg National Anthem, because they'd all seen the Luxembourg wouldn't"
00:05:16,00:05:17,win anything.
00:05:17,00:05:20,"And you can see a bit of it on YouTube, but they just improvised the whole thing."
00:05:20,00:05:22,They just completely make it up.
00:05:22,00:05:27,"It's like when an actor puts on his resume, yeah, I can speak Hungarian, yeah, definitely."
00:05:27,00:05:29,And he gets to the casting.
00:05:29,00:05:32,I was looking into music in China generally.
