start_hhmmss,end_hhmmss,text
00:00:00,00:00:17,(Theme music playing)
00:00:17,00:00:18,Hello and welcome to another episode of no such thing as a fish.
00:00:18,00:00:23,Comey to you this week from the QI offices in Covent Garden.
00:00:23,00:00:24,My name is Anna Toshinsky.
00:00:24,00:00:29,"I'm sitting here with Andrew Hunter Murray, Alex Bell and James Harkin and once again"
00:00:29,00:00:32,we've gathered around the microphones with our four favourite facts from the last seven
00:00:32,00:00:38,days and in no particular order here we go.
00:00:38,00:00:40,Starting with Alex.
00:00:40,00:00:43,My fact this week is that baby elephants suck their trunks for comfort.
00:00:43,00:00:44,Oh.
00:00:44,00:00:45,It's very sweet.
00:00:45,00:00:47,Is that the response you're going through?
00:00:47,00:00:49,"Yeah, that's what I've got."
00:00:49,00:00:53,In fact adults do all sorts of things with their trunks as well when they're nervous
00:00:53,00:00:54,or they don't know what they're doing.
00:00:54,00:00:58,They will pick their ears or kind of wipe their eyes and you know they do it like humans
00:00:58,00:00:59,do with hands.
00:00:59,00:01:03,So it's just a social thing that they don't know what to do with their trunks.
00:01:03,00:01:08,"Yeah, well actually when baby elephants are born they can't really control their trunks"
00:01:08,00:01:11,the first few days so they just wave around a bit wildly and also it's really sad.
00:01:11,00:01:14,They kind of tread on it and then they kind of scream because it really hurts.
00:01:14,00:01:17,They can't work out where the pain's coming from or how to make it stop.
00:01:17,00:01:19,"Yeah, trunks are amazing."
00:01:19,00:01:23,Did you know that elephants can be left or right trunked even though they've only got one?
00:01:23,00:01:24,What does that mean?
00:01:24,00:01:29,They will have a preference of picking up objects to their left or right from a really early age.
00:01:29,00:01:34,But surely if there is food on the left and they're right trunks they won't starve to death.
00:01:34,00:01:35,"That's true, I don't even know what that means."
00:01:35,00:01:36,"No, but they move over."
00:01:36,00:01:38,Like a tennis player who doesn't have a backhand.
00:01:38,00:01:39,Exactly.
00:01:39,00:01:42,What they'll do is they will turn 340 degrees.
00:01:42,00:01:44,And pick it up with their tail.
00:01:44,00:01:45,"Oh right, no."
00:01:45,00:01:46,That would be 180.
00:01:46,00:01:47,That would be another side of it.
00:01:47,00:01:48,Like a FedEx driver.
00:01:48,00:01:49,Yeah.
00:01:49,00:01:51,Has the FedEx driver thing been in the podcast before?
00:01:51,00:01:53,Is that just going to sound like nonsense to anyone?
00:01:53,00:01:55,"Yeah, you should explain that."
00:01:55,00:01:59,I'll explain it quickly that in America FedEx drivers aren't supposed to turn left.
00:01:59,00:02:02,Instead they just do three right turns to get in the right direction.
00:02:02,00:02:04,And it works because America's on a grid system.
00:02:04,00:02:06,That's what it saves petrol.
00:02:06,00:02:07,It saves petrol.
00:02:07,00:02:08,Yeah.
00:02:08,00:02:11,Because otherwise you're kind of sat there waiting for the traffic to go and go and go.
00:02:11,00:02:13,"So if there's a clear road, right?"
00:02:13,00:02:14,Not allowed Andy.
00:02:14,00:02:15,Not allowed.
00:02:15,00:02:18,"That's like saying, oh, the traffic light was red, but I didn't see anyone coming."
00:02:18,00:02:20,So it went through it anyway.
00:02:20,00:02:25,But the other thing is in America sometimes you're allowed to turn right on traffic lights.
00:02:25,00:02:28,"Even if the traffic lights are red, you're allowed to turn because it's just the rules."
00:02:28,00:02:29,Same in Australia.
00:02:29,00:02:32,It's very bewildering when you're a foreigner and you try to cross a road.
00:02:32,00:02:33,Hang on.
