start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"""Did you know with it, who do I want back at this?"""
00:00:04,00:00:07,"""Did you know with it, who do I want back at this?"""
00:00:07,00:00:08,"""Did you know with it?"""
00:00:08,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly bogguss coming to you from the Kiwai Offices in Covent Garden."
00:00:20,00:00:26,"My name is Lightning and I'm sitting here with James Harkin, Anatozhinsky and Alex Bell."
00:00:26,00:00:31,"And once again, we've gathered around the microphones and we've got you our four favourite facts in the last seven days."
00:00:31,00:00:39,"So in no particular order, here we go, starting this week with my fact, and that is that early ice skating rinks stink of pig fat."
00:00:39,00:00:41,- What? - It's a rank rink.
00:00:41,00:00:50,"- Rank rink, ice rink. - So this is the fact that the very first artificial skating rinks used as kind of ice substitute,"
00:00:50,00:00:55,because they didn't have the technology to make proper fake ice.
00:00:55,00:01:04,"So instead, they used a substitute which consisted of various salts and hoglard and people would skate around on it."
00:01:04,00:01:07,And they also had mounds of hoglard just at the side to look like fake snow.
00:01:07,00:01:11,"Yeah, and it didn't last very long. It lasted six or seven months."
00:01:11,00:01:14,- When did you say that was? - That was in 1844.
00:01:14,00:01:18,"Okay, so that was, and the first one of those was made in 1841, I think, wasn't it?"
00:01:18,00:01:22,"- Yes, sorry. So this was the first one that was properly open to the public."
00:01:22,00:01:27,"- Yeah, the one that was made in 1841 was only six foot by 12 foot, so I don't think."
00:01:27,00:01:29,"- You're not going to play much hockey on that, I mean."
00:01:29,00:01:36,"- That was like his investment lure at one. So he made that first one, and it was basically like the thing you'd take on Dragon's Den to say,"
00:01:36,00:01:40,"""If you give me £10,000 for 10% of the company."""
00:01:40,00:01:44,"- Well, I'm afraid it smells like pig fat, so I'm out."
00:01:44,00:01:47,- It's weird when you see pictures of the olden days.
00:01:47,00:01:52,"So for instance, there's this beautiful picture of one of these early ice rinks from the 1840s,"
00:01:52,00:01:58,"and everyone always looks very kind of, they're all dressed very beautifully, and it always looks lovely, like Jane Austen era,"
00:01:58,00:02:02,"and you can never see the picture of the smell, which was so privated everywhere."
00:02:02,00:02:05,Everything smell of horse manure or pig fat.
00:02:05,00:02:10,- Did you expect that they'd be skating around with like clothes pegs on their noses or stuff like that?
00:02:10,00:02:13,"- Green smoke, lingering above them."
00:02:13,00:02:17,"- Yeah, you can't see the trotters poking up through the ice."
00:02:17,00:02:21,"- Do you remember last year when in Japan, I think we might have mentioned this on our new show in Japan,"
00:02:21,00:02:25,"they filled that ice rink with dead fish, didn't they?"
00:02:25,00:02:27,They got like panties with a dead fish.
00:02:27,00:02:32,"- I look this up again, but I didn't realise at the time when you did this on the show that the Japanese theme park"
00:02:32,00:02:34,"is called Space World, and it's like a space themed theme park."
00:02:34,00:02:37,There's no reason to put fish inside your ice rink.
00:02:37,00:02:42,"- They froze them fast so that you get a kind of whole shoulder fish mid-swim, so it did look quite cool,"
00:02:42,00:02:45,"but then they also spelt out the word ""hello"" and dead fish."
00:02:45,00:02:48,"- When you take a step back from that, that's like, what are you doing?"
00:02:48,00:02:52,"Who thought that was a good idea, how far down the meeting did you lose sight that that was mad"
00:02:52,00:02:56,"when you were like, let's spell out the word ""hello"" of all words in the ice?"
00:02:56,00:02:58,"- At the very least, you could put ""hello"" in Japanese."
00:02:58,00:02:59,"- Oh, was it in English?"
00:02:59,00:03:01,"- Yeah, it wasn't English, wasn't it?"
00:03:01,00:03:01,"- It was, yeah."
00:03:01,00:03:03,"- But they got a massive trouble over that, and then they said, don't worry,"
00:03:03,00:03:09,the fish were already dead before we put them in the ice as though that sort of makes it better.
00:03:09,00:03:13,"- Well, it kind of makes it better, because then it's just like if they were just buying it up as if to eat."
00:03:13,00:03:17,"- But people complained at the time that the fish looked like they'd been frozen in time,"
00:03:17,00:03:19,"they were people saying, it looks like you've just put them in there alive,"
00:03:19,00:03:23,"and they've frozen to death, because their mouths are open and their eyes are big and wide."
00:03:23,00:03:26,"But if you've ever been to a fishmonger, that is just what dead fish look like."
00:03:26,00:03:28,"- I see what you mean, I don't think it's better, I do think it's less bad."
00:03:28,00:03:29,"- Well, that's what that means."
00:03:29,00:03:32,"- Well, I think it's still bad."
00:03:32,00:03:34,"- Do you think, because it was spelled out in English, maybe they thought"
00:03:34,00:03:37,"this is a kind of weird stuff that the Brits are into, isn't it?"
00:03:37,00:03:40,"We'll spell it out in their language, we'll get loads of tourists."
00:03:40,00:03:44,"- Well, they correctly surmised that it was going to be in British tabloid newspapers, didn't they?"
00:03:44,00:03:45,"- They did, well done, Japan."
00:03:45,00:03:48,"- Yeah, maybe they were hoping that it was going to be in Hello Magazine."
00:03:48,00:03:53,Maybe it was sponsored by Hello Magazine.
00:03:53,00:03:58,"- Anyway, yeah, so they didn't have another proper artificial ice rink until 1876,"
00:03:58,00:04:00,and that was when they had actually developed the technology.
00:04:00,00:04:03,But even that one had a layer of cow hair under the ice.
00:04:03,00:04:05,- Did it?
00:04:05,00:04:07,Was that for some kind of sort of cold insulation?
00:04:07,00:04:10,"Because they ran cold types under the ice, didn't they?"
00:04:10,00:04:13,"- You had concrete, the base layer is concrete, and then on top of that,"
00:04:13,00:04:16,"you have layers of earth and wood and cow hair, obviously."
00:04:16,00:04:17,"And then they, on top of that, as you say,"
00:04:17,00:04:20,"and they put these pipes, and they ran a chemical solution through the pipes,"
00:04:20,00:04:25,"which froze the water surrounding the pipes, and it froze the water."
00:04:25,00:04:26,"- Yeah, what was that?"
00:04:26,00:04:26,- That was really cool.
00:04:26,00:04:28,"- They were called Galiciaerians, weren't they?"
00:04:28,00:04:29,- Yeah.
00:04:29,00:04:30,"- Galiciaeria, maybe."
00:04:30,00:04:31,But they were incredible.
00:04:31,00:04:35,"I didn't realise these things existed, and they were, it sounds amazing."
00:04:35,00:04:36,So they were floating.
00:04:36,00:04:41,"There was, I think the second or the third one that this guy, John Gange, who invented them made,"
00:04:41,00:04:44,"was one, a floating one on the tenths, just where the hunger for bridges."
00:04:44,00:04:49,"So it was this big floating ice rink, and it had a glass ceiling that went all over it."
00:04:49,00:04:51,"So it was indoors, glass ceilinged, floating."
00:04:51,00:04:52,Why don't we still have this?
00:04:52,00:04:53,- That's very cool.
