start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"--Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:20,00:00:23,coming to you from the QI offices in Covent Garden.
00:00:23,00:00:28,"My name is Dan Schreiber and I'm sitting here with Anna Chazinski, Andrew Hunter Murray"
00:00:28,00:00:32,"and James Harkin, and once again we have gathered around the microphones with our four favorite"
00:00:32,00:00:38,"facts from the last seven days and in no particular order, here we go, starting with you Chazinski."
00:00:38,00:00:44,"--My fact this week is that in China, you can hire mistress dispellers to lure away your"
00:00:44,00:00:48,husband's mistress. --Yeah --What if your husband
00:00:48,00:00:52,doesn't have a mistress? Do you have to hire a mistress and then hire a mistress dispeller?
00:00:52,00:00:58,--Of course twice as much and it's almost futile. This was a piece of the New Yorker which
00:00:58,00:01:02,"they did on this new thing, which is becoming bigger and bigger, which are these companies"
00:01:02,00:01:06,that call themselves mistress dispellers and if your husband has a mistress that you
00:01:06,00:01:11,"know about and I think people have a lot of men in China are quite unsuttle about it,"
00:01:11,00:01:15,then you go to one of these mistress dispelling services and you say can you sort this out
00:01:15,00:01:21,and they charge tens of thousands of dollars but they do a really comprehensive service.
00:01:21,00:01:27,"They have a psychotherapist, they have lawyers and it's a two-pronged attack, so one psychotherapist"
00:01:27,00:01:32,goes to the mistress and lures her away so for instance there was one case where a mistress
00:01:32,00:01:35,was convinced by the therapist to get a job in a different city.
00:01:35,00:01:40,"--Yeah, they're banned from getting emotionally involved, although there are stories of some"
00:01:40,00:01:43,male mistress dispellers who will start having an affair with the mistress.
00:01:43,00:01:47,"--Yeah and there are lots of different companies so lots of them do different things, so there"
00:01:47,00:01:51,are some companies that say don't get involved but then there are other companies that openly
00:01:51,00:01:55,"say our mistress dispellers are attractive men, they're there to seduce the mistresses."
00:01:55,00:01:57,"--What's up, you guys probably know this, I'm surprised I don't."
00:01:57,00:02:00,What is the male mistress?
00:02:00,00:02:01,--Master.
00:02:01,00:02:02,--Just a master.
00:02:02,00:02:03,--Masterus?
00:02:03,00:02:05,"--Well, mistress is a feminine version of the word master, that's..."
00:02:05,00:02:06,--Yeah.
00:02:06,00:02:07,--But there is no...
