start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:23,to you from the QI offices in Covent Garden.
00:00:23,00:00:28,"My name is Dan Schreiber and I'm sitting here with James Harkin, Anichezinski and Andrew"
00:00:28,00:00:33,Hunter Murray and once again we have gathered around the microphones with our four favorite
00:00:33,00:00:39,facts from the last seven days and in no particular order here we go starting with you
00:00:39,00:00:40,Andy.
00:00:40,00:00:49,My fact is that it takes 10 years to learn how to make artificial sushi to make it well
00:00:49,00:00:54,to make it well sorry any mug can just wait.
00:00:54,00:00:59,My one could get some plasticine and make some fake sushi right?
00:00:59,00:01:05,Not toy sushi as in Japan there's this amazing tradition where basically all restaurants
00:01:05,00:01:11,have their whole menu reproduced in plastic outside the restaurant to lure you in to say
00:01:11,00:01:12,how good this looks.
00:01:12,00:01:15,"Like when people, there's a place around the corner from us that is a restaurant and"
00:01:15,00:01:19,they cook one meal every day and they put it on a table outside and it's just a display
00:01:19,00:01:20,meal.
00:01:20,00:01:23,Oh yes it's a display meal I always wanted to take that display meal because they put
00:01:23,00:01:27,a whole pizza outside and you think why doesn't someone just come along and have this?
00:01:27,00:01:28,I don't get it.
00:01:28,00:01:29,I'm so close.
00:01:29,00:01:30,How has someone not got that?
00:01:30,00:01:31,They must be poisoned right?
00:01:31,00:01:32,And there's a glass of wine.
00:01:32,00:01:33,They must be.
00:01:33,00:01:36,There's a glass of white wine just sitting there.
00:01:36,00:01:38,We're going to take it guys you know who you are.
00:01:38,00:01:39,Have any of you ever eaten in that restaurant?
00:01:39,00:01:40,No.
00:01:40,00:01:41,Oh yes I have.
00:01:41,00:01:42,I have.
00:01:42,00:01:43,It's great.
00:01:43,00:01:44,It's kind of just society isn't it?
00:01:44,00:01:46,You just don't steal things?
00:01:46,00:01:47,Yeah.
00:01:47,00:01:49,I'm not saying it's a bad thing that people don't steal things in general.
00:01:49,00:01:50,Right.
00:01:50,00:01:51,It's a trust exercise.
00:01:51,00:01:52,Yeah.
00:01:52,00:01:53,I don't know what a waste won't it?
00:01:53,00:01:55,It's like taking something out of a bin.
00:01:55,00:01:56,And we all do that.
00:01:56,00:01:57,I guess.
00:01:57,00:02:03,So this is kind of like the equivalent of high street shops having mannequins in the window
