start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"On the other hand, Hello and welcome to another episode of No Such Thing as a Fish, a weekly"
00:00:19,00:00:23,podcast coming to you from the QI offices in Covenant Garden.
00:00:23,00:00:29,"My name is Dan Schreiber, and I am sitting here with James Harcad, Annotzzytski, and Andrew"
00:00:29,00:00:30,Hunter Murray.
00:00:30,00:00:34,"And once again, we have gathered around the microphones with our four favorite facts"
00:00:34,00:00:39,"from the last seven days, and in a particular order, here we go."
00:00:39,00:00:44,"Starting with my fact, my fact this week is that in America, you get traffic jams caused"
00:00:44,00:00:47,by people chasing tornadoes.
00:00:47,00:00:53,"These are people who actively get in cars when they hear a tornado out there in the fields,"
00:00:53,00:00:58,and they try and track it and chase after it in buses and cars and so on.
00:00:58,00:01:01,"And it used to be a very niche thing, but then TV shows started happening, and more and"
00:01:01,00:01:03,more people got into it.
00:01:03,00:01:04,"They still quite niche, isn't that?"
00:01:04,00:01:09,"Quite niche, but big enough that it's clogging up the roads because thousands of people are"
00:01:09,00:01:10,doing it now.
00:01:10,00:01:11,And the rural roads as well.
00:01:11,00:01:12,Yes.
00:01:12,00:01:15,"It's not like you can get there always, sometimes it's just in the middle of a field that"
00:01:15,00:01:16,tornadoes happening.
00:01:16,00:01:18,"I don't really know much about tornadoes, clearly, but..."
00:01:18,00:01:23,"I think they don't adhere to roads and fields, and boundaries in general."
00:01:23,00:01:25,I think they just go where they want to.
00:01:25,00:01:27,"Yeah, it's true."
00:01:27,00:01:32,"I met recently in America, someone in Shelbyville, who was talking about training to become a storm"
00:01:32,00:01:33,chaser.
00:01:33,00:01:37,"She does it for a living now, and she was going to be one of these people who were going"
00:01:37,00:01:38,to look for them.
00:01:38,00:01:39,And it happened.
00:01:39,00:01:42,Her interest was sparked after her entire house was destroyed.
00:01:42,00:01:43,Wow.
00:01:43,00:01:44,Yes.
00:01:44,00:01:48,So they all have these bunkers in America that they go into for tornado shelter.
00:01:48,00:01:49,And they don't have enough.
00:01:49,00:01:52,They're very angry because the government hasn't done enough about it.
00:01:52,00:01:55,But when you say they all do you mean people in tornado alley?
00:01:55,00:01:56,"Yes, yeah."
00:01:56,00:01:57,"Sorry, what's tornado alley?"
00:01:57,00:02:01,"Oh, it's just the area of America where the vast majority of tornadoes happen."
00:02:01,00:02:04,"So it's Kansas kind of area, isn't it?"
00:02:04,00:02:05,"Okay, I didn't know that."
00:02:05,00:02:06,It's the Wizard of Oz.
00:02:06,00:02:07,The Wizard of Oz.
00:02:07,00:02:08,Yeah.
00:02:08,00:02:09,Indeed.
00:02:09,00:02:13,"But so Twister did a lot, the film Twister did a lot for tornado PR, didn't it?"
00:02:13,00:02:14,Yeah.
00:02:14,00:02:15,"That was the big moment, really."
00:02:15,00:02:19,"I think this is where tornado chases first picked up on the idea, and they did loads"
00:02:19,00:02:24,"of research and they got really involved with the, you know, government weather systems team,"
00:02:24,00:02:27,"whatever they're called, the NOAA, I think."
00:02:27,00:02:30,And they had lots of scientists on board the film and Bill Paxton got really into it.
00:02:30,00:02:31,Right.
00:02:31,00:02:34,"And he did a documentary after it about tornadoes, I think."
00:02:34,00:02:38,But there was a really sweet moment early this year because he died in February.
00:02:38,00:02:39,That's right.
00:02:39,00:02:42,"And there's this thing called the Spotter Network, which is this online network that all"
00:02:42,00:02:44,tornado chases are on.
00:02:44,00:02:50,And so the Spotter Network gives a GPS location for where the phone's owner is.
00:02:50,00:02:55,And so all these tornado chases lined up and spelled out the initials BP up tornado alley.
00:02:55,00:02:56,It was petroleum.
00:02:56,00:02:57,Yeah.
00:02:57,00:02:58,And that was weird.
00:02:58,00:03:00,Because Bill Paxton had shares in British petroleum.
00:03:00,00:03:01,"Well, exactly."
00:03:01,00:03:02,Yeah.
00:03:02,00:03:03,But it was huge.
00:03:03,00:03:06,"So I was looking at, I was looking at the initials and people were tweeting it."
00:03:06,00:03:10,And there are all these little green dots for where all the tornado chases are spelling
00:03:10,00:03:11,out BP.
00:03:11,00:03:12,Yeah.
00:03:12,00:03:14,I looked at Google Maps and it was a massive amount of space they were covering.
00:03:14,00:03:17,So the line of the P was 230 miles high.
00:03:17,00:03:18,Really?
00:03:18,00:03:19,Yeah.
00:03:19,00:03:20,Wow.
00:03:20,00:03:21,I thought it was just in a field or something.
00:03:21,00:03:22,Yeah.
00:03:22,00:03:24,But you don't need cars bumper to bumper for 230 miles.
00:03:24,00:03:25,No.
00:03:25,00:03:26,You can't just have two cars.
00:03:26,00:03:27,I'm just checking.
00:03:27,00:03:28,Yeah.
00:03:28,00:03:32,"What you said about they use GPS, I think that's why this is so popular now, isn't it?"
00:03:32,00:03:37,"Because in the olden days, in order to find a tornado, you'd have to go to the weather forecasters"
00:03:37,00:03:40,"and you'd have to, you know, be quite an expert."
00:03:40,00:03:42,"And these days, you just need an app on a car."
00:03:42,00:03:43,Yeah.
00:03:43,00:03:44,You can just find it.
00:03:44,00:03:45,Yeah.
00:03:45,00:03:46,Because you need to know in advance.
00:03:46,00:03:49,"And we just have, we still have really bad tornado forecasting systems, don't we?"
00:03:49,00:03:52,I think the average amount of time between when you're told that there's a tornado coming
00:03:52,00:03:55,towards you and when you have to be out of your house is 13 minutes.
00:03:55,00:03:56,Yes.
00:03:56,00:03:57,Still so.
00:03:57,00:03:59,So this is the big problem with the storm chases.
00:03:59,00:04:04,"People now, if there is a tornado warning in their area, have to be prepared to leave extra"
00:04:04,00:04:08,"early because just trying to flee their houses, they're going to get caught up in the traffic"
00:04:08,00:04:10,of the people actually heading towards the tornado.
00:04:10,00:04:13,They will be heading the other way.
00:04:13,00:04:16,"They just are, yeah, I guess so, but so it'll be fine."
00:04:16,00:04:17,"Oh, yeah."
00:04:17,00:04:19,I don't know if you need to turn left or right.
00:04:19,00:04:20,"Yeah, exactly."
00:04:20,00:04:21,Some roads are.
00:04:21,00:04:22,Yeah.
00:04:22,00:04:25,Have you ever seen a disaster movie like everyone goes in the same direction?
00:04:25,00:04:28,"And if you go in in the opposite direction, you might get eaten by Godzilla, but at least"
00:04:28,00:04:29,you can get that quickly.
00:04:29,00:04:30,"Yeah, that's true."
00:04:30,00:04:34,"But no, you can't because everyone's going to film Godzilla because the Godzilla app"
00:04:34,00:04:35,they've got on their phone.
00:04:35,00:04:36,Yeah.
00:04:36,00:04:38,To extend as much for too far.
00:04:38,00:04:41,"Speaking of movies, did you say you had a load of trivia before we started?"
00:04:41,00:04:45,"That's the fact about Twister, but Anna read it out just now, so was that it?"
00:04:45,00:04:46,The Bill Paxon thing.
00:04:46,00:04:47,I've got one more.
00:04:47,00:04:48,Coming on.
00:04:48,00:04:50,"In the film Twister, do you know what the noise of the tornado was?"
00:04:50,00:04:55,"Oh, I will give you £1,000 if you guess."
00:04:55,00:04:58,Was it the camel's moan that was slowed down?
00:04:58,00:04:59,Yeah.
00:04:59,00:05:07,"So like back details, please do read them out, because I need them to get that thousand pounds"
00:05:07,00:05:08,back.
00:05:08,00:05:10,"Yes, it was a camel's moan slowed down."
00:05:10,00:05:13,How did they make a camel moan?
00:05:13,00:05:16,That sounds like the start of a joke.
00:05:16,00:05:21,So the other one bit of trivia about Twister is that it was the first Hollywood movie released
00:05:21,00:05:22,on DVD.
00:05:22,00:05:23,Really?
00:05:23,00:05:24,No.
00:05:24,00:05:25,That is a good bit of trivia.
00:05:25,00:05:29,"That's cool, because it would have been the first movie to spin as well in order to play"
00:05:29,00:05:30,it.
00:05:30,00:05:31,"Oh, yeah."
00:05:31,00:05:32,Although the spools of a VHS do spin.
00:05:32,00:05:33,"Oh, damn it."
00:05:33,00:05:34,You're right.
00:05:34,00:05:35,Yes.
00:05:35,00:05:36,Sorry.
00:05:36,00:05:38,"They used to have it in the 1980s, a mobile observatory."
00:05:38,00:05:42,So these days they have armoured cars and armoured trucks and things.
00:05:42,00:05:45,Some of them with radar dishes on the back to measure information when the professionals
00:05:45,00:05:46,do it.
00:05:46,00:05:49,"But in the '80s they had one, which was a massive barrel, and they just had to leave it"
00:05:49,00:05:53,"in the path of a tornado, let it gather all the data that way, right?"
00:05:53,00:05:57,"The really cool thing was it was called the Toronto-Tornado Observatory, or..."
00:05:57,00:05:58,"Oh, Toronto."
00:05:58,00:05:59,Toto.
00:05:59,00:06:00,Toto.
00:06:00,00:06:01,Toto.
00:06:01,00:06:02,After the dog in the Wizard of Oz.
00:06:02,00:06:03,Wow.
00:06:03,00:06:04,How nice is that.
00:06:04,00:06:05,Not the band.
00:06:05,00:06:07,"After the band, Toto."
00:06:07,00:06:12,They have the same one in Africa and they called it that after the band.
00:06:12,00:06:18,"Do you know that one way to judge how much wind speed there is in a tornado used to be, whether"
00:06:18,00:06:22,it would strip all the feathers off a chicken?
00:06:22,00:06:26,As if you would have a chicken near one or you would throw a chicken at it?
00:06:26,00:06:32,"They would fire a chicken out of a gun, like a cannon kind of thing towards the tornado"
00:06:32,00:06:34,to see if it would get stripped.
00:06:34,00:06:35,While it was happening.
00:06:35,00:06:36,"While it was happening, yeah."
00:06:36,00:06:39,"And then you go, ""Oh, these chickens have lost all their feathers, so it must have been"
00:06:39,00:06:41,"more than 341 miles per hour."""
00:06:41,00:06:42,"Oh, OK."
00:06:42,00:06:43,It is that reliable?
00:06:43,00:06:44,It's not reliable.
00:06:44,00:06:45,"No, OK."
00:06:45,00:06:50,And the unreliability of it won a 1997 Ignore Bell Prize.
00:06:50,00:06:55,"And it was worked out by Bernard Vonnegut, who's the brother of Kurt Vonnegut."
00:06:55,00:06:56,"Oh, cool."
00:06:56,00:06:57,And so...
00:06:57,00:06:58,That's awesome.
00:06:58,00:07:01,"What happened was, they always used to use this system, and then he realised that there"
00:07:01,00:07:04,are reasons why it might not work.
00:07:04,00:07:09,Because he said that maybe the explosion from the gun might have got rid of all the feathers.
00:07:09,00:07:14,And the other thing is that sometimes chickens have particularly easy to pluck feathers.
00:07:14,00:07:15,Right.
00:07:15,00:07:16,It's cold and flight malt.
00:07:16,00:07:20,"And every now and then, like once a year or something, you can pluck them quite easily."
00:07:20,00:07:23,"So if you get them at the wrong time, you might miscalculate the speed."
00:07:23,00:07:24,Wow.
00:07:24,00:07:29,"I was reading about a different cannon just yesterday, which was meant to fire humans"
00:07:29,00:07:30,out of.
00:07:30,00:07:31,So it's a human cannonball style cannon.
00:07:31,00:07:39,But the idea was for firefighters and people who needed to get some meetings in other buildings.
00:07:39,00:07:40,Yeah.
00:07:40,00:07:41,I never went through.
00:07:41,00:07:42,I was reading it in a new science book.
00:07:42,00:07:43,I'm just too surprised me.
00:07:43,00:07:44,It never went through.
00:07:44,00:07:45,It was a new scientist book.
00:07:45,00:07:46,And it was using...
00:07:46,00:07:47,So it was an air cannon.
00:07:47,00:07:49,The human was inside.
00:07:49,00:07:53,And the idea would be for firefighters if they needed to get to a top of a building that
00:07:53,00:07:56,"would have taken too long, they would have been shot out of the air cannon to the top"
00:07:56,00:07:57,of the building.
00:07:57,00:08:00,Would it not have been a tube that they went through the tube the whole way?
00:08:00,00:08:02,"The word was cannon, yeah."
00:08:02,00:08:03,So.
00:08:03,00:08:04,That's interesting.
00:08:04,00:08:08,"So cannons as in human cannonballs, they usually springs rather than..."
00:08:08,00:08:10,"So the idea was this was air, propulsion."
00:08:10,00:08:11,I have never thought.
00:08:11,00:08:14,I've never considered what actually is the form of propulsion for a human cannonball.
00:08:14,00:08:15,"Well, now you know."
00:08:15,00:08:16,Now I know.
00:08:16,00:08:17,I did always sort of assume it was gunpowder.
00:08:17,00:08:18,Do you?
00:08:18,00:08:23,But it makes no sense.
00:08:23,00:08:27,Have you guys heard about the proposed Great Wall of Kansas?
00:08:27,00:08:28,No.
00:08:28,00:08:29,No.
00:08:29,00:08:30,This is to stop tornadoes.
00:08:30,00:08:31,How big is it?
00:08:31,00:08:39,"It's a thousand feet high, 150 feet wide, and it would cost 60 billion dollars per 100 miles."
00:08:39,00:08:40,This was proposed.
00:08:40,00:08:41,"A thousand feet high, yeah."
00:08:41,00:08:43,This is sort of the Eiffel Tower all the way along.
00:08:43,00:08:46,"This is a physicist from Pennsylvania, I believe."
00:08:46,00:08:47,He presented this.
00:08:47,00:08:49,"No, an engineer then."
00:08:49,00:08:50,No.
00:08:50,00:08:51,No.
00:08:51,00:08:56,"He said, ""If we build three east-west Great Walls in the American Midwest, this is a three"
00:08:56,00:08:57,"wall."""
00:08:57,00:09:01,"So one in North Dakota, one along the border between Kansas and Oklahoma to the east and the"
00:09:01,00:09:07,"third one in South Texas and Louisiana, we will diminish the tornado threats in tornado"
00:09:07,00:09:08,alley forever.
00:09:08,00:09:13,And he was presenting that research in 2014 to the annual meeting of American Physical
00:09:13,00:09:15,Society in Denver.
00:09:15,00:09:18,"Everyone said it's nonsense, obviously."
00:09:18,00:09:21,But he believes that it's a similar thing with mountain ranges and how they concurred
00:09:21,00:09:22,tornadoes.
00:09:22,00:09:24,That's the idea behind it.
00:09:24,00:09:28,"Let's tell you what, if you're a teenager in America and you're looking for a new career,"
00:09:28,00:09:32,"be a massive wall builder, because it seems like, ""Oh, yeah, yeah."""
00:09:32,00:09:33,It's your idea.
00:09:33,00:09:37,"I think if Donald Trump can't pass a 20-foot high wall, then I think the odds are passing"
00:09:37,00:09:41,a thousand foot high wall.
00:09:41,00:09:44,"Hey, do you want to hear about an eclipse, Tracer?"
00:09:44,00:09:45,Yeah.
00:09:45,00:09:46,Yeah.
00:09:46,00:09:47,Two out of three.
00:09:47,00:09:49,"Yes, please, Andy."
00:09:49,00:09:50,Yes.
00:09:50,00:09:51,Quorum.
00:09:51,00:09:53,"No, there are these people."
00:09:53,00:09:56,So America is about to have a massive eclipse on the 21st of August.
00:09:56,00:09:59,It's going to pass across a huge band of America.
00:09:59,00:10:05,"And I think 88 million Americans live within 200 miles, and a lot of those people are expected"
00:10:05,00:10:07,to move towards this band as it moves.
00:10:07,00:10:08,OK.
00:10:08,00:10:11,"But there are certain people who spend their whole lives, all their life savings, everything"
00:10:11,00:10:13,seeing eclipses around the world.
00:10:13,00:10:18,"And one of them is a guy called Mike Kentrianakis, and he works for the American Astronomical Society,"
00:10:18,00:10:22,"which is good, because before that, he was bankrupting himself, traveling around the"
00:10:22,00:10:23,"world, seeing eclipses."
00:10:23,00:10:27,"One of his marriages, I think it may be his first marriage, broke down partly because his"
00:10:27,00:10:30,wife didn't want him to go to Argentina to see an eclipse.
00:10:30,00:10:32,Would she not let him see his son?
00:10:32,00:10:33,Oh!
00:10:33,00:10:34,"Hey, oh!"
00:10:34,00:10:35,Very good.
00:10:35,00:10:36,That's very good.
00:10:36,00:10:41,"But it's got a heartening end, because now he's got this job, and he gets paid to go to"
00:10:41,00:10:42,all the eclipses.
00:10:42,00:10:43,"Yeah, that's really cool."
00:10:43,00:10:44,Or he was spending all his money doing it.
00:10:44,00:10:45,Yeah.
00:10:45,00:10:46,"His marriage is still over, isn't it?"
00:10:46,00:10:47,Yeah.
00:10:47,00:10:50,"I guess if you're purely driven by money, fine."
00:10:50,00:10:53,"But if there are things more important in life, he's lost his family."
00:10:53,00:10:54,"No, no, no, no, no."
00:10:54,00:10:56,"I mean, he may have found love again, we don't know."
00:10:56,00:11:00,"But he said they had other problems as well, but this was just an indication that she wasn't"
00:11:00,00:11:02,able to support the thing he loves more than any other.
00:11:02,00:11:03,Yeah.
00:11:03,00:11:06,"What a weird, I mean, once you see an eclipse, you've seen them all, haven't you?"
00:11:06,00:11:10,"Apparently, it's an incredible experience, and some people, for the first time they experience"
00:11:10,00:11:12,"it, that's all they ever want to do again."
00:11:12,00:11:13,Yeah.
00:11:13,00:11:14,So do you all remember when we had one in the UK?
00:11:14,00:11:15,Yeah.
00:11:15,00:11:16,It was fine.
00:11:16,00:11:17,"Yeah, it was okay, wasn't it?"
00:11:17,00:11:18,Was it total?
00:11:18,00:11:19,Yes.
00:11:19,00:11:21,I think it was cloudy and bit of London.
00:11:21,00:11:25,"Yeah, and the bit where I was, I was in Sheffield, it wasn't quite total there."
00:11:25,00:11:26,But it was pretty total.
00:11:26,00:11:28,I think you had to go to like the silly islands or something.
00:11:28,00:11:31,"Yeah, I was in Cornwall, where it was total, but it was quite cloudy."
00:11:31,00:11:32,So it was.
00:11:32,00:11:36,"I think we've probably said this quote on the show before, but it's worth saying again."
00:11:36,00:11:42,"It was Ian M. Banks who said that if aliens did ever visit us, it would be to watch an"
00:11:42,00:11:46,"eclipse, a total solar eclipse, because the rarity it must be in the universe of having"
00:11:46,00:11:50,a moon and a sun the exact same size that that could happen.
00:11:50,00:11:51,It's a tourist attraction.
00:11:51,00:11:53,That's why they would come to earth.
00:11:53,00:11:54,It's come for the eclipse.
00:11:54,00:11:55,Stay for the Kardashians.
00:11:55,00:11:56,Yeah.
00:11:56,00:12:05,"Okay, it is time for fact number two and that is Andy."
00:12:05,00:12:10,"My fact is, there is a special quarantine centre for chocolate in the English countryside."
