start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:26,to you from the QI offices in Covert Garden. My name is Dan Schreiber and I am sitting
00:00:26,00:00:32,"here with James Harkin, Anna Chazinski and Andrew Hunter Murray and once again we have gathered"
00:00:32,00:00:37,around the microphones of our four favorite facts from the last seven days and in no particular
00:00:37,00:00:42,order here we go. Starting with you Chazinski. My fact this week is that one of the costume
00:00:42,00:00:49,designers on Star Wars also made a mousse suit for scientists to help them sneak up on mousse
00:00:49,00:00:55,or mousse's. Or mousse such. Or mousse. Is mousse such the actual plural?
00:00:55,00:00:58,"Yeah, because it's a Native American word and that's how this particular tribe pluralises"
00:00:58,00:01:01,it. So what's the advantage of sneaking up on a mousse?
00:01:01,00:01:05,"Well if you want to hang out with them, which these scientists did so they were studying"
00:01:05,00:01:08,mousse in the Yellowstone area and I think there was specifically at this time looking at
00:01:08,00:01:12,"how they were responding to predators. So wolves, numbers had declined in Yellowstone and"
00:01:12,00:01:16,mousse had got used to living without them and then I think they'd come back and the scientist
00:01:16,00:01:20,wanted to see if mousse had forgotten how to escape wolves and so then you needed to put
00:01:20,00:01:27,wolf poo and we where mousse lived to check how they responded to the threat. And so this
00:01:27,00:01:32,researcher called Joel Berger asked a woman who worked on the set of Star Wars to make
00:01:32,00:01:35,him a mousse suit so we could go and deposit mousse poo and we around mousse.
00:01:35,00:01:41,"Yeah, because they did used to before the mousse suit came along, did attempt to sort of throw"
00:01:41,00:01:48,balls of poo and we out at the mousse in order to attract them towards it but they couldn't
00:01:48,00:01:51,throw far enough so they ended up just littering the landscape.
00:01:51,00:01:55,"I think they still sometimes use balls, they use snowballs so they get snowballs and they'll"
00:01:55,00:02:00,"put, sometimes they even put human we on because they want to see how they'll deal with"
00:02:00,00:02:04,humans so they'll wee on a snowball and then throw it towards the mousse.
00:02:04,00:02:07,"Yeah, that's right and they would slingshot them as well."
00:02:07,00:02:11,"And Joel Berger wrote about this, he's written a book called The Better To Eat You With and"
00:02:11,00:02:15,"he describes the moment where he first, he had his like there's a eureka moment where"
00:02:15,00:02:20,"he's in the place observing the mousse and he says to his colleague, wait I've had a brilliant"
00:02:20,00:02:24,"idea, I'm going to wee on the snowball but then he says he's run out of wee because he"
00:02:24,00:02:27,recently went to the loo so he just instead of explaining that properly.
00:02:27,00:02:35,I would say you've run out of wee again.
00:02:35,00:02:39,But his wee stockpile was depleted.
00:02:39,00:02:42,So he just made a snowball with his hands and then turned to his colleague and said quick
00:02:42,00:02:46,press on this so I can throw it at the deer.
00:02:46,00:02:49,I think his colleague is his wife is it not?
00:02:49,00:02:53,"This was a male colleague, not his wife, maybe he's got more than one colleague."
00:02:53,00:02:59,"Yeah, probably not after this experiment, probably goes through colleagues quite quickly."
00:02:59,00:03:04,I've been to Yellowstone and seen the mousse and you can drive right up to them and they just
00:03:04,00:03:05,sit there.
00:03:05,00:03:06,Oh yeah.
00:03:06,00:03:07,So I don't know why he needs to sneak up on them.
00:03:07,00:03:09,"Yeah, that's a really good point."
00:03:09,00:03:13,Are they actually yellow stones or are they urine coverage snowballs?
00:03:13,00:03:17,It was just called Stone National Park before he got that.
00:03:17,00:03:18,This is the thing.
00:03:18,00:03:22,So when they do it in the experiments with the snowballs they also use human feces and
00:03:22,00:03:27,they have to use toilet paper I think because they say well we're going to do this in a
00:03:27,00:03:30,safe by a charitable way rather than just pooing into a snowball.
00:03:30,00:03:32,"Yeah, that was interesting."
00:03:32,00:03:35,I think I would take the poo and then put the snowball around it.
00:03:35,00:03:36,That's how you do that.
00:03:36,00:03:40,Who went to the snowball?
00:03:40,00:03:42,Everyone's got different methods James and we'll see who's more effective.
00:03:42,00:03:44,I don't think you'd be very good at this Andy.
00:03:44,00:03:49,I'm lethal in a snowball fight.
00:03:49,00:03:54,You have to wait for the other team to contract dysentery now.
00:03:54,00:03:55,Meanwhile you'll be impelted.
00:03:55,00:03:59,It's a long technique James but come the next snowball match in two days they're going
00:03:59,00:04:02,to lose.
00:04:02,00:04:07,So the idea with this mousse suit is that they wanted to sneak up on the mousse in order to
00:04:07,00:04:13,get close enough by tricking the mousse into thinking they were fellow mousse.
00:04:13,00:04:19,So this is who he did do it with his wife who's written up in all the articles as miscutting
00:04:19,00:04:20,him.
00:04:20,00:04:23,So miscutting him and Dr. Burger got inside the mousse suit.
00:04:23,00:04:24,She was the back.
00:04:24,00:04:27,He was the front and they walked up to the mousse and I don't think the mousse took to them
00:04:27,00:04:29,too well from what I read.
00:04:29,00:04:35,He said it worked quite well in the anti managed five successful deposits but maybe they didn't
00:04:35,00:04:36,like it at first.
00:04:36,00:04:41,Did they make it realistic as in did they push the real wolf droppings that they were testing
00:04:41,00:04:43,the mousse with out of the back end of their costume mousse?
00:04:43,00:04:48,No because they don't want the mousse to think that wolves look like mousse.
00:04:48,00:04:50,All wolves come disguised as mousse.
00:04:50,00:04:53,Yeah to wolf in mousse clothing.
00:04:53,00:04:59,So the mousse have a saying is just a human in mousse clothing to mean and who's shitting
00:04:59,00:05:00,wolf shit.
00:05:00,00:05:04,This is just a way to really confuse a lot of mousse isn't it?
00:05:04,00:05:05,Yeah.
00:05:05,00:05:07,But the mousse wouldn't be able to make the connection between the poo they'd seen coming
00:05:07,00:05:09,out and think smell it and think oh that's what that's.
00:05:09,00:05:10,Of course they would.
00:05:10,00:05:13,Now that's what animals do all the time.
00:05:13,00:05:17,Animals are always smelling poo's and being able to recognise other animals.
00:05:17,00:05:21,But they I don't think that a mousse is clever enough I'm sorry if this is slundering the
00:05:21,00:05:26,mousse community to see a scientist dressed as a mousse pushing a wolf poo out of a fake
00:05:26,00:05:30,mousse costume and then go over and sniff it and think that's a dangerous animal.
