start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,Do you know what that is?
00:00:07,00:00:15,I don't know what that is...
00:00:15,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:23,to you from the QI offices in Covenant Garden.
00:00:23,00:00:29,"My name is Dan Schreiber and I am sitting here with James Harkin, Alex Bell and Anichezinski"
00:00:29,00:00:33,and once again we have gathered around the microphones with our four favorite facts from
00:00:33,00:00:37,the last seven days and in no particular order here we go.
00:00:37,00:00:46,"Starting with my fact this week, my fact is 10% of the UFC is owned by the UAE."
00:00:46,00:00:48,That is quite surprising.
00:00:48,00:00:51,So the UFC stands for Ultimate Fighting Champions.
00:00:51,00:00:52,Yes.
00:00:52,00:00:53,What did UAE stand for?
00:00:53,00:01:01,The United Arab Emirates and 10% of the UFC is owned specifically by Abu Dhabi.
00:01:01,00:01:06,It's a company called Flash Entertainment which is owned by the government and in 2010
00:01:06,00:01:12,they bought 10% of this company which last year or perhaps even early this year was sold
00:01:12,00:01:13,again for four billion.
00:01:13,00:01:17,It's a huge industry now and they've retained their 10%.
00:01:17,00:01:21,"So yeah, a government is part of the Ultimate Hardcore Fighting Machine."
00:01:21,00:01:22,Alright.
00:01:22,00:01:26,So let's explain what UFC is for the uninitiated like me.
00:01:26,00:01:27,Okay.
00:01:27,00:01:32,"Well, if you've been reading the news this week you will see that the biggest boxing match"
00:01:32,00:01:36,for a very long time has happened between a man called Conor McGregor and Floyd Mayweather.
00:01:36,00:01:39,"When you say has happened, it's not happened yet in our universe has it?"
00:01:39,00:01:40,That's true.
00:01:40,00:01:41,We're recording this on a Monday.
00:01:41,00:01:43,You're hearing this from a Friday onwards.
00:01:43,00:01:44,"So yeah, it's..."
00:01:44,00:01:45,Let's take a pun.
00:01:45,00:01:49,I think it's really sad that Conor McGregor died within 10 seconds of adventuring the
00:01:49,00:01:50,UK.
00:01:50,00:01:51,Yeah.
00:01:51,00:01:57,"So Conor McGregor is the UFC fighter in this case, Floyd Mayweather is the boxer and UFC is"
00:01:57,00:02:00,a collection of different disciplines of martial arts brought together in a ring known
