start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hey, everyone. Welcome to this week's episode and no such thing as a fish before we begin."
00:00:05,00:00:08,We just want to let you in on the special guests that we have this week.
00:00:08,00:00:13,He's called Jason Hazley and he is one of the people behind all the funny
00:00:13,00:00:17,things you've probably seen on TV in the last however many years.
00:00:17,00:00:21,He is behind that Michelin web look as one of the writers for that.
00:00:21,00:00:23,He also writes for Charlie Brooker's screen wipe.
00:00:23,00:00:28,He's also the co-writer along with his buddy Joel of the Ladybird books.
00:00:28,00:00:32,Those adult ones have come out of the hipster and the cat and the hangover in the
00:00:32,00:00:33,midlife crisis.
00:00:33,00:00:36,"They've got a whole new batch coming out this October, October the fifth."
00:00:36,00:00:41,So do get them and he is on because he's a really good buddy of ours and he
00:00:41,00:00:43,constantly sends us facts.
00:00:43,00:00:46,And we just saw this guy's going to be amazing on the show and he was as you're
00:00:46,00:00:50,about to hear. So enjoy this week's app. Here we go.
00:00:50,00:01:10,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast"
00:01:10,00:01:13,coming to you from the QI offices in Covert Garden.
00:01:13,00:01:14,My name is Dan Schreiber.
00:01:14,00:01:19,"I am sitting here with Annotch's in Ski, Andrew Hunter Murray and Jason Hazley."
00:01:19,00:01:22,"And once again, we have gathered around the microphones with our four favorite"
00:01:22,00:01:27,"facts from the last seven days and in no particular order, here we go."
00:01:27,00:01:29,"Starting with you, Jason."
00:01:29,00:01:35,My fact is the curator of the British lawnmower museum is allergic to grass.
00:01:35,00:01:42,So is it his mission to destroy all the grass in the world with lawnmowers?
00:01:42,00:01:43,"By mowing it to work. Yeah, exactly."
00:01:43,00:01:44,"Yeah, yeah."
00:01:44,00:01:47,So it's suddenly very hateful back museum.
00:01:48,00:01:51,It's one act of revenge on gigantic scale.
00:01:51,00:01:56,This is a guy called Brian Radham who runs the British lawnmower museum in Southport.
00:01:56,00:01:59,He's an ex lawnmower racing champion.
00:01:59,00:02:02,"Oh, to say I mean he sits on lawnmowers."
00:02:02,00:02:04,"Yes, that's a rather cool race."
00:02:04,00:02:08,But he had to give up racing because it was making him sneeze so much.
00:02:08,00:02:14,"Oh, so, so, but he, so he took his love of lawnmowers and turned it into the British lawnmower museum,"
00:02:14,00:02:17,which is a place to behold. I have to say.
00:02:17,00:02:18,"Have you been to it? Yeah, I have."
00:02:18,00:02:20,"Oh, is it actually really good?"
00:02:20,00:02:24,It's really good because it's one of those odd bits of the British museum
00:02:24,00:02:28,that you sometimes get where you just get lots and lots of iterations of the same thing.
00:02:28,00:02:31,Which just makes it so interesting.
00:02:31,00:02:33,Yeah. So you're saying it's mainly lawnmowers?
00:02:33,00:02:35,"It is mainly lawnmowers, yeah."
00:02:35,00:02:39,"They do have what he calls grass cutters, which are lawnmowers he doesn't like."
00:02:39,00:02:46,"Like the flymo, for instance, because the flymo doesn't have the helical blade that cuts the grass."
00:02:46,00:02:49,It has a thing that spins around and just wax at it.
00:02:49,00:02:51,So he leaves a very unsatisfactory cut.
00:02:51,00:02:55,"So those are grass cutters, according to him, not lawnmowers."
00:02:55,00:02:59,"Right. So this, I, so I know that you've been there"
00:02:59,00:03:02,"because I've read a book that you wrote called ""Bollocks to Alt and Towers."""
00:03:02,00:03:03,"Yes. And that's a chapter in it, right?"
00:03:03,00:03:04,It is. Yeah.
00:03:04,00:03:07,So you did this as part of a big research mission.
00:03:07,00:03:11,"It was, yeah, it was the mission of the books to try and find places to go for a day out"
00:03:11,00:03:15,"that were unexpected, unusual, esoteric, uncommercial."
00:03:15,00:03:16,That sort of thing.
00:03:16,00:03:19,And there's lots and lots of little museums all over Britain.
00:03:19,00:03:22,"You know, there's a pencil museum in Kessik famously."
00:03:22,00:03:22,I've been there.
00:03:22,00:03:23,Which is great.
00:03:23,00:03:24,It is great.
00:03:24,00:03:25,But they had a terrible time.
00:03:25,00:03:27,They were really badly flooded out.
00:03:27,00:03:28,"Now, Kessik does flood, doesn't it?"
