start_hhmmss,end_hhmmss,text
00:00:00,00:00:23,It's a weekly podcast coming to you from the QI offices in Covert Garden.
00:00:23,00:00:28,"My name is Dan Schreiber and I am sitting here with James Harkin, Andrew Hunter Murray,"
00:00:28,00:00:33,"and Alex Bell, and once again we have gathered around the microphones of our four favorite facts"
00:00:33,00:00:39,"from the last seven days, and in no particular order, here we go."
00:00:39,00:00:41,"Starting with you, Alex."
00:00:41,00:00:47,My fact this week is that 1% of the entire planet's wood supply is turned into IKEA furniture.
00:00:47,00:00:48,Bullshit.
00:00:48,00:00:49,That is true.
00:00:49,00:00:54,But they've only got 400 or so shops globally that we haven't been to one.
00:00:54,00:00:55,"Yeah, but they're pretty big."
00:00:55,00:00:58,"Think about how many books there are, right, in the world, and how many trees are needed"
00:00:58,00:00:59,for that.
00:00:59,00:01:03,"So if you think of an Amazon warehouse globally, all the warehouses, surely more wood"
00:01:03,00:01:04,goes there.
00:01:04,00:01:07,I think the amount of volume that passes through those shops is huge.
00:01:07,00:01:10,So one of the reasons that their furniture is so cheap is the way they've packaged it.
00:01:10,00:01:15,"So if you open up an IKEA bookcase package, it's incredibly tightly packed together."
00:01:15,00:01:18,"There's very little polystyrene in it, and that's like part of the reason it's so cheap"
00:01:18,00:01:19,apparently.
00:01:19,00:01:22,"Also, you have to transport it from one place to another, but you're not transporting"
00:01:22,00:01:28,"any air, which is heavy, when you put a lot of it in there, they're wooden lorries."
00:01:28,00:01:36,"So one thing that you can't really flat pack is sofas and armchairs, because they just"
00:01:36,00:01:38,"come as one big object, don't they?"
00:01:38,00:01:43,"And so one way they tried to fix that was by making it inflatable sofas, and by making"
00:01:43,00:01:48,these inflatable sofas they would reduce the use of raw materials by 85% and transport
00:01:48,00:01:49,volume by 90%.
00:01:49,00:01:50,Wow.
00:01:50,00:01:55,"And the idea was you would buy this inflatable sofa, you'd blow it up at home, and then you'd"
00:01:55,00:02:00,"put some cloth over it, and you wouldn't know that it was air."
00:02:00,00:02:01,So basically?
00:02:01,00:02:04,But aren't they effectively manufacturing furniture for bouncy castles?
00:02:04,00:02:10,"Yeah, but bouncy castles are quite comfortable, if you've ever sat on one, you've never watched"
00:02:10,00:02:14,"a whole film on a bouncy castle though, which I do want to do that sometimes."
00:02:14,00:02:15,Who was it who did?
00:02:15,00:02:16,Who was it?
00:02:16,00:02:17,"We'll see, would you?"
00:02:17,00:02:18,"Yeah, we'll see, would you?"
00:02:18,00:02:22,"Our friend comedian, we'll see, did bouncy castle hamlet and bouncy castle mudbeth."
00:02:22,00:02:26,"But in that case, he was acting on the bouncy castle rather than people watching on the bouncy"
00:02:26,00:02:27,castle.
00:02:27,00:02:28,"Yeah, it's true."
00:02:28,00:02:30,"I would go to a bouncy theatre, but that's because a lot of theatre's have very uncomfortable"
00:02:30,00:02:31,seats.
00:02:31,00:02:32,Yeah.
00:02:32,00:02:33,Hang on.
00:02:33,00:02:34,So did this work?
00:02:34,00:02:35,So did this work?
00:02:35,00:02:46,"Well, it did work up to a point in that you could sit on them."
00:02:46,00:02:50,"The problem was they picked up a lot of static electricity, and so they turned into massive"
00:02:50,00:02:54,"dust collectors, so you would be full of dust."
00:02:54,00:02:56,"And also, they didn't really weigh anything."
00:02:56,00:02:58,So it flew too late.
00:02:58,00:02:59,"Yeah, that's basically it."
00:02:59,00:03:01,They would kind of float away from where you left them.
00:03:01,00:03:04,So the one good thing about a sulphur is it's always in the same place.
00:03:04,00:03:05,Yeah.
00:03:05,00:03:09,I think that's the one good thing about a sulphur.
00:03:09,00:03:10,It's one of the good things.
00:03:10,00:03:11,"Oh, sure."
00:03:11,00:03:12,One of them.
00:03:12,00:03:13,Yeah.
00:03:13,00:03:14,So this is like a hover so far.
00:03:14,00:03:15,It was a bit like that.
00:03:15,00:03:19,"The stars, they would all start to gather in one corner of the star."
00:03:19,00:03:23,And one of their works at IKEA said they were like a gathering of swollen hippos.
00:03:23,00:03:24,"Oh, wow."
00:03:24,00:03:29,But can you imagine coming into work and then all of the selfies have moved to one fire?
00:03:29,00:03:30,It's terrifying.
