start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"And welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast coming"
00:00:19,00:00:22,"to you from the QI offices in Covern, Darden."
00:00:22,00:00:27,"My name is Dan Schreiber, I am sitting here with Anna Chazinski, James Harkin and Andrew"
00:00:27,00:00:31,Hunter Murray and once again we have gathered around the microphones with our four favorite
00:00:31,00:00:37,facts from the last seven days and in no particular order here we go.
00:00:37,00:00:39,"Starting with you, James Harkin."
00:00:39,00:00:44,Okay my fat this week is that it used to be thought that you couldn't testify in court
00:00:44,00:00:47,if you'd seen a crime through a window.
00:00:47,00:00:49,This is such an amazing fact.
00:00:49,00:00:50,This is incredible.
00:00:50,00:00:53,But it used to be thought but it wasn't the case.
00:00:53,00:00:58,"Well it certainly wasn't the case in the late 19th, early 20th century when these news"
00:00:58,00:01:06,reports which were sent to me by a guy on Twitter called Richard Tisdale at Ritchie T1892.
00:01:06,00:01:09,I think people often put the date they were born as their number don't they?
00:01:09,00:01:11,But I don't think he was born in 1892.
00:01:11,00:01:14,But this would explain why he knows about four cases from the late 20s.
00:01:14,00:01:15,That's true.
00:01:15,00:01:18,But he sent me a few different articles.
00:01:18,00:01:24,One for instance was an article entitled Extraordinary Belief in Shrewsbury and it was an
00:01:24,00:01:30,1928 report about this person in Shrewsbury who thought they'd seen a crime but they thought
00:01:30,00:01:34,they couldn't really be sure that they'd definitely seen it because it was through a window.
00:01:34,00:01:35,And he sent me some others.
00:01:35,00:01:40,"There was one in Wolverhampton, one in Lincolnshire, one in Ireland and the Irish one gives"
00:01:40,00:01:44,a bit of extra material that it might be that this is because old glass used in windows
00:01:44,00:01:48,was often warped or blurred so maybe in the olden days you couldn't really see through
00:01:48,00:01:49,a window very well.
00:01:49,00:01:54,But then kind of folklore carried on and people actually thought if you saw a crime through
00:01:54,00:01:56,a window you couldn't be a reliable witness.
00:01:56,00:02:01,So always carry out your murders in a greenhouse or?
00:02:01,00:02:05,So these people are just people who saw crimes and didn't report them because they were
00:02:05,00:02:07,like well my testimony will be useless?
00:02:07,00:02:12,Or there were people who were in court and the judge said so did you see the crime and
00:02:12,00:02:15,they said well I kind of saw it.
00:02:15,00:02:17,It was through a window so it might not be true.
00:02:17,00:02:20,This completely invalidates the film rear window as a plot line.
00:02:20,00:02:21,Yeah.
00:02:21,00:02:22,You didn't see anything.
00:02:22,00:02:23,You didn't see shit.
00:02:23,00:02:24,What would have happened to me because I wear glasses.
00:02:24,00:02:26,I've got two windows on my face.
00:02:26,00:02:27,You can't see anything.
00:02:27,00:02:28,You think you can?
00:02:28,00:02:29,Yeah.
00:02:29,00:02:30,Wow.
00:02:30,00:02:31,It's all those crimes.
00:02:31,00:02:35,But it's not the windows were hard to see through because obviously in the very old
00:02:35,00:02:39,in days enough until probably about two to times then yeah as you say glass would warp
00:02:39,00:02:44,and you couldn't really see probably through a window and I think in ancient Rome when
00:02:44,00:02:49,they started making windows out of glass then it wasn't to illuminate a room and it wasn't
00:02:49,00:02:50,so that you could see through it.
00:02:50,00:02:56,It was just for decoration and insulation because the glass was so opaque basically.
00:02:56,00:03:02,Maybe it was because of stained glass so people were sort of reporting Jesus's crucifixion
00:03:02,00:03:06,and then realizing oh no hang on that's just that's part of the window I'm not going
00:03:06,00:03:07,to fall for that again.
00:03:07,00:03:10,I see an actual crime.
00:03:10,00:03:11,Yeah.
00:03:11,00:03:12,No.
00:03:12,00:03:13,Yeah.
00:03:13,00:03:14,"I mean, yeah."
00:03:14,00:03:15,It's a theory isn't it?
00:03:15,00:03:21,We've mentioned before that the Inuit peoples used to use walrus penis membrane as a window.
00:03:21,00:03:22,They did.
00:03:22,00:03:26,And actually I would be quite annoyed if I was successfully prosecuted for crime I committed
00:03:26,00:03:28,through a walrus penis membrane.
00:03:28,00:03:33,Because we've seen pictures of these walrus penis membranes and they're not fully transparent
00:03:33,00:03:37,they're not I would say they're not even slightly transparent.
00:03:37,00:03:43,They also made windows out of oyster shells which again they're not transparent at all but
00:03:43,00:03:47,they kind of let a little bit of light through same with the membrane actually.
00:03:47,00:03:53,So I don't know when something stops being a wall and starts being a window isn't it?
00:03:53,00:03:57,For me oyster shells are just on the wrong side of the divide for each their own.
00:03:57,00:04:02,This is my beautiful new brick window.
00:04:02,00:04:06,Did you ever get told off by your parents with the phrase you make a better door than a
00:04:06,00:04:07,window?
00:04:07,00:04:08,No.
00:04:08,00:04:09,Oh.
00:04:09,00:04:10,As in you're standing in the way.
00:04:10,00:04:13,Basically when I was young and standing in front of the telly in between my parents and
00:04:13,00:04:16,the television they would say you make a better door than a window meaning you are opaque.
00:04:16,00:04:21,But apparently this doesn't now prohibit me from being a window if I choose to be.
00:04:21,00:04:23,Why were you standing in front of the TV?
00:04:23,00:04:29,"Were you like look at me, look at me guys, I'm looking at the TV, I'm a performer, I'm playing"
00:04:29,00:04:30,a door.
00:04:30,00:04:37,I think I was probably closest to the tree for my life to a bit.
