start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"(ding, ding, ding, ding)"
00:00:02,00:00:04,(speaking in foreign language)
00:00:04,00:00:07,"(ding, ding, ding, ding, ding, ding)"
00:00:07,00:00:14,"(ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding)"
00:00:14,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:19,"of ""No Such Thing as a Fish"""
00:00:19,00:00:22,a weekly podcast this week coming to you from Mottagon!
00:00:22,00:00:25,(audience cheering)
00:00:28,00:00:30,- My name is Dan Schreiber
00:00:30,00:00:33,"and I am sitting here with Anna Chazinski,"
00:00:33,00:00:36,"Drew Hunter Murray, and James Harkin,"
00:00:36,00:00:39,"and once again, we have gathered around the microphones"
00:00:39,00:00:42,with our four favorite facts from the last seven days
00:00:42,00:00:45,"and in no particular order, here we go."
00:00:45,00:00:47,"Starting with you, James Harkin."
00:00:47,00:00:52,"- Okay, my fact this week is that in 1766,"
00:00:52,00:00:54,"there was a cheese riot in Nottingham,"
00:00:55,00:00:59,where the mayor of Nottingham was knocked over by a large cheese.
00:00:59,00:01:02,(audience laughing)
00:01:02,00:01:06,- So was the cheese rioting?
00:01:06,00:01:08,(laughing)
00:01:08,00:01:09,How did that work?
00:01:09,00:01:11,"- So what it was is, I mean, I'm preaching to people"
00:01:11,00:01:14,"who know all about this in Nottingham, I'm sure."
00:01:14,00:01:17,"But this was a goosefair, you all know what the goosefair is, right?"
00:01:17,00:01:19,(audience cheering)
00:01:19,00:01:23,"And basically, things became tense when some rude lads"
00:01:24,00:01:27,engage several Lincolnshire traders
00:01:27,00:01:30,who had purchased up to 60 hundred of cheese.
00:01:30,00:01:32,"These aren't my words, by the way, I'm reading."
00:01:32,00:01:34,(audience laughing)
00:01:34,00:01:36,"And basically, what they didn't want to happen"
00:01:36,00:01:39,is that those nasty people from Lincolnshire
00:01:39,00:01:40,come and get all the cheese
00:01:40,00:01:42,and then there's no cheese for people from Nottingham.
00:01:42,00:01:44,So then that kind of started a bit of a riot
00:01:44,00:01:47,"and then suddenly there were crowds running around,"
00:01:47,00:01:50,they were grabbing cheeses and rolling them down the streets.
00:01:50,00:01:52,So they're not like little baby bells
00:01:52,00:01:54,or slices of cheese like you get now.
00:01:54,00:01:56,"They're big wheels of cheese, right?"
00:01:56,00:01:58,"- Although if you released a lot of baby bells,"
00:01:58,00:01:59,that could knock someone over underfoot
00:01:59,00:02:02,by making the ground slippery on the likes.
00:02:02,00:02:02,"- Sure, yeah."
00:02:02,00:02:05,"- I haven't thought about this before, but I feel as if I have."
00:02:05,00:02:07,(audience laughing)
00:02:07,00:02:09,"- And basically, after that, everything kind of kicked off."
00:02:09,00:02:12,So a lot of people went down the river trends
00:02:12,00:02:15,to search for warehouses looking for more cheese.
00:02:15,00:02:17,(audience laughing)
00:02:17,00:02:20,"The next day, a guy was shot by a soldier."
00:02:20,00:02:22,He was trying to defend his cheese.
00:02:23,00:02:26,"I still think too soon, actually, for that."
00:02:26,00:02:27,(audience laughing)
