start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(phone ringing)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:07,(lively music)
00:00:07,00:00:18,- Hello and welcome to another episode
00:00:18,00:00:21,"of No Such Thing as a Fish, a weekly podcast"
00:00:21,00:00:24,this week coming to you live from Manchester!
00:00:24,00:00:27,(audience cheering)
00:00:27,00:00:30,(audience cheering)
00:00:30,00:00:36,- My name is Dan Schreiber and I'm sitting here
00:00:36,00:00:40,"with Anich Zinski, Andrew Hunter Murray and James Harkin."
00:00:40,00:00:42,"And once again, we have gathered around the microphones"
00:00:42,00:00:45,with our four favorite facts from the last seven days
00:00:45,00:00:48,"and in a particular order, here we go."
00:00:48,00:00:50,"Starting with you, James Harkin."
00:00:50,00:00:53,"- Okay, my fact this week is that the first loop,"
00:00:53,00:00:55,the loop roller coaster closed
00:00:55,00:00:58,because so many riders were passing out.
00:00:58,00:01:01,(laughing)
00:01:01,00:01:03,"- Oh, that's the end of the show!"
00:01:03,00:01:05,(laughing)
00:01:05,00:01:07,"- They were passing out, they were passing out."
00:01:07,00:01:10,"This was, so it was on Coney Island, it was in 1901"
00:01:10,00:01:12,"and what it was, it was a loop, the loop."
00:01:12,00:01:13,"I don't know if you would notice this today,"
00:01:13,00:01:15,"if you look at a loop, the loop, they're not circular,"
00:01:15,00:01:18,they're kind of like elliptical things.
00:01:18,00:01:20,"And the reason is, if you have a circular loop, the loop,"
00:01:20,00:01:22,it basically kills you.
00:01:22,00:01:23,(laughing)
00:01:23,00:01:24,Really?
00:01:24,00:01:26,"- Yeah, this one, it's called the Coney Flip Flap"
00:01:26,00:01:29,"and it was giving people, it was,"
00:01:29,00:01:30,(laughing)
00:01:30,00:01:32,it's that rude in Manchester.
00:01:32,00:01:33,- No!
00:01:33,00:01:37,- So the Coney Flip Flap produced 12 G's
00:01:37,00:01:38,of gravitational force.
00:01:38,00:01:40,"- How, how, what is that?"
00:01:40,00:01:42,"- That's, I think, that's a lot."
00:01:42,00:01:44,"- It's about 9G, it's like the maximum"
00:01:44,00:01:48,"that like air jet pilots, fighter pilots ever go up to?"
00:01:48,00:01:49,"- Oh my god, exactly."
00:01:49,00:01:52,"So the biggest, the craziest roller coaster today,"
00:01:52,00:01:53,I think is 6G.
00:01:53,00:01:56,And this was 12 G.
00:01:56,00:01:59,"I mean, it just, basically, you went on it"
00:01:59,00:02:00,"and more often than not, you passed out"
00:02:00,00:02:02,or you got wet plash or whatever.
00:02:02,00:02:05,And they made more money charging spectators
00:02:05,00:02:07,to watch the frighten riders.
00:02:07,00:02:09,(laughing)
00:02:09,00:02:12,- You just put on someone you don't like.
00:02:12,00:02:14,"Oh no, I've bought you the ticket, go on mate,"
00:02:14,00:02:15,you take it.
00:02:15,00:02:16,I'll see you in a bit.
00:02:16,00:02:18,"- That is so funny, right?"
00:02:18,00:02:20,"- I actually read, and I've only just noticed,"
00:02:20,00:02:23,"this is the case, looking at the year in my notes."
00:02:23,00:02:27,But there was a roller coaster in France in 1846
00:02:27,00:02:31,"that did have a loop, but it was just a cart on a track."
00:02:31,00:02:33,But it went fast enough to have a loop there.
00:02:33,00:02:34,"And there were lots of reports about it,"
00:02:34,00:02:37,but people who operated like fairgrounds
00:02:37,00:02:39,or the equivalent then were prone to exaggeration.
00:02:39,00:02:42,"So first of all, all the new stories at the time"
00:02:42,00:02:45,"reported it as going at 150 miles per hour,"
00:02:45,00:02:48,which is as fast as the fastest roller coaster today.
00:02:48,00:02:49,So that's impressive.
00:02:49,00:02:53,"They tested it at the time using sound bags, eggs, and monkeys."
00:02:53,00:02:58,"And, but yeah, apparently they had loops up to 12 meters high,"
00:02:58,00:03:01,"I read in a book called The Incredible Screen Machine,"
00:03:01,00:03:04,but the book also points out that the makers were prone
00:03:04,00:03:05,to massive exaggeration.
00:03:05,00:03:09,They could snap riders next.
00:03:09,00:03:10,- That is bad.
00:03:10,00:03:11,- It put people off.
00:03:11,00:03:12,(laughing)
00:03:12,00:03:14,- You don't want the photo to be going off
00:03:14,00:03:16,just at that moment that you're next up to you.
00:03:16,00:03:18,(laughing)
00:03:18,00:03:20,- You get barrism as the least of your worries at that moment.
00:03:20,00:03:21,(laughing)
00:03:21,00:03:23,"- And those, I think the French ones,"
00:03:23,00:03:26,"it was just, it was a one person loop the loop."
00:03:26,00:03:28,So it was just you in the sled.
00:03:28,00:03:30,"You go down the thing, loop the loop, your neck breaks,"
00:03:30,00:03:32,and then the next person comes in.
00:03:32,00:03:34,- The next person still gets on.
00:03:34,00:03:36,(laughing)
00:03:36,00:03:37,- This is a really cool thing.
00:03:37,00:03:39,"Okay, so Coney Island, they had a load of roller coasters"
00:03:39,00:03:41,"and one of the first ever ones, I think it was called"
00:03:41,00:03:45,"the Switchback, and it was founded by a women's underwear"
00:03:45,00:03:47,magnet called Lamarca's Thompson.
00:03:47,00:03:48,- Yeah.
00:03:48,00:03:50,"- And it was a moral mission, 'cause Coney Island was full"
00:03:50,00:03:55,of alcohol and other immoral attractions.
00:03:55,00:03:58,"- I really struggled not to say the word prostitutes there,"
00:03:58,00:03:59,"didn't I, but."
00:03:59,00:04:00,(laughing)
00:04:00,00:04:02,- It's crazy you avoided it though.
00:04:02,00:04:04,(laughing)
00:04:04,00:04:08,"- And he made a roller coaster, but the thing about it was,"
00:04:08,00:04:11,"it went at 10 miles an hour, which is not especially first,"
00:04:11,00:04:12,and it had to be hand pushed.
00:04:12,00:04:15,"So, you would get, workers would push it to the top"
00:04:15,00:04:18,"of the first hill, everyone gets on, it then goes down"
00:04:18,00:04:20,"to the big slide and then slides along a bit and then stops,"
00:04:20,00:04:23,"everyone gets off, workers have to push it to the top"
00:04:23,00:04:25,"of the next hill, everyone gets back on again."
00:04:25,00:04:26,- Oh wow.
00:04:26,00:04:28,- Did you say it was an underwear magnet though?
00:04:28,00:04:29,- Yeah.
00:04:29,00:04:30,"- And it was a moral mission, 'cause I would have thought"
00:04:30,00:04:32,"that actually, saying about roller coasters,"
00:04:32,00:04:34,"it was an extremely good way to advertise your underwear,"
00:04:34,00:04:34,isn't it?
00:04:34,00:04:38,Because the way it works off when it's on display.
00:04:38,00:04:40,"- So, I don't think I've, I don't think I've,"
00:04:40,00:04:43,"I think I missed that one at Thorpe Park, isn't it?"
00:04:43,00:04:44,(laughing)
00:04:44,00:04:45,- What?
00:04:45,00:04:47,Where have you been taken?
00:04:47,00:04:49,"- I just, my mum used to dangle me out the window"
00:04:49,00:04:51,by my ankles and then tell me we were two people.
00:04:51,00:04:52,- Yeah.
00:04:52,00:04:54,"This guy, Lamarcus Thompson is his name."
00:04:54,00:04:55,He was the inventor of it.
00:04:55,00:04:57,"And as Andy's saying, it was about morals,"
00:04:57,00:05:01,"but specifically, he invented it to stop people"
00:05:01,00:05:04,"from being tempted by Satan, specifically."
00:05:04,00:05:07,"So, he was worried that Satan would get people,"
00:05:07,00:05:08,and he thought this roller coaster
00:05:08,00:05:09,would bring them back to Jesus.
00:05:09,00:05:12,That was genuinely the idea behind the invention
00:05:12,00:05:14,of the Coney Island roller coasters.
00:05:14,00:05:15,- That's cool.
00:05:15,00:05:19,"So, another licentious kind of theme park."
00:05:19,00:05:21,This one hasn't actually opened yet.
00:05:21,00:05:24,"There was, there were hoping to open it this year in Brazil,"
00:05:24,00:05:26,but they haven't opened it because of the political problems
00:05:26,00:05:28,"there and the financial problems,"
00:05:28,00:05:30,but it is a sex themed amusement park
00:05:30,00:05:32,called Enrotica Land.
00:05:32,00:05:35,"Okay, it had penis shaped dodgyms."
00:05:35,00:05:37,"- Oh, but one should be a penis shape"
00:05:37,00:05:39,"and one should be a vagina shape, right?"
00:05:39,00:05:42,"So, when you crash, it's like, oh, that's sexy."
00:05:42,00:05:44,(audience laughing)
00:05:44,00:05:45,Is that sexy?
00:05:45,00:05:49,"- James, ""Aderotica Land,"" everything is sexy."
00:05:49,00:05:51,- And the locals were really worried
00:05:51,00:05:53,"and they thought that maybe, like all of the people"
00:05:53,00:05:55,going to this theme park would just end up having sex
00:05:55,00:05:57,all the time.
00:05:57,00:06:00,"But the guy who was behind the project, Moro Marata,"
00:06:00,00:06:03,said that no one would be having sex in this theme park.
00:06:03,00:06:05,But if attendees do want to take things
00:06:05,00:06:08,"to another level, they can go to a nearby motel,"
00:06:08,00:06:09,which we will operate.
00:06:09,00:06:11,(audience laughing)
00:06:11,00:06:14,"- You know, the king of roller coasters,"
00:06:14,00:06:16,the great lord of roller coaster design
00:06:16,00:06:18,is a guy called Ron Tumor.
00:06:18,00:06:20,"He died a couple of years ago, I think in 2011,"
00:06:20,00:06:23,but he couldn't go on roller coasters himself.
00:06:23,00:06:26,"So he got extreme motion sickness,"
00:06:26,00:06:27,but he's the person who's pioneered
00:06:27,00:06:29,"every roller coaster design, you know,"
00:06:29,00:06:33,"any kind of spin, loop, the loops, all that kind of stuff."
00:06:33,00:06:35,"And he himself said, riding roller coasters"
00:06:35,00:06:38,never really appealed to me.
00:06:38,00:06:40,I rode once or twice and that was enough for me
00:06:40,00:06:42,to get a general idea of what it felt like.
00:06:42,00:06:43,- Wow.
00:06:43,00:06:45,- And then he designed like 93 roller coasters.
00:06:45,00:06:47,And he also designed a heat shield
00:06:47,00:06:49,for the Apollo spacecraft missions.
00:06:49,00:06:50,- No.
00:06:50,00:06:51,"- Yeah, sure did."
00:06:51,00:06:52,"- Wow, wow."
00:06:52,00:06:54,- Have you heard of a guy called Richard Rodriguez?
00:06:54,00:06:55,- No. - He's so cool.
00:06:55,00:06:57,"So he has spent his whole life,"
00:06:57,00:07:01,"pretty much on roller coasters, i.e. in 2007,"
00:07:01,00:07:04,he spent 17 consecutive days and nights
00:07:04,00:07:06,in blackpool on a roller coaster.
00:07:06,00:07:09,"- 17 days, he slept on there, he ate on there."
00:07:09,00:07:11,"He took a five minute break every hour,"
00:07:11,00:07:13,just a shower or go to the Lou.
00:07:13,00:07:16,"- Well throw up, presumably."
00:07:16,00:07:18,- But he's been doing this since 1977.
00:07:18,00:07:19,- Wow.
00:07:19,00:07:20,- And he keeps on breaking his own record.
00:07:20,00:07:23,"In 1977, he did four days in Coney Island."
00:07:23,00:07:25,And he trained himself by sticking his head out
00:07:25,00:07:27,of a car window for hours on end.
00:07:27,00:07:29,(laughing)
00:07:29,00:07:30,Like a dog.
00:07:30,00:07:32,- Do you know what the oldest
00:07:32,00:07:34,operating roller coaster is?
00:07:34,00:07:35,The oldest continually operating one.
00:07:35,00:07:36,- No.
