start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[MUSIC]
00:00:13,00:00:23,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live from Coventry!"
00:00:23,00:00:30,[APPLAUSE]
00:00:30,00:00:42,"My name is Dan Schreiber, and I am sitting here with Annotzzynski, Andrew Hunter Murray, and James Harkin, and once again someone is still clapping."
00:00:42,00:00:44,What is going on there?
00:00:44,00:00:53,"And once again we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:00:53,00:01:09,"Starting this week with my fact, my fact this week is that in the annual Lady Godiva parade, which famously celebrates a lady who rode naked through Coventry, not only does the rider always wear clothes, but one year even the horse wore trousers."
00:01:09,00:01:11,[LAUGHTER]
00:01:11,00:01:13,It's the trousered horse.
00:01:13,00:01:21,"How did the horse wear the trousers? Did it wear them over its back end, or did it wear them on all four legs?"
00:01:21,00:01:23,It had all four legs.
00:01:23,00:01:25,"There's a photo, you can see it."
00:01:25,00:01:27,So it actually wore two pairs of trousers?
00:01:27,00:01:29,"Yeah, it wore two pairs of trousers."
00:01:29,00:01:31,"Yeah, that's true."
00:01:31,00:01:34,"That's amazing, and it was in the early 20th century, right?"
00:01:34,00:01:36,It was 1919.
00:01:36,00:01:42,"It was a Lady Godiva parade, and amazingly these beautiful photos that you can see of the event."
00:01:42,00:01:48,"They are. I think she was an actress called Gladys Mann, which is ironic because she's a woman, and she..."
00:01:48,00:01:54,"Actually, wasn't it true that the first Lady Godiva's who did these things were all men?"
00:01:54,00:01:55,Why didn't I?
00:01:55,00:02:00,"I think they were. Yeah, the first one was we know he was the son of James Swinnerton."
00:02:00,00:02:02,Don't know what his name was.
00:02:02,00:02:04,Wow. Do you know what it was?
00:02:04,00:02:06,"What an irritating thing to be called, going through life."
00:02:06,00:02:08,"Hello, I'm the son of James Swinnerton."
00:02:08,00:02:10,Do you have a name?
00:02:10,00:02:11,"Yes, that's my name."
00:02:11,00:02:15,He was paid 15 shillings to do that.
00:02:15,00:02:19,"But it's been kind of sporadic, hasn't it, that Lady Godiva parades throughout history,"
00:02:19,00:02:23,"and they've been variously banned and then dropped, and they've come back."
00:02:23,00:02:25,"In the 19th century, I think they really caught on them."
00:02:25,00:02:31,"People were parading through the streets, and in the 1840s, they really became a big thing again,"
00:02:31,00:02:34,and there'd be someone cast as Lady Godiva every time.
00:02:34,00:02:38,"And at first, it would be someone who was made to appear like she was naked."
00:02:38,00:02:44,"In 1842, there was an actress or a performer who was wearing a tight-fitting, flesh-colored dress,"
00:02:44,00:02:47,"like a kind of a onesie, but to make it look like she's naked."
00:02:47,00:02:50,And then people were outraged. They were all these complaints.
00:02:50,00:02:55,"And I was looking in the British newspaper archive, and they were saying it's depraved, you know,"
00:02:55,00:03:00,it's encouraged the profligate youth of Coventry to gratify a depraved taste.
00:03:00,00:03:03,Only profligate youth of Coventry in tonight?
00:03:03,00:03:09,"They referred to her as a brazen harlot, the poor poor woman who dressed in a onesie on horseback."
00:03:09,00:03:14,"I read someone referred to, it was a bishop of Worcester, who referred to her as a Birmingham whore"
00:03:14,00:03:16,being paraded through the streets.
00:03:16,00:03:21,And it seemed like he was more bothered that she was from Birmingham than anything.
00:03:21,00:03:24,We should very quickly say who Lady Godiva was or wasn't.
00:03:24,00:03:29,"So the idea is just for anyone listening overseas, she was a noble woman,"
00:03:29,00:03:35,"and in protest against her husband raising taxes, she rode through the streets of Coventry,"
00:03:35,00:03:41,"naked, except for her very long hair, which she had woven into a kind of hair bikini."
00:03:41,00:03:42,"No, that's not true."
00:03:42,00:03:43,[LAUGHTER]
00:03:43,00:03:46,"So that's the idea, and that she was trying to persuade him to lower the taxes."
00:03:46,00:03:47,"Well, we don't think it happened."
00:03:47,00:03:48,No.
00:03:48,00:03:54,"It's probably a myth. It was in the 11th century, but I think the first reference to it was about 200 years later."
00:03:54,00:03:57,"But it's a myth that's, you know, very much still celebrated."
00:03:57,00:04:03,"In the Olympics, there was a 20-foot tall Lady Godiva built."
00:04:03,00:04:07,And it traveled on a purpose built 50-seat bicycle.
00:04:07,00:04:09,Because it was transported down to London.
00:04:09,00:04:10,Wow.
00:04:10,00:04:14,"And then back again, it briefly got stuck going around the ring road on a tight bend."
00:04:14,00:04:15,[LAUGHTER]
00:04:15,00:04:21,And the woman who ran the company said that Lady Godiva had suffered a little bit of whiplash from tree branches
00:04:21,00:04:23,and suffered rain damage and some scratches.
00:04:23,00:04:27,"And she added, she looked like she'd had the best night out."
00:04:27,00:04:29,[LAUGHTER]
00:04:29,00:04:33,The other thing about it being a myth is that basically it was against taxes.
00:04:33,00:04:36,But people have looked back at what Coventry was like back then.
00:04:36,00:04:40,And probably the people who were here weren't really bothered about taxes.
00:04:40,00:04:48,"One person said that in those days, Coventry was just an inconsequential group of surfs living in single-story hovels."
00:04:48,00:04:54,"Whereas Coventry now has two-story buildings, I think."
00:04:54,00:04:56,Very bold.
00:04:56,00:04:57,I know.
00:04:57,00:04:58,So brave.
00:04:58,00:05:03,"I literally was about to pack my stuff up and go, OK, that's the evening over."
00:05:03,00:05:08,So you were saying about the skin type clothing being seen as a bit of a disgrace.
00:05:08,00:05:14,I read a story that it caused a lot of chaos because people thought that she was naked.
00:05:14,00:05:19,"Therefore, everyone who came to see the parade suddenly really wanted to get close to see the parade."
00:05:19,00:05:24,And riots sort of broke out and people fought each other because they thought there was a naked person on the horse.
00:05:24,00:05:25,Yeah.
00:05:25,00:05:30,That was one of the reasons I think it was considered so immoral in Victorian era.
00:05:30,00:05:31,"Yeah, because these riots started."
00:05:31,00:05:34,Everyone got really pissed and they stared at this maybe naked woman.
00:05:34,00:05:38,"And then they all got really drunk and descended into debauchery at night, apparently."
00:05:38,00:05:39,Wow.
00:05:39,00:05:43,"And every year they'd be like, this year she's definitely going to be naked as she never was."
00:05:43,00:05:45,You heard of a pruporetta?
00:05:45,00:05:46,No.
00:05:46,00:05:48,Is that only heard of pruporetta?
00:05:48,00:05:49,Yeah.
00:05:49,00:05:52,"So for 25 years in a row, she was the same Lady Godiva."
00:05:52,00:05:56,She was the Lady Godiva more than the original Lady Godiva who only did it once.
00:05:56,00:05:58,Pruporetta did it 25 times.
00:05:58,00:05:59,Or even no times.
00:05:59,00:06:01,Lady Godiva didn't even do it.
00:06:01,00:06:03,Pruporetta is the real Lady Godiva.
00:06:03,00:06:05,And she got an MBE for her troubles.
00:06:05,00:06:06,Yeah.
00:06:06,00:06:08,She's only recently retired from the game.
00:06:08,00:06:09,What did they pin it to?
00:06:09,00:06:18,I guess that there might be quite a lot of Godiva businesses in Coventry.
00:06:18,00:06:22,So I checked on the internet and I was not disappointed.
00:06:22,00:06:25,There is Godiva fire extinguishers.
00:06:25,00:06:26,Godiva granite.
00:06:26,00:06:27,Godiva insurance.
00:06:27,00:06:28,Godiva windows.
00:06:28,00:06:29,Godiva fish shop.
00:06:29,00:06:31,Godiva dentists.
00:06:31,00:06:32,Animal care.
00:06:32,00:06:33,Chiropractors.
00:06:33,00:06:34,Glass wines.
00:06:34,00:06:35,Hypnotherapy.
00:06:35,00:06:36,Plumbing.
00:06:36,00:06:37,Fencing.
00:06:37,00:06:38,Cafe.
00:06:38,00:06:39,Barbers.
00:06:39,00:06:40,Carpets.
00:06:40,00:06:41,And Godiva tailoring.
00:06:41,00:06:42,Wow.
00:06:42,00:06:43,Which I love.
00:06:43,00:06:44,It's somebody who has no clothes.
00:06:44,00:06:45,I think it's brilliant.
00:06:45,00:06:46,Yeah.
00:06:46,00:06:48,Let's get your clothes off to get those measurements.
00:06:48,00:06:49,You're done.
00:06:49,00:06:51,I also think a very clever thing.
00:06:51,00:06:53,I don't know if Godiva windows has done this.
00:06:53,00:06:59,But what I would have done is the whole point of Godiva was that all the people who lived in Coventry
00:06:59,00:07:01,"had to go inside and not look at her, right?"
00:07:01,00:07:06,And the story of peeping Tom comes from the Lady Godiva story because he snuck out
00:07:06,00:07:09,and did try to catch a glimpse and then he was blinded.
00:07:09,00:07:16,"And so, if you were making Godiva windows, you should actually make opaque windows."
00:07:16,00:07:18,And I don't know if they do that as a business.
00:07:18,00:07:21,"I don't know if that would be particularly fruitful, but that's what I would do."
00:07:21,00:07:24,"So, like doors, basically."
00:07:24,00:07:27,(Laughter)
00:07:27,00:07:29,Those door windows.
00:07:29,00:07:33,"I mean, that's what they call doors in Coventry."
00:07:33,00:07:37,I did a little bit on naked protests.
00:07:37,00:07:38,"Oh, okay."
00:07:38,00:07:43,"So, because people keep on protesting as Lady Godiva."
00:07:43,00:07:48,"So, this May in Gloucester, a woman called Anna Dart, rode a horse dressed only in body paint."
00:07:48,00:07:50,She was dressed in body paint.
00:07:50,00:07:51,Not the horse.
00:07:51,00:07:55,"The horse didn't even bother wearing body paint, disgusting."
00:07:55,00:08:00,To protest against Gloucestershire County Council's planned new incinerator.
00:08:00,00:08:03,(Laughter)
00:08:03,00:08:07,"In 2011, a man dressed as Lady Godiva and he rode through the Lancashire village of Holtan"
00:08:07,00:08:12,to protest against new Haitian to M6 Link Road.
00:08:12,00:08:16,"And, my favourite one, in 2006, a dozen people in a Canadian town,"
00:08:16,00:08:18,"it's called Lida, in Saskatchewan."
00:08:18,00:08:22,They posed naked in potholes on a local highway
00:08:22,00:08:25,"and then made a calendar, a nude calendar of themselves,"
00:08:25,00:08:29,in these potholes to spread the message that they wanted the council to fix the potholes.
00:08:29,00:08:30,(Laughter)
00:08:30,00:08:33,"And the local organizer, the organizer, the guy behind it,"
00:08:33,00:08:36,"said that most of the people in the calendar were very reluctant,"
00:08:36,00:08:39,"but he did add there was one guy, we couldn't get him to keep his clothes on."
00:08:39,00:08:41,(Laughter)
00:08:41,00:08:46,"And the Guardian reported that just four years later, the highway was repaired."
00:08:46,00:08:47,(Laughter)
00:08:47,00:08:50,"So, it absolutely works like a charm."
00:08:50,00:08:55,"I read a thing about in France, there's a small town that has been having a problem with their naked hero,"
00:08:55,00:09:01,"which is Heracles, and basically they have a statue of him naked,"
00:09:01,00:09:08,but the town seems to have a lot of cheeky vandals who keep chiseling the penis off of the naked god.
00:09:08,00:09:11,"And so, what they did was they kept replacing it,"
00:09:11,00:09:15,"and then they'd come back a few days later or whatever,"
00:09:15,00:09:19,"someone again, cheeky chiseler comes along and takes away the penis,"
00:09:19,00:09:21,"and they were like, we don't know what to do."
00:09:21,00:09:24,"So, what they ended up doing, because it was a very important spot where they do a lot of ceremonies,"
00:09:24,00:09:31,"they made a sort of extra special penis that they then, whenever they do a ceremony,"
00:09:31,00:09:34,"just before the ceremony starts, they come up to it, put the penis on,"
00:09:34,00:09:38,"and they're like, there's going to be a ceremony today, and they guard it,"
00:09:38,00:09:41,"and then they do the ceremony, and once whatever the ribbons been cut or whatever,"
00:09:41,00:09:44,"they go, thank you all good night, and then they take the penis off again,"
00:09:44,00:09:45,and bring it back to the office.
00:09:45,00:09:50,"So, it's a ceremonial penis that is constantly attached for important days."
00:09:50,00:09:51,Did you say that was in France?
00:09:51,00:09:55,"Yeah, it was. It was a town called Arcacheon."
00:09:55,00:09:57,Sure.
