start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hey everyone, before we start this week's show, we just want to remind you that we have a little documentary on the internet, don't we?"
00:00:06,00:00:11,"We sure do. It's not quite as hard-hitting as Louis the Roof, but there may be a couple more gags in it."
00:00:11,00:00:19,It's the behind-the-scenes look at our tour from last year when we were stalked with the camera and they filmed us doing japes and stuff.
00:00:19,00:00:26,"Yeah, there's loads of behind-the-scenes, bits and pieces, there's loads of interviews with us, there's little bits from the show, it's really, really fun."
00:00:26,00:00:36,"You can get it on the internet, it's called Behind the Gills, you can get it on Apple, Google, Amazon, Ask Jeeps, MySpace and all those places where you get stuff from."
00:00:36,00:00:38,"Yeah, okay, I'm on the show."
00:00:52,00:00:59,"Hello and welcome to another episode of Moxupt's Thing as a Fish, a weekly podcast coming to you from the QI offices in Covent Garden."
00:00:59,00:01:04,"My name is Andrew Hunter Murray and I'm sitting here with James Harkin, Anna Tajinsky and Alex Bell."
00:01:04,00:01:13,"And once again, we have gathered around the microphones with our four favourite facts from the last seven days, starting with James."
00:01:13,00:01:20,"Okay, my fact this week is that if all the bacteria in the world disappeared, we wouldn't notice for about a week."
00:01:20,00:01:26,Would scientists notice in a lab if they were studying bacteria?
00:01:26,00:01:28,Yes.
00:01:28,00:01:31,Would they just think that they must be down the other end of the Petri dish today?
00:01:31,00:01:33,They are small.
00:01:33,00:01:38,But I think I'm talking more of the day-to-day person going about their life.
00:01:38,00:01:45,So this anyway is from a paper it's called Life in a World Without Microbes by Jack A. Gilbert and Josh D. Neufeld.
00:01:45,00:01:47,"And it's absolutely brilliant, I love it."
00:01:47,00:01:57,In this paper they say it would take us nearly a week to realise what had happened and then that they predict complete societal collapse only within a year or so.
00:01:57,00:01:58,"Oh, that's good."
00:01:58,00:02:02,"So the first week, you don't know to say anything and then 51 weeks later..."
00:02:02,00:02:03,I thought downhill.
00:02:03,00:02:05,The whole of society collapses.
00:02:05,00:02:07,So that 51 weeks is really horrible.
00:02:07,00:02:10,"I reckon it would be, probably get progressively worse."
00:02:10,00:02:12,And you know the end is night.
00:02:12,00:02:24,"They say then annihilation of most humans and non-microscopic life on the planet would follow a prolonged period of starvation disease unrest, civil war, anarchy, and global biogeochemical asphyxiation."
00:02:24,00:02:27,But would you then 90% of that already with the bacteria?
00:02:27,00:02:28,That's true.
00:02:28,00:02:30,"But for the first week, it's fine."
00:02:30,00:02:31,We're okay.
00:02:31,00:02:32,Yeah.
00:02:32,00:02:37,"So the thing is, let's think, what is there that we need microbes for and bacteria?"
00:02:37,00:02:39,"So they're in your stomach, right?"
00:02:39,00:02:40,And they help you digest things.
00:02:40,00:02:41,Okay.
00:02:41,00:02:45,"But I found it really weird that you don't need, humans don't actually need them."
00:02:45,00:02:46,Exactly.
00:02:46,00:02:50,"We could be unwell without them or we could find it harder to digest things, but we can survive without bacteria."
00:02:50,00:02:53,"I read that and I can quite believe it, because I thought we sure we must need them."
00:02:53,00:02:55,"I think we just get constipated, wouldn't we?"
00:02:55,00:02:56,Yeah.
00:02:56,00:02:58,"So there are some animals which do need them, aren't there?"
00:02:58,00:03:00,Although no one has said that.
00:03:00,00:03:02,"Okay, for the first week we might be constipated."
00:03:02,00:03:03,Okay.
00:03:03,00:03:09,"But at least it's not prolonged period of starvation disease unrest, civil war, anarchy, and global biogeochemical asphyxiation."
00:03:09,00:03:13,"Depends how bad your constipation is as well, you know?"
00:03:13,00:03:20,"So yes, animals do need it, so cows would need it, for instance, because they can't digest cellulose without microbes."
00:03:20,00:03:23,And a few other animals would as well.
00:03:23,00:03:27,"But basically, eventually what would happen is all the nitrogen wouldn't be able to be fixed."
00:03:27,00:03:31,"The nitrogen cycle would stop, which is something that we need for life."
00:03:31,00:03:36,So the plant all plants use that and then so the plants are going to die out.
00:03:36,00:03:42,"Yeah, basically that life needs nitrogen and it goes around in the cycle like what it does."
00:03:42,00:03:49,"But without the microbes that would stop, which means that the oceans would get full of nitrogen, which means all the fish would die."
00:03:49,00:03:52,We'd struggle to make oxygen as well because a lot of microbes make oxygen.
00:03:52,00:03:54,So a lot of bad things would happen.
00:03:54,00:03:56,And there's been a week too.
00:03:56,00:04:03,"And there's been oftentimes everything is dying, and so nitrogen isn't being produced, but all the dead things just stay there."
00:04:03,00:04:08,"Yes, it basically means that we need the mushrooms, and I hate to say this."
00:04:08,00:04:09,"Well, we need the fungi."
00:04:09,00:04:13,"If all the microbes die and they can't break anything down, the only thing left to break things down is the mushrooms."
00:04:13,00:04:15,They step in and save us.
00:04:15,00:04:16,Who'd have thought it?
00:04:16,00:04:19,It's not an action film. I especially want to say.
00:04:19,00:04:21,Would your poo stop smelling?
00:04:21,00:04:23,"Well, and your sweat."
00:04:23,00:04:25,I think that's one of the real bonuses of week one.
00:04:25,00:04:28,Is that the smell of sweat is just caused by all the bacteria.
00:04:28,00:04:29,That's true.
00:04:29,00:04:30,And so we would smell great from you.
00:04:30,00:04:35,"You're constipated, so it doesn't really matter whether your poo smells or not."
00:04:35,00:04:37,"No, that is true."
00:04:37,00:04:38,That would happen.
00:04:38,00:04:42,"So Louis Pasteur, the famous guy, scientist guy."
00:04:42,00:04:44,For the sound of this Wikipedia page.
00:04:44,00:04:51,"He thought that we needed bacteria to live in microorganisms, otherwise we'd all die."
00:04:51,00:04:54,"And then a bit after him, two guys came along."
00:04:54,00:04:58,"Ten years later, two guys came along called George Nuttall and Hans Thurfelder."
00:04:58,00:05:03,He disproved it by getting a guinea pig and getting rid of all its bacteria and microbes
00:05:03,00:05:05,and the guinea pig still managed to live.
00:05:05,00:05:07,How did they do that?
00:05:07,00:05:10,"Well, I reckon there was probably a lot of antibiotics involved."
00:05:10,00:05:12,They didn't just give it a shower.
00:05:12,00:05:14,I reckon there was a shower involved.
00:05:14,00:05:16,"Yeah, you might as well soak it down."
00:05:16,00:05:17,"There must have been, right?"
00:05:17,00:05:18,Yeah.
00:05:18,00:05:20,And this is called nobiotic living.
00:05:20,00:05:22,"G-N-O, nobiotic."
00:05:22,00:05:23,Get this.
00:05:23,00:05:25,There is a place in the world where this has kind of happened.
00:05:25,00:05:29,"Your horror scenario, James, so it's in Chernobyl."
00:05:29,00:05:34,Lots of microbes and fungi got contamination and they died.
00:05:34,00:05:38,"And as a result, there are loads of trees in this place called the red forest,"
00:05:38,00:05:41,"which is where all the trees turned red and died, and they're not decaying."
00:05:41,00:05:46,"So there's leaf litter, you know, there's sort of leaf mulch on the ground."
00:05:46,00:05:51,It's three times thicker in the hottest bit of Chernobyl radiation-wise than it is in areas without radiation.
00:05:51,00:05:54,"It's quite cool, isn't it?"
00:05:54,00:05:57,Because leaf litter is quite a nice thing to walk through and kick it up in the area.
00:05:57,00:06:00,"So you'd go for some really nice, awesome walks, because it's still going to be raining."
00:06:00,00:06:02,So it's still going to get wet and soggy and nasty.
00:06:02,00:06:04,It's just going to be pretty hard to dust.
00:06:04,00:06:05,"Yeah, he's right."
00:06:05,00:06:06,It's going to be really gross.
00:06:06,00:06:07,"Yeah, it's going to be mulch, isn't it?"
00:06:07,00:06:08,"Yeah, it is mulch on the face."
00:06:08,00:06:10,"That's not a romantic walk through the woods, is it?"
00:06:10,00:06:12,When you kick it up.
00:06:12,00:06:14,"So bacteria are really cool, right?"
00:06:14,00:06:17,"And you do, actually, when you do our job, you get really bored, actually,"
00:06:17,00:06:22,"of reading all the journalists you say, we have to do too much of it."
00:06:22,00:06:26,"But all journalists say, everyone thinks bacteria just disease-causing bastards"
00:06:26,00:06:29,"and actually some of them are really great, but some of them are really great."
00:06:29,00:06:31,And some of them are just cool.
00:06:31,00:06:35,"So I learned about this one, which is the, let's see if I can bring out this,"
00:06:35,00:06:39,"Aciditheobaculous, and you find it in caves."
00:06:39,00:06:43,And it only comes like a lot of bacteria in kind of microbial mats.
00:06:43,00:06:45,"So they hang out together, bacteria often work together,"
00:06:45,00:06:49,"comes in these microbial mats with, you know, many millions of them,"
00:06:49,00:06:51,"all squashed up together, and it hangs off the ceiling,"
00:06:51,00:06:54,and it looks exactly like a staluck mite.
00:06:54,00:06:55,Tite scoot.
00:06:55,00:06:58,"I always thought tight was off the ceiling, and then someone told me it was the other way around."
00:06:58,00:06:59,"Yeah, it's tights come down."
00:06:59,00:07:00,Yeah.
00:07:00,00:07:02,"That's what I always thought, and someone told me I was wrong."
00:07:02,00:07:04,"Well, we're telling you, you're right."
00:07:04,00:07:05,"Static tight, hold on tight."
00:07:05,00:07:07,"Exactly, and staluck mite might, because it grows up."
00:07:07,00:07:09,"Or mite, poke you in the bum."
00:07:09,00:07:11,That's what I might follow your head.
00:07:11,00:07:13,"Oh, yeah."
00:07:13,00:07:16,"Tite to the ground is hard, isn't it?"
00:07:16,00:07:18,The monarchs are hard.
00:07:18,00:07:20,"Well, anyway, this stuff looks like a staluck tight,"
00:07:20,00:07:22,"and it hangs off the roof of caves,"
00:07:22,00:07:25,but it's got the exact consistency of bogies.
00:07:25,00:07:26,And if you read about it in...
00:07:26,00:07:28,Is that a scientific term?
00:07:28,00:07:31,"Yeah, because bogies have lots of different consistencies."
00:07:31,00:07:33,"Of a healthy bogie, James."
00:07:33,00:07:36,"A country bogie, not one of these horrible London polluted bogies."
00:07:36,00:07:38,"What would happen to your bogies, if all the bacteria disappeared?"
00:07:38,00:07:39,Great question.
00:07:39,00:07:40,"Would they get stuck in your nose, like your poo?"
00:07:40,00:07:41,"No, no."
00:07:41,00:07:42,"No, no."
00:07:42,00:07:44,You're going to get stuck in your nose.
00:07:44,00:07:46,The nasal concentration is what I'm asking.
00:07:46,00:07:50,"They would not be colourful, like bogies are now."
00:07:50,00:07:53,"I know, your pink bogies are always impressed me."
00:07:53,00:07:55,"But the colours are the bacteria, aren't they?"
00:07:55,00:07:57,"So you would still have mucus, but it would be..."
00:07:57,00:07:58,Really?
00:07:58,00:08:00,But what would it gather around?
00:08:00,00:08:03,I thought the bacteria was the start of a mucus party.
00:08:03,00:08:05,"Yes, well, you might have hairs in your nose."
00:08:05,00:08:06,I have got hairs on my nose.
00:08:06,00:08:08,And they could be used as a nucleus?
00:08:08,00:08:09,"Yes, I see that now."
00:08:09,00:08:11,"But, I mean, it's cleaner."
00:08:11,00:08:13,It's your first week of your body.
00:08:13,00:08:14,It's great.
00:08:14,00:08:16,"You don't smell no mucus, no pooing."
00:08:16,00:08:18,"Oh, it's got some soft stops."
00:08:18,00:08:19,It's brilliant.
00:08:19,00:08:20,You got glassy smell.
00:08:20,00:08:21,I can't think of it.
00:08:21,00:08:22,We've gone off topic.
00:08:22,00:08:23,"Sorry, we have something."
00:08:23,00:08:24,We've strayed.
00:08:24,00:08:26,"What I'm saying is, there's a lot of bacteria,"
00:08:26,00:08:28,which are basically bogies hanging from the ceiling.
00:08:28,00:08:30,"And if you read journal articles about them,"
00:08:30,00:08:33,"they're referred to snottites as ""insalactites""."
00:08:33,00:08:35,"So, you know, scientific journals."
