start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:08,(upbeat music)
00:00:08,00:00:10,(upbeat music)
00:00:10,00:00:13,- Hello and welcome to another episode
00:00:13,00:00:16,of No Such Thing as a Fish.
00:00:16,00:00:19,(audience cheering)
00:00:19,00:00:22,(speaking in foreign language)
00:00:22,00:00:24,from Oxford.
00:00:24,00:00:28,(audience cheering)
00:00:28,00:00:29,My name is Dan Schreiber.
00:00:29,00:00:31,"Here I am sitting here with Anna Chazinski,"
00:00:31,00:00:33,"Andrew Hunter Murray, and James Harkin."
00:00:33,00:00:35,"And once again, we have gathered around the microphones"
00:00:35,00:00:38,with our four favorite facts from the last seven days
00:00:38,00:00:40,"and in no particular order, here we go."
00:00:40,00:00:42,"Starting with you, Anna."
00:00:42,00:00:44,"- My fact this week is that the Victorian soldier,"
00:00:44,00:00:48,"Major Charles Bendire, once braved enemy fire"
00:00:48,00:00:50,"to get an egg from a tree,"
00:00:50,00:00:52,then held it in his mouth while he climbed down.
00:00:52,00:00:55,"And on finding that it was stuck inside his mouth,"
00:00:55,00:00:57,removed one of his teeth to free it.
00:00:57,00:01:00,(audience laughing)
00:01:00,00:01:01,It's amazing.
00:01:01,00:01:04,"- This is just egg collecting or egging, in fact,"
00:01:04,00:01:07,was a really popular pursuit in the 19th century.
00:01:07,00:01:09,And still some people do it today.
00:01:09,00:01:10,"And yeah, he was an egger."
00:01:10,00:01:13,And it was thought of as quite a manly pursuit.
00:01:13,00:01:17,It was very dangerous because like birds lay their eggs
00:01:17,00:01:19,in precarious positions on cliff faces
00:01:19,00:01:20,or really high up trees and stuff.
00:01:20,00:01:23,"So yeah, Major Charles Bendire got up there"
00:01:23,00:01:26,"to prove his manhood and yeah, had to have his tooth removed."
00:01:26,00:01:28,"And he was being attacked by a patchies, wasn't he?"
00:01:28,00:01:29,- Yes.
00:01:29,00:01:30,- This was an America.
00:01:30,00:01:34,He was trying to get an egg of a zone-tailed hawk.
00:01:34,00:01:36,And I looked to see how big those eggs are.
00:01:36,00:01:39,And they are about three inches by two inches.
00:01:39,00:01:41,"Okay, so if you can imagine that."
00:01:41,00:01:43,"What, I've got my phone here."
00:01:43,00:01:46,"The width of my phone, this is an iPhone 6s plus."
00:01:46,00:01:52,This is about the same width as the egg.
00:01:52,00:01:53,So I'm gonna put it in my mouth.
00:01:53,00:01:54,Okay.
00:01:56,00:01:57,- Wow.
00:01:57,00:01:58,- Wow.
00:01:58,00:01:59,- Listen to this at home.
00:01:59,00:02:00,This is incredible stuff.
00:02:00,00:02:03,"This is, I mean, the people of Oxford"
00:02:03,00:02:05,have never seen anyone deep-throw tonight before.
00:02:05,00:02:09,(audience laughing)
00:02:09,00:02:10,- Nobody has.
00:02:10,00:02:14,- Please no one text me right now.
00:02:14,00:02:16,(audience laughing)
00:02:16,00:02:18,"But anyway, that gives you an idea of how big the egg was."
00:02:18,00:02:21,- That's the width of it.
00:02:21,00:02:23,"- Yes, so that's the length actually"
00:02:23,00:02:24,and the width is two inches.
00:02:24,00:02:26,"So it's a bit smaller, widthwise."
00:02:26,00:02:27,It's egg-shaped.
00:02:27,00:02:28,"- Wait, is it okay?"
00:02:28,00:02:31,(audience laughing)
00:02:31,00:02:34,- You therefore put it in kind of with the long end.
00:02:34,00:02:35,- Yeah.
00:02:35,00:02:36,- You put it in the wrong way round.
