start_hhmmss,end_hhmmss,text
00:00:00,00:00:11,[MUSIC]
00:00:11,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live from Leeds!"
00:00:20,00:00:27,[APPLAUSE]
00:00:27,00:00:35,"My name is Dan Schreiber and I am sitting here with Anna Chazinski, Andrew Hunter Murray, and James Harkin."
00:00:35,00:00:43,"And once again we have gathered around the microphones with our four favorite facts from the last seven days and in no particular order, here we go."
00:00:43,00:00:45,"Starting with you, Chazinski."
00:00:45,00:00:53,My fact this week is that the first hydraulic lift was invented to carry sheep onto a roof.
00:00:53,00:00:55,[LAUGHTER]
00:00:55,00:00:59,"And it was invented to do that in Leeds, in fact."
00:00:59,00:01:01,[APPLAUSE]
00:01:01,00:01:02,"You suck, aren't you?"
00:01:02,00:01:04,"No, no, no."
00:01:04,00:01:05,What could I say?
00:01:05,00:01:08,"No, it's this place called Temple Works and it's in an area called Holbeck."
00:01:08,00:01:10,"Do you have no temple works, you must do right?"
00:01:10,00:01:11,[APPLAUSE]
00:01:11,00:01:12,There you go.
00:01:12,00:01:14,"And yeah, it's this amazing building."
00:01:14,00:01:23,"So it was a flax mill. It was started in 1836. At the time it was built, it was the biggest room in the world."
00:01:23,00:01:28,"And it was this guy who was designing this flax mill, but he wanted to make it, he was very safety conscious."
00:01:28,00:01:33,"And so he thought it should all be on one level because he thought if there was a fire, everyone needed to be able to escape quite fast."
00:01:33,00:01:38,"So it was one floor, huge room, and the reason for the sheep on the roof is that."
00:01:38,00:01:45,"So he planted a lawn on the roof, all this grass, because for the flax not to work properly, it needed to be quite moist air inside."
00:01:45,00:01:52,"And so the grass on the roof kind of sucked moisture out of the air, and then it was siphoned down in pipes into the factory."
00:01:52,00:01:55,"And if you've got a grass, you need someone to mow it."
00:01:55,00:01:57,And that's the herd of sheep.
00:01:57,00:01:59,And so he invented this lift because sheep can't go upstairs.
00:01:59,00:02:02,And that is the story of Temple Works.
00:02:02,00:02:04,[LAUGHTER]
00:02:04,00:02:08,"It's a long and convoluted reason to invent a lift, but that's what he did."
00:02:08,00:02:11,"Yeah, it is the biggest room in the world, isn't it?"
00:02:11,00:02:12,"Oh, it was."
00:02:12,00:02:13,Yeah.
00:02:13,00:02:15,And I wanted to find out what was the biggest room in the world now.
00:02:15,00:02:22,"And so I googled it, but whenever you googled it, you just get the phrase, ""The largest room in the world is a room for improvement."""
00:02:22,00:02:23,[LAUGHTER]
00:02:23,00:02:25,So true.
00:02:25,00:02:29,"We probably don't know this, but how many sheep occupied the roof?"
00:02:29,00:02:32,"Was it like, was it a lot where they sort of clustered up?"
00:02:32,00:02:34,Or was it just a couple who didn't--
00:02:34,00:02:36,I think it will have been enough to eat that much grass.
00:02:36,00:02:37,Yeah.
00:02:37,00:02:38,So not much.
00:02:38,00:02:39,All right.
00:02:39,00:02:41,I'm going to say six.
00:02:41,00:02:42,Six.
00:02:42,00:02:43,"Oh, I'd say more than six."
00:02:43,00:02:45,It was a very big room.
00:02:45,00:02:47,"I started counting them, but I fell asleep."
00:02:47,00:02:48,[LAUGHTER]
00:02:48,00:02:50,But it is a really cool building.
00:02:50,00:02:55,"And it was the vision of this guy called John Marshall, who was an early 19th century industrialist,"
00:02:55,00:02:57,when people were starting to think about worker safety.
00:02:57,00:03:01,And so another thing it had was 25 fire escapes.
00:03:01,00:03:06,"Which for a room-- it was like one room, which was a two-acre large room, but even so, 25."
00:03:06,00:03:08,I think the whole thing was doors.
00:03:08,00:03:12,But surely none of the sheep would have been able to escape in the event of a fire.
00:03:12,00:03:14,"Hey, they can't go downstairs."
00:03:14,00:03:15,No.
00:03:15,00:03:18,So you just got a nice barbecue waiting for you when you get back to the building.
00:03:18,00:03:19,Yeah.
00:03:19,00:03:27,"I read that since the '90s in Switzerland, the requirement for every new building is that they should have the ability to have a sustainable rooftop with grass on the top."
00:03:27,00:03:33,"So if you take visuals of Switzerland by, let's say, Google Earth or whatever, it's just beautifully green."
00:03:33,00:03:36,Like they've hidden the whole country.
00:03:36,00:03:37,Yeah.
00:03:37,00:03:38,Imagine trying to bomb Switzerland.
00:03:38,00:03:39,You couldn't.
00:03:39,00:03:40,I know.
00:03:40,00:03:43,I think I've got nuclear bunkers for every person in the whole population.
00:03:43,00:03:44,Yeah.
00:03:44,00:03:45,We're nuclear bunkers.
00:03:45,00:03:46,We don't know.
00:03:46,00:03:48,"But I think this is amazing, isn't it?"
00:03:48,00:03:53,"Because at the moment, green architecture is like the main thing that everyone's trying to do."
00:03:53,00:03:57,All the new cities are putting grass on top of their buildings.
00:03:57,00:03:59,And leads was doing it 150 years ago.
00:03:59,00:04:00,"Yeah, very cool."
00:04:00,00:04:01,Which is pretty cool.
00:04:01,00:04:09,And green architecture takes 30% less energy to heat your building for just a 2% increase in construction costs.
00:04:09,00:04:16,And the world standards for green architecture are the leadership in energy and environmental design standards.
00:04:16,00:04:18,Or leads.
00:04:18,00:04:19,Oh.
00:04:19,00:04:21,"That's good, isn't it?"
00:04:21,00:04:22,That's very good.
00:04:22,00:04:24,"Do you want to talk about sheep, though?"
00:04:24,00:04:25,Yeah.
00:04:25,00:04:27,I'd love to talk about sheep.
00:04:27,00:04:31,"Well, I did, because this is, this fact is about sheep on a roof."
00:04:31,00:04:34,And I was looking at different places to put sheep.
00:04:34,00:04:41,"And one thing that I found amazing is that Captain Cook, when he was going between Australia and New Zealand,"
00:04:41,00:04:45,one place that he really wanted to put sheep was New Zealand.
00:04:45,00:04:48,"Which New Zealand is now known for sheep, but in Captain Cook's time, they weren't there."
00:04:48,00:04:52,And his idea was to introduce sheep to New Zealand.
00:04:52,00:04:54,And he brought two with him.
00:04:54,00:04:55,And he arrived.
00:04:55,00:04:57,This was his second journey there after sussing it out.
00:04:57,00:04:59,"The first time being like, ""No, no sheep."""
00:04:59,00:05:01,"And so he went back, brought some."
00:05:01,00:05:04,And he thought this was going to be his big thing.
00:05:04,00:05:06,"He thought this is, I'm going to spread the spread."
00:05:06,00:05:08,And he let them out.
00:05:08,00:05:13,"And two days later, or within a few days, they ate a couple poisonous plants and died immediately."
00:05:13,00:05:14,Yeah.
00:05:14,00:05:19,"And he wrote, last night, the UNRAM, I had so much care and trouble brought to this place, died."
00:05:19,00:05:22,We did suppose that they were poisoned by eating some poisonous plants.
00:05:22,00:05:27,"Thus, all my fine hopes of stocking this country with a breeder sheep were blasted in a moment."
00:05:27,00:05:28,Wow.
00:05:28,00:05:29,Poor Captain Cook.
00:05:29,00:05:32,"Wait, and that's why there are no sheep in New Zealand today."
00:05:32,00:05:35,"No, and then other people were like, love the sheep idea, Captain."
00:05:35,00:05:36,I'll get some over.
00:05:36,00:05:37,And then they did.
00:05:37,00:05:39,And now there's more sheep there than people.
00:05:39,00:05:41,"And New Zealand, though, sheep racing is a very popular thing."
00:05:41,00:05:44,"And in fact, across the world, and some people take it really seriously."
00:05:44,00:05:47,"I didn't quite know this was a thing, but it's kind of like dog racing."
00:05:47,00:05:49,So they jump over hurdles and stuff.
00:05:49,00:05:54,"And in New Zealand, the big race, I think, they go round a pub and jump over lots of beer barrels."
00:05:54,00:05:56,And sheep get up to 60 miles an hour.
00:05:56,00:05:57,What?
00:05:57,00:05:58,When they race.
00:05:58,00:06:00,60 miles an hour.
00:06:00,00:06:01,Do they act?
00:06:01,00:06:02,"I mean, that should be not my goal."
00:06:02,00:06:03,Maybe.
00:06:03,00:06:04,"That's impossible, isn't it?"
00:06:04,00:06:05,That's impossible.
00:06:05,00:06:07,They pushed them off a sky scraper at the end.
00:06:07,00:06:08,That's what it is.
00:06:08,00:06:10,"No, that's not possible, is it?"
00:06:10,00:06:15,"I've just seen that in my notes and thought, that's faster than a cheater, I think."
00:06:15,00:06:20,"I mean, wouldn't that be amazing if we just found out the sheep are the fastest animals in the world?"
00:06:20,00:06:23,I imagine the look of the sheep dogs face.
00:06:23,00:06:27,"Well, where are the sheep boy?"
00:06:27,00:06:29,You were not going to believe what happened.
00:06:29,00:06:34,"Do you know that in New Zealand, they're actually trying."
00:06:34,00:06:36,There's a New Zealand Farmers Federation.
00:06:36,00:06:39,And they're trying to push for sheep sharing to become an Olympic sport.
00:06:39,00:06:43,That's their latest push because it's been recognized as a sport.
00:06:43,00:06:46,This is one of the first steps that you need in order to get to the Olympics.
00:06:46,00:06:49,"So sheep sharing, pole dancing."
00:06:49,00:06:50,"Yeah, I saw that article."
00:06:50,00:06:52,"So it was last year, wasn't it?"
00:06:52,00:07:00,And it's a whole load of new spots now accepted by the International Sports Association of Associations.
00:07:00,00:07:06,"And pole dancing table football is, sheep sharing is, but rugby league isn't."
00:07:06,00:07:09,Really?
00:07:09,00:07:14,Yeah. And they reckon that it's because the rugby union people are blocking them.
00:07:14,00:07:18,I knew that I got that well in lead.
00:07:18,00:07:24,Do you know that sheep are happier when they're surrounded by photos of friends and family?
00:07:24,00:07:25,No.
00:07:25,00:07:26,This is true.
00:07:26,00:07:28,I swear to God.
00:07:28,00:07:33,"This was published in the Royal Society's newspaper, Biological Sciences."
00:07:33,00:07:37,"Basically, the sheep were put in a dark room in an experiment."
00:07:37,00:07:39,And they were shown various things.
00:07:39,00:07:40,And their behaviour was recorded.
00:07:40,00:07:45,"And when they were shown sheep that were familiar to them, they had a low heart rate."
00:07:45,00:07:51,And they made fewer bleats than when they were shown triangles or goats.
00:07:51,00:07:57,"But to be fair, a triangle is a natural predator or sheep."
00:07:57,00:08:01,The report of it in the telegraph said that the discovery could point to the reason
00:08:01,00:08:04,that many of us carry pictures of loved ones.
00:08:04,00:08:05,Yeah.
00:08:05,00:08:07,I guess we needed the sheep to tell us that.
00:08:07,00:08:11,"The problem is, there's nowhere to put photographs of your loved ones if you're a sheep."
00:08:11,00:08:12,That's true.
00:08:12,00:08:13,There's no wall to hang them on.
00:08:13,00:08:15,And they don't have bedside tables.
00:08:15,00:08:19,"But at 60 miles an hour, you can visit them so quickly."
00:08:19,00:08:25,"Okay, let's move on to our next fact."
00:08:25,00:08:27,It's time for fact number two.
00:08:27,00:08:37,And that is my fact. My fact this week is that Pope Leo the 13th was once the face of a wine and cocaine cocktail.
00:08:37,00:08:44,This was a drink that was sold back in the late 1800s and early 1900s called Vin Mariani.
00:08:44,00:08:48,And it was the predecessor to actual Coca-Cola.
00:08:48,00:08:52,"So if you've heard that thing about Coca-Cola having cocaine in it, this is where it comes from."
00:08:52,00:08:59,And actually the original Coca-Cola was actually a French wine as well. Coca-Cola started as an alcohol.
00:08:59,00:09:03,"But originally the started in France, it was a guy called Angelo Mariani."
00:09:03,00:09:12,"And it was so loved that the Pope not only drunk it, he was said to have a flask that he carried around with him all the time."
00:09:12,00:09:15,And he awarded it the Vatican gold medal.
00:09:15,00:09:17,It's extraordinary.
00:09:17,00:09:22,What is cocaine? What even is a Vatican gold medal? I cannot find any other example of that medal.
00:09:22,00:09:26,"He must have been high at the time, given the gold medal."
00:09:26,00:09:33,"So one of the, one of the adverts for it said that the Pope said that he would fortify himself with Vin Mariani."
00:09:33,00:09:37,"Quote, ""When prayer was insufficient, it was not that."""
00:09:37,00:09:41,"But this was, it was really popular and lots of celebrities love this drink."
