start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:08,(upbeat music)
00:00:08,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:18,"of ""No Such Thing as a Fish"" a weekly podcast"
00:00:18,00:00:22,this week coming to you live from Belfast!
00:00:22,00:00:25,(audience cheering)
00:00:25,00:00:29,My name is Dan Schreiber and I am sitting here
00:00:29,00:00:31,"with Anichis Isinski, Andrew Hansen-Marie,"
00:00:31,00:00:33,"and James Harkin, and once again,"
00:00:33,00:00:35,we have gathered around the microphones
00:00:35,00:00:38,with our four favorite facts from the last seven days
00:00:38,00:00:41,"and in no particular order, here we go."
00:00:41,00:00:43,"Starting with you, James."
00:00:43,00:00:45,"- Okay, my fact this week is that there are a number"
00:00:45,00:00:50,of chickens in California that have their own personal chefs.
00:00:50,00:00:53,(audience laughing)
00:00:53,00:00:55,- I think you'd live in constant fear as a chicken
00:00:55,00:00:57,if you had your own chicken.
00:00:57,00:00:59,(audience laughing)
00:00:59,00:01:02,One day he's gonna run us to stuff in the pantry.
00:01:02,00:01:04,"- Oh, they can give me a lot of sage and onion recently."
00:01:04,00:01:06,(audience laughing)
00:01:06,00:01:08,"- Mr. Chicken, tonight for dinner, you."
00:01:08,00:01:09,(audience laughing)
00:01:09,00:01:11,"- Yeah, that's very exciting."
00:01:11,00:01:13,- So this is specifically in Silicon Valley
00:01:13,00:01:16,and at the moment there is a chicken mania happening
00:01:16,00:01:17,in Silicon Valley.
00:01:17,00:01:21,Single chicken can cost $350.
00:01:21,00:01:23,And normally they cost about $15.
00:01:23,00:01:26,Their coupes are controlled by smartphone apps
00:01:26,00:01:29,and basically it's kind of a state of symbol
00:01:29,00:01:32,in Silicon Valley to have your own chicken.
00:01:32,00:01:33,- Wow.
00:01:33,00:01:35,- Are they special chickens in any way?
00:01:35,00:01:38,"Are they amazing or amazing, the all-night chickens?"
00:01:38,00:01:41,"- Some of them are pretty good, actually, I have to say."
00:01:41,00:01:44,"I'm not sure I'd pay $350 for one, but they are pretty good."
00:01:44,00:01:48,So they're specially bred for desirable personality traits.
00:01:48,00:01:50,So the ones that are particularly.
00:01:50,00:01:51,(audience laughing)
00:01:51,00:01:54,- What is a personality trait in a chicken?
00:01:54,00:01:55,(audience laughing)
00:01:55,00:01:56,"- Well, you know."
00:01:56,00:01:57,- It's the ground.
00:01:57,00:01:59,(audience laughing)
00:01:59,00:02:01,"- So for instance, if they're gentle enough"
00:02:01,00:02:02,for a child to cuddle.
00:02:02,00:02:03,- Okay.
00:02:03,00:02:05,"- So rock 'n' like an angry chicken,"
00:02:05,00:02:07,you wouldn't want to put that near your child.
00:02:07,00:02:09,They don't have those.
00:02:09,00:02:10,"There are some that are rare,"
00:02:10,00:02:11,there are some that are beautiful
00:02:11,00:02:12,according to the article I read.
00:02:12,00:02:16,And some of them have special highly coveted colored eggs
00:02:16,00:02:18,and they're called Easter Eggers
00:02:18,00:02:20,and they give you blue eggs.
00:02:20,00:02:21,- Wow.
00:02:21,00:02:23,"- They're really, really good ones, those."
00:02:23,00:02:24,- That's very cool.
00:02:24,00:02:26,"- They also, I read a lot of people"
00:02:26,00:02:29,keep the chickens in their house like they're a cat or a dog
00:02:29,00:02:31,and they call them lap chickens
00:02:31,00:02:32,'cause they come and they sit on your lap
00:02:32,00:02:33,and you can just stroke them.
00:02:33,00:02:36,And the way that they make sure
