start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,*tongue bell*
00:00:02,00:00:04,*I don't want to talk to you*
00:00:04,00:00:06,*I don't want to talk to you*
00:00:06,00:00:08,*I don't want to talk to you*
00:00:08,00:00:11,*I don't want to talk to you*
00:00:11,00:00:19,"Hello and welcome to another episode of ""No Such Thing as a Fish"""
00:00:19,00:00:23,a weekly podcast coming to you from the QI offices in Covert Garden.
00:00:23,00:00:25,My name is Dan Schreiber.
00:00:25,00:00:28,"I am sitting here with James Harkin, Andrew Hunter Murray,"
00:00:28,00:00:32,"and it's the original QI Elf and author of the new children's books,"
00:00:32,00:00:35,"Wonders of the World's Museums, Molly Oldfield,"
00:00:35,00:00:38,and once again we have gathered around the microphones with our four
00:00:38,00:00:42,"favourite facts from the last seven days and in no particular order,"
00:00:42,00:00:45,"here we go. Starting with you, Molly."
00:00:45,00:00:51,"My fact is, Blue L's are born backwards tell first so they don't drown during birth."
00:00:51,00:00:52,"Yeah, that's extraordinary."
00:00:52,00:00:55,What I think we can tell is that you are the original QI Elf
00:00:55,00:00:58,because that's typical QI fodder isn't it blue whales?
00:00:58,00:01:00,"Oh, we've got to love a bit of a blue whale."
00:01:00,00:01:01,Yeah.
00:01:01,00:01:02,It's actually really weird.
00:01:02,00:01:04,I googled it to see what they look like.
00:01:04,00:01:06,So obviously the tails coming out first.
00:01:06,00:01:09,"And then I thought, okay, what's it coming out of?"
00:01:09,00:01:11,"I know it sounds ridiculous, but they're mammals, right?"
00:01:11,00:01:14,So am I allowed to see the giant?
00:01:14,00:01:14,Oh yeah.
00:01:14,00:01:16,And I always like do whales have them.
00:01:16,00:01:18,What?
00:01:18,00:01:19,"Obviously they do, right?"
00:01:19,00:01:19,"Yeah, yeah."
00:01:19,00:01:22,So but we spent like so long at QI.
00:01:22,00:01:24,I think I spent about 12 years licking up.
00:01:25,00:01:27,"In fact, James and I were thinking of writing about"
00:01:27,00:01:29,the QI book of genital ignorance.
00:01:29,00:01:30,Do you remember that?
00:01:30,00:01:31,I don't remember that.
00:01:31,00:01:32,That's a great title.
00:01:32,00:01:33,That's a great idea.
00:01:33,00:01:36,I'll be backing off from this project very early.
00:01:36,00:01:43,"But anyway, yeah, so I googled this and there is an expert of wealth giants."
00:01:43,00:01:46,And the scientific American have written an article about her.
00:01:46,00:01:47,She's called Dr. Sarah Messnick.
00:01:47,00:01:49,"And it's really hard to study them, obviously."
00:01:49,00:01:52,So what she does is she looks at Victorian drawings.
00:01:53,00:01:54,She's got a freezer full of them.
00:01:54,00:01:56,She has people if they ever find one.
00:01:56,00:01:58,"I'm sorry, a freezer full of whales for giants."
00:01:58,00:01:59,"Yes, exactly."
00:01:59,00:02:00,"Not drawings, the real things."
00:02:00,00:02:01,And she also...
00:02:01,00:02:03,That must be a big fridge.
00:02:03,00:02:03,"Well, right."
00:02:03,00:02:04,A blue whale's want to stay big.
00:02:04,00:02:06,You can walk inside it.
