start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hey guys, just before we begin this week's show, we have a little announcement to make,"
00:00:03,00:00:07,which is that we have something for you to look at.
00:00:07,00:00:09,"That's a bit disgusting, aren't we?"
00:00:09,00:00:11,"Well, I wouldn't say so, don't you?"
00:00:11,00:00:12,It's a bit inappropriate.
00:00:12,00:00:17,"No, it's a wonderful kind of behind-the-scenes video of tall life on a tall."
00:00:17,00:00:18,A documentary behind the girls.
00:00:18,00:00:20,"Behind the girls, exactly."
00:00:20,00:00:21,"No, why aren't you wearing any trousers?"
00:00:21,00:00:25,"We don't have time to get into that now, and at the point is, we've released this thing."
00:00:27,00:00:31,"And it's our tour, isn't it? We filmed loads of stuff for it, loads of behind-the-scenes"
00:00:31,00:00:34,interviews and videos of us backstage getting ready.
00:00:34,00:00:39,"Yeah, it was super fun. We had a great time on tour, and we just filmed some of the chats we had,"
00:00:39,00:00:43,some interviews where you can learn some deep dark secrets from our pasts.
00:00:43,00:00:45,"Childhood photos, that kind of thing."
00:00:45,00:00:48,"Yeah, so it's been available in the UK for a little while."
00:00:48,00:00:52,"So hopefully all you guys have got it, but if you haven't then get it now, but the big news is,"
00:00:52,00:00:58,"it's now available in America, so if you go to Amazon, if you go to Google Play,"
00:00:58,00:01:01,"if you go to iTunes, you'll be able to get hold of it now."
00:01:01,00:01:05,"That's true, or you can just go to qi.com/gills where you'll find all the links."
00:01:05,00:01:07,"Okay, where are my trousers?"
00:01:07,00:01:10,"Oh, no, they're so..."
00:01:10,00:01:22,(music)
00:01:22,00:01:31,"Oh, and welcome to another episode of ""No Such Thing as a Fish, a Weakly Podcast"""
00:01:31,00:01:36,coming to you this week live from Debra!
00:01:36,00:01:42,(applause)
00:01:42,00:01:48,"My name is Jan Schreiber, and I'm sitting here with Anna Chazinski, Andrew Hunter-Marie,"
00:01:48,00:01:52,"and James Harkin, and once again, we have gathered around the microphones with our"
00:01:52,00:01:55,"four favorite facts from the last seven days, and in no particular order,"
00:01:55,00:01:59,"here we go, starting with you, Chazinski."
00:01:59,00:02:04,My fact this week is that every competitor at the world's longest dog sled race
00:02:04,00:02:07,brings about 600 spare pairs of shoes with them.
00:02:07,00:02:10,And they're for the dogs.
00:02:10,00:02:15,"This is amazing, so this is the..."
00:02:15,00:02:18,I've did a road race which happens in Alaska every year.
00:02:18,00:02:22,"It's very long, it's roughly a thousand miles through Alaska."
00:02:22,00:02:27,"And yeah, the dogs have to wear shoes, and so by the rules of the game,"
00:02:27,00:02:30,they actually have to bring eight extra shoes on the sled with them.
00:02:30,00:02:34,"So at any one time, there have to be eight pairs of dog shoes on the sled."
00:02:34,00:02:37,I was going to say on a pair of dog shoes is that four shoes are two shoes.
00:02:37,00:02:42,"I didn't know how to word this, but it's..."
00:02:42,00:02:46,"So it's a pair is for the front pair, and then you have a second pair for the back pair,"
