start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(bells ringing)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:07,(upbeat music)
00:00:07,00:00:22,"- Hello, and welcome to another episode"
00:00:22,00:00:26,"of ""No Such Thing as a Fish,"" a weekly podcast."
00:00:26,00:00:28,"This week, coming to you live"
00:00:28,00:00:30,"from Perth, Australia."
00:00:30,00:00:33,(audience cheering)
00:00:33,00:00:38,"My name is Dan Schreiber,"
00:00:38,00:00:41,"and I am sitting here with Anna Chazinski,"
00:00:41,00:00:43,"Andrew Hunter Murray, James Harkin,"
00:00:43,00:00:46,"and once again, we have gathered around the microphones"
00:00:46,00:00:49,"with our four favorite facts from the last seven days,"
00:00:49,00:00:50,"and in no particular order,"
00:00:50,00:00:54,"here we go, starting with you, Chazinski."
00:00:54,00:00:57,"- Yeah, my fact this week is that in the 1960s,"
00:00:57,00:01:01,Brazil and France almost went to war with each other
00:01:01,00:01:03,over whether lobster's crawl or swim.
00:01:03,00:01:06,(audience laughing)
00:01:06,00:01:08,- What a just war it would have been.
00:01:08,00:01:09,(audience laughing)
00:01:09,00:01:11,- Who side are you on?
00:01:11,00:01:12,- Who side are you on?
00:01:12,00:01:14,- I think they crawl.
00:01:14,00:01:16,- I think they swim.
00:01:16,00:01:16,- Yeah.
00:01:16,00:01:18,- I will see you on the battlefield.
00:01:18,00:01:20,(audience laughing)
00:01:20,00:01:21,- Okay.
00:01:21,00:01:22,"- Are you seeing me do both, right?"
00:01:22,00:01:23,- Yeah.
00:01:23,00:01:25,- The classic sweatsiland in the corner.
00:01:25,00:01:26,(audience laughing)
00:01:26,00:01:28,"- No, so it is a problem that they do both,"
00:01:28,00:01:31,"'cause this is the fact that in 1961,"
00:01:31,00:01:34,a French fisherman found the water of the coast of Brazil
00:01:34,00:01:37,"was full of lobsters, and they wanted to fish them,"
00:01:37,00:01:39,"so they could get money from selling the lobsters,"
00:01:39,00:01:41,"and so they side-fishing them,"
00:01:41,00:01:45,but Brazil claimed exclusive rights to sea creatures
00:01:45,00:01:48,that were walking along the continental shelf
00:01:48,00:01:51,"within a certain, like, diameter radius of Brazil."
00:01:51,00:01:54,"So if creatures were walking in that area,"
00:01:54,00:01:57,"then Brazil had a right to them and no one else did,"
00:01:57,00:01:59,"but if they were swimming in that area,"
00:01:59,00:02:04,"then they did not, and so this huge argument came forward"
00:02:04,00:02:05,"about whether they were walking or swimming,"
00:02:05,00:02:06,"and the French said that they were swimming,"
00:02:06,00:02:10,"so they were open to anyone, 'cause lobsters do sometimes swim,"
00:02:10,00:02:12,"and so they said, ""We're allowed to fish for these lobsters."""
00:02:12,00:02:14,Brazilians said they crawled.
00:02:14,00:02:16,"There was actually, I think there was a moment"
00:02:16,00:02:20,where the Brazilian admiral of the Brazilian navy
00:02:20,00:02:23,"said that, ""If you're saying that lobsters swim,"
00:02:23,00:02:25,"""you're also saying that a kangaroo"
00:02:25,00:02:27,"""would be considered a bird when it hops."""
00:02:27,00:02:28,(audience laughs)
00:02:28,00:02:30,That is fighting talk.
00:02:30,00:02:31,(audience laughs)
00:02:31,00:02:34,But it really came to blows.
00:02:34,00:02:35,"So there was this huge debate,"
00:02:35,00:02:39,"and eventually Brazil said, ""France, can you please go away?"""
00:02:39,00:02:41,"These things are crawling, and France refused,"
00:02:41,00:02:44,"and had a destroyer ship accompany their lobster boats,"
00:02:44,00:02:49,"a warship, and in response, Brazil mobilized its warships,"
00:02:49,00:02:51,including an aircraft carrier.
00:02:51,00:02:53,(audience laughs)
00:02:53,00:02:55,"And then both of these sides are ready for battle,"
00:02:55,00:02:56,and this lasted for two years.
00:02:56,00:02:58,"They were sitting there with the battleships,"
00:02:58,00:03:00,"poised, ready to fight each other"
00:03:00,00:03:02,"over where the lobsters crawled or swim,"
00:03:02,00:03:05,"and then eventually some laws of the sea were put into force,"
00:03:05,00:03:07,"saying, ""Look, guys, chill the fuck out."""
00:03:07,00:03:09,(audience laughs)
00:03:09,00:03:11,- It was the official wording on the law.
00:03:11,00:03:12,"- It was, yeah."
00:03:12,00:03:15,"And, yeah, war didn't happen,"
00:03:15,00:03:17,"and rights were granted to Brazil,"
00:03:17,00:03:19,"'cause of a fishing act, and it was okay,"
00:03:19,00:03:21,"but we were pretty close, guys."
00:03:21,00:03:22,- Wow.
00:03:22,00:03:22,- Yeah.
00:03:22,00:03:25,- It seems to me that countries are always going
00:03:25,00:03:26,to war over fish.
00:03:26,00:03:28,Other things living in the sea.
00:03:28,00:03:31,"So there's been a turbot war between Canada and Spain,"
00:03:31,00:03:34,a crab war between North and South Korea.
00:03:34,00:03:37,There was an oyster war between Maryland and the state
00:03:37,00:03:38,versus pirates.
00:03:38,00:03:39,- Cool.
00:03:39,00:03:43,"- There was a macro war between UK and Iceland,"
00:03:43,00:03:45,"a prom war between India and Sri Lanka,"
00:03:45,00:03:47,"a squid war between the UK and Argentina,"
00:03:47,00:03:50,a scallop conflict between the UK and France.
00:03:50,00:03:52,(audience laughs)
00:03:52,00:03:56,"- A catfish dispute between the US and Vietnam,"
00:03:56,00:04:00,and a sprat spat between Latvia and Russia.
00:04:00,00:04:02,- Wow.
00:04:02,00:04:03,- That's amazing.
00:04:03,00:04:04,"- God, fish are real trouble makers, aren't they?"
00:04:04,00:04:06,(audience laughs)
00:04:06,00:04:09,"And so, on lobsters, which I believe this was about,"
00:04:09,00:04:13,"so the Caribbean, so the thing that this was originally about,"
00:04:13,00:04:14,"it was a Caribbean spiny lobster,"
00:04:14,00:04:16,"which was a kind of rock lobster,"
00:04:16,00:04:20,but this is a kind of lobster that cues.
00:04:20,00:04:22,"So a very British brand of lobster,"
00:04:22,00:04:27,"but when they migrate, they form orderly single-file cues."
00:04:27,00:04:30,So they migrate seasonally because they want to get away
00:04:30,00:04:31,from cold water.
00:04:31,00:04:34,"And these, you know, these are the most precious lobsters"
00:04:34,00:04:35,on that coastline.
00:04:35,00:04:39,"And yeah, they cling to each other and form an orderly cue"
00:04:39,00:04:42,"and move single-file, each rest is antennae"
00:04:42,00:04:45,over the sort of arse of the lobster in front.
00:04:45,00:04:46,- Oh.
00:04:46,00:04:48,- And they move like a conga.
00:04:48,00:04:49,- That's so exciting.
00:04:49,00:04:50,- It's a lobster conga.
