start_hhmmss,end_hhmmss,text
00:00:00,00:00:23,It's a weekly podcast coming to you from the QI offices in Covenant Garden.
00:00:23,00:00:28,"My name is Dan Schreiber and I'm sitting here with Andrew Hunter Murray, James Harkin,"
00:00:28,00:00:33,"and Anichesinski, and once again we have gathered around the microphones with our four favorite"
00:00:33,00:00:37,facts of the last seven days at a no particular order.
00:00:37,00:00:38,Here we go.
00:00:38,00:00:43,"Starting with fact number one, and that's my fact this week, my fact is that in an attempt"
00:00:43,00:00:48,"to work out who the murderer and Charles Dickens' last unfinished novel was, the lead character"
00:00:48,00:00:52,was put on trial.
00:00:52,00:00:53,So this is the mystery of Edwin Druid.
00:00:53,00:00:58,"Yeah, this was the final novel of Charles Dickens that he was serializing in a newspaper"
00:00:58,00:00:59,that were meant to be 12 installments.
00:00:59,00:01:03,He only got as far as six before he passed away.
00:01:03,00:01:07,"And as it was, the lead character, Edwin Druid, goes, he disappears."
00:01:07,00:01:09,And so we never know what happened to him.
00:01:09,00:01:15,And people ever since have been trying to work it out by looking for clues within it.
00:01:15,00:01:16,And so on.
00:01:16,00:01:21,"And in 1914, a mock trial was put on as part of an attempt to try and work out who might"
00:01:21,00:01:22,have murdered him.
00:01:22,00:01:25,"And the lead character of the book, John Jasper, was put on trial."
00:01:25,00:01:30,And it was full of celebrities. The judge of the trial was G.K. Chesterton.
00:01:30,00:01:32,The foreman of the jury was George Bernard Shaw.
00:01:32,00:01:35,"It was a very, very cool trial."
00:01:35,00:01:38,And did they find him innocent or guilty or?
00:01:38,00:01:41,"No, they, I think they wanted to go for manslaughter in the end."
00:01:41,00:01:46,"But then, yeah, G.K. Chesterton and got a very impatient with everyone and found everyone"
00:01:46,00:01:48,guilty of contempt of court by the end of the day.
00:01:48,00:01:49,Nice.
00:01:49,00:01:50,"Except himself, right?"
00:01:50,00:01:51,Except himself.
00:01:51,00:01:54,"Yeah, but when do you get a judge finding himself guilty of contempt of court, that's super"
00:01:54,00:01:55,rare.
00:01:55,00:01:56,That's happened.
00:01:56,00:01:58,I remember that happening in America in the last few years.
00:01:58,00:01:59,Really?
00:01:59,00:02:00,Yeah.
00:02:00,00:02:01,Wow.
00:02:01,00:02:03,Is that a really good moral judge or an extremely immoral judge?
00:02:03,00:02:04,It's hard to say.
00:02:04,00:02:08,"Because he just looked to himself and gone, ""God, even I can see that I'm terrible."""
00:02:08,00:02:13,"My feeling is, and I might be wrong about this, maybe a judge had his mobile phone on or"
00:02:13,00:02:14,something.
