start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,And welcome to another podcast from no such thing as a fish a weekly show coming to you
00:00:20,00:00:22,from the QI offices in Covent Garden.
00:00:22,00:00:27,"My name is Anna Toshinsky and I'm sitting here with James Harkin, Andrew Hunter Murray"
00:00:27,00:00:32,and fellow QI Elf James Rawson and we are going to tell you our four favourite facts
00:00:32,00:00:37,from our last seven days starting with Rawson.
00:00:37,00:00:41,My fact this week is that Usain Bolt could fly on Titan.
00:00:41,00:00:44,Do we say Usain or Usain?
00:00:44,00:00:45,Oh good question.
00:00:45,00:00:46,I say Usain.
00:00:46,00:00:47,Do you?
00:00:47,00:00:48,"But Usain, Usain."
00:00:48,00:00:49,What?
00:00:49,00:00:51,Let's call the whole thing up.
00:00:51,00:00:53,And so Titan we're talking about the Isaac Titan.
00:00:53,00:00:54,No it's Titan.
00:00:54,00:00:56,We're talking about the moon.
00:00:56,00:01:00,We are talking about Saturn's largest moon and it has a couple of things going for it
00:01:00,00:01:03,that make it really great for human flight.
00:01:03,00:01:05,"Well one bad thing, lack of humans."
00:01:05,00:01:11,"Yes, that is a bad thing but a good thing is that its gravity is only 14% as strong"
00:01:11,00:01:17,"as Earth's, so pretty low gravity and its air pressure is 50% higher than Earth's."
00:01:17,00:01:21,So really weak gravity and really strong nice thick air.
00:01:21,00:01:24,So people have said anecdotally for years that if you could get people on their straps
00:01:24,00:01:28,and wings on them they'd be able to fly like birds.
00:01:28,00:01:33,But in 2014 some students from the University of Leicester actually did the physics and they
00:01:33,00:01:40,worked out that if you were on a normal wingsuit which has a wingspan of about 1.4 square meters
00:01:40,00:01:45,"and if you were on a 11 meters per second you would be able to run, jump up and take off"
00:01:45,00:01:46,and fly.
00:01:46,00:01:47,So great.
00:01:47,00:01:49,"So if you're a normal person you couldn't, right?"
00:01:49,00:01:51,It's only if you're as fast as Usain Bolt.
00:01:51,00:01:54,He is just him and a few others who are cracking that speed.
00:01:54,00:01:59,"So Usain Bolt can go at 12 meters per second or he could in his head, he's now retired."
00:01:59,00:02:06,"So I imagine that he's useless but yeah, Usain Bolt in the day could do it, a normal person"
00:02:06,00:02:10,could do it if they could run at 6 meters per second but they would have a large and unwieldy
00:02:10,00:02:11,wingsuit.
00:02:11,00:02:14,So they wouldn't be able to get away with the normal sort of day-to-day wingsuit that we're
00:02:14,00:02:15,all wearing now.
00:02:15,00:02:16,Very cool.
00:02:16,00:02:19,You also need a very warm coat though wouldn't you?
00:02:19,00:02:22,Because the temperature is about -180 degrees Celsius.
00:02:22,00:02:23,Yes.
00:02:23,00:02:26,And actually warm coat would weigh you down quite a lot and then the physics probably wouldn't
00:02:26,00:02:27,work anymore.
00:02:27,00:02:28,We've got a very big coat.
00:02:28,00:02:29,Yeah.
00:02:29,00:02:33,"You remember when you were a kid and there was high winds, like gales and you would hold"
00:02:33,00:02:35,your coat out and then try and fly with it.
00:02:35,00:02:36,"Yeah, that was great."
00:02:36,00:02:37,Or your umbrella.
00:02:37,00:02:38,Sometimes you'd fly with an umbrella?
00:02:38,00:02:39,Yeah.
00:02:39,00:02:44,"Well, I wasn't Mary Poppins when I went to school but actually you couldn't do it with"
00:02:44,00:02:46,"the winds because there's not much wind on Titan, is there?"
00:02:46,00:02:47,No.
00:02:47,00:02:51,And that's because the temperature is always very low and we get our wind on Earth because
00:02:51,00:02:55,of the changes in temperature with the sun and they don't really get those changes of temperature.
00:02:55,00:02:58,"Yeah, which is why they - because they've got lakes."
00:02:58,00:03:04,"One of the reasons it's so great for human habitation, apparently, is that it's got stable"
00:03:04,00:03:07,"liquids on its surface, hasn't it, which is extremely unusual, and it has an atmosphere"
00:03:07,00:03:12,"that is sort of similar to Earth's, but it's liquids - well, similar, yes."
00:03:12,00:03:13,It's not similar.
00:03:13,00:03:17,It's a fairly similar level of kind of thickness and it's got some nitrogen in it.
00:03:17,00:03:18,It's got lots and lots of nitrogen.
00:03:18,00:03:19,There's no problem with nitrogen.
00:03:19,00:03:23,"You like nitrogen, you get a lot of Titan, but it's got no oxygen basically."
00:03:23,00:03:24,Yeah.
00:03:24,00:03:25,So the lakes are made out of methane.
00:03:25,00:03:26,They are.
00:03:26,00:03:29,"It sort of has a lot of methane and ethane in it, which I imagine means that it smells really"
00:03:29,00:03:30,bad on there.
00:03:30,00:03:34,"Well, in fact, I think they might have looked into how the atmosphere there smells."
00:03:34,00:03:36,They've tried to recreate it.
00:03:36,00:03:41,Scientists did this this year or last year and they got some methane and ethane involved.
00:03:41,00:03:45,They got some nitrogen involved and it still wasn't behaving quite like Titan's atmosphere.
