start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hey guys, just a quick announcement before we start this week's show, which is that we have a special bit of news."
00:00:05,00:00:07,We have released an audio cassette.
00:00:07,00:00:10,"Yes, that's right, but it's not your normal audio cassette."
00:00:10,00:00:20,"This is like a futuristic year 3000 cassette because in it, it contains not just your average 50 minutes that an audio cassette would."
00:00:20,00:00:22,"We have over 1,900 minutes on this."
00:00:22,00:00:27,It's true. It's a USB audio cassette. It's amazing. It looks like an audio cassette.
00:00:27,00:00:32,"There's USB pops out and on it, it's got the complete second year of fish, which you may have noticed."
00:00:32,00:00:35,We've taken down from the website and we've put it onto this cassette.
00:00:35,00:00:43,"Yeah, and it's also got a special filmed episode with never before seen, never again seen, but it's filmed."
00:00:43,00:00:51,"Yeah, that's right. We filmed it in our natural habitat, the QI office in Covent Garden, around the table that we started the whole podcast on."
00:00:51,00:00:58,"I have to say, it's got for me, personally, my favorite fact that I found in all four years of doing the podcast. It's very exciting."
00:00:58,00:00:59,It's a very good fact when you hear it.
00:00:59,00:01:04,You won't believe fact number three. It's fact number four.
00:01:04,00:01:11,"But yeah, if you can get it by going to qi.com/casset, and I do encourage you just to go there, just to look at it."
00:01:11,00:01:20,"It's a thing of beauty. It's absolutely stunning. It's this retro item, you know? It's a proper cassette, the casing, the booklet, everything is there, and it's yellow."
00:01:20,00:01:27,"It is yellow. The actual cassette is yellow, so qi.com/casset. All right, on with the show. On with the show live from Melbourne, Australia."
00:01:27,00:01:48,"Hello, and welcome to another episode of no such thing as a fish, a weekly podcast this week coming to you from Melbourne!"
00:01:48,00:01:57,[Cheering and Applause]
00:01:57,00:02:12,"My name is Dan Schreiber, and I am sitting here with Anacizanski, Andrew Huntamari, and James Harkin, and once again, we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:02:12,00:02:16,"Starting with you, Andrew Huntamari."
00:02:16,00:02:23,My fact is that there was a showman in the 1930s who's act consisted of repeatedly crashing his plane into the ground.
00:02:23,00:02:25,[Laughter]
00:02:25,00:02:27,"This is such an amazing guy, so this fact..."
00:02:27,00:02:28,"Oh, sorry, Andy, how do you repeatedly crash?"
00:02:28,00:02:31,Surely you can only crash a plane once into the ground?
