start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Beep]
00:00:02,00:00:04,[speaking in a foreign language]
00:00:04,00:00:05,[Beep]
00:00:05,00:00:07,[speaking in a foreign language]
00:00:07,00:00:08,[Beep]
00:00:08,00:00:10,[Beep]
00:00:10,00:00:13,[Beep]
00:00:13,00:00:14,Hello!
00:00:14,00:00:17,And welcome to another episode.
00:00:17,00:00:20,"A no such thing as a fish, a weekly podcast,"
00:00:20,00:00:23,this week coming to you live from Melbourne!
00:00:23,00:00:31,[cheering and applause]
00:00:31,00:00:35,"My name is Dan Schreiber, and I am sitting here with Anacizanski,"
00:00:35,00:00:38,"Andrew Hunter Murray, and James Harkin."
00:00:38,00:00:41,"And once again, we have gathered around the microphones"
00:00:41,00:00:44,with our four favorite facts from the last seven days.
00:00:44,00:00:48,"And in no particular order, here we go."
00:00:48,00:00:50,"Starting with you, James."
00:00:50,00:00:54,"OK, my fact this week is that the only known modern death"
00:00:54,00:00:57,due to meteorite was a cow who was hit in the neck
00:00:57,00:00:59,in Venezuela in 1972.
00:00:59,00:01:02,[audience laughing]
00:01:02,00:01:04,"We didn't know about it for a decade,"
00:01:04,00:01:08,"because the farmer ate the cow, and used the meteorite"
00:01:08,00:01:09,as a doorstop.
00:01:09,00:01:12,[audience laughing]
00:01:12,00:01:14,It's amazing.
00:01:14,00:01:18,"Yeah, so this is a thing that happened in Venezuela,"
00:01:18,00:01:21,in a town that I don't know how to pronounce.
00:01:21,00:01:25,It's T-R-U-J-I-L-L-O.
00:01:25,00:01:27,Croyo.
00:01:27,00:01:28,Was that a Zorro impression?
00:01:28,00:01:30,"Yeah, it was good."
00:01:30,00:01:33,"So there was a sonic boom one night,"
00:01:33,00:01:36,"and then the next morning, they found the dead cow and the rock."
00:01:36,00:01:38,"They kind of thought nothing more about it,"
00:01:38,00:01:41,"but then 10 years later, a doctor came along,"
00:01:41,00:01:44,"and he checked out this rock and realized that it was a meteorite,"
00:01:44,00:01:48,"and he said, this is definitely a meteorite that's killed the cow."
00:01:48,00:01:50,"And that's the only one, there's a lot of kind of possible people"
00:01:50,00:01:52,"who've been killed or things that have been killed by meteorites,"
00:01:52,00:01:56,"but this is the only one with an actual certificate that says,"
00:01:56,00:01:57,"that's what it is, really."
00:01:57,00:02:00,And did he just look at his doorstop after all those years
00:02:00,00:02:03,"and go, well, that actually does look a bit like a meteorite?"
00:02:03,00:02:07,"I mean, how does it transpire that someone suddenly decides"
00:02:07,00:02:09,to take their doorstop to a science museum?
00:02:09,00:02:12,"I think it was that the doctor was visiting them,"
00:02:12,00:02:16,"rather than them taking just every single bit of rock in the house,"
00:02:16,00:02:18,rather than the museum.
00:02:18,00:02:21,Is this what? No. Is this what? No.
00:02:21,00:02:24,You got lucky in the end.
00:02:24,00:02:27,"But then some people are a little bit skeptical about it, actually,"
00:02:27,00:02:31,because what they realized is because this is now a famous meteorite
00:02:31,00:02:32,because it killed a cow.
00:02:32,00:02:36,It's now worth 10 times more than it was originally.
00:02:36,00:02:39,So they're thinking maybe there's something going dodgy going on here.
00:02:39,00:02:40,And then there's another twist.
00:02:40,00:02:44,"So around the same area, actually, in Chile and the Atacama,"
00:02:44,00:02:46,there was a large meteorite landed there.
00:02:46,00:02:48,And the load of people collected it.
00:02:48,00:02:49,And this was a really famous one.
00:02:49,00:02:53,And it landed in a dry riverbed called Thakamwurta.
00:02:53,00:02:56,"How do you-- sorry, how do you pronounce that?"
00:02:56,00:02:58,Thakamwurta.
00:02:58,00:02:59,[LAUGHTER]
00:02:59,00:03:00,"Sorry, yeah."
00:03:00,00:03:03,[LAUGHTER]
00:03:03,00:03:07,Whatever Andy just said means a dead cow in Spanish.
00:03:07,00:03:09,And so the theory is that maybe these people
00:03:09,00:03:11,heard about this famous one.
00:03:11,00:03:12,"And that, they went, that gives me an idea."
00:03:12,00:03:15,I'm going to pretend my cow got hit by that.
00:03:15,00:03:18,"And then when anyone comes, I'll have the rock."
00:03:18,00:03:20,"But then I can say, oh, no, I ate the cow."
00:03:20,00:03:20,Right.
00:03:20,00:03:21,I'll check that.
00:03:21,00:03:23,"But don't they-- they do test these rocks, right?"
00:03:23,00:03:25,"Oh, yeah, you can tell if a meteorite is a meteorite."
00:03:25,00:03:27,So they test his rock.
00:03:27,00:03:28,"I mean, presumably, they did."
00:03:28,00:03:30,"Yeah, so the meteorite is definitely a meteorite."
00:03:30,00:03:31,"Yeah, OK."
00:03:31,00:03:33,"But the question is, did it kill the cow or not?"
00:03:33,00:03:35,"Oh, that's what some people are skeptical about."
00:03:35,00:03:36,"Right, OK, I see."
00:03:36,00:03:38,Have you guys heard of the Nakala meteorite
00:03:38,00:03:39,which fell on Egypt in 1911?
00:03:39,00:03:40,Nope.
00:03:40,00:03:43,The story is that it vaporized a dog.
00:03:43,00:03:45,"Oh, yes."
00:03:45,00:03:48,"But that is very much the story of it, as in there's no evidence."
00:03:48,00:03:52,Because obviously the dog was vaporized.
00:03:52,00:03:53,Just what makes people think it's not quite true.
00:03:53,00:03:54,Yeah.
00:03:54,00:03:56,I read a really cool story that people
00:03:56,00:04:01,used to think that Venus fly traps were aliens traveling
00:04:01,00:04:04,on meteorites that landed on Earth.
00:04:04,00:04:06,"Because back in the day, Venus, what are you on about?"
00:04:06,00:04:08,"No, this is--"
00:04:08,00:04:09,I read this on the BBC's website.
00:04:09,00:04:14,"Back in the day, Venus fly traps would be very unpredictable"
00:04:14,00:04:15,and where they came up.
00:04:15,00:04:17,And they would go to places where they would think
00:04:17,00:04:18,a meteorite had landed.
00:04:18,00:04:21,"And very often, they would see out of place Venus fly traps."
00:04:21,00:04:22,And it looks like an alien.
00:04:22,00:04:25,And so they thought it's an alien.
00:04:25,00:04:27,It only looks like an alien because we've
00:04:27,00:04:31,"designed alien things after it, like movies and stuff like that."
00:04:31,00:04:32,Yeah.
00:04:32,00:04:34,"Actually, our aliens look like Venus fly traps."
00:04:34,00:04:34,You're right.
00:04:34,00:04:35,"Is that way around, isn't it?"
00:04:35,00:04:36,Yeah.
00:04:36,00:04:37,But they did.
00:04:37,00:04:39,People used to attribute--
00:04:39,00:04:41,"sorry, Dan."
00:04:41,00:04:44,But we're fine with vaporizing dog story over here.
00:04:44,00:04:50,"Yeah, that was a very sad story."
00:04:50,00:04:52,Poor dog.
00:04:52,00:04:54,They-- people would make money out of meteorites.
