start_hhmmss,end_hhmmss,text
00:00:00,00:00:18,[music]
00:00:18,00:00:28,"Hello, and welcome to another episode of no such thing as a fish, a weekly podcast this week coming to you live from the Sydney Opera House!"
00:00:28,00:00:34,[cheering]
00:00:34,00:00:52,"My name is Dan Schreiber, and I am sitting here with Anna Chazinski, Andrew Huntson Murray, and James Harkin, and once again we have gathered around the microphones with our four favorite facts from the last seven days, and in a particular order, here we go, starting with you, Andy."
00:00:52,00:01:07,"My fact is that the BBC has sound effects, including indisposed chicken, more or less normal chicken, standard orgy, and comedy orgy."
00:01:07,00:01:16,"Now, it will be very remiss if we want to play for you some of these tonight."
00:01:16,00:01:26,"Have you got the clips? I've got clips all right, so yeah, they've got a sound off archive of 60,000 effects, and so here's indisposed chicken."
00:01:26,00:01:35,[laughing]
00:01:35,00:01:44,"What, how often are the BBC playing out sitcoms where enter indisposed chicken? And indisposed to do what?"
00:01:44,00:01:52,"I don't know, it's sounding pretty distressed though. So there's also, now we've got standard orgy here, just as a baseline."
00:01:52,00:01:57,[laughing]
00:01:57,00:02:01,I think I can hear a few chickens in there.
00:02:01,00:02:04,[laughing]
00:02:04,00:02:08,Yeah. It's definitely a cock and bull somewhere.
00:02:08,00:02:13,"And here, because I know we all want to hear it, is comedy orgy."
00:02:13,00:02:18,[screaming]
00:02:18,00:02:21,[screaming]
00:02:21,00:02:26,[screaming]
00:02:26,00:02:29,"The BBC, ladies and gentlemen."
00:02:29,00:02:36,"And the amazing thing is, they've made this open to the public. This whole archive, 16,000 effects, and you can download them."
00:02:36,00:02:43,"And for non-commercial reasons, you can use them. And it's a fantastic archive. It's got such funny stuff."
00:02:43,00:02:49,"Just on those orgy clips, the legend at the BBC is that they were recorded by a studio manager in the 1970s."
00:02:49,00:02:52,That sounds about right now at the BBC.
00:02:52,00:02:54,[laughing]
00:02:54,00:03:00,"And though it was colleagues during their lunch breaks, he'd say, ""Come on, you're coming up to make some orgy sounds during a lunch break."""
00:03:00,00:03:01,Is that right?
00:03:01,00:03:02,"Well, supposedly so, yeah."
00:03:02,00:03:05,"God, lunch breaks are more fun in the olden days."
00:03:05,00:03:08,[laughing]
00:03:08,00:03:15,"Yeah, it's very cool though. So these are all now free to use for anyone, hence the reason we're allowed to do that right here right now."
00:03:15,00:03:17,I think you asked for a special permission.
00:03:17,00:03:19,I did ask for a special permission.
00:03:19,00:03:28,"In case we had wanted to use thirsty buttery cars in shed or two Xiaomi's cats, one coughing occasionally."
00:03:28,00:03:33,[laughing]
00:03:33,00:03:38,"And if you want to play a fight sound effect, they've got three people brawling. They've got six people brawling."
00:03:38,00:03:42,"And if those aren't enough, you can do 36 people brawling."
00:03:42,00:03:43,Wow.
00:03:43,00:03:44,"Yeah, it's been a long time reading this list."
00:03:44,00:03:51,"They have a riot in Belfast, don't they? Right in Belfast with breaking glass rubber bullets, distant cries and chants."
00:03:51,00:03:55,"And then they also have riot in Belfast, more subdued."
00:03:55,00:04:00,[laughing]
00:04:00,00:04:05,"We're going to go for another take on the riot, guys. Could you just keep it down a bit this time please?"
00:04:05,00:04:12,"Yes, I was specific though. They've like said they've got Belgian post office brackets busy, I think."
00:04:12,00:04:17,"Which is, if you want a French post office brackets busy, do you think that's a disaster?"
00:04:17,00:04:20,"If only got the Belgian one, there's nothing we can do."
00:04:20,00:04:27,"Well, it's a really weird mix of things that were recorded specially, like for example comedy orgy, or things that are recording history."
00:04:27,00:04:31,So they've got an air raid on Battersea from 1940 during the Battle of Britain.
00:04:31,00:04:36,"That obviously is not going to happen again, so you're not going to have a comedy air raid on Battersea."
00:04:36,00:04:38,"No, you're not going to have a comedy air raid on Battersea."
00:04:38,00:04:41,[laughing]
00:04:41,00:04:44,We're annoying.
00:04:44,00:04:53,"It's amazing, isn't it? When you look into the stories behind where sounds come from, as you say, they were at lunch break and they would come and do a comedy orgy."
00:04:53,00:05:05,"That famous one, I think it's quite famous, they're in Jurassic Park, the sound of the Loser Raptors barking, that's a ruck, with turtles having sex."
00:05:05,00:05:13,"I don't know if you know that, but you can see footage and there's a lot of it online of turtles having sex, which I highly recommend."
00:05:13,00:05:15,[laughing]
00:05:15,00:05:21,"And as they're going at it, there's this like kind of noise."
