start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,*sigh*
00:00:01,00:00:02,*laughs*
00:00:02,00:00:04,*whistling*
00:00:04,00:00:08,(in foreign language)
00:00:08,00:00:17,(in foreign language)
00:00:17,00:00:23,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming"
00:00:23,00:00:26,to you from the QI offices in Covenant Garden.
00:00:26,00:00:31,"My name is Dan Schreiber and I'm sitting here with Anna Chazinski, Alex Bell and James"
00:00:31,00:00:36,Harkin and once again we have gathered around the microphones with our four favorite facts
00:00:36,00:00:42,"from the last seven days and in no particular order, here we go, starting with you Chazinski."
00:00:42,00:00:47,My fact is that the world record for the longest time spent holding one's breath is exactly
00:00:47,00:00:50,the same length as this podcast episode.
00:00:50,00:00:51,Wow.
00:00:51,00:00:53,How left can we possibly know how long this episode is going to be?
00:00:53,00:00:58,I have my magic powers and knowledge that you're a good editor have told me.
00:00:58,00:01:01,So tell me how long do we have to edit two?
00:01:01,00:01:05,"So you have to edit to 24 minutes and three seconds, is that okay?"
00:01:05,00:01:11,And this is a record that was set by Alex Segura in 2016 and he's a champion in the sport
00:01:11,00:01:12,of static apnea.
00:01:12,00:01:13,I can't believe it's a sport.
00:01:13,00:01:14,It's a sport.
00:01:14,00:01:15,It's a sport.
00:01:15,00:01:20,It's the sport of lying face down in a swimming pool and holding your breath while remaining
00:01:20,00:01:21,still.
00:01:21,00:01:24,I can get on board with for the Olympics.
00:01:24,00:01:29,"We should say that this record that he broke is looked down upon by some static apneasts,"
00:01:29,00:01:34,"including himself actually, because this one involved him inhaling pure oxygen."
00:01:34,00:01:35,"That means you can hold your breath for much, much longer."
00:01:35,00:01:37,So that doubles the volume of oxygen that you can store in your lungs.
00:01:37,00:01:41,So you breathe oxygen for something like 30 minutes before you go for the record attempt?
00:01:41,00:01:42,Yes.
00:01:42,00:01:49,"So 24 minutes, that's the length of a sitcom episode if you were watching an American sitcom"
00:01:49,00:01:50,without adverts.
00:01:50,00:01:51,"Well, is it though?"
00:01:51,00:01:52,Yeah.
00:01:52,00:01:55,"Well, not the new Netflix series style sitcoms, but if you go classic Seinfeld or Friends"
00:01:55,00:01:56,episode.
00:01:56,00:01:57,Specifically Seinfeld.
00:01:57,00:01:59,Seinfeld is getting shorter.
00:01:59,00:02:00,What?
00:02:00,00:02:08,"So the TBS have been caught broadcasting episodes of Seinfeld in fast forward, 9% faster than"
00:02:08,00:02:09,the original record.
00:02:09,00:02:10,So does he sound like a chipmunk?
00:02:10,00:02:15,"No, weirdly he doesn't, because you can get away with maybe up to about 15% without really"
00:02:15,00:02:16,noticing it.
00:02:16,00:02:20,"But if you put them side by side, obviously, you notice, but who does that?"
00:02:20,00:02:24,"Was Alfred and the chipmunks originally like four hours long, which I'll tell you?"
00:02:24,00:02:27,I was sort of still on while.
00:02:27,00:02:28,That is amazing.
00:02:28,00:02:29,So you lose what?
00:02:29,00:02:30,Six minutes an hour?
00:02:30,00:02:31,"Yeah, yeah."
00:02:31,00:02:32,Exactly.
00:02:32,00:02:34,So you get an extra minute or so of adverts for each episode?
00:02:34,00:02:39,"On sitcoms, do you know that the world's first sitcom, No Episodes Survive of it?"
00:02:39,00:02:41,"This is just a kind of, I've only mentioned this because it's the kind of thing that makes"
00:02:41,00:02:46,"Alex really angry, but it was on the BBC and it was broadcast from 1946 to '47, it was"
00:02:46,00:02:50,"called 'Pinwrights Progress', and I was just really excited to see it because it stars"
00:02:50,00:02:55,"someone called James Hater, who played Friar Tuck in a Robin Hood film that I swear no one"
00:02:55,00:02:58,"else on Earth has ever seen except me, and I recognised him."
00:02:58,00:03:01,"Oh, I thought it was because you're a James Hater."
00:03:01,00:03:04,"And that subconsciously, I think, was the reason that I pursued this fact further."
00:03:04,00:03:07,"There was a footballer called James Hater, and my brother used to always like him because"
00:03:07,00:03:09,my brother's also a James Hater.
00:03:09,00:03:14,"There's, we've got a big club, but yeah, they've lost all the episodes."
00:03:14,00:03:18,"James Hater was also, by the way, the original voice of Mr. Kippling makes exceedingly good"
00:03:18,00:03:19,cakes.
00:03:19,00:03:20,That's very cool.
00:03:20,00:03:26,"The thing I love about this breathing thing is, people who do it without oxygen have gone"
00:03:26,00:03:31,"for about half as long as Alex Segura, but whoever does it, if you really push yourself"
00:03:31,00:03:35,"to the limit, when you come up, would you have thought you'd breathe in or out?"
00:03:35,00:03:36,You always breathe out.
00:03:36,00:03:37,"You always breathe out, right?"
00:03:37,00:03:40,"Despite where there's no oxygen now, what do you do?"
00:03:40,00:03:41,"No, because you're well."
00:03:41,00:03:45,"Well, so we always breathe out, right?"
00:03:45,00:03:48,"Because when you suddenly start getting out of breath underwater, it's because your body"
00:03:48,00:03:53,"has this automatic response to having too much buildup of carbon dioxide, which is an emergency"
00:03:53,00:03:56,"response, which says, ""Get up, get up, breathe, breathe, breathe,"" because if you've got too"
00:03:56,00:03:58,"much carbon dioxide, it knows you're going to run out of oxygen."
00:03:58,00:04:03,But all these champion static atmonists have learned to totally override that response.
00:04:03,00:04:07,"So they go underwater, they hold their breaths, and the oxygen just gets absorbed and absorbed"
00:04:07,00:04:08,and absorbed.
00:04:08,00:04:11,"So by the time they come up, they need to breathe in straight away."
00:04:11,00:04:13,So that's how you spot the difference between an expert and an amateur.
00:04:13,00:04:15,We breathe out and they breathe in.
00:04:15,00:04:19,I suppose the other way of spotting an amateur versus expert is the expert comes up 24 minutes
00:04:19,00:04:20,later.
00:04:20,00:04:27,"I was reading that insects often hold their breath, and they do it for hours and even days"
00:04:27,00:04:28,at a time.
00:04:28,00:04:32,"And the reason is, is that too much air would actually kill them, so they're actually stopping"
00:04:32,00:04:36,"air from coming in to save their lives, because too much of it damages their tissues."
00:04:36,00:04:38,So it's simply a process of stopping.
00:04:38,00:04:40,So too much oxygen damages them?
00:04:40,00:04:41,Yeah.
00:04:41,00:04:42,Exactly.
00:04:42,00:04:43,Sometimes.
00:04:43,00:04:44,Sometimes do they like rust?
00:04:44,00:04:45,Yes.
00:04:45,00:04:46,That's why they're all a bit brown.
00:04:46,00:04:47,Is that what I'm saying?
00:04:47,00:04:48,Yeah.
00:04:48,00:04:49,They're all rusty.
00:04:49,00:04:50,They're all just rusty.
00:04:50,00:04:51,Yeah.
00:04:51,00:04:54,"But yeah, if you see an insect, it's most likely holding its breath."
00:04:54,00:04:56,That's so cool.
00:04:56,00:05:00,"I was reading a 2016 Savage University study about sighing, and sighing is really interesting,"
00:05:00,00:05:05,"so sighing is basically just a breathing in, and they're breathing in again instead"
00:05:05,00:05:06,of breathing out.
00:05:06,00:05:09,"You're just taking in twice as much air, and the reason you do it, or one of the reasons"
00:05:09,00:05:14,"you do it, is to inflate the alveoli more than it usually gets, because your alveoli always"
00:05:14,00:05:15,sort of collapsing.
00:05:15,00:05:16,Yeah.
00:05:16,00:05:20,"The alveoli, the tiny little sacks on the edge of your lungs that absorb the oxygen into"
00:05:20,00:05:21,"the rest of your body, aren't they?"
00:05:21,00:05:22,Yeah.
00:05:22,00:05:23,Lots of different alveoli edges collapsing on their own.
00:05:23,00:05:27,And so they periodically need to just be reinflated with a massive amount of air in your
00:05:27,00:05:28,"lungs, and that's what's sighing."
00:05:28,00:05:29,Really?
00:05:29,00:05:32,"I always thought I sighed, because I was really fed up with the 29th pun in a row that"
00:05:32,00:05:33,James had told.
00:05:33,00:05:36,And it's actually just all about my alveoli.
00:05:36,00:05:40,I always thought James had to go back to your club.
00:05:40,00:05:44,"And what's really interesting is that when they originally built iron lungs, which are the"
00:05:44,00:05:49,"coffin, like, things that you put people in when they're having breathing difficulties,"
00:05:49,00:05:54,"and it's basically a pressure chamber that forces people to breathe from the outside,"
