start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,*starts playing*
00:00:15,00:00:21,Hello and welcome to another episode of no such thing as a fish a weekly podcast coming
00:00:21,00:00:24,to you from the QI offices in Covent Garden.
00:00:24,00:00:29,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, James Harkin and"
00:00:29,00:00:33,Anich Zinsky and once again we have gathered around the microphones with our four favorite
00:00:33,00:00:39,facts from the last seven days and a no particular order here we go.
00:00:39,00:00:44,"Starting with my fact this week, my fact is that the legendary sumo wrestler, my noomi"
00:00:44,00:00:50,"Shuhei, injected silicone into his scalp so that he could meet the height requirements"
00:00:50,00:00:52,to become a sumo.
00:00:52,00:00:53,What were they?
00:00:53,00:01:01,"You had to be 173 centimeters tall, this was back in the day up until the 90s so that was"
00:01:01,00:01:02,the height requirements.
00:01:02,00:01:03,Is that about 5 foot 9?
00:01:03,00:01:05,"Yeah, I believe that about 5 foot 9."
00:01:05,00:01:09,"Yeah, and so a lot of wrestlers were very close, 5 foot 8, 5 foot 7 and they just weren't"
00:01:09,00:01:15,quite there and 172 centimeters and so what they used to do and this is what this wrestler
00:01:15,00:01:21,"Shuhei did, he went to a doctor and he had surgically inserted into his scalp a little"
00:01:21,00:01:26,bag that could be filled with silicon and the silicon would go up to 4 centimeters high.
00:01:26,00:01:29,The other thing that they used to do before the silicon thing was bash themselves on the
00:01:29,00:01:33,"head so they get a lump which would then be just, you know like in a cartoon how it goes"
00:01:33,00:01:36,"no, that's what they genuinely don't get that."
00:01:36,00:01:39,You can't guarantee you're going to bruise like that.
00:01:39,00:01:43,I would concentrate on growing hair instead of beating myself on the head.
00:01:43,00:01:46,"No, but they push, they push us a ruler down on your head, yeah."
00:01:46,00:01:49,Also all sumo's have that quite flat hair don't they?
00:01:49,00:01:55,"Yeah, yeah, so this guy I just want to apologize if I've pronounced his name wrong."
00:01:55,00:01:58,"In fact, I'm just going to refer to him by his nickname I think instead."
00:01:58,00:02:01,"Yeah, you should worry about him because he's pretty tall these days."
00:02:01,00:02:02,He's definitely have you in a fight.
00:02:02,00:02:05,"Yeah, he's like 7 foot tall now."
00:02:05,00:02:06,"Yeah, it's funny."
00:02:06,00:02:07,He keeps going.
00:02:07,00:02:08,Yeah.
00:02:08,00:02:09,"No, he doesn't."
00:02:09,00:02:11,You get one enlargement and then after a while it's not enough.
00:02:11,00:02:12,Exactly.
00:02:12,00:02:13,Yeah.
00:02:13,00:02:18,So he has a nickname which he's known by to the fans which is Waza no Depato translates
00:02:18,00:02:20,roughly as Department Store of Techniques.
00:02:20,00:02:21,So I will refer to him.
00:02:21,00:02:22,Department Store.
00:02:22,00:02:25,Why do you think you could say the nickname easier than you could say my new Mishu?
00:02:25,00:02:29,I actually just flew over that and then headed straight to the Department Store of Techniques.
00:02:29,00:02:31,The Department Store of Techniques.
00:02:31,00:02:32,He was an amazing guy.
00:02:32,00:02:37,So he was known for using 33 different what they call Kimmerite which are basically finishing
00:02:37,00:02:39,moves.
00:02:39,00:02:42,He did one which was a triple attack force out.
00:02:42,00:02:47,"So he's simultaneously trapped the guy's leg, grabbed another and pushed his head into his"
00:02:47,00:02:48,chest.
00:02:48,00:02:50,The opponent's head into the opponent's chest.
00:02:50,00:02:51,"Oh, sorry."
00:02:51,00:02:52,What?
00:02:52,00:02:54,He pushed his opponent's head into his opponent's chest.
00:02:54,00:02:55,Yeah.
00:02:55,00:02:58,So he brought his head down in there while tripping him up and while grabbing a leg and that's
00:02:58,00:02:59,called a triple threat.
00:02:59,00:03:02,So it's kind of like you're forcing someone into a forward sort of thing.
00:03:02,00:03:04,You trip them over and then you bend their head down.
00:03:04,00:03:05,Yeah.
00:03:05,00:03:09,So you don't push their head just straight down so it goes back into their chest.
00:03:09,00:03:13,Which means maybe that they then don't need the height requirement.
00:03:13,00:03:14,Automatic win.
00:03:14,00:03:20,And these days you can qualify through speed and agility as well as height or instead of
00:03:20,00:03:21,height.
00:03:21,00:03:22,Can you?
00:03:22,00:03:23,Yeah.
00:03:23,00:03:27,"If you're really fast, really agile and tiny."
00:03:27,00:03:32,"There is one move in Sumo, one technique called Henker which I don't know if this guy did"
00:03:32,00:03:38,but it's the way that the winner of the Sumo championships in 2016 won it and the Henker
00:03:38,00:03:43,is when your rival like hurdles towards you super fast to take you down and then you
