start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi guys, just before we start this show, we wanted to apologise because last week we released the podcast a day early."
00:00:06,00:00:07,"No, we didn't."
00:00:07,00:00:09,"You're right, we didn't, did we?"
00:00:09,00:00:11,We didn't do anything wrong.
00:00:11,00:00:12,"No, who did something wrong?"
00:00:12,00:00:14,I did.
00:00:14,00:00:15,"Yes, you did, didn't you, Alex?"
00:00:15,00:00:19,"Do you know what this excuse was? Initially, daylight savings messed 'em up."
00:00:19,00:00:22,"Oh, yeah, that one hour set you an entire day back."
00:00:22,00:00:25,"It is, yeah, I just was really confused, I just went the whole week thinking it was a day before,"
00:00:25,00:00:29,"and I had Friday off as well, so it was my Friday, it was Friday for me."
00:00:29,00:00:31,"Right, sorry, it wasn't Friday for everyone else."
00:00:31,00:00:36,"And I think, are you spent that Friday off reading a new book that you've been particularly enjoying, didn't you?"
00:00:36,00:00:41,"Yes, I did, it was a reading book, it's the book of the year 2018."
00:00:41,00:00:42,Oh my gosh!
00:00:42,00:00:50,"Yeah, I've been told, I mean, I'm saying of my own volition, that it's a fantastic book, I think it's better than Harry Potter."
00:00:50,00:00:51,Wow!
00:00:51,00:00:56,"That's, I didn't even, well, no, I did tell him to say that, but he delivered it very well, I thought."
00:00:56,00:01:01,"Yeah, it has a gun to my head. It's not a addict, come on, I'm just pleased to see you."
00:01:01,00:01:02,It's more of a...
00:01:02,00:01:12,"That said, it's just never delivered, whatever is in the trousers, poking the sight of your temple off of a tent."
00:01:12,00:01:15,"Listen, Alex, have you got any favourite bits from the book?"
00:01:15,00:01:23,"I do, actually, I have this fact that I just found, which is that Stan Rwinker was knocked out of the Australian open by Tennis Sandgren."
00:01:23,00:01:29,"That's a man called Tennis, who plays Tennis, and comes from Tennis-y."
00:01:29,00:01:30,No way!
00:01:30,00:01:34,"That's amazing, and that would have been even more amazing if it was delivered with any kind of..."
00:01:34,00:01:36,"Sorry, sorry, sorry."
00:01:36,00:01:39,"Read the one above it, come on, the Tennis Sandgren."
00:01:39,00:01:43,A woman called Crystal Methvin was arrested for possessing Crystal meth.
00:01:43,00:01:44,Better.
00:01:44,00:01:44,What?
00:01:44,00:01:45,Much better.
00:01:45,00:01:47,"Wow, where do you get this book?"
00:01:47,00:01:53,"You can get it in all good bookshops or online, and please buy lots of copies, because there isn't a massive uptake in sales, I think I'm going to be fired."
00:01:53,00:01:55,"Yeah, that's true."
00:01:55,00:01:57,"There will be firing, literally."
00:01:57,00:01:58,Wow.
