start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,So you don't want to go back to sleep?
00:00:07,00:00:20,"Hello and welcome to another episode of No Such Things A Fish, a weekly podcast coming"
00:00:20,00:00:23,to you from the QI offices in Covent Garden.
00:00:23,00:00:28,"My name is Anna Toshinsky and I'm sitting here with James Arkin, Andrew Hunter Murray and"
00:00:28,00:00:34,"this week we are with Ed Brooke Hitching, our fellow QI Elf, who has just written a new book,"
00:00:34,00:00:35,right?
00:00:35,00:00:41,"Yes, it's called The Golden Atlas, a history of exploration, just filled with that kind"
00:00:41,00:00:43,of quirky QI style facts.
00:00:43,00:00:48,"Yes, it is a really beautiful looking book full of amazing looking kind of maps and little"
00:00:48,00:00:50,factoids about exploration.
00:00:50,00:00:54,"Get it now, go to Ed's Twitter feed or any book show after the show."
00:00:54,00:00:57,"After the show, sorry, get it in, you know, however long it takes to listen to this."
00:00:57,00:01:02,"It's available in any bookshop or online and for now, once again, we're gathered here"
00:01:02,00:01:08,"with our four favourite facts from the last seven days in no particular order, here we go."
00:01:08,00:01:10,"Starting with you, Ed."
00:01:10,00:01:17,So my fact is the most experienced sailor of all Captain Cook's First Voyage was a goat.
00:01:17,00:01:20,"But yes, she previously sailed around the world."
00:01:20,00:01:24,"When you say she was experienced, she didn't do any sailing, presumably, she was just on"
00:01:24,00:01:25,milk provision.
00:01:25,00:01:29,"I don't think she was too, like, nifty with the ropes, if that's what I mean."
00:01:29,00:01:34,"But yeah, she'd survived, like a global, like a circumnavigation, you know, I think she'd"
00:01:34,00:01:36,survived three shipwrecks as well.
00:01:36,00:01:37,Wow.
00:01:37,00:01:38,That's pretty amazing.
00:01:38,00:01:39,All for her milk.
00:01:39,00:01:41,"So she was, yeah, a really impressive."
00:01:41,00:01:42,What was she called?
00:01:42,00:01:45,"Oh, she didn't have a name, but she's known as the well-traveled goat."
00:01:45,00:01:50,"That is the first animal to travel around the world and in fact, wasn't she the first female"
00:01:50,00:01:51,to travel around the world?
00:01:51,00:01:52,"Yes, in the world."
00:01:52,00:01:53,And they didn't even give her a name.
00:01:53,00:01:57,They named her the well-traveled and then they got her species name at the end.
00:01:57,00:01:58,That's wrong with that.
00:01:58,00:01:59,Yeah.
00:01:59,00:02:02,"But they gave her some jewelry, like, when she returned, safe and sound, she went to live"
00:02:02,00:02:09,"in Marlend and they gave her a silver collar, and she was quite a fancy goat."
00:02:09,00:02:12,"And then when she died, Dr. Johnson wrote her epitaph."
00:02:12,00:02:16,Do you think they brought her on because she was so experienced as well as her milk stuff?
00:02:16,00:02:21,"Like, because you could get milk from any goat, but this is a goat that's been on two"
00:02:21,00:02:22,different experts.
00:02:22,00:02:26,"Yeah, she's probably there like a cigarette in her hand, like, no worries at all."
00:02:26,00:02:29,"But I guess, well, she could have been thought of as a lucky goat if she'd survived Chebrax."
00:02:29,00:02:30,Yeah.
00:02:30,00:02:31,Definitely.
00:02:31,00:02:32,So that's something.
00:02:32,00:02:36,Captain Cook actually once did chase a goat across an entire island.
00:02:36,00:02:37,That's true.
00:02:37,00:02:39,Was it a big island?
00:02:39,00:02:40,I don't know.
00:02:40,00:02:42,"It was a stolen goat, though."
00:02:42,00:02:43,That's it.
00:02:43,00:02:46,"So he, Captain Cook was making these voyages around the world, wasn't he?"
00:02:46,00:02:50,"And the first one was scientific and the other two were discovering, you know, botanical"
00:02:50,00:02:55,"things and lamb masses and that frequently things got next by the people he encountered,"
00:02:55,00:02:59,the aboriginals who he was meeting for the first time because there wasn't the same sense
00:02:59,00:03:02,of property rights and ownership and things like that.
00:03:02,00:03:04,"And some things he said, no, we should just let it go."
00:03:04,00:03:05,This doesn't matter.
00:03:05,00:03:09,"And then, but other times, when it was an important thing for the mission, he was really"
00:03:09,00:03:11,a stickler for getting it back.
00:03:11,00:03:15,"And we wanted the goat back because the third voyage, one of the missions was to introduce"
00:03:15,00:03:18,"European livestock, so pairs of European livestock."
00:03:18,00:03:22,"So if you've lost one goat, it's very, very hard to get goat breeding."
00:03:22,00:03:26,"I can't remember if they didn't bring a spare, though, because you'd assume that a couple"
00:03:26,00:03:27,might go.
00:03:27,00:03:29,"I would have brought five or six, I think."
00:03:29,00:03:32,"Yeah, I mean, if we can just stock six ships worth of stuff, then that's fine."
00:03:32,00:03:35,"I think it was quite crowded for space on these ships, Anna."
00:03:35,00:03:36,Fair enough.
00:03:36,00:03:38,You would have been the worst on Noah's Ark.
00:03:38,00:03:39,Why have you only got two of them?
00:03:39,00:03:43,One of these didn't fancy each other.
00:03:43,00:03:48,"Well, a lot of room on the ship would have been taken up with Sour Crout."
00:03:48,00:03:51,"They brought several tons of Sour Crout, because Captain Cook was one of the first to realize"
00:03:51,00:03:58,"that scurvy could be treated with vitamins, and he didn't quite understand why, but he"
00:03:58,00:04:02,"had to convince no one like Sour Crout, so the way that he convinces Cruder to eat it was"
00:04:02,00:04:08,"to serve his officers in a really fancy way, and so the crew would get jealous and think,"
00:04:08,00:04:10,"""Oh, this must be something worth,"" stuff like that."
00:04:10,00:04:12,"Nouvelle Quizzine, Sour Crout."
00:04:12,00:04:13,"Yeah, exactly."
00:04:13,00:04:19,"That's a nice, white tablecloth, just a dumpload of Sour Crout."
00:04:19,00:04:20,That's really clever.
00:04:20,00:04:25,Did you know that one of his expeditions had his ostensible mission and then his secret mission?
00:04:25,00:04:31,"So this is his 1768 expedition, when he was officially going to Tahiti, he was supposed"
00:04:31,00:04:35,to observe the transit of Venus across the face of the sun and do a bunch of other scientific
00:04:35,00:04:36,stuff.
00:04:36,00:04:41,"But the British government told him, ""Do this, but here's a sealed envelope, and when"
00:04:41,00:04:45,"you've done that, you're allowed to open this sealed envelope, and that contains a secret"
00:04:45,00:04:47,"information for what you're actually supposed to do."""
00:04:47,00:04:48,It's like Taskmaster.
00:04:48,00:04:54,It was such an extreme long episode of Taskmaster.
00:04:54,00:04:57,"And yeah, he opened the envelope when he'd done his Tahiti business, and it said, ""Please"
00:04:57,00:04:59,"find the great Southern continent."""
00:04:59,00:05:03,"Everyone was convinced there was a big continent down in the South Pole, and they were right."
00:05:03,00:05:06,"Obviously, but he tried to find it and failed."
00:05:06,00:05:11,"They knew something was there and it was all based on, sort of, like, sightings of little islands,"
00:05:11,00:05:12,maybe ice flows.
00:05:12,00:05:13,Yeah.
00:05:13,00:05:18,"But yeah, on the second voyage, they passed a cook and his men passed within 70 miles of"
00:05:18,00:05:20,Antarctica and didn't find it.
00:05:20,00:05:21,Wow.
00:05:21,00:05:22,That's so frustrating.
00:05:22,00:05:23,How do we know?
00:05:23,00:05:26,Do they leave footprint in the sea?
00:05:26,00:05:27,What of where they went?
00:05:27,00:05:28,Yeah.
00:05:28,00:05:29,"No, they have maps."
00:05:29,00:05:30,"Oh, yeah."
00:05:30,00:05:31,They were riding it all down.
00:05:31,00:05:41,It's full of maps.
00:05:41,00:05:44,"I've been reading about the ship itself, the Endeavour."
00:05:44,00:05:48,"This is a very famous ship, but it was such an unglamorous ship."
00:05:48,00:05:53,"So it was a coal-carrying ship, which is not, you know, very glam."
00:05:53,00:05:54,It wasn't very fast.
00:05:54,00:05:58,It could only go about six or seven knots at nautical miles an hour.
00:05:58,00:06:03,"But nonetheless, it was incredibly hardy because it was designed to carry coal around and"
00:06:03,00:06:05,it was built to last.
00:06:05,00:06:08,So it did all these voyages.
00:06:08,00:06:09,It hit the Great Barrier Reef once.
00:06:09,00:06:13,"He just bumped into the Great Barrier Reef, and it tore a hole in the side of the ship and"
00:06:13,00:06:16,they had to dump six cannon overboard immediately.
00:06:16,00:06:17,So it wouldn't sink.
00:06:17,00:06:18,Probably damaged the coral as well.
00:06:18,00:06:19,"Oh, yeah."
00:06:19,00:06:20,But who cares?
00:06:20,00:06:24,"I mean, like I was just thinking that's effectively a footprint of the sea, isn't it?"
00:06:24,00:06:25,Yes.
00:06:25,00:06:26,That's how we know.
00:06:26,00:06:28,So I didn't mean that about who cares its coral.
00:06:28,00:06:29,I care a lot about the Great Barrier Reef.
00:06:29,00:06:30,Sorry.
00:06:30,00:06:31,I get it.
00:06:31,00:06:35,But scientists spent 200 years trying to find the cannon that he ditched overboard.
00:06:35,00:06:38,And they knew that he'd been around there because they left charts and maps saying where
00:06:38,00:06:39,they'd been.
00:06:39,00:06:45,But no one could actually find the exact cannon until 1969 when they went there with a magnetometer
00:06:45,00:06:49,"looking for the iron of the cannons, testing for magnetism as a barrier reef, yeah."
00:06:49,00:06:50,Very clever.
00:06:50,00:06:54,"Well, because we also recently found quite recently found the Endeavour itself, didn't"
00:06:54,00:06:55,we?
