start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"""Hello and welcome to another episode of no such thing as a fish, a weekly podcast this"
00:00:19,00:00:25,"week coming to you from our book of the year 2018 tour, live from the Union Chapel in London."""
00:00:25,00:00:42,"""My name is Dan Schreiber, I am sitting here with Anichesinski, Andrew Huntamari, and James"
00:00:42,00:00:46,"Harkin, and once again we have gathered around the microphones with our four favorite facts"
00:00:46,00:00:51,"from the last seven days at a no particular order, here we go."
00:00:51,00:00:54,"Starting with fact number one, and that's my fact this week."
00:00:54,00:01:04,"My fact is, the world's oldest krill was nine years old and was called Alan, he was called"
00:01:04,00:01:05,Alan.
00:01:05,00:01:09,"He was a nine-year-old krill and Alan would have lived to have been older, but unfortunately"
00:01:09,00:01:13,during a routine cleaning of his tank he escaped and fell down a drain.
00:01:13,00:01:17,"So yeah, it's a shame because he possibly had many more years."
00:01:17,00:01:21,"Maybe he survived the drainfall as well, maybe like finding Nemo, like he might be out there."
00:01:21,00:01:26,"""He thinks Alan is a less good title."""
00:01:26,00:01:30,"He might be more than nine as well because when they caught him he was an adult, so he probably"
00:01:30,00:01:32,at least two more years on top of that.
00:01:32,00:01:37,"""What do you escape as a krill because mostly your water based aren't you, but presumably"
00:01:37,00:01:40,"he had to sort of struggle out along some surfaces."""
00:01:40,00:01:43,"""They were changing the tanks, so they were cleaning the water out, so it was in the process"
00:01:43,00:01:49,of taking the lid off and exchanging waters that Alan thought finally after nine years.
00:01:49,00:01:50,"It's my chance."""
00:01:50,00:01:53,"""Yeah, but unfortunately there was a drain right next to it."""
00:01:53,00:01:59,"""Well, he was kept in his own jar for all those nine years by guy called Tom Akeda who is"
00:01:59,00:02:02,like one of the best krill scientists in the world.
00:02:02,00:02:03,"I mean, you all know him."""
00:02:03,00:02:04,"""Yeah."""
00:02:04,00:02:09,"""Well, I mean, we are actually going to do 20 minutes about krill."""
00:02:09,00:02:13,"But they found out that he was this age, probably about 11, and that is about five times"
00:02:13,00:02:16,longer than any krill had been known to be alive in the past.
00:02:16,00:02:17,"""Wow."""
00:02:17,00:02:21,"That's how we found out that they might be this old, and actually that had huge repercussions"
00:02:21,00:02:26,for the krill farming industry and the world at last.
00:02:26,00:02:28,So there's an interesting thing about krill.
00:02:28,00:02:34,"So they are the biggest species on earth by biomass, biggest wild species on earth."
00:02:34,00:02:42,"So humans, all of us all together, weigh about 350 million tons, cows beat us."
00:02:42,00:02:43,They win.
00:02:43,00:02:50,"They're kind of domesticated, so, but krill, which are not domesticated, just you try,"
00:02:50,00:02:52,can't be done.
00:02:52,00:02:56,"Well, for nine years you can keep one in a jar, but you can imprison it, but you can never"
00:02:56,00:02:57,tame his soul.
00:02:57,00:03:03,"""Good old Alan, always free at heart, wasn't it?"""
00:03:03,00:03:09,"""Krill, all the krill in the world weigh 379 million tons, so they beat humans in a fight,"
00:03:09,00:03:14,"they would, yeah, it would be a weird old fight, I think we can all agree that."""
00:03:14,00:03:16,"And that's just one type of krill, right?"
00:03:16,00:03:19,That's just the Antarctic krill species.
00:03:19,00:03:23,"So they're the ones, often when people say krill, they're actually talking about Antarctic"
00:03:23,00:03:24,krill.
00:03:24,00:03:25,Bear that in mind.
00:03:25,00:03:30,"They're actually about 85 species, but yeah, Antarctic krill are outweighing us."
00:03:30,00:03:31,It's incredible.
00:03:31,00:03:34,"And also, they swim in these big swarms, right?"
00:03:34,00:03:38,"So they can be up to 20 kilometers, these swarms that you see in the ocean, and some"
00:03:38,00:03:41,are so big that they've been spotted from space.
00:03:41,00:03:47,"You can see some of the swarms, not some of the krill, no krill is bigger than about two"
00:03:47,00:03:48,and a half inches.
00:03:48,00:03:50,"Oh, so it's the swarms, okay?"
00:03:50,00:03:57,"Yeah, no, obviously the swarms, yeah, they're tiny, but they have they swim in these huge"
00:03:57,00:03:58,lumps.
00:03:58,00:04:01,"And most of them are doing that, aren't they?"
00:04:01,00:04:08,So I think basically the vast majority of your Antarctic krill are in five or six swarms
00:04:08,00:04:14,"around the Antarctic at any one time, about 70% of the biomass in the whole Antarctic region"
00:04:14,00:04:18,will be in these four or five or six big swarms of krill.
00:04:18,00:04:21,They love flocking together and we don't really know why they swarm together.
00:04:21,00:04:23,We can't tell why it's particularly useful.
00:04:23,00:04:26,"In fact, it's actively almost sometimes not useful, right?"
00:04:26,00:04:31,Because they're eaten by almost everything else that lives around them.
00:04:31,00:04:34,"And once they get together that, it just gives them a bigger meal on their plate."
00:04:34,00:04:35,I don't get it.
00:04:35,00:04:42,"Another exciting few decades for krill discoveries, because we've just absolutely just blown"
00:04:42,00:04:45,our minds with new information as the years have gone by.
00:04:45,00:04:47,"The age of Alan, the age of Alan."
00:04:47,00:04:48,It was also...
00:04:48,00:04:49,I call it the age of Alan actually.
00:04:49,00:04:50,"Oh, yes."
00:04:50,00:04:52,"In the krill world, that's what it's known as."
00:04:52,00:04:53,"Yes, you're right."
00:04:53,00:04:54,It's that period.
00:04:54,00:05:00,"And so Tom, Akeda, he was the person who also discovered that they could survive for"
00:05:00,00:05:02,over 200 days of starvation.
00:05:02,00:05:03,Wow.
