start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,[ music ]
00:00:15,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:19,00:00:22,to you from the QI offices in Covert Garden.
00:00:22,00:00:27,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, James Harkin and"
00:00:27,00:00:31,Anna Chazinski and once again we have gathered around the microphones with our four favorite
00:00:31,00:00:36,facts from the last seven days and in no particular order here we go.
00:00:36,00:00:37,"Starting with you, Andy."
00:00:37,00:00:45,My fact is that in 1833 the pyramid at Giza was almost dismantled by the Pasha of Egypt
00:00:45,00:00:48,so that he could use the stones to build a dam.
00:00:48,00:00:49,That's brilliant.
00:00:49,00:00:50,That's amazing.
00:00:50,00:00:52,And why did he not do it in the end?
00:00:52,00:00:53,He was talked out of it.
00:00:53,00:01:00,Someone said he sure you want to destroy the most ancient site in the world.
00:01:00,00:01:05,So this was in 1833 and it was when Egypt was Ottoman ruled so it wasn't a local Egyptian
00:01:05,00:01:12,ruler exactly and he was called Muhammad Ali Pasha and he did a sort of cost benefit analysis
00:01:12,00:01:17,or he commissioned one from a civil servant to see how much it would cost and the civil
00:01:17,00:01:22,servant was a Frenchman and he thought maybe it wasn't a good idea for the pyramid
00:01:22,00:01:27,to be destroyed and his name was Linole Louis Maurice Adolf Linole and he was really young.
00:01:27,00:01:31,It was one of his first jobs but I think he you know the story goes that he thought maybe
00:01:31,00:01:32,this isn't a great idea.
00:01:32,00:01:36,So he came up with this cost benefit analysis which said look this is going to be quite expensive
00:01:36,00:01:40,and some of the stone isn't quite right and I know it's pretty cut and I know that's
00:01:40,00:01:43,really convenient obviously but maybe don't do it.
00:01:43,00:01:45,They did actually take some blocks didn't they from one of the pyramids?
00:01:45,00:01:48,Yeah it was one of the great pyramids wasn't it?
00:01:48,00:01:50,You can see that big gash down the side of it.
00:01:50,00:01:57,So it was the pyramid of Mencaure and it was a guy called Sultan Al Aziz Uthman and he
00:01:57,00:02:01,was in the 12th century and he decided to demolish the pyramids because he thought that
00:02:01,00:02:06,they were not according to his religion let's put it that way and they took a few stones
00:02:06,00:02:11,every day and after eight months they came up just like that says just this tiny little
00:02:11,00:02:15,gash on the side of the pyramid because they just realized that these things are absolutely
00:02:15,00:02:16,massive.
00:02:16,00:02:19,So I was looking up people visiting the pyramids and because this is about them in the
00:02:19,00:02:26,19th century so it turns out that people have been scribbling on the pyramids for many many
00:02:26,00:02:32,"years and Flobar Gustaf Flobar, a great French writer, visited Egypt in 1850 and he was so annoyed"
00:02:32,00:02:34,by all the graffiti everywhere.
00:02:34,00:02:39,He wrote to his uncle he said there was a huge number of imbeciles names written everywhere
00:02:39,00:02:42,and then he went to Alexandria he was really excited about Alexandria and then he wrote
00:02:42,00:02:48,back saying a certain Thompson of Sunderland has inscribed his name in letters six feet high
00:02:48,00:02:52,on Pompeii's column it can be read a quarter of a mile off there is no way of seeing the
00:02:52,00:02:56,column without seeing the name of Thompson this imbecil has become part of the monument
00:02:56,00:02:58,and is perpetuated with it.
00:02:58,00:03:03,Yeah I saw that and then I also thought well let me see if I can find out who Thompson
00:03:03,00:03:07,from Sunderland is so I was googling for I spent quite a lot of this morning doing this
00:03:07,00:03:12,actually but I tried to find people called Thompson from Sunderland around that time and what
00:03:12,00:03:18,I reckon is there was a shipbuilder called Thompson and he started his company about 15 years
00:03:18,00:03:23,before this happened and eventually became quite a big shipbuilder in Sunderland and my
00:03:23,00:03:28,guess is that's the kind of person who would leave Sunderland and go to Egypt to Alexandria
00:03:28,00:03:34,where this was and maybe that was an advert for Thompson of Sunderland rather than him writing
00:03:34,00:03:39,his name because it's in such big writing it's six feet high it would that would make quite
00:03:39,00:03:43,a lot of sense I think and also if he's a shipbuilder he's got the tools to do it probably.
00:03:43,00:03:47,Yeah the Victorians when they were touristing all over it they got much more access than
00:03:47,00:03:50,we did so they would be able to climb up all the time and that was actually what they did
00:03:50,00:03:55,and they have picnics on top so there are lots of pictures of Victorians with the picnic
00:03:55,00:03:58,tables and drinking champagne on top of Pyramid's way more fun.
