start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,[Instrumental]
00:00:15,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:20,00:00:23,to you from the QI offices in Covenant Garden.
00:00:23,00:00:28,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, James Harkin, and"
00:00:28,00:00:32,"Anna Chazinski, and once again we have gathered around the microphones with our four favorite"
00:00:32,00:00:37,"facts from the last seven days and in no particular order, here we go."
00:00:37,00:00:39,"Starting with you, Chazinski."
00:00:39,00:00:45,"My fact this week is that in Amsterdam, the roads are paved with used toilet paper."
00:00:45,00:00:47,Let's catch his gold.
00:00:47,00:00:54,"Yeah, Dick Wittington is very different there, and this is a really cool thing actually."
00:00:54,00:01:00,So the road constructor in the Netherlands called KWS has realised that to make a kind of
00:01:00,00:01:04,"improved version of tarmac, it can use the cellulose that it gets from recycled toilet paper,"
00:01:04,00:01:08,"so the toilet paper goes into the sewage system, you flush it into the sewage system, and"
00:01:08,00:01:12,then they basically put it through kind of a sieve which gets the poo out.
00:01:12,00:01:13,That's important.
00:01:13,00:01:17,That's a really important stage of this whole process.
00:01:17,00:01:20,"It is, you don't want to be driving on poo."
00:01:20,00:01:21,No.
00:01:21,00:01:27,"Or walking on it, after a night out in Amsterdam, none of those things."
00:01:27,00:01:34,"There's no poo in it, it's just paper and it thickens it apparently, so and it makes it"
00:01:34,00:01:38,"better absorbing water, so it improves it's like water wicking away from the surface of"
00:01:38,00:01:42,"the road, so it makes the roads less slippery, and apparently it reduces noise as well."
00:01:42,00:01:44,It's very quiet if you're walking on loop roll.
00:01:44,00:01:45,Right.
00:01:45,00:01:46,That makes sense.
00:01:46,00:01:47,So what's it mixed with?
00:01:47,00:01:49,It's not just the toilet paper that's just laid down.
00:01:49,00:01:51,"No, it's with asphalt."
00:01:51,00:01:52,It's the usual.
00:01:52,00:01:53,Okay.
00:01:53,00:01:54,It's usually ingredients.
00:01:54,00:01:57,I found a fact about what else you could make a road out of.
00:01:57,00:02:01,"You could make a road out of rubber, which is cool, so it's like the whole road is made"
00:02:01,00:02:02,of tires.
00:02:02,00:02:06,"If you're walking on that, you think it'd be easier to walk because you could bounce"
00:02:06,00:02:07,around.
00:02:07,00:02:08,I think so.
00:02:08,00:02:09,Yeah.
00:02:09,00:02:12,"They have to use tires, by the way, not just rubber, but actual ground up tires."
00:02:12,00:02:13,Sorry.
00:02:13,00:02:14,This is what I mean.
00:02:14,00:02:15,Yellow stuff like that.
00:02:15,00:02:16,"Oh, I didn't know it was in Yellowstone."
00:02:16,00:02:21,"They partnered up with Michelin, I believe it was, and they've, yeah, been grinding up the"
00:02:21,00:02:22,tires.
00:02:22,00:02:25,But then the tires on the cars are basically riding over the dead comrades.
00:02:25,00:02:26,Exactly.
00:02:26,00:02:29,"It's a bit depressing, isn't it?"
00:02:29,00:02:31,Very dark.
00:02:31,00:02:35,Is it the case then that we can just put anything in the roads?
00:02:35,00:02:37,Should we just be putting everything we don't need in the roads?
00:02:37,00:02:41,"So far, we've got plastic rubber, toilet paper, nuclear waste."
00:02:41,00:02:42,Nuclear waste.
00:02:42,00:02:43,Nuclear waste.
00:02:43,00:02:44,What are we doing?
00:02:44,00:02:45,Why is there even rubbish?
00:02:45,00:02:46,Every time we chuck a packet out of the car.
00:02:46,00:02:49,We're literally on tarmac.
00:02:49,00:02:50,You cigarette butts?
00:02:50,00:02:54,"Oh, well, do you know this is a weird thing."
00:02:54,00:02:57,"Lots of roads in London, we used to be paid for with wood."
00:02:57,00:02:58,Good.
00:02:58,00:03:01,And that was good partly because it was quieter under horses hooves.
00:03:01,00:03:06,"And also, it was less slippery, but it did have downsides because it would soak up horse"
00:03:06,00:03:07,urine.
00:03:07,00:03:10,And then if a heavy wagon passed over it would just squirt horse urine.
00:03:10,00:03:14,"That is a downside, isn't it?"
00:03:14,00:03:17,A place that has some quite exciting roads is Vermont.
00:03:17,00:03:21,So Vermont is covered in invisible roads.
00:03:21,00:03:22,Sorry.
00:03:22,00:03:23,Covered.
00:03:23,00:03:24,Covered.
00:03:24,00:03:25,Covered.
00:03:25,00:03:26,Covered in non-existent roads.
00:03:26,00:03:27,And it was causing a major problem.
00:03:27,00:03:34,"So basically, Vermont is the only state where if a road has ever been built or even planned"
00:03:34,00:03:39,"or someone suggested that we might put a road here, it goes down legally as a recognised"
00:03:39,00:03:40,road.
00:03:40,00:03:41,And it can never be undone.
00:03:41,00:03:45,So mostly a road is discontinued legally after a few years if it's not being used.
00:03:45,00:03:49,"So if you look at sort of old maps of Vermont, it's just the whole thing, it's just roads."
00:03:49,00:03:53,"And that means because roads are public highways, that means that you can have your house."
00:03:53,00:03:55,It's probably on an ancient by way of some sort.
00:03:55,00:03:59,And people could just wander through your house any time of day because they can say look
00:03:59,00:04:03,"at this old map from 1790, this used to be a road."
00:04:03,00:04:05,And people were getting really annoyed with this.
00:04:05,00:04:07,So I think they've actually had to address it.
00:04:07,00:04:12,"And there was a law that came out in about 2009 which said, okay, guys, you've got to stop"
00:04:12,00:04:15,claiming there's an old road here so you can walk into this person's drawing room.
00:04:15,00:04:19,"And places were told to claim their roads or lose them by 2015, I think."
00:04:19,00:04:23,"It's only that one guy who goes, oh, excuse me, that used to be a road here."
00:04:23,00:04:25,It's got a million maps in fact.
00:04:25,00:04:30,I've got to go somewhere.
00:04:30,00:04:35,Do you know how white lines on roads came about according to the internet?
00:04:35,00:04:39,So I would say it's to make sure that people stay on their side of the road.
00:04:39,00:04:40,It was that.
00:04:40,00:04:41,Yes.
00:04:41,00:04:42,But they were invented.
00:04:42,00:04:43,Well done.
00:04:43,00:04:44,10 points.
00:04:44,00:04:46,They were invented in 1911 in Michigan by I called Edward Hines.
00:04:46,00:04:51,And this is just the kind of thing that with research is so annoying because the Michigan
00:04:51,00:04:56,Department of Transportation and all these books say Edward Hines at the time he was chairman
00:04:56,00:04:58,of the county board of roads.
00:04:58,00:05:02,And he came up with the idea of putting white lines in the middle to stop cars just driving
00:05:02,00:05:03,in the middle of the road.
00:05:03,00:05:07,He came up with the idea after watching a leaky milk truck make its way down the road.
00:05:07,00:05:11,"Now you read that and you're like, that's obviously not true."
00:05:11,00:05:13,"He just thought, because the question is, why not?"
00:05:13,00:05:14,Why did he choose white?
00:05:14,00:05:18,"Well, because obviously you just choose white on black because if it was like a leaky"
00:05:18,00:05:21,"chuck with milkshake truck, he would have brown lines."
00:05:21,00:05:25,"There's just, and there's no evidence for it."
00:05:25,00:05:28,I always wonder who comes up with these things first.
00:05:28,00:05:29,Who decides?
00:05:29,00:05:30,Did he not clap?
00:05:30,00:05:37,"Well, there's certainly no evidence online of him crying over spilled milk, let's make"
00:05:37,00:05:38,a line out of it.
00:05:38,00:05:42,"But you say white being the obvious, but so at the time when they officially recognize"
00:05:42,00:05:46,"that, yes, we want to put this on all the roads in America and white was picked, Oregon"
00:05:46,00:05:50,said we want to do in yellow and they thought that that was a much better color.
00:05:50,00:05:55,Someone saw someone pissing on a road.
00:05:55,00:06:03,"Yeah, but they eventually did change it to yellow strips in America for the center parting"
00:06:03,00:06:04,of a road.
00:06:04,00:06:05,"Oh, is it yellow in a road?"
00:06:05,00:06:06,Yeah.
00:06:06,00:06:07,Yeah.
00:06:07,00:06:11,"You get yellow lines here and then red lines, which are the really serious ones."
00:06:11,00:06:12,So there are.
00:06:12,00:06:13,What are the serious ones?
00:06:13,00:06:14,I don't drive.
00:06:14,00:06:15,So I don't.
00:06:15,00:06:16,I don't know.
00:06:16,00:06:17,"I don't know if on a road I mean, really don't park here."
00:06:17,00:06:18,Yeah.
00:06:18,00:06:19,Yellow means you're probably fine.
00:06:19,00:06:20,Right.
00:06:20,00:06:24,"So road, which means like, it's roads going in and out of big cities where you really"
00:06:24,00:06:28,"do not want anyone ever parking that technically on a yellow lines, you can park there for"
00:06:28,00:06:29,like 10 minutes.
00:06:29,00:06:30,Okay.
00:06:30,00:06:31,"If you're loading, you're unloading."
00:06:31,00:06:32,Is that so?
00:06:32,00:06:33,Yeah.
00:06:33,00:06:35,"Someone swatted up for their theory test, didn't they?"
00:06:35,00:06:36,Yeah.
00:06:36,00:06:37,Yeah.
00:06:37,00:06:39,So I can see you failing it.
00:06:39,00:06:40,"Well, technically though."
00:06:40,00:06:44,"Technically, I have a lot to drive through this bad front room."
00:06:44,00:06:48,And who wants to take the QIL phone is next driving to Jesus.
00:06:48,00:06:54,"Something I've always found really amazing about road surfaces is a fact about Bitumen, which"
00:06:54,00:06:58,"I remember finding this out in the end series when I was researching the Nabatean, so with"
00:06:58,00:07:02,"this amazing Middle East and civilization, but basically the reason they were like the"
00:07:02,00:07:08,richest civilization from about 500 BC to 200 BC in Arabia.
00:07:08,00:07:10,And they got rich by selling tarmac.
00:07:10,00:07:13,And the way they got tarmac was they were near the Dead Sea.
00:07:13,00:07:18,"And this weird thing happened when there was an earth tremor of some sort, huge amounts"
00:07:18,00:07:21,of Bitumen would just suddenly bubble up to the surface of the Dead Sea.
00:07:21,00:07:25,So these massive islands of Bitumen just appeared and they would sit there like the size
00:07:25,00:07:26,of houses.
00:07:26,00:07:30,"And then the Nabateans would just row or swim out to them, climb onto them, and hack the"
00:07:30,00:07:33,Bitumen off and then go and sell it and they sell it to the Egyptians who used it in
00:07:33,00:07:34,embalming.
00:07:34,00:07:35,And they became super rich.
00:07:35,00:07:40,"And I just find that whole thing, like islands of tarmac, sort of exploded up."
00:07:40,00:07:41,That's amazing.
00:07:41,00:07:45,"And I think the word mummy comes from Bitumen because of that thing, I think, I think so."
00:07:45,00:07:46,Does it?
00:07:46,00:07:47,It comes from a word for Bitumen.
00:07:47,00:07:48,"Yeah, yeah."
00:07:48,00:07:49,I wonder why it stopped.
00:07:49,00:07:50,Presumably it stopped.
00:07:50,00:07:52,I think it ran out.
00:07:52,00:07:53,Wow.
00:07:53,00:07:54,I think they got all of it.
00:07:54,00:07:56,"They scavenged all the, all the Bitumen."
00:07:56,00:08:00,Speaking of things that came out of the ground unexpectedly.
00:08:00,00:08:02,Subströmling.
00:08:02,00:08:07,A man in the dutch city of Amsterdam has recently been injured after a pop-up public
00:08:07,00:08:12,toilet that was sunk into the ground emerged unexpectedly.
00:08:12,00:08:16,"The man was hit by a moped, which was thrown up in the air."
00:08:16,00:08:20,So there's like a toilet that just comes out at night for revelers and stuff like that and
00:08:20,00:08:21,they keep it underground normally.
00:08:21,00:08:25,"But just for some reason, it just popped up and there was a moped on top of it and it flew"
00:08:25,00:08:26,in the air and it hit this guy.
00:08:26,00:08:27,Wow.
00:08:27,00:08:28,So cool.
00:08:28,00:08:29,How fast do they pop up?
00:08:29,00:08:33,Is it going to blow as they swing out around like a Japanese ball?
00:08:33,00:08:34,Amazing.
00:08:34,00:08:35,That's terrifying.
00:08:35,00:08:39,"I've got a fact about toilet paper, actually, while we're on toilets."
00:08:39,00:08:41,This is another thing you can make toilet paper out of.
00:08:41,00:08:43,You can make it out of milk.
00:08:43,00:08:44,What?
00:08:44,00:08:45,Yeah.
00:08:45,00:08:48,"There's a company, I think it's a German and an Italian company."
00:08:48,00:08:52,"They teamed up, one made fabrics and one was a design company or something."
00:08:52,00:09:00,"Anyway, they made this thing, which is called Kareza Delatte, which is milk caress."
00:09:00,00:09:04,"And it uses a protein, which they extract from sourd milk."
00:09:04,00:09:05,So it's a waste milk.
00:09:05,00:09:08,If the cow has been ill and you can't sell the milk to customers.
00:09:08,00:09:11,How do you get sour milk?
00:09:11,00:09:12,"No, no."
00:09:12,00:09:15,"If I have a normal milk and it going off, it's not like, oh, this milk is off, it must have"
00:09:15,00:09:16,been a sick cow.
00:09:16,00:09:17,Sorry.
00:09:17,00:09:22,If they take the normal milk from sick cows and then it sows.
00:09:22,00:09:23,All right.
00:09:23,00:09:24,Okay.
00:09:24,00:09:25,The separate thing.
00:09:25,00:09:26,So it's waste milk.
00:09:26,00:09:30,"So the farmers can sell it for a very small amount, not for the drinking milk price."
00:09:30,00:09:34,"But then you can turn it into toilet paper, which I guess you can also eat."
00:09:34,00:09:38,"So you can, if you're hungry on the loo, you can just eat a bit of this milk toilet"
00:09:38,00:09:39,for a sick cow.
00:09:39,00:09:40,I don't want to eat milk.
00:09:40,00:09:41,Milk lear over my sick cow.
00:09:41,00:09:42,But wait.
00:09:42,00:09:44,Is milk bad if it's from a sick cow?
00:09:44,00:09:45,Yeah.
00:09:45,00:09:46,That was another thing I was thinking.
00:09:46,00:09:47,Like I'd never thought of that.
00:09:47,00:09:48,I don't.
00:09:48,00:09:49,It depends how sick I guess.
00:09:49,00:09:50,Yeah.
00:09:50,00:09:51,Yeah.
00:09:51,00:09:52,It depends what's in the.
00:09:52,00:09:53,It depends what bacteria are in the milk.
00:09:53,00:09:54,It depends what's in the milk.
00:09:54,00:09:55,It depends what bacteria are in the milk.
00:09:55,00:09:56,It depends what's in the milk.
00:09:56,00:09:57,It depends what's in the milk.
00:09:57,00:09:58,It depends what's in the milk.
00:09:58,00:09:59,It depends what bacteria are in the milk.
00:09:59,00:10:00,It depends what's in the milk.
00:10:00,00:10:01,It depends what's in the milk.
00:10:01,00:10:02,It depends what bacteria are in the milk.
00:10:02,00:10:03,It depends what's in the milk.
00:10:03,00:10:16,"That toilet, I've never seen the one James you were talking about earlier that comes through the ground."
00:10:16,00:10:17,That's a problem you don't see.
00:10:17,00:10:18,It's the last minute.
00:10:18,00:10:19,Yeah.
00:10:19,00:10:20,And they're very good.
00:10:20,00:10:21,They're good for women.
00:10:21,00:10:22,They make them.
00:10:22,00:10:23,So the ones in London that you see are purely urinals for men.
00:10:23,00:10:24,But these ones can be used by women.
00:10:24,00:10:25,And they've just.
00:10:25,00:10:26,They seem to have innovations for toilets that are sort of groundbreaking.
00:10:26,00:10:27,There's an amazing one.
00:10:27,00:10:28,You guys remember the.
00:10:28,00:10:29,Yeah.
00:10:29,00:10:30,In that case.
00:10:30,00:10:31,Yeah.
00:10:31,00:10:32,Remember the little fly that got used on a urinal for men?
00:10:32,00:10:32,Yeah.
00:10:32,00:10:36,It's that a urinal would have a little drawing of a fly in the center of it.
00:10:36,00:10:40,And that would encourage men to try and aim to hit the fly.
00:10:40,00:10:41,"I saw that, unfortunately."
00:10:41,00:10:43,There was also a fly in the room flying around.
00:10:43,00:10:46,So I kind of chased him around with a chance of urine.
00:10:46,00:10:47,That was.
00:10:47,00:10:48,"Yeah, I was not pretty at all."
