start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,*tongue outro music*
00:00:15,00:00:20,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming to you"
00:00:20,00:00:26,"from the QI offices in Covert Garden. My name is Dan Schreiber, I am sitting here with Andrew"
00:00:26,00:00:31,"Hunter Murray, Anish Zinsky and James Harkin and once again we have gathered around the microphones"
00:00:31,00:00:37,with our four favorite facts from the last seven days and in no particular order here we go
00:00:37,00:00:43,starting with you Andy. My fact is that in the 19th century champion flowers were traded like
00:00:43,00:00:50,Premier League footballers. I don't know how exactly like Premier League football as it was but
00:00:50,00:00:54,"it wasn't for like ten million pounds. No exactly, I think the sums were a bit lower but there was"
00:00:54,00:00:59,a big thing where there were lots of plowing competitions in the 19th century where you had to
00:00:59,00:01:04,you had to plow up and down a field and one of the there are all these metrics in plowing about
00:01:04,00:01:09,whether you're doing it right or wrong and squires who had lots of plowmen would kind of pet them
00:01:09,00:01:14,against each other and then the winners would win a year's wages and then they might be transferred
00:01:14,00:01:19,could I just can I ask what a squire is because I associate that with King Arthur Times and this is
00:01:19,00:01:25,the 19th century where it started yeah so that's a kind of assistant to a nobleman isn't it okay but
00:01:25,00:01:33,in the late of times it's more of a kind of junior aristocrat sort of a slight landowner I think yeah
00:01:33,00:01:39,so for example you get the word squirearchy which is a word for quite affluent families from the
00:01:39,00:01:45,country is it is a not a very common word I think do you get the word I don't use it casually
00:01:45,00:01:50,pop conversation here's a less common word I think you used to get a squish it someone who was a
00:01:50,00:01:57,squire and a bishop that's great oh wow again don't use that in the normal conversation but that
00:01:57,00:02:02,is that do they just do that like Scorkman who delivers the milk but also a squire is that just
00:02:02,00:02:09,applies smashing the words and so it was landowners and they would get have these competitions so
00:02:09,00:02:14,that the land got plowed basically and so like for instance the first one ever in Kent was in
00:02:14,00:02:22,1867 on the first big one in Kent and that was run by a guy called Mr. Hart's Dyke who owned a massive
00:02:22,00:02:27,amount of land in Kent and who then later had children who had children who had children who
00:02:27,00:02:37,had Miranda from the TV Miranda oh wow and Tom Hart Dyke who we know yeah oh who he he was he's
00:02:37,00:02:44,still he works in in agriculture to an extent he he plants things yes so there's a massive garden
00:02:44,00:02:49,in Kent which he runs from his ancestral home which was where this plowing competition
00:02:49,00:02:56,wow isn't that so cool he got on the side now he got he was famous for being stolen or kidnapped by
00:02:56,00:03:00,gorillas out in the Dorian gap and they held him for months and they let him go finally and then he
00:03:00,00:03:07,went back to get directions and while he was kept by the gorillas they are the gorillas he
00:03:08,00:03:15,like I kind of you can't say yeah yeah well that damn pronounced it so profoundly like the word gorillas
00:03:15,00:03:23,I'm so that you clarify I'm slowly realizing we're talking about humans are not actual gorillas
00:03:23,00:03:29,the humans are talking so while he was kidnapped by these fighters he kept like a little garden
00:03:29,00:03:33,didn't he where he was kept and like he would ask them for plants and stuff like that to kind of
00:03:33,00:03:41,keep him sane a squirrella is someone who's a squire and the guerilla squire yeah so anyway I should
00:03:41,00:03:45,say that the way this comes from because it's a really good story it's a guardian long read on the
00:03:45,00:03:51,"world plowing championship and it's an incredible read it's 5,000 words of plowing action and it's so good"
00:03:51,00:03:56,so you there are all these things you have to do right basically you have to plow up and down
00:03:56,00:04:01,and plowing we should just say what it is it's turning soil upside down basically so you're
00:04:01,00:04:07,inverting it which means that you're bringing nutrients to the surface and you're plowing weeds
00:04:07,00:04:12,and other plants back into the earth so they break down and they feed the soil so the aim is
00:04:12,00:04:18,that you've prepared a field for planting yeah that's what plowing is yeah well I mean is it necessary
00:04:18,00:04:23,maybe we'll come on to that later yeah what's allowing us very controversial in this day and
00:04:23,00:04:31,it kills the soil yeah ruins farms now we've been doing it for thousands of years and now people have
00:04:31,00:04:36,suddenly started doing this thing called till free farming or no till farming where they've realized
00:04:36,00:04:44,you can just spread the seeds on unplowed land and they can actually get better yields it's a thing
00:04:44,00:04:47,this is why they've been doing it South America for years because their land isn't as robust as
00:04:47,00:04:52,ours and so they've realized that it's been really drying out and ring the nutrients because the idea
00:04:52,00:04:58,is that we suddenly disturb this massive ecosystem with this plow you dig down you wrench up all these
00:04:58,00:05:03,insects and stuff and you plop them on top and they don't know what they're doing well it's an argument
00:05:03,00:05:08,and the experiments are happening and they're getting kind of similar-ish results to plow fields
00:05:08,00:05:13,so might something in it I mean imagine if it turned out plowing have been totally pointless all
00:05:13,00:05:18,of these years well I mean it hasn't been there's been these amazing competitions going on
00:05:18,00:05:22,that's what you think about it and it's still and it's what they say it's the biggest event in Europe
00:05:22,00:05:29,"the one that happens in Ireland in Ireland the outdoor event in 2017 291,000 people went along to the"
00:05:29,00:05:33,plowing competition to see I read an article about it and it said that two thirds of the attendees
00:05:33,00:05:39,have absolutely no interest in agriculture whatsoever it's because it's a huge event you know
00:05:39,00:05:42,when you're someone's going to a village show because you're a bit bored of a Saturday it's like
00:05:42,00:05:45,a massive version of that it's like a festival kind of thing isn't it yeah and then how's
00:05:45,00:05:49,that attendance is twice as much as glass and brie here are some of the things that you can actually
00:05:49,00:05:55,see at it outside of the plowing there's a robotic milking machine that milks 40 cows so you can
00:05:55,00:06:03,watch that there's a pesteront which serves mealworms and crickets local locusts tractor football
00:06:03,00:06:09,so that's a that's one of the new chance yeah so it's teams of tractors push a giant football
00:06:09,00:06:15,around the field yeah and then they say there's there's the RTE tent where they have a very famous
00:06:15,00:06:20,commentator slash news broadcaster called Marty Morrissey and you can meet him and then they say
00:06:20,00:06:27,in brackets or his cardboard cutout yeah it's a massive deal and the same person has been
00:06:27,00:06:34,the head of the National Plowing Association which is the organization that runs it for 68 years now
00:06:34,00:06:40,since 85-year-old woman called Anna-May McCue who I think is a bit of a legend there basically
00:06:40,00:06:44,and so it's quite impressive that she's a woman because only about 2% of plowers who enter these
00:06:44,00:06:49,contests are women and she said I was reading an interview with her and she was saying that there's
00:06:49,00:06:57,this contest for farmer rats which are the female farmers and they sort of compete over who's
00:06:57,00:07:02,going to be queen of the plow and it used to be that the queen of the plow if you won that title
00:07:02,00:07:06,at the contest you were given a hundred pound dowry as long as you were married by the age of 25
00:07:06,00:07:15,wow yeah good right ancestor actually on that the the first farmette competition was in 1954
00:07:15,00:07:19,that was the first time they allowed women in and not many people were happy about it some people
00:07:19,00:07:25,said it was introducing Hollywood razzamatas at its worst sounds like it
00:07:26,00:07:34,they want introducing Mae Weston I also said that you were allowed to enter it if it was open this is
00:07:34,00:07:38,from I should say this is from Andy's article not your article but the one that you forwarded to us
00:07:38,00:07:45,which as Andy says is fantastic and so the farmette class was open to girls and women that were
