start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(electronic music)
00:00:02,00:00:06,(speaking in foreign language)
00:00:06,00:00:08,(electronic music)
00:00:08,00:00:11,(electronic music)
00:00:11,00:00:18,"- Now, I'm a land welcome to another episode"
00:00:18,00:00:22,of no such thing as a fish-a-weekly podcast.
00:00:22,00:00:25,"This week, coming to you live from Glasgow."
00:00:25,00:00:28,(cheering)
00:00:28,00:00:31,- My name is Jan Schreiber and I am sitting here
00:00:31,00:00:34,"with Anich Zinski, Andrew Huntemari, and James Harkin."
00:00:34,00:00:37,"And once again, we have gathered around the microphones"
00:00:37,00:00:40,with our four favorite facts from the last seven days
00:00:40,00:00:42,and in no particular order.
00:00:42,00:00:45,"Here, we go, starting with you, James."
00:00:45,00:00:48,"- Okay, my fact this week is that there is only one person"
00:00:48,00:00:52,in the world who can predict the future using asparagus.
00:00:52,00:00:54,(laughing)
00:00:54,00:00:58,"- For 2019, she has predicted extreme temperatures,"
00:00:58,00:01:01,"a recession in the US, and an all-time high"
00:01:01,00:01:02,in asparagus sales.
00:01:02,00:01:05,(laughing)
00:01:05,00:01:11,"- So, when you say she can predict the future."
00:01:11,00:01:13,- What's that success rate?
00:01:13,00:01:15,"- Well, it was really hot last week."
00:01:15,00:01:17,- So 100%.
00:01:17,00:01:19,"- Oh, so far."
00:01:19,00:01:19,- Yep.
00:01:19,00:01:22,"- Yeah, actually, she claims to have a very high percentage,"
00:01:22,00:01:25,"but these people always do, don't they?"
00:01:25,00:01:27,"Okay, let's see some of the other things that she says."
00:01:27,00:01:31,"She says, ""This year, fears of Brexit will be unfounded."""
00:01:31,00:01:32,"Yeah, maybe."
00:01:32,00:01:36,"""The trade war between China and the US will end,"
00:01:36,00:01:37,but there'll be a recession.
00:01:37,00:01:39,"England's women's football team will win the World Cup,"
00:01:39,00:01:40,"fingers crossed."""
00:01:40,00:01:42,(laughing)
00:01:42,00:01:43,(laughing)
00:01:43,00:01:46,"- Pick your audience, James, take your audience."
00:01:46,00:01:48,"- You don't, you don't want you to forget which country you're in."
00:01:48,00:01:50,(laughing)
00:01:50,00:01:52,- James looked genuinely shocked when he saw the boat.
00:01:52,00:01:53,- What happened?
00:01:53,00:01:55,- Why do they hate women so much?
00:01:55,00:01:57,(laughing)
00:01:57,00:02:00,"- Yeah, not cool that guy, not cool."
00:02:00,00:02:05,"- That the hierarchy is nationalism, then feminism."
00:02:05,00:02:08,(laughing)
00:02:08,00:02:09,"- Good, anyway, yes, so there's this lady,"
00:02:09,00:02:11,"and she does that stuff, and it's obviously bullshit."
00:02:11,00:02:13,"- She, well, she..."
00:02:13,00:02:15,"- Well, hang on."
00:02:15,00:02:19,"- She has a Twitter account, I went on it today,"
00:02:19,00:02:22,and one of the other predictions that she had is that she said
00:02:22,00:02:26,"that the Oscars this year, a star is born, would have success,"
00:02:26,00:02:29,but British actors will also be in the mix.
00:02:29,00:02:32,"So she was correct about Olivia Cole,"
00:02:32,00:02:35,"and a star is born, I think, one, the best song,"
00:02:35,00:02:38,"and she wrote a tweet just going, ""Got it right."""
00:02:38,00:02:39,She's very proud.
00:02:39,00:02:43,"She said, ""Another great success rate for the old."""
00:02:43,00:02:45,- What'd she call herself?
00:02:45,00:02:47,- She calls herself Mystic Veg.
00:02:47,00:02:48,(laughing)
00:02:48,00:02:49,- She's pretty strong.
00:02:49,00:02:54,"- Yeah, she's an asparamenser, it's called Asparamenser."
00:02:54,00:02:57,"- You can just put ""Moncer"" on the end of any word,"
00:02:57,00:02:59,"and it means you tell the future by it, can't you?"
00:02:59,00:03:00,"And it's great, and they've been doing this."
00:03:00,00:03:02,"It was in the medieval period, I think,"
00:03:02,00:03:04,"when they look back over classical texts,"
00:03:04,00:03:06,"and they went, ""God, those old ancient Romans"
00:03:06,00:03:08,"""and Greeks told the future in weird ass ways,"
00:03:08,00:03:10,"""let's just call them all ""Moncer"" some things."""
00:03:10,00:03:14,"And so there are so many ""Moncies"", as Tyra ""Moncy"","
00:03:14,00:03:15,"which is one of my favorites,"
00:03:15,00:03:18,which is telling the future by how cheese can regulate.
00:03:18,00:03:21,"- Yeah, I read one version of this Tyra ""Moncy"","
00:03:21,00:03:24,"which is you get a cheese, you wait for it to go moldy,"
00:03:24,00:03:26,"and then you look at the mold,"
00:03:26,00:03:28,and that tells you the name of your husband.
00:03:28,00:03:29,- Oh.
00:03:29,00:03:31,"I thought, yeah, I read something similar to that,"
00:03:31,00:03:33,which is it's the names of various suitors
00:03:33,00:03:35,"that you write onto the cheese,"
00:03:35,00:03:36,and the bit that the mold grows over
00:03:36,00:03:39,"is who you're gonna pick grows over all the names,"
00:03:39,00:03:41,you're in for a lot of...
00:03:41,00:03:43,(laughing)
00:03:43,00:03:45,"- How does it tell you the name of your,"
00:03:45,00:03:46,do you say the name of your husband?
00:03:46,00:03:47,"- Yeah, actually,"
00:03:47,00:03:49,"but unusually for this podcast,"
00:03:49,00:03:51,what Dan said sounded a lot more sensible to me.
00:03:51,00:03:53,(laughing)
00:03:53,00:03:54,- Do you remember it's exactly like
00:03:54,00:03:55,when we used to peel apples?
00:03:55,00:03:57,Did everyone used to do this and you peeled an apple
00:03:57,00:03:58,and then you threw the peel in the air?
00:03:58,00:04:03,"And what it is probably just what girls did in the pre-Feminist world,"
00:04:03,00:04:06,and the shape that Apple Peel landed in
00:04:06,00:04:08,was the first letter of your future husband's name.
00:04:08,00:04:11,So everyone thought their future husband's name would start with S.
00:04:11,00:04:13,(laughing)
00:04:13,00:04:14,- This is quite a cool thing.
00:04:14,00:04:18,"There is a thing called allureomancy,"
00:04:18,00:04:19,"which is not about being alluring,"
00:04:19,00:04:23,it's about baking messages into little balls of dough.
00:04:23,00:04:25,"And this happened in ancient Greece,"
00:04:25,00:04:26,"and the balls would be mixed up,"
00:04:26,00:04:28,"and they'd have different messages on them,"
00:04:28,00:04:29,and then you would pick one.
00:04:29,00:04:31,And that is basically a fortune cookie.
00:04:31,00:04:32,- Yeah.
00:04:32,00:04:34,- The ancient Greeks have fortune cookies.
00:04:34,00:04:35,That's what I'm trying to say.
00:04:35,00:04:36,- That's really cool.
00:04:36,00:04:38,"- There's also gyramancy,"
