start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Instrumental Music]
00:00:14,00:00:22,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:22,00:00:26,this week coming to you live from the Hammersmith event of my party!
00:00:26,00:00:31,[Cheering]
00:00:31,00:00:37,"My name is Dan Schreiber, I am sitting here with Annotasinski, Andrew Hunter Murray, and"
00:00:37,00:00:41,"James Harkin, and once again we have gathered around the microphones with our four favorite"
00:00:41,00:00:46,"facts from the last seven days, and in no particular order, here we go."
00:00:46,00:00:48,"Starting with you, James."
00:00:48,00:00:54,"Okay, my fat this week is that in the 18th century London plays written by David Garrick"
00:00:54,00:01:01,and starring David Garrick would often be shown in theatres owned by David Garrick.
00:01:01,00:01:09,They would then be reviewed by David Garrick in newspapers owned by David Garrick.
00:01:09,00:01:11,"Amazing guy, wasn't he?"
00:01:11,00:01:19,"He was a man of many talents, apparently according to the reviews I read."
00:01:19,00:01:23,"So yeah, I mean, he ran the Dory Lane theatre, he was a great actor, a lot of you will have"
00:01:23,00:01:24,heard of him.
00:01:24,00:01:30,"He also had the St. James' Chronicle and the public advertiser, in the Chronicle it said Mr."
00:01:30,00:01:37,Garrick was most extraordinarily accurate in every syllable which he uttered.
00:01:37,00:01:41,"And his spelling is really good, too."
00:01:41,00:01:45,"He was a really exciting character for theatre, he was someone who brought in the old, he championed"
00:01:45,00:01:49,"Shakespeare, but he also was looking at new technologies to make plays more interesting."
00:01:49,00:01:54,"So for example, when he played Hamlet, he designed a wig that when the ghost of his father"
00:01:54,00:02:01,"walked in, stood up on edge, he did change the way people acted weirdly."
00:02:01,00:02:07,"So before Garrick came along, then for instance, spectators would be on the stage, you guys"
00:02:07,00:02:12,"would be up here with us, like during the performance into mingling and he said, ""Let's not"
00:02:12,00:02:13,"do that."""
00:02:13,00:02:14,"No, let's not do that."
00:02:14,00:02:15,Let's definitely not do that.
00:02:15,00:02:16,Let's do that.
00:02:16,00:02:23,"He made actors come to rehearsals, which really pissed them off, he abolished the practice"
00:02:23,00:02:29,"of people, audience members coming in at the interval for half price, so people were coming in the"
00:02:29,00:02:34,"middle of Hamlet and then spent the whole time going, ""So who's that guy?"
00:02:34,00:02:37,"Why is she so upset?"""
00:02:37,00:02:39,"But actually that was really, really controversial, wasn't it?"
00:02:39,00:02:41,There were riots because of that.
00:02:41,00:02:47,"So when he decided against the half price thing, he came on stage and all the people in the"
00:02:47,00:02:50,"pit, so it used to be that you had rich people in the top and you'd have really poor people"
00:02:50,00:02:55,"in the pit, or poorer people in the pit."
00:02:55,00:02:58,Let's hear it from the rich people up there.
00:02:58,00:03:03,They're all the same price.
00:03:03,00:03:09,"So he came on stage and the people in the pit said that he had to stop this half price thing,"
00:03:09,00:03:13,"""Oh, bring it back,"" I should say, and he said he'd have to consult his business partner"
00:03:13,00:03:15,and he was booed off stage.
00:03:15,00:03:17,Was this business partner David Garrick?
00:03:17,00:03:21,That's him in massage.
00:03:21,00:03:26,"And then the actors came on and then they were also booed off stage and then finally, according"
00:03:26,00:03:30,"to the article from the time that I read, ""At eight o'clock the ladies were asked to leave"
00:03:30,00:03:32,"so the house might be burnt."""
00:03:32,00:03:33,Whoa.
00:03:33,00:03:38,"Oh, that's so thoughtful."
00:03:38,00:03:40,"It's really, like the theatre was a riser's place."
00:03:40,00:03:45,"So the character, sitting on the stage thing, that was the result of a 15 year campaign."
00:03:45,00:03:48,It took 15 years to get people to stop sitting on the stage.
00:03:48,00:03:54,"And there was also Garrick, the way he changed acting as well was very cool because before Garrick,"
00:03:54,00:03:59,"and there was another guy called Maclin, who was a huge rival of Garricks, but before that,"
00:03:59,00:04:04,"actors were basically stand with their feet at 10 and to shouting, essentially shouting."
