start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"The song is called ""Horoi Wa Wa Ka Sibe"""
00:00:04,00:00:07,"The song is called ""Horoi Wa Ka Sibe"""
00:00:07,00:00:11,"The song is called ""Horoi Wa Wa Wa Ka Sibe"""
00:00:11,00:00:16,"Hello and welcome to another episode of ""No Such Thing as a Fish"""
00:00:16,00:00:20,"A weekly podcast, this week coming to you live, from Bustapal!"
00:00:20,00:00:29,My name is Dan Schreiber and I am sitting here with Anna Chazinski
00:00:29,00:00:31,Andrew Hunter Murray and James Harkin
00:00:31,00:00:35,and once again we have gathered around the microphones with our four favorite facts
00:00:35,00:00:40,"from the last seven days and in no particular order, here we go!"
00:00:40,00:00:43,Starting with fact number one and that's my fact this week
00:00:43,00:00:49,My fact is the 95-year-old billionaire who controls Viacom and CBS
00:00:49,00:00:54,now communicates via an iPad preloaded with audio clips
00:00:54,00:01:02,"His choices include ""Yes, No"" and ""Buck You"""
00:01:02,00:01:05,So how does this work? You're having a conversation with him
00:01:05,00:01:09,and rather than respond with his mouth then he responds by clicking a button
00:01:09,00:01:12,"He's a very old man now, he's 95 years old"
00:01:12,00:01:17,and his speaking has gone quite bad so his communication is very bad
00:01:17,00:01:22,so what they've done is they've helped him swear at people
00:01:22,00:01:25,with as much force via a button
00:01:25,00:01:29,"because he can't swallow, he has a problem with this throat"
00:01:29,00:01:33,"He is fed through a tube and he really, really likes steak and he wants to eat steak"
00:01:33,00:01:36,but they will never let him because he has this tube
00:01:36,00:01:40,and they say the only way he can get rid of his tube is if he conserves his energy
00:01:40,00:01:45,by reducing his sexual activity to once a week
00:01:45,00:01:48,And he refuses!
00:01:48,00:01:52,"Is he called Redstone? He is, he's called ""Sumner Redstone"""
00:01:52,00:01:56,"He's a very big media mogul, he has a lot of CBS and so on"
00:01:56,00:02:00,and things that are underneath that are like paramount pictures and so on
00:02:00,00:02:03,His family have a company which is the National Museum's Theodor Chain
00:02:03,00:02:05,and that's what that all sits underneath
00:02:05,00:02:08,He has a majority vote so he's the big dog really
00:02:08,00:02:10,so he's a very important guy
00:02:10,00:02:15,"and he kind of like, he's done a few things that have gone into pop culture"
00:02:15,00:02:18,Content is king is a thing he coined
00:02:18,00:02:23,That's what I mean that we're all supposed to know about
00:02:23,00:02:25,I think he would be very hurt by that comment
00:02:25,00:02:31,I don't know what he'd say
00:02:31,00:02:33,What is that?
00:02:33,00:02:36,"What is what? Content is king, you know, it's a saying"
00:02:36,00:02:39,"It's been said, it's not a very old saying"
00:02:39,00:02:43,"Sorry, you're saying he invented the non-existent catchphrase ""Content is king"""
00:02:43,00:02:46,Is this kind of shit he's been turning out? He's a billionaire
00:02:46,00:02:48,"Yeah, that's all you need to do apparently"
00:02:48,00:02:50,Just one catchphrase and you become a billionaire
00:02:50,00:02:53,"No, he's got a giant empire behind a real catchphrase"
00:02:53,00:02:56,"It's not like, nice to see you to see you, nice, is it?"
00:02:56,00:03:00,"Bringsie came out and shouted ""Content is king"""
00:03:00,00:03:03,He's not on TV yelling it
00:03:03,00:03:10,"Where is he behind the scenes? When is he saying ""Content is king"" and where it has become so famous?"
00:03:10,00:03:13,"He's saying it meetings when Bruce Forsythe's going, ""What do you think of?"""
00:03:13,00:03:14,"""We've got this great catchphrase, but I've got no show."""
00:03:14,00:03:18,"That's shit, content is king, that's when he's saying it"
00:03:18,00:03:22,"But the thing is, it's hard to know whether the fuck you, that he says, or the FU,"
00:03:22,00:03:27,"Let's stop swearing, the FU, is said as a mean thing or a nice thing"
00:03:27,00:03:31,"There was an interview with one of his advisors, a wealth advisor called Rebecca Rothstein"
00:03:31,00:03:37,"She said, ""I've only been the recipient of an FU once. I think he meant it in an endearing way."""
00:03:37,00:03:44,"It's all to do with how he presses the bus on, I suppose, to take your cue from things like that"
00:03:44,00:03:50,Was he known for being a particularly bad boss? Is this something he uses a lot this button?
00:03:50,00:03:55,"He's a big character, there's a lot of controversy in his personal life and his business life"
00:03:55,00:03:58,"It's hard to say, don't know the guy, but yeah"
00:03:58,00:04:02,"We're talking about a billionaire, I don't want to say anything livalous, right?"
00:04:02,00:04:04,"Hey, it's an asshole, what are you going to do?"
00:04:04,00:04:06,I don't know what to do
00:04:06,00:04:11,"But all my researchers on asshole billionaires, so we're in trouble"
00:04:11,00:04:16,One guy who admits that he used to be a bad boss is Bill Gates
00:04:16,00:04:21,"I think he's got a much more cuddly image now, but when he was first working at Microsoft,"
00:04:21,00:04:26,"when he was first in charge of Microsoft, Bill Gates knew everyone's car license plates"
00:04:26,00:04:31,so he could look out into the car park and see when people were arriving and leaving from their work
00:04:31,00:04:35,and he only stopped doing that when the company got so big that he could not physically remember
00:04:35,00:04:36,everyone's license plates again
00:04:36,00:04:40,If only you could come up with a system of putting letters and numbers in a big file
00:04:40,00:04:52,I was actually reading a thing in the Guardian
00:04:52,00:04:57,where they ask people to write in and say examples of bad bosses and what they've made them do
00:04:57,00:05:01,and one of them may have been a Bill Gates employee because one of these people wrote in and said
00:05:01,00:05:06,"""My boss made us all park our cars facing the same direction for neatness in the car park."""
00:05:06,00:05:12,That same boss said that all of your buttons have to be made of pearls because plastic buttons
00:05:12,00:05:16,are ugly and then some other ... I don't think this is Bill Gates
00:05:16,00:05:19,"No, I don't think that is Bill Gates, that would be like this"
00:05:19,00:05:22,"they do call him ""perly Gates"" so maybe that's why"
00:05:22,00:05:24,"There you go, yeah that's why"
00:05:24,00:05:30,There was just in this list of things to the Guardian
00:05:30,00:05:33,these are some other things people have had to deal with with bad bosses
00:05:33,00:05:36,Someone wrote in and said that they got a round ribbon email from their boss saying
00:05:36,00:05:40,"""Please can everyone do their number two's before they come into the office"
