start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:10,[MUSIC]
00:00:10,00:00:20,[APPLAUSE]
00:00:20,00:00:24,[MUSIC]
00:00:24,00:00:34,[APPLAUSE]
00:00:34,00:00:34,[MUSIC]
00:00:34,00:00:44,[APPLAUSE]
00:00:44,00:00:48,[MUSIC]
00:00:48,00:00:58,[APPLAUSE]
00:00:58,00:01:08,[MUSIC]
00:01:08,00:01:18,[APPLAUSE]
00:01:18,00:01:28,[MUSIC]
00:01:28,00:01:32,[APPLAUSE]
00:01:32,00:01:42,[MUSIC]
00:01:42,00:01:52,[APPLAUSE]
00:01:52,00:02:02,[MUSIC]
00:02:02,00:02:06,[APPLAUSE]
00:02:06,00:02:10,[MUSIC]
00:02:10,00:02:14,[APPLAUSE]
00:02:14,00:02:18,[MUSIC]
00:02:18,00:02:28,[APPLAUSE]
00:02:28,00:02:38,[MUSIC]
00:02:38,00:02:40,[APPLAUSE]
00:02:40,00:02:42,[MUSIC]
00:02:42,00:02:44,[APPLAUSE]
00:02:44,00:02:46,[MUSIC]
00:02:46,00:02:50,"And there's a big database of them. There's over 37,000 of them."
00:02:50,00:02:54,"And there's a lot of serious normal ones, but there are, as you say, plenty of very joky ones."
00:02:54,00:03:02,"So in Portsmouth, New Hampshire and America, when you're heading in there, they have a sort of Warner Brothers tribute to the cartoons."
00:03:02,00:03:08,"So your wayfinding points are going to be called ""I Tought."""
00:03:08,00:03:10,[LAUGHTER]
00:03:10,00:03:10,And then--
00:03:10,00:03:12,And you can fill the rest in there.
00:03:12,00:03:14,[LAUGHTER]
00:03:14,00:03:16,"Yeah, I taught, and then I taught, and then--"
00:03:16,00:03:18,What did you taught?
00:03:18,00:03:20,[LAUGHTER]
00:03:20,00:03:22,A putty.
00:03:22,00:03:24,[LAUGHTER]
00:03:24,00:03:26,"And then lastly, I did."
00:03:26,00:03:28,[LAUGHTER]
00:03:28,00:03:30,But they're all really badly spelled presumably.
00:03:30,00:03:30,Yeah.
00:03:30,00:03:32,"So ""taught"" must be with three ""teas"" on the end or something."
00:03:32,00:03:34,"It's got two ""teas"" and then two ""teas."""
00:03:34,00:03:36,Your thing is meant to be pronounceable.
00:03:36,00:03:38,"I would look at them and be like, ""Where are we?"""
00:03:38,00:03:40,[LAUGHTER]
00:03:40,00:03:42,"Yeah, they are very good."
00:03:42,00:03:44,"Yeah, you're from South London, aren't you, Dan?"
00:03:44,00:03:45,Mm-hmm.
00:03:45,00:03:50,"And I look to the one that was closest to where you live, and it's ""DORKIDORKI."""
00:03:50,00:03:52,No!
00:03:52,00:03:54,No!
00:03:54,00:03:56,[LAUGHTER]
00:03:56,00:03:58,You're on the heckled in the sky.
00:03:58,00:04:00,[LAUGHTER]
00:04:00,00:04:03,And sometimes they have local tributes to people who just live nearby.
00:04:03,00:04:06,"So near St. Louis, there's Annie and then Lennox."
00:04:06,00:04:10,[LAUGHTER]
00:04:10,00:04:12,"And then in Boston there's Nimoy, because Lennox Nimoy was born there."
00:04:12,00:04:12,Nice.
00:04:12,00:04:14,And it's a really nice one.
00:04:14,00:04:16,We're in California.
00:04:16,00:04:18,"There's a place near where Charles Schultz, the cartoonist, was from."
00:04:18,00:04:20,And that's Snoopy.
00:04:20,00:04:22,That's where he goes.
00:04:22,00:04:23,Where are you?
00:04:23,00:04:24,Where are you?
00:04:24,00:04:25,"Yeah, nice."
00:04:25,00:04:27,Sometimes they change them though.
00:04:27,00:04:30,"So in 2010, when the apprentice was massive in America,"
00:04:30,00:04:33,you had Donald Trump and you're fired.
00:04:33,00:04:34,[LAUGHTER]
00:04:34,00:04:35,You're kidding.
00:04:35,00:04:36,You're fired.
00:04:36,00:04:37,You're fired.
00:04:37,00:04:39,"It's less menacing when you say it like that, isn't it?"
00:04:39,00:04:40,It's how as well.
00:04:40,00:04:41,You F-I-R-D.
00:04:41,00:04:42,You're fired.
00:04:42,00:04:43,You're fired.
00:04:43,00:04:45,But they also had Ivanka as well.
00:04:45,00:04:48,"And it got to the point where people started pilots were complaining going,"
00:04:48,00:04:51,"""I don't want to fly, you know, past Ivanka."""
00:04:51,00:04:53,And so they actually changed it.
00:04:53,00:04:54,They removed it.
00:04:54,00:04:55,So it no longer exists.
00:04:55,00:04:56,Okay.
00:04:56,00:04:57,Those waypoints.
00:04:57,00:04:58,Wow.
00:04:58,00:04:59,"Well, you applaud."
00:04:59,00:05:02,But now there are 100 pilots lost somewhere in America.
00:05:02,00:05:03,[LAUGHTER]
00:05:03,00:05:06,They do like a bit of wordplay pilots.
00:05:06,00:05:09,"So if you are a helicopter pilot, before you set off,"
00:05:09,00:05:12,you need to check your shits and tits.
00:05:12,00:05:16,"The tits, for instance, is your checklist for your navigation radio,"
00:05:16,00:05:19,"which is twist, identity, test, and select."
00:05:19,00:05:22,And that's how they teach you how to fly a helicopter.
00:05:22,00:05:24,"Because my wife's a pilot, so she did that."
00:05:24,00:05:28,"And every time you get on an aeroplane, before it sets off,"
00:05:28,00:05:31,they always do their bum fish.
00:05:31,00:05:34,"Which is brakes under carriage, fuel, or flaps."
00:05:34,00:05:37,"Instruments, switches, and haluses."
00:05:37,00:05:39,And they know it as bum fishing.
00:05:39,00:05:40,Really?
00:05:40,00:05:41,Wow.
00:05:41,00:05:42,That's there.
00:05:42,00:05:43,That's very cool.
00:05:43,00:05:45,"Yeah, see, they've got a sense of humor these guys."
00:05:45,00:05:47,"You don't want them too funny, though."
00:05:47,00:05:52,I found out a guy who we think is the man behind the airline pilot voice.
00:05:52,00:05:53,What?
00:05:53,00:05:55,"Well, good evening, ladies and gentlemen."
00:05:55,00:05:58,We're just experiencing a little turbulence as we head over the North Atlantic.
00:05:58,00:06:00,"But don't worry, that's going to be possible."
00:06:00,00:06:02,And voice each time it's not pre-recorded.
00:06:02,00:06:03,It's not pre-recorded.
00:06:03,00:06:05,I'm not saying it's pre-recorded.
00:06:05,00:06:08,I'm saying there's a kind of way that pilots speak.
00:06:08,00:06:09,Oh.
00:06:09,00:06:10,"Which is, you know what I get?"
00:06:10,00:06:12,"Well, we've got some turbulence."
00:06:12,00:06:16,[LAUGHTER]
00:06:16,00:06:20,"We're going to be throwing them out of sight, man."
00:06:20,00:06:22,"But, surely, they're just being calm."
00:06:22,00:06:23,"Oh, you're saying that?"
00:06:23,00:06:26,"I've read a theory, which is that they're all being calm,"
00:06:26,00:06:29,"because of Chuck Yeager, who I think we might have mentioned before."
00:06:29,00:06:33,"So he was a fighter pilot, and then a test pilot, and then he broke the sound barrier."
00:06:33,00:06:36,"He had a very calm and gravelly voice, and everyone thought,"
00:06:36,00:06:38,"""Oh, wow, Chuck Yeager is so cool and in control."""
00:06:38,00:06:39,And so people started imitating him.
00:06:39,00:06:43,"And so there's a theory that pilot voices are now like that, partly because of him."
00:06:43,00:06:46,"Obviously, it just makes sense also to sound calm and authoritatively."
00:06:46,00:06:48,"I was looking into air traffic control, generally."
00:06:48,00:06:53,"And the guys who do it, he throw particularly the ones who are in the tower."
00:06:53,00:06:56,They do 90-minute dedicated towering.
00:06:56,00:06:59,"They sort of stare at the screen, and they make sure all the planes come in."
00:06:59,00:07:03,"And then, in their break, after 90 minutes, there's a special room that they go to,"
00:07:03,00:07:05,where they're told not to read emails.
00:07:05,00:07:09,"They're told not to do anything where their eyes are staring at anything,"
00:07:09,00:07:10,because of the intensity of it.
00:07:10,00:07:13,So there's just movies and books for them to read.
00:07:13,00:07:15,It's like a recreation room for them to go into.
00:07:15,00:07:18,"They have their break, and then they come back for the intensity of flight."
00:07:18,00:07:20,"You know, you can eavesdrop on them now, if you want."
00:07:20,00:07:21,Really?
00:07:21,00:07:23,You can eavesdrop on any air traffic control you like.
00:07:23,00:07:29,"There is an app. I think it's called Live ATC, and you can basically get that,"
00:07:29,00:07:31,and tap into the conversations that air traffic control are having.
00:07:31,00:07:35,"And it's if your plane isn't taking off yet, or it's delayed,"
00:07:35,00:07:39,"or, you know, it's not landing yet, and you can find out what an earth is going on."
