start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(bluesing)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:07,(bluesing)
00:00:07,00:00:10,(speaking in foreign language)
00:00:10,00:00:13,(upbeat music)
00:00:13,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of ""No Such Thing as a Fish"" a weekly podcast"
00:00:19,00:00:23,this week coming to you live from the Lowry in Salford.
00:00:23,00:00:26,(audience cheering)
00:00:26,00:00:29,(audience cheering)
00:00:29,00:00:33,My name is Dan Schreiber.
00:00:33,00:00:35,"I am sitting here with Ani Chazinski,"
00:00:35,00:00:38,"Andrew Hunter Murray, and James Harkin."
00:00:38,00:00:40,"And once again, we have gathered around the microphones"
00:00:40,00:00:43,with our four favorite facts from the last seven days
00:00:43,00:00:46,"and in no particular order, here we go."
00:00:46,00:00:48,"Starting with fact number one,"
00:00:48,00:00:50,and that's my fact this week.
00:00:50,00:00:53,"My fact is that in 17th century Europe,"
00:00:53,00:00:56,people used to sing each other the news.
00:00:56,00:00:57,(audience laughing)
00:00:57,00:00:59,That's how they got the news.
00:00:59,00:01:01,It would be sung at their face.
00:01:01,00:01:03,♪ There's been a theft ♪
00:01:03,00:01:05,"Like that, like that thing."
00:01:05,00:01:06,Yeah.
00:01:06,00:01:07,"No, this is the thing."
00:01:07,00:01:10,"In the 17th century, illiteracy rates were so high"
00:01:10,00:01:12,"that if they did publish newspapers,"
00:01:12,00:01:14,no one was really buying them because they couldn't read them.
00:01:14,00:01:16,So what they ended up doing was they were taking
00:01:16,00:01:19,"classic, classic ballads of the time,"
00:01:19,00:01:22,but then applying just the news of the data them.
00:01:22,00:01:24,And so people would go on the streets
00:01:24,00:01:25,and they would start singing the news
00:01:25,00:01:28,and people would memorize the songs that they were singing
00:01:28,00:01:30,and they would pass it on and pass it on.
00:01:30,00:01:31,And that's how the news got around.
00:01:31,00:01:34,And so it was for everything from political news
00:01:34,00:01:37,"to sentimental stories, religious news,"
00:01:37,00:01:39,"royal rumors, medical advice."
00:01:39,00:01:41,Did they do like an unfindly at the end
00:01:41,00:01:43,with a dog on a surfboard or something?
00:01:43,00:01:45,(audience laughing)
00:01:45,00:01:47,They did have a paywall.
00:01:47,00:01:49,So people plugged the ballads.
00:01:49,00:01:51,So there were guys going around selling the ballads
00:01:51,00:01:54,and they would sing them to the audience on the street
00:01:54,00:01:56,"going on to drum up interest,"
00:01:56,00:01:58,but they would not sing the last verse.
00:01:58,00:01:59,So you didn't know how it ended.
00:01:59,00:02:02,"So there was a thing where it goes gray on the website,"
00:02:02,00:02:03,but that's an execution ballad.
00:02:03,00:02:04,How often was it?
00:02:04,00:02:06,And he pulled his head out just in time.
00:02:06,00:02:08,(audience laughing)
00:02:08,00:02:11,"Well, it is a bit like the internet today, isn't it?"
00:02:11,00:02:13,'Cause so they had these sheets
00:02:13,00:02:16,that you could buy the sheet music if you wanted to
00:02:16,00:02:19,and then you could share it on the streets by singing it
00:02:19,00:02:21,and then it gave you ideas of morality
00:02:21,00:02:22,and stuff like that.
00:02:22,00:02:25,So it is a little bit like reading the news on the internet
00:02:25,00:02:27,and then sharing it and then commenting on it.
00:02:27,00:02:27,"Yeah, yeah."
00:02:27,00:02:30,Except it was just a lot more gruesome.
00:02:30,00:02:32,"I mean, they were kind of disgusting in their taste."
00:02:32,00:02:33,I don't know if you've heard any of the news
00:02:33,00:02:34,over the last few years.
00:02:34,00:02:35,(audience laughing)
00:02:35,00:02:37,The fact that I'm not on social media
00:02:37,00:02:39,makes that an unreliable comment.
00:02:39,00:02:40,But there was one.
00:02:40,00:02:42,"So there was a French song in fact,"
00:02:42,00:02:44,which was set to a really fun tune apparently.
00:02:44,00:02:46,So they were like quite upbeat.
00:02:46,00:02:48,And it was about a hugano whose execution got interrupted
00:02:48,00:02:50,because the people thought that they weren't being harsh enough
00:02:50,00:02:53,"or just chopping his head off or hanging him, sorry,"
00:02:53,00:02:54,they were hanging him.
00:02:54,00:02:56,And so the people dragged him to a dung heap
00:02:56,00:02:59,"and mutilated him and this ballad went,"
00:02:59,00:03:02,the little children all got together yelling
00:03:02,00:03:04,"and singing joyously, having a great time,"
00:03:04,00:03:06,"pulling out his innards to throw them in the fire,"
00:03:06,00:03:08,removing his guts and organs
00:03:08,00:03:10,and then a dog swallowed his heart.
00:03:10,00:03:12,"There you go, there you go."
00:03:12,00:03:14,(audience laughing)
00:03:14,00:03:15,Doesn't even rhyme.
00:03:15,00:03:17,(audience laughing)
00:03:17,00:03:19,I think it rhymed in French to be there.
00:03:19,00:03:22,"But they used to as well, not just report the news,"
00:03:22,00:03:24,"but in the execution ballads, this moral thing"
00:03:24,00:03:27,"that James is talking about, they used to then do verses"
00:03:27,00:03:29,from the perspective of the person
00:03:29,00:03:31,"who was killed, guilty and her hanged."
00:03:31,00:03:33,And that's where the moral would come in.
00:03:33,00:03:35,"They would suddenly, it was as if the news"
00:03:35,00:03:36,"was reading a quote from someone,"
00:03:36,00:03:38,but that quote never existed.
00:03:38,00:03:41,"So they would be saying, oh, I lament what I did"
00:03:41,00:03:43,and I wish I had not done it.
00:03:43,00:03:45,"And oh, what a silly sausage I was."
00:03:45,00:03:50,And that was the way of saying that everyone was upset
00:03:50,00:03:51,about the crime they committed in a new show.
00:03:51,00:03:53,"This mortal life, I will depart"
00:03:53,00:03:56,to then a dog will swallow my heart.
00:03:56,00:03:57,(audience laughing)
00:03:57,00:03:57,And then you end.
00:03:57,00:03:58,Yes?
00:03:58,00:03:59,Yeah.
00:03:59,00:04:00,That was really nice.
00:04:00,00:04:01,That was really good.
00:04:01,00:04:03,"Born in the wrong century, mate."
00:04:03,00:04:04,(audience laughing)
00:04:04,00:04:07,"And the nice thing was, it was tunes that everyone knew."
00:04:07,00:04:10,So they used green sleeves for a load of ballads
00:04:10,00:04:11,"because you know, you couldn't say,"
00:04:11,00:04:13,you couldn't get people to sing a news
00:04:13,00:04:14,if they didn't know the tune.
00:04:14,00:04:15,That's so appropriate
00:04:15,00:04:16,'cause didn't Henry VIII write that song?
00:04:16,00:04:17,No.
00:04:17,00:04:18,"No, that is a myth."
00:04:18,00:04:19,So it's completely...
00:04:19,00:04:20,(audience laughing)
00:04:20,00:04:21,Just a...
00:04:21,00:04:23,"No, no, no, there is a rumour that he did."
00:04:23,00:04:24,Yeah.
00:04:24,00:04:25,It was written around the same time as him.
00:04:25,00:04:26,So he wrote it?
00:04:26,00:04:27,I don't know.
00:04:27,00:04:28,(audience laughing)
00:04:28,00:04:30,"The thing is, if we think we have fake news now,"
00:04:30,00:04:32,"I mean, this was out of control."
00:04:32,00:04:35,So it was mostly kind of overheard gossip and rumours
00:04:35,00:04:38,because so people having to sort of eavesdrop
00:04:38,00:04:39,on diplomats and things like that
00:04:39,00:04:41,and talk to people who talk to people who've been at court.
00:04:41,00:04:45,"And so there was even a proclamation in 1672,"
00:04:45,00:04:48,"Charles II, in fact, issued a proclamation"
00:04:48,00:04:51,"to restrain the spreading of false news,"
00:04:51,00:04:53,which is just very epresient.
00:04:53,00:04:57,But there was even ballads about how they shouldn't write ballads
00:04:57,00:04:58,that were so full of fake news.
00:04:58,00:05:00,(audience laughing)
00:05:00,00:05:03,"A whole ballad that was taking the piss saying,"
00:05:03,00:05:04,"""The all the ballads we hear these days"
00:05:04,00:05:07,"are full of stories, stories, lies, and stories,"
00:05:07,00:05:11,"a pox on your newsletters, they lie both and flatters,"
00:05:11,00:05:13,"they are but a trap to weedle men in."""
00:05:13,00:05:14,Wow.
00:05:14,00:05:16,There are some Manchester ones.
00:05:16,00:05:19,"It's so, I've read quite a few of them."
00:05:19,00:05:21,And they include things like these are all ballads
00:05:21,00:05:24,"that were real, the spinners lamentation,"
00:05:24,00:05:27,"Victoria Bridge on a Saturday night,"
00:05:27,00:05:30,and Johnny Green's trip from Oldham
00:05:30,00:05:32,to see the Manchester Railway.
00:05:32,00:05:33,(audience laughing)
00:05:33,00:05:34,Sounds fun.
00:05:34,00:05:38,"I found a 17th century song, not telling the news,"
00:05:38,00:05:40,but just a ballad that survived the times.
00:05:40,00:05:43,And the title of it is Kentish Dick
00:05:43,00:05:48,or The Lusty Coachman of Westminster.
00:05:48,00:05:52,And it was a story about a guy who moved to London
00:05:52,00:05:54,and he would go around wooing women
00:05:54,00:05:55,and he would trick them into believing
