start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(Bell)
00:00:02,00:00:04,(Bell)
00:00:04,00:00:06,(Bell)
00:00:06,00:00:08,(Bell)
00:00:08,00:00:10,(Bell)
00:00:10,00:00:12,(Bell)
00:00:12,00:00:14,(Bell)
00:00:14,00:00:16,(Bell)
00:00:16,00:00:18,(Bell)
00:00:18,00:00:20,(Bell)
00:00:20,00:00:22,(Bell)
00:00:22,00:00:24,(Bell)
00:00:24,00:00:28,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast."
00:00:28,00:00:30,This week coming to you live from Morish!
00:00:30,00:00:32,(Cheering and applause)
00:00:32,00:00:44,"My name is Dan Schreiber. I am sitting here with Aniches Zinski, Andrew Huntsomari, and James Harkin. And once again, we have gathered around the microphones with our four favorite facts from the last seven days. And in no particular order, here we go."
00:00:44,00:01:00,"Starting this week with my fact, fact number one, and that is, for the last four years, there has been an annual academic conference dedicated to the archers."
00:01:00,00:01:02,(Laughter)
00:01:02,00:01:18,"Yep, where speakers present lectures on big unanswered questions such as, ""How is it possible the characters can eat so many cakes and pies but never suffer from diabetes?"""
00:01:18,00:01:20,(Laughter)
00:01:20,00:01:22,Do we know the answer to that?
00:01:22,00:01:24,"Well, the lecture I haven't actually heard the lecture."
00:01:24,00:01:35,"I know the answer to that, so I looked into, this is called the Ambridge Paradox. And the scientists who presented the paper made some guesses as to why this might be."
00:01:35,00:01:41,"So firstly, fitness levels are very high because, as she says, birthday cards are always delivered by hand."
00:01:41,00:01:43,(Laughter)
00:01:43,00:01:53,"Messages that could be texted or emails are always relayed face to face. And residents quite often walk long distances just to ask when a relative will be home for tea, or if they would like a coffee."
00:01:53,00:01:55,(Laughter)
00:01:55,00:01:58,"Did they not also say, ""It's all made up?"""
00:01:58,00:02:00,That was a feature of this lecture.
00:02:00,00:02:08,"I think they said as well, lemon drizzle is a cake that they eat a lot. And there's something about what's in lemon drizzle that means that it knocks out."
00:02:08,00:02:11,"I know, I know. (Laughter)"
00:02:11,00:02:18,But it's worth saying that these are not just fans who were comedians or whatever are trying to make a point about a comedic lecture.
00:02:18,00:02:24,These are real lecturers. This is a genuine thing. This was set up by three people who love the archers.
00:02:24,00:02:32,One is from a date modern called Kara Courage. And then there's an Oxford University person. There's a sterling university person.
00:02:32,00:02:35,There's an Oxford University person.
00:02:35,00:02:37,"Yeah, Nicola Hadlam."
00:02:37,00:02:39,Talking about the archers.
00:02:39,00:02:40,(Laughter)
00:02:40,00:02:41,Wow.
00:02:41,00:02:43,This university education gone downhill.
00:02:43,00:02:48,"It's just, it's brainy people who happen to listen to the archers and be academics."
00:02:48,00:02:52,But they have genuine academics who will present an idea or a lecture.
00:02:52,00:02:57,This is the fourth year that's going to happen. Happening April 5th. So this podcast will have gone out by then most likely.
00:02:57,00:03:02,So I saw some other of the lectures that they had there.
00:03:02,00:03:14,"Big telephoto lens, small tick list, bird watching, class, and masculinity in Ambridge. I was one of them. And my past nips are bigger than your past nips."
00:03:14,00:03:15,(Laughter)
00:03:15,00:03:19,The negative aspects of competing at Flower and Produce shows.
00:03:19,00:03:21,That's really good.
00:03:21,00:03:26,"And make it through because it's obviously such a, you know, it's been going 60 plus years the archers."
00:03:26,00:03:28,And so there's so much to pick on.
00:03:28,00:03:31,Should you say what the archers is for Americans who are listening?
00:03:31,00:03:33,Absolutely. We just plow on and don't explain it.
00:03:33,00:03:36,(Laughter)
00:03:36,00:03:38,See if you can possibly piece it together by the end.
00:03:38,00:03:43,"So yeah, it's an extremely long running series on Radio 4. It goes out twice a day."
00:03:43,00:03:45,Should we say what Radio 4 is for America?
00:03:45,00:03:46,Oh my goodness.
00:03:46,00:03:51,"Which is a great radio station, which does radio. I don't know how to make it."
00:03:51,00:03:55,It's a long running drama. And it's been going for 60 plus years.
00:03:55,00:04:03,"And yeah, so they do pick up on, so the talks do also include the absence of primary education in the archers."
00:04:03,00:04:10,Why is there no primary? There's stuff about the flower rotor at the local church who is doing all the flowers.
00:04:10,00:04:14,Who could possibly do this? Why do so many of them not die is another one.
00:04:14,00:04:15,Oh yeah.
00:04:15,00:04:20,"Well, it's like the antidote to all other soap. So yeah, it was started in 1951, so that's so long ago."
00:04:20,00:04:28,"No one has ever been murdered. Now, as someone who watched EastEnders as a kid, I find this extraordinary."
00:04:28,00:04:33,"Yeah, because it's based on a village, isn't it, in Worcestershire called Inc. Barrow?"
00:04:33,00:04:34,Yeah.
00:04:34,00:04:36,"Okay, which is a tiny little village where nothing ever happens."
00:04:36,00:04:41,"But actually the crime rate in this village is much, much lower than in the archers."
00:04:41,00:04:48,"So for every hundred people, the amount of crime in the village of Inc. Barrow, which is real, is 1.8 crimes."
00:04:48,00:04:49,Right.
00:04:49,00:04:55,"And in Ambridge, it's 0.9 crimes. So it's your half as likely to have crime against you in Ambridge, as you are."
00:04:55,00:04:56,No way.
00:04:56,00:04:57,The fictional place.
00:04:57,00:04:58,Yeah. That's great.
00:04:58,00:05:05,"Whereas EastEnders, if you live in Wolford, your three times more likely to be murdered."
00:05:05,00:05:11,"There have been sort of killing off, so there was a big controversy."
00:05:11,00:05:15,"This is way back when, on the very night that ITV launched, which was the 50s, I think."
00:05:15,00:05:17,"Yeah, 55."
00:05:17,00:05:21,"Grace Archer, one of the main characters, one of the members of the Archer family,"
00:05:21,00:05:28,"her character was bumped off, and it was to draw attention away from ITV so that people wouldn't watch it."
00:05:28,00:05:31,"Well, obviously that worked really well."
00:05:31,00:05:33,You know it actually wasn't because of that.
00:05:33,00:05:38,"Because, well, they always denied it, and this thing came out recently."
00:05:38,00:05:43,So the woman who played Grace Archer is a woman called Esan Churchman.
00:05:43,00:05:47,"She kept on being asked, after 1955, why is your character been killed off?"
00:05:47,00:05:50,And she always said dead girls tell no tales.
00:05:50,00:05:55,"And then, aged 90, in 2015, she spilled the beans."
00:05:55,00:05:58,"And first of all, she said, ready if I had no idea it was going to be such a big thing."
00:05:58,00:06:03,"So everyone thought it was to overshadow ITV, and maybe it was, maybe they're still lying."
00:06:03,00:06:05,But they said they had no idea it was going to be such a big deal.
00:06:05,00:06:08,The reason they killed her was because she'd been asking for equal pay.
00:06:08,00:06:15,And they tried to exile her already. She'd been exiled to Ireland the year before.
00:06:15,00:06:17,Within the show.
00:06:17,00:06:20,"Within the show, sorry."
00:06:20,00:06:25,I don't think Rainier Four has the power to exile people.
00:06:25,00:06:30,"Yes, for the Americans, the producers of the Archers also make the laws of England."
00:06:30,00:06:32,"Well, so what do you mean they tried to exile her?"
00:06:32,00:06:35,Was she just the actor walking back into the studio?
00:06:35,00:06:36,No.
00:06:36,00:06:37,I'm back.
00:06:37,00:06:39,They sent her to Ireland in the show.
00:06:39,00:06:42,And the public outcry was so much because she was such a popular character
00:06:42,00:06:45,"that they were like, we'd better write her back in, but we've got to off this one."
00:06:45,00:06:47,So this used to happen quite a bit.
00:06:47,00:06:51,"So there's a guy who plays a doctor, or until recently, I think he played a doctor on the Archers."
00:06:51,00:06:53,And he was originally rejected.
00:06:53,00:06:55,He auditioned for the role of a doctor.
00:06:55,00:06:58,And he was rejected because they said he didn't sound enough like a doctor to play a doctor.
00:06:58,00:07:00,"I say he said, fine."
00:07:00,00:07:02,So he was given a different role on the show.
00:07:02,00:07:05,But he could only do Thursday afternoons and weekends because he worked as a doctor.
00:07:05,00:07:13,"So anyway, so there were times when he needed kind of to be in a scene, but he wasn't available"
00:07:13,00:07:15,because he was busy in a GP surgery.
