start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[saxophone plays]
00:00:02,00:00:04,[speaking in foreign language]
00:00:04,00:00:07,[saxophone plays]
00:00:07,00:00:08,[saxophone plays]
00:00:08,00:00:14,[saxophone plays]
00:00:14,00:00:18,"Hello, and welcome to another episode of ""No Such Thing as a Fish"""
00:00:18,00:00:23,a weekly podcast this week coming to you live from Shepfield!
00:00:23,00:00:30,[saxophone plays]
00:00:30,00:00:36,"My name is Dan Schreiber, I am sitting here with Anish Zinsky, Andrew Huntson Murray,"
00:00:36,00:00:41,"and James Harkin, and once again we have gathered around the microphones with our four favorite facts"
00:00:41,00:00:48,"from the last seven days, and in no particular order, here we go, starting with you, Andy."
00:00:48,00:00:54,"My fact is, as a child, the naturalist Frank Buckland learned to differentiate different kinds"
00:00:54,00:00:58,of animal urine by taste alone. [laughter]
00:00:58,00:01:04,"What a guy! How did this happen? Well, so he was the son of another naturalist,"
00:01:04,00:01:10,"a guy called William Buckland, this is with Victorian, we're talking here, 19th century,"
00:01:10,00:01:17,"and William Buckland was an amazing guy, and he, you know, taught his children lots,"
00:01:17,00:01:21,"and they grew up surrounded by animals, so instead of having a hobby horse to ride on,"
00:01:21,00:01:27,"they had a dead crocodile. And as part of his education, he learned about different kinds of"
00:01:27,00:01:31,animal urine. And is that so you know which pet to tell off when someone we's on the floor?
00:01:31,00:01:35,"Oh, yeah. Who did that? I'm just going to check."
00:01:35,00:01:41,"Freddie? That's a very good idea, yeah, because they had loads of animals around the house."
00:01:41,00:01:46,"So like, for instance, William Buckland, he wasn't naturalist like you say, he liked experiments,"
00:01:46,00:01:51,"he likes to do that kind of thing, so there was one time he was in bed, and he was thinking about"
00:01:51,00:01:55,"fossil footprints, because they just found all these new footprints, and he came up with an idea"
00:01:55,00:02:00,"of how they might be formed, so he woke up his sleeping wife, and asked her to prepare a slab of dough"
00:02:00,00:02:05,"in the kitchen, so he could get his pet tortoise to walk across it, so he could have a look at the"
00:02:05,00:02:12,"footprints that it made. That's so cool. And so Frank's house, William's son, Frank's house,"
00:02:12,00:02:17,"seems like it was riddled with animals, there was an account from 1877 of a journalist who went to"
00:02:17,00:02:21,"physics, he was quite famous, and he said they open the door, and they immediately retreated because"
00:02:21,00:02:27,"there was a jaguar in the doorway with monkeys seizing its tail and denuding it of fur, and"
00:02:27,00:02:33,"the buckles were like, don't worry, he won't hurt you, it'll be fine. There was a jackass, laughing jack"
00:02:33,00:02:37,"ass, which I think is a cookaburra, their word for a cookaburra, chasing live mice up and down a"
00:02:37,00:02:44,"glass jar with a battalion of cats waiting underneath, and there was a battalion, and there was a parrot"
00:02:44,00:02:51,"that kept on calling cabs from the front window as soon as they arrived, but apparently was equally"
00:02:51,00:02:57,"ready to hail an omnibus if they so desired. Yeah, I read a story of a guest, I believe it was with"
00:02:57,00:03:01,"Frank, might have been with William, but they tripped over in the night down the staircase over"
00:03:01,00:03:06,"a hippopotamus, they weren't expecting, yeah. What? Yeah, I'm not, was it alive or dead, the hippo?"
00:03:06,00:03:11,"It was a dead baby hippopotamus, and it was a small child, and she fell all the way down the stairs,"
00:03:11,00:03:17,"and he was like, be careful, you could have damaged that. It sounds like the whole life was just"
00:03:17,00:03:21,"incredible adventures with animals, because Buckland, both Buckland's really were popularizers"
00:03:21,00:03:27,"of science, as well as actual researchers and scientists, but he wrote lots of memoirs and lots"
00:03:27,00:03:33,"of exciting books, which sold hundreds of thousands of copies. So for example, one account he gave,"
00:03:33,00:03:38,"he was trying to make a cast of a three-meter sturgeon, but he could only borrow it for one night,"
00:03:38,00:03:46,"so he had to do it really fast, and he had to get, he woke his wife up. He had to get it downstairs"
00:03:46,00:03:50,"and into the kitchen, so what he did was he tied a rope around its tail, because it was really heavy,"
00:03:50,00:03:55,"it was three meters long, he'd let it slide downstairs in front of him and sort of pulled the rope"
00:03:55,00:04:00,"tall, and unfortunately, obviously, sturgeons are very, very slippery, and it got away from him,"
00:04:00,00:04:05,"and it crashed down the stairs, and it smashed into the kitchen, and these are his words. He said,"
00:04:05,00:04:10,"""This sudden and unexpected appearance of the armour-clad sea monster bursting open the door,"
00:04:10,00:04:16,"instantly created a sensation."" The cook screamed, the house made fainted, the cat jumped on the"
00:04:16,00:04:20,"dresser, the dog retreated behind the copper and barked, the monkeys went mad with fright,"
00:04:20,00:04:24,and the sedate parrot has never spoken a word since.
00:04:25,00:04:33,I will just couldn't get a taxi from that on. He used to chase the cook around the house with a
00:04:33,00:04:39,"dead goose squeezing its voice box to make it squawker her. Was this in childhood? No, no, as a grown-up."
00:04:39,00:04:44,"Oh, what's a grown-up? Yeah, as an adult, yeah. We should say that you've already mentioned that"
00:04:44,00:04:49,"these guys were scientists, but these were like proper scientists. These two guys really were,"
00:04:49,00:04:55,"they were sharing notes with Darwin about ideas, they were properly famous in their time."
00:04:55,00:05:00,"Although Frank didn't believe in evolution, actually neither of them did, but Frank especially"
00:05:00,00:05:04,"didn't believe in evolution, and to prove it, he did a lot of interviews with Pongo, the guerrilla,"
00:05:04,00:05:09,"after which he deduced that the creator had drawn a fast line between human and monkey,"
00:05:09,00:05:13,"so he wasn't getting much out of the interview, I don't think."
00:05:13,00:05:18,"I reckon Pongo went away and thought the same thing. But he did like to eat animals as well,"
00:05:18,00:05:24,"didn't he, Frank? So he deliberately moved closer to London zoos so that he could eat them as"
00:05:24,00:05:28,"soon as they died in the zoo because he liked to eat animals that were all different animals,"
00:05:28,00:05:33,"not just like, you know, meat that we might do so. Frank unvolume, didn't they? Oh, yes, they did, yeah."
00:05:33,00:05:38,"When he was living near the zoo, they, a panther, had died, and so that for him was like,"
00:05:38,00:05:42,"I've never had panther, I really want to try that. So he wrote this is from his writings."
00:05:42,00:05:47,"He said, I wrote at once to tell his friend who worked at the zoo, to tell him to send me down"
00:05:47,00:05:52,"some chops. It had, however, been buried a couple of days, but I got them to dig it up."
00:05:52,00:05:59,"It was not very good. Culinary advice, no one needed."
00:05:59,00:06:05,"But he kind of had also, he was obviously doing this before lots of animals became endangered,"
00:06:05,00:06:10,"so slightly different times. It's still gross. It's still gross. I'm not saying it's not gross,"
00:06:10,00:06:14,"I'm just, but he, but he, there was a purpose behind all this mad eating that he was doing,"
00:06:14,00:06:20,"because he helped to found this thing called the acclimatisation society, and they said, well,"
00:06:21,00:06:25,"people need food to eat, they need protein, turkeys and fessons are not native to Britain,"
00:06:25,00:06:31,"they were introduced, and they've been a brilliant success. What else can we introduce that will be tasty?"
00:06:31,00:06:34,Because they were worried that the population was going up and we won't be able to feed ourselves.
00:06:34,00:06:38,"Exactly. So they just had banquets every year when they tried all sorts of stuff and said,"
00:06:38,00:06:42,"what can we introduce? Because after Brexit, we'll all be digging up the panthers, won't we?"
00:06:42,00:06:48,"Okay, it is time for fact number two, and that is Chazinsky."
00:06:48,00:06:54,"My fact this week is that in the 1980s, Romania lifted up and relocated dozens of buildings,"
00:06:54,00:07:00,often with their residents still inside them. So why did they do that?
00:07:00,00:07:06,"Well, so this was in the 1980s in Romania and many in Bucharestka. It was under child Chescu,"
00:07:06,00:07:11,"who wanted, as a plastic dictator, fashion to create this enormous palace for the people,"
00:07:11,00:07:16,"which involved bulldozing basically the entire city, and he destroyed hundreds of buildings."
00:07:16,00:07:21,"It was very devastating, because it was a really picturesque town, which was sort of flattened,"
00:07:21,00:07:25,"but there were a few heroes who thought, okay, rather than let him destroy these buildings,"
00:07:25,00:07:30,"let's quickly move them. And so they got to work, and they moved, almost a dozen churches,"
00:07:30,00:07:36,"and they moved lots of other buildings, including a hospital, a bank, and sometimes whole apartment buildings,"
00:07:36,00:07:42,which they just move like pick up and shift a few hundred yards with the people still inside them.
00:07:42,00:07:44,"They must have told the people inside, mustn't they?"
00:07:44,00:07:49,They did. Although there was one occasion where people have been told that they were going to be
00:07:49,00:07:53,"moving their buildings at 9 a.m., and so most of the residents thought, I'll just pack my suitcases"
00:07:53,00:07:57,"and get out for that little period. And it turned out it was 6 a.m., so they all got up at 9,"
00:07:57,00:08:01,"looked out their windows and was like, oh my god."
00:08:01,00:08:05,"This was mainly one guy, it wasn't it, who came up with the idea, who passed away just this year."
00:08:05,00:08:11,"I'll attempt to say his name, and then Anna can say it correctly after me."
00:08:11,00:08:14,Eugenio Lodal Shokku.
00:08:14,00:08:19,"Wow, wow. I mean, he got the first letter of his name completely wrong."
00:08:19,00:08:20,"It's an I, not an L."
00:08:20,00:08:22,"Oh, that's an I."
00:08:22,00:08:26,"Okay, you ordered Chesku?"
00:08:26,00:08:30,"Yeah, you ordered Chesku. Eugenio, you ordered Chesku."
00:08:30,00:08:37,"That's who I said, and so he died this year very sadly, and he got the idea for it,"
00:08:37,00:08:41,"because he hated the idea that this was a rescue mission, these were meant to be demolished,"
00:08:41,00:08:45,and he thought that's unacceptable. A lot of these were very beautiful churches that he wanted
00:08:45,00:08:50,"to survive. And so he was sitting in a restaurant one day, and he saw a waiter passing by,"
00:08:50,00:08:55,"carrying on a tray, the drinks that he was bringing to a table, and he looked at that tray system,"
00:08:55,00:08:58,"and he thought, that's how we could be doing this."
00:08:58,00:09:02,And then he started a search for the largest waiter in the world.
00:09:04,00:09:07,Yeah. He sounded so much like Jeremy Clarkson.
00:09:07,00:09:11,He didn't do that. He built some rail tracks.
00:09:11,00:09:17,"He basically built one mini railways, didn't he, so he could sort of roll them along into their new"
00:09:17,00:09:22,"areas. So if you go to Bucharest now, then you can see these old buildings sort of hiding"
00:09:22,00:09:26,"behind the huge ugly new Soviet ones. They'll be a lovely little church, suddenly."
00:09:26,00:09:31,"So actually, that parliament that was built, you know, that everything else was being"
