start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"[ forgot to sing ""Horororora"" ]"
00:00:07,00:00:14,"[ forgot to sing ""Horororora""]"
00:00:14,00:00:19,"Hello, and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:19,00:00:22,this week coming to you live from Oxford!
00:00:22,00:00:29,[ Cheers and applause ]
00:00:29,00:00:35,"My name is Dan Schreiber, and I am sitting here with Anna Chazinski, Andrew Huntson Murray,"
00:00:35,00:00:40,"and James Harkin, and once again, we have gathered around the microphones with our four favorite"
00:00:40,00:00:45,"facts from the last seven days, and in no particular order, here we go."
00:00:45,00:00:47,"Starting with you, Andy."
00:00:47,00:00:56,"My fact is, that hippos sometimes poo into rivers so much that all the fish downstream die."
00:00:56,00:00:59,This is such cool science.
00:00:59,00:01:01,What if you're a fish?
00:01:01,00:01:02,Yeah.
00:01:02,00:01:03,What if you're a fish?
00:01:03,00:01:04,This is a horror story if you're a fish?
00:01:04,00:01:05,"Yes, true."
00:01:05,00:01:08,"So, quick shout out to the scientists who did this, the team who did this was scientist Chris"
00:01:08,00:01:13,"Dustin and Amanda Subulloski, and the hippos poo a lot into rivers."
00:01:13,00:01:18,"Basically, pooing is one of the main things that hippos do, and they do it for, you know,"
00:01:18,00:01:24,"all sorts of purposes, communication, and mostly to get it out of their bodies, mostly for"
00:01:24,00:01:32,"pooing purposes, but is technically called organic matter loading, if one I call it, surely it's"
00:01:32,00:01:33,unloading.
00:01:33,00:01:36,"Depends what, if you're loading the river?"
00:01:36,00:01:37,I guess.
00:01:37,00:01:38,"Oh, yes."
00:01:38,00:01:39,"No, I don't know."
00:01:39,00:01:40,"No, you're right."
00:01:40,00:01:41,You're right.
00:01:41,00:01:43,"Well, I'm not sure I am."
00:01:43,00:01:49,"But, so they eat a lot of grass, and they eat it at night because it's cooler when they're"
00:01:49,00:01:53,"out of the river feeding, and in the daytime, they wallow in the river to stay cool."
00:01:53,00:01:56,So this was on a river called the Mara between Kenya and Tanzania.
00:01:56,00:02:03,"There are 4,000 hippos living in this river, and these hippos deposit 8,500 kilos of waste"
00:02:03,00:02:09,"every day into quite a short section of river, and it turns into this huge sludge at the"
00:02:09,00:02:13,"bottom of the river, and then in the dry season, the river shrinks and dries up a bit."
