start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[music]
00:00:02,00:00:13,[music]
00:00:13,00:00:16,Hello!
00:00:16,00:00:22,[applause]
00:00:22,00:00:26,This week coming to you live from the States of America!
00:00:26,00:00:29,[applause]
00:00:29,00:00:31,My name is Jay Shriver.
00:00:31,00:00:36,"I am sitting here with Anna Chasinski, Andrew Hunter Murray and James Harkin."
00:00:36,00:00:41,And once again we have gathered around the microphones with our four favorite facts from the last seven days.
00:00:41,00:00:44,"And in no particular order, here we go."
00:00:44,00:00:46,"Starting with you, Chasinski."
00:00:46,00:00:55,My fact this week is that there was a Disneyland in England 569 years before there was one in America.
00:00:55,00:00:57,[laughter]
00:00:57,00:00:59,Yeah.
00:00:59,00:01:03,It must have been very bad at four actually.
00:01:03,00:01:04,[laughter]
00:01:04,00:01:06,It's just a slide and a swing.
00:01:06,00:01:09,It's just a field overrun with mice. Is that what you're saying?
00:01:09,00:01:10,[laughter]
00:01:10,00:01:15,"Well, it was a field, so you're half right."
00:01:15,00:01:22,"This is from a book, a new book called A New Dictionary of English Field Names, which is set to be..."
00:01:22,00:01:24,That sounds like a hell of a read.
00:01:24,00:01:26,[laughter]
00:01:26,00:01:28,Welcome to Anna Chasinski's book club.
00:01:28,00:01:30,[laughter]
00:01:30,00:01:32,Membership one.
00:01:32,00:01:37,"No, it sounds great. And The Telegraph actually did a review of it, this obscure book."
00:01:37,00:01:46,"And basically it's this guy who's gone back and traced 45,000 field names from various things like old tithe records and things like that."
00:01:46,00:01:50,He's called Paul Cavill and he's warning that...
00:01:50,00:01:52,And he's single ladies.
00:01:52,00:01:58,[laughter]
00:01:58,00:02:00,He's out there playing the field.
00:02:00,00:02:07,[laughter and applause]
00:02:07,00:02:10,I'm not having this because I'm a huge fan of Paul's.
00:02:10,00:02:16,He's warned that these field names could be dying out. No one seems to be naming their fields anymore. Can you believe it?
00:02:16,00:02:19,Oh no! Call the Avengers.
00:02:19,00:02:22,[laughter]
00:02:22,00:02:27,And yet they used to. So it's a really important thing. I'm actually surprised farmers don't still name their fields.
00:02:27,00:02:32,"Because the reason you do it is if you've got to say like, oh, if you're like, you know, where's the collie?"
00:02:32,00:02:39,"Oh, I left him in, you know, that field that's like three along, five up. It's much easier to say, oh, I left him in Disneyland."
00:02:39,00:02:47,"And so this one was called Disneyland because this was in 1386 he found the record, as in the record was in 1386."
00:02:47,00:02:49,He hasn't been writing the book for that long.
00:02:49,00:02:56,And it was the Disney family. And they were called that because they were originally from a place called Disney in France.
00:02:56,00:03:01,"And so that was why it was called that. I guess they had one field. But yeah, they all used to be named."
