start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Bell]
00:00:02,00:00:04,[Bell]
00:00:04,00:00:06,[Bell]
00:00:06,00:00:08,[Bell]
00:00:08,00:00:10,[Bell]
00:00:10,00:00:12,[Bell]
00:00:12,00:00:14,[Cheering]
00:00:14,00:00:20,"Hello and welcome to another episode of ""No Such Thing as a Fish A Weekly Podcast"""
00:00:20,00:00:24,this week coming to you live from Copenhagen!
00:00:24,00:00:26,[Cheering]
00:00:26,00:00:28,[Bell]
00:00:28,00:00:42,"My name is Dan Schreiber, I am sitting here with Annotchaginski, Andrew Huntsomari and James Harkin, and once again we have gathered around the microphones of our four favorite facts from the last seven days at in a particular order."
00:00:42,00:00:52,"Here we go. Starting with my fact, my fact this week is that when 11 time Grand Slam tennis champion, Bjorn Borg, came out of retirement,"
00:00:52,00:01:00,he returned using a wooden racket and was coached by a 79 year old karate expert from Wales.
00:01:00,00:01:02,[Laughter]
00:01:02,00:01:06,"Three years later, he retired once again having failed to win a single match."
00:01:06,00:01:08,[Laughter]
00:01:08,00:01:10,Amazing.
00:01:10,00:01:16,"This fact was told to me by a friend of ours, the singer of our theme tune, Ash Gardner of Emperies."
00:01:16,00:01:24,"Yes, he had found this out and it's absolutely true. It was a huge comeback. He for some bizarre reason didn't get a tennis coach."
00:01:24,00:01:28,He found this 79 year old karate expert called Ron Thatcher.
00:01:28,00:01:32,"Yeah, he was called Ron Thatcher, but he preferred to be known as Tier Honsey."
00:01:32,00:01:34,[Laughter]
00:01:34,00:01:36,And Borg called him the professor.
00:01:36,00:01:42,"And this guy Ron Thatcher, he would always be accompanied by two ballerinas."
00:01:42,00:01:44,[Laughter]
00:01:44,00:01:46,Always.
00:01:46,00:01:58,"He had a massive hearing aid and he would always wear white and he always sat 15 feet away from Borg while he was playing, watching him through binoculars."
00:01:58,00:02:00,Wow.
00:02:00,00:02:02,Was he qualified in any way to be a tennis coach?
00:02:02,00:02:04,No.
00:02:04,00:02:12,"He was like a life coach to a lot of people in Hollywood at the time and Borg of course, when he did retire, he kind of went into a bit of a play by lifestyle, didn't he?"
00:02:12,00:02:22,"So he was 26 when he retired and then he came back age 34 and people said at the time that the wooden racket thing, they said it was like showing up in a rug with a musket."
00:02:22,00:02:24,It was just such a controversial decision to make.
00:02:24,00:02:26,He was determined that the old boys were the best.
00:02:26,00:02:32,"Yeah, that was the old way and then they went to graphite rackets and so he thought let me bring back this."
00:02:32,00:02:36,"I mean, basically it looked like he was doing a karate could move."
00:02:36,00:02:38,"He was using the old ways, he had a karate expert."
00:02:38,00:02:44,"Yeah, it is old to watch because you can watch that one of the first matches that he'd spectacularly lost when he came back."
00:02:44,00:02:46,"And it's just, it's a lot slower."
00:02:46,00:02:52,It's like watching a sort of a five-year-old tap it back over the net and then sort of a professional tennis player smash it in their face.
00:02:52,00:02:56,"Yeah, the first game was in the Monte Carlo Open, wasn't it?"
00:02:56,00:03:06,"And he lost in straight sets to a guy called Arrazi who then lost in the next round to even Isabic, who lost in the next round to Steve, who lost in the next round to Prippich,"
00:03:06,00:03:14,"who lost in the next round to Becker, who then got to the final in the next game and lost to Sir Guy Bragarium."
00:03:14,00:03:18,So you could definitely argue that Bog was by far the worst player in the whole game.
00:03:18,00:03:20,But he was one of the greats.
00:03:20,00:03:28,"I mean, it's worth saying for anyone who follows tennis now or is just aware of famous tennis names like Jokovic and Federer."
00:03:28,00:03:30,"Bjorg was, he was huge."
00:03:30,00:03:36,"Him and Mackinroy and their rivalry is the great rivalry that is alongside Nadal and Federer, really."
00:03:36,00:03:44,"And their big game in 1981, the last big end that Bjorg really played in the US Open was Seminal."
00:03:44,00:03:46,And that was also the last time that two players really used wooden rackets.
00:03:46,00:03:50,So the two of them were two of the very last people on tour to use the wooden rackets.
00:03:50,00:03:52,Everyone was doing the modern stuff by this time.
00:03:52,00:03:54,"But he was very upset by it, wasn't he?"
00:03:54,00:04:00,"So he lost to Mackinroy Wimbledon in 1981, and then at the US Open Final two months later."
00:04:00,00:04:06,"And he was so upset that he, and this is like unheard of, he just fled the court."
00:04:06,00:04:08,"So the moment he lost that game, he ran off the court, he disappeared."
00:04:08,00:04:16,"And there was panic, and there was particularly panic, because there have been death threats against him called into the, you know, to the courts a few hours earlier."
00:04:16,00:04:20,"So all the staff were like, where the fuck has he gone?"
00:04:20,00:04:24,"A, he needs to be here to accept his silver trophy, and B, is he dead?"
00:04:24,00:04:30,"Follow that car, and the man in the white suit, and the ballerinas."
00:04:30,00:04:36,"The arrival we was actually made into a Hollywood movie not too long ago,"
00:04:36,00:04:38,"which was called ""Borg vs Mackinroy""."
00:04:38,00:04:40,What a brilliantly weird name.
00:04:40,00:04:44,"Well, they renamed the movie for Nordic Country."
00:04:44,00:04:48,So it went from Borg vs Mackinroy to Borg.
00:04:48,00:04:50,"Oh, wow!"
00:04:50,00:04:51,That's brilliant.
00:04:51,00:04:53,No interest in Mackinroy.
00:04:53,00:04:54,So good.
00:04:54,00:04:58,I was trying to find out about why tenor players have so many records.
00:04:58,00:05:02,"You know, because you see them, they turn up a court with a huge number of records, and you think they wouldn't need that many."
00:05:02,00:05:05,"So I started googling, why do tennis players have?"
00:05:05,00:05:09,And the options that it fills in automatically. The first one is so many records.
00:05:09,00:05:11,The second one is skinny arms.
00:05:11,00:05:13,"Okay, yeah. Some of them do. Sure."
00:05:13,00:05:17,Big thighs is the third one. Why do they have big thighs?
00:05:17,00:05:19,And big calves is the next one.
00:05:19,00:05:21,"Fifth one, shoes."
00:05:21,00:05:23,Why do they have shoes?
00:05:23,00:05:25,And what's the answer?
00:05:25,00:05:27,I don't know.
00:05:27,00:05:29,You didn't read it?
00:05:29,00:05:31,What kind of researcher are you?
00:05:31,00:05:33,That's amazing.
00:05:33,00:05:36,"Well, I mean, Borg had a good reason for taking loads of records on tour."
00:05:36,00:05:41,"And that's that he just snapped the strings constantly, because he had a mad racket stringing thing."
00:05:41,00:05:45,"So his rackets were trying to enormous pressure or 80 pounds of pressure, which was very tight."
00:05:45,00:05:48,So that just means they used to snap constantly.
00:05:48,00:05:51,He once went through 60 records during one French open game.
00:05:51,00:05:53,What? Yes.
00:05:53,00:05:56,It's disruptive to the game. That would put you off.
00:05:56,00:05:59,But he wasn't a smasher at once. He didn't smash his own racket.
00:05:59,00:06:02,"No, no, far too boring for that."
00:06:02,00:06:05,"No, it's just because they're too tightly, tightly strong."
00:06:05,00:06:10,"But he had this coach that's called Leonard Bergelin, which I'm sure I've missed pronounced apologies."
00:06:10,00:06:13,But Leonard Bergelin was totally devoted to him.
00:06:13,00:06:19,"So he'd steep in a room with all of Borg's rackets, so that he could be woken up whenever one of them snapped."
00:06:19,00:06:25,"Because if one of them snapped, you had to leap out of bed and cut all the other strings so that you didn't warp the frame."
00:06:25,00:06:28,"And so he said like many times on tour, he'd just spend his whole night, you know,"
00:06:28,00:06:33,"having waking up, jumping out of bed quickly, cutting all the strings of a racket, going back to bed."
00:06:33,00:06:34,That's amazing.
00:06:34,00:06:37,Some more stuff on bad tennis.
00:06:37,00:06:45,There was a game in Florida in 2002 on Amelia Island. It was between Anne Kramer and Jennifer Hopkins.
00:06:45,00:06:51,"It was a first round match, and there were 29 double faults in the game."
00:06:51,00:06:58,But then they realised the reason was that the groundsmen had put the box in the wrong place.
00:06:58,00:07:03,And made it three feet shorter than it was supposed to be.
00:07:03,00:07:05,That's incredible.
00:07:05,00:07:10,"But surely tennis players can adjust to where a line is. That's their thing, right?"
