start_hhmmss,end_hhmmss,text
00:00:00,00:00:20,(Theme song plays)
00:00:20,00:00:22,"Now, Lo and welcome to another episode of None Such Thing as a Fish, a weekly podcast this week coming to you live from Paris!"
00:00:22,00:00:32,(Cheering and applause)
00:00:32,00:00:37,"Thank you very much, Marie and James Harkin, and once again we have gathered around the microphones"
00:00:37,00:00:43,"who are four favorite facts from the last seven days and in a particular order, here we go!"
00:00:43,00:00:45,"Starting with you, James!"
00:00:45,00:00:56,"Okay, my fact this week is that North American potcups sometimes fall out of trees and impale themselves of their own spice."
00:00:56,00:00:58,"So, they get pushed into them?"
00:00:58,00:01:01,"Like, so they're ready to get us what impaled beans."
00:01:01,00:01:04,(Laughter)
00:01:04,00:01:05,Do they die?
00:01:05,00:01:07,"We all die, aren't they?"
00:01:07,00:01:08,(Laughter)
00:01:08,00:01:12,"I don't think we're in Paris, I should've realised the philosophy would come early in the morning."
00:01:12,00:01:24,"Well, actually, not usually, and the reason that we know about this for a few reasons, but it's kind of a report that came out by a guy called oldest Rose and his colleagues,"
00:01:24,00:01:31,"and they noticed that quilts have antibiotics on them, and they worked out that the reasons that they have antibiotics on them"
00:01:31,00:01:37,"is because they do impale themselves quite often, and it means that it will kind of get infected and it won't kill them."
00:01:37,00:01:41,"It is weird that they spend so much time up trees, and this is North American microbiome, isn't it?"
00:01:41,00:01:43,"Yeah, they absolutely lot of climbing trees!"
00:01:43,00:01:51,"Yeah, actually, a female potcupide is only interested in sex once a year, and she signals that by climbing the tree, urinating and screaming."
00:01:51,00:01:53,(Laughter)
00:01:53,00:01:54,It's sexy.
00:01:54,00:01:55,We all dry up.
00:01:55,00:01:57,(Laughter)
00:01:57,00:02:06,"But the males have urination as well in their mating, so the males, they can sometimes make the females receptive to mating, and the way they do that is urinating on them."
00:02:06,00:02:12,"And they have a special high velocity urine, which can go six feet."
00:02:12,00:02:13,Wow.
00:02:13,00:02:20,"So even if a female is on a completely different branch, the male can spray her and then she will become fertile."
00:02:20,00:02:21,That's incredible.
00:02:21,00:02:22,"Yeah, is it true?"
00:02:22,00:02:24,"I might have this wrong, but is it true?"
00:02:24,00:02:33,"So there's a fight that happens between two males who are according the one, so the urination thing, as well as being an exciting thing for the mating ritual,"
00:02:33,00:02:39,is also in the same way that a dog might pee on a fire hydrant to mark it as its territory.
00:02:39,00:02:41,"It's a territory marking thing, I think, as well."
00:02:41,00:02:42,That feels slightly possible.
00:02:42,00:02:43,"Yeah, they're not really sure."
00:02:43,00:02:48,"They think, yeah, it could be pheromones to attract them, but they do have this massive bite."
00:02:48,00:02:55,"So, lots of males can get involved, because they're very solitary porky bites, and they have this very narrow window of fertility, the females."
00:02:55,00:03:02,"And so they're on their own, middle of nowhere, there's something like, ""Fuck, I'm fertile, so they have to do this whole screaming, weeing thing."""
00:03:02,00:03:06,So it just spends urine in the air and hope the male smell it.
00:03:06,00:03:10,"So then a bunch of males flock to them, and then they do have this huge bite."
00:03:10,00:03:18,"And so it's very normal if you see a male porky by mating, he'll usually be doing it with a bunch of someone else's, some other porky finds quills sticking out of it."
00:03:18,00:03:19,Wow.
00:03:19,00:03:21,Covered in other men's quills.
00:03:21,00:03:22,Wow.
00:03:22,00:03:23,"Yeah, not comfortable."
00:03:23,00:03:24,No.
00:03:24,00:03:34,"The female porky minds are pregnant or lactating for 11 months of the year, and they can be pregnant for all of their lives, and they live for 20 to 30 years."
00:03:34,00:03:38,So they basically spend their entire lives pregnant or breastfeeding.
00:03:38,00:03:40,Why under the screaming so much?
00:03:40,00:03:43,Why are they not more porky minds then?
00:03:43,00:03:45,They're just good at hiding from you.
00:03:45,00:03:47,I think they're not quite a lot.
00:03:47,00:03:49,"If you're in a narrow group, I think you hear it quite a lot."
00:03:49,00:03:55,"So what they have lots of quills, actually they have spines all over their penis as well at the males."
00:03:55,00:03:58,It's covered in what they call horny material.
00:03:58,00:04:00,It's a very common one.
00:04:00,00:04:06,"But they've no, you know, the proper for humans is that they can stab us with their quills."
00:04:06,00:04:12,"And there was a paper from 1955, which is all about being quilled by porky pines."
00:04:12,00:04:15,And this is our friends at improbable research.
00:04:15,00:04:18,"So the guy who did the ignoble awards, which we mentioned before,"
00:04:18,00:04:23,"there was a paper in 1955 written by Albert R. Schabel, and in it he wrote,"
00:04:23,00:04:32,"""Many hundreds of quills have penetrated various parts of the author's own body in numbers of one or two to as many as 40 at one time."
00:04:32,00:04:39,"On one occasion, 40 were driven into the forehead and the bridge of the nose by one stroke of a porky pint's tail."
00:04:39,00:04:45,"They added, ""The penetration of porky pint quills into the human body is never a pleasant sensation."""
00:04:47,00:04:49,"That's last time, speak."
00:04:49,00:04:51,We're thinking of trying it out.
00:04:51,00:04:54,"They have really interesting sex organs, don't they?"
00:04:54,00:04:57,"Porky pines, the males have really interesting sex organs."
00:04:57,00:05:00,So they keep their testes inside them.
00:05:00,00:05:02,They don't let their testes into their scrotal sac for most of the year.
00:05:02,00:05:05,"They're just sitting in their stomachs on my, not their stomach, their abdomen."
00:05:05,00:05:09,And then they just plop them down into the scrotal sac once they're going to mate.
00:05:09,00:05:11,And they suck them back up again when they're not mating.
00:05:11,00:05:14,"But then they've got, as you said, their penis is fined."
00:05:14,00:05:17,"But also, it's usually pointing backwards."
00:05:17,00:05:20,So it's in sort of a sheath that points backwards towards them.
00:05:20,00:05:23,"So when they mate with the female, it flips out a pen knife."
00:05:23,00:05:24,"Oh, wow."
00:05:24,00:05:25,That's amazing.
00:05:25,00:05:26,Yeah.
00:05:26,00:05:28,No wonder they keep their testes inside.
00:05:28,00:05:31,They'll probably be stabbing themselves otherwise while they're around.
00:05:31,00:05:33,"That's probably just, yeah, protection."
00:05:33,00:05:38,There was a politician from Florida called Bobby Bean.
00:05:38,00:05:40,And he wanted to become a senator.
00:05:40,00:05:48,And he ran with the promise that he would make sex with Porcupines legal.
00:05:48,00:05:50,And how did he--
00:05:50,00:05:54,He's now president.
00:05:54,00:05:56,"Did he, did he win?"
00:05:56,00:05:57,"No, he didn't win."
00:05:57,00:06:00,"Actually, it wasn't quite as stupid as you might think."
00:06:00,00:06:05,"His idea was to, he wants it to erase kind of useless laws that exist."
00:06:05,00:06:09,So it currently is illegal explicitly to have sex with Porcupines in Florida.
00:06:09,00:06:14,"And he's like, you know, they have a pen knife spiky penis."
00:06:14,00:06:16,We're probably not going to do that.
00:06:16,00:06:19,"And it's spiky on the outside, we probably don't eat this law."
00:06:19,00:06:23,And there was like other things like there was a rule against men wearing strapless gowns
00:06:23,00:06:25,that he wanted to get rid of as well.
00:06:25,00:06:27,"So wrappers gowns, yeah."
00:06:27,00:06:30,"Well, how's he going to seduce the Porcupines?"
00:06:30,00:06:35,And they eat people's toilets sometimes.
00:06:35,00:06:36,What?
00:06:36,00:06:37,Porcupines.
00:06:37,00:06:38,They do.
00:06:38,00:06:40,They genuinely do.
00:06:40,00:06:41,"Well, okay."
00:06:41,00:06:44,Let's have some qualification here.
00:06:44,00:06:47,"So what they do, they love sodium."
00:06:47,00:06:48,"So it's salt, basically."
00:06:48,00:06:49,And they need one of it.
00:06:49,00:06:50,They crave salt all the time.
00:06:50,00:06:55,And some people in the territory still have outdoor wooden toilets.
00:06:55,00:06:59,"And a lot of the words, you know, if your aim is poor,"
00:06:59,00:07:02,"has urine soaked into it, okay?"
00:07:02,00:07:04,So urine contains salt.
00:07:04,00:07:07,"And, you know, people, there are toilets which have been eaten away at."
00:07:07,00:07:08,By Porcupines.
00:07:08,00:07:11,"So they don't eat the porcelain, but they do eat the ceramic wood."
00:07:11,00:07:13,So they eat the hut.
00:07:13,00:07:15,"Yeah, they do eat the hut."
00:07:15,00:07:16,Yeah.
00:07:16,00:07:18,"So boy scouts, I think on Boy Scout cats, they often say,"
00:07:18,00:07:21,"""You'll go to the loo and you're surrounded by Porcupines chewing through the hut."""
00:07:21,00:07:23,They try that to say to urine.
00:07:23,00:07:24,Oh my gosh.
00:07:24,00:07:26,So you're really frightening.
00:07:26,00:07:29,But the salt love gets them into all sorts of trouble.
00:07:29,00:07:32,So they chew through cars a lot.
00:07:32,00:07:34,So cars are quite salty.
00:07:34,00:07:36,They genuinely do.
00:07:36,00:07:37,"No, they don't."
00:07:37,00:07:39,They're coming from a toilet volume.
00:07:39,00:07:42,You'll draw the line at cars.
00:07:42,00:07:43,Very weird.
00:07:43,00:07:46,They actually chew through cars mostly in winter.
00:07:46,00:07:48,Can you guess why?
00:07:48,00:07:49,Salt on the roads.
00:07:49,00:07:50,Salt on the roads.
00:07:50,00:07:51,Did you read that?
00:07:51,00:07:52,"Oh, great stuff."
00:07:52,00:07:55,"And if you drink, it must be on the toes when you're driving along."
00:07:55,00:07:57,"It gets on the toes, flicks up onto the engine."
00:07:57,00:08:00,"And then they climb, they'll eat your engine out from the inside."
00:08:00,00:08:01,Wow.
