start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hey everyone, welcome to this week's episode of Fish. Before we begin, we have a very big announcement, Andy."
00:00:06,00:00:12,That is right. The news is this. We are publishing the Book of the Year 2019 at the end of October.
00:00:12,00:00:19,"It's going to be a brand new book full of the most insane, wonderful, weird, brilliant things that have happened across the world this year."
00:00:19,00:00:22,"And even better, there is zero Brexit."
00:00:22,00:00:28,That's right. We've had any potential mention of Brexit redacted within the book itself.
00:00:28,00:00:34,"We have a very special competition, don't we? So if you pre-order the book, then you can win an amazing prize."
00:00:34,00:00:42,"And that prize is another copy of the book. However, it's a very special copy because we're going to keep it in the office."
00:00:42,00:00:50,And we're going to scribble all over it and make silly jokes and just do lots of drawings and it'll be it's a unique prize that only you will have.
00:00:50,00:01:00,It is. It's a window into our life in the office that you wish that you'd never opened. Once you see how sorted and corrupt the whole thing is.
00:01:00,00:01:06,But that's what you're going to get. You're going to get those doodles around the Book of the Year and it really has been so much fun to write this year.
00:01:06,00:01:12,"There's been lots of incredible news that you will have missed because we've been overwhelmed with all this Brexit, Malaki."
00:01:12,00:01:24,A man called Bud Weiser was arrested when he was trespassing a Bud Weiser factory. That was just incredible. Five guys were arrested at five guys this year.
00:01:24,00:01:28,"Yeah, it's packed with just all the silliest stories from the news of the year."
00:01:28,00:01:34,"So if you want to enter the competition, you just need to go to the book of the year.co.uk and all the details are there."
00:01:34,00:01:38,One more thing. We will be doing some live shows around this book.
00:01:38,00:01:48,"So if you want to come and see us live and hear all about the whole world, except for Brexit, then come and see us and details of that you can find at nosuchthingsaffish.com."
00:01:48,00:01:50,"Okay, on with the show."
00:01:58,00:02:12,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you from the QI offices in Covert Garden."
00:02:12,00:02:18,"My name is Dan Schreiber. I am sitting here with Anna Chazinski, Andrew Hunter Murray and James Harkin."
00:02:18,00:02:24,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days."
00:02:24,00:02:30,"And in no particular order, here we go. Starting with you, Andy."
00:02:30,00:02:34,My fact is that Major League Baseball has an official mud.
00:02:34,00:02:36,She's quite cool.
00:02:36,00:02:38,What do they do with this mud?
00:02:38,00:02:40,They rub it on their balls.
00:02:40,00:02:46,"Okay. And this is from a great article in Sports Illustrated, which you read for the articles."
00:02:46,00:02:48,I read for the articles. I genuinely do.
00:02:48,00:02:56,"So it's a profile of this man called Jim Bintliffe and he spends his life, basically, harvesting mud."
00:02:56,00:03:00,He's one of the world's only paid professional mud farmers.
00:03:00,00:03:02,Do you think there are a lot of amateurs?
00:03:02,00:03:04,"No, you're right."
00:03:04,00:03:08,"No, I think no, because you're not allowed to enter the mud at the Olympics if you are professional."
00:03:08,00:03:10,So a lot of people remain amateurs.
00:03:10,00:03:14,He's a shooter's chance at that.
00:03:14,00:03:15,It's true.
00:03:15,00:03:16,"But he's doing very well, isn't he?"
00:03:16,00:03:22,"Well, kind of, yeah. So the Major League Baseball, they need 240,000 baseballs per season."
00:03:22,00:03:28,And every single one has to have the shine taken off it so that the picture can grip it better.
00:03:28,00:03:33,And he has this secret location where he harvest buckets of mud.
00:03:33,00:03:36,And he won't tell anyone. He won't tell anyone at all.
00:03:36,00:03:41,"So, for example, he didn't even tell his wife until he'd been married for five years."
00:03:41,00:03:43,And they'd had two children together.
00:03:43,00:03:47,"Not even after the first child, did he think it's probably okay to tell my daughter?"
00:03:47,00:03:51,"It's true, not wonder why he kept coming back with muddy shoes and stuff."
