start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(bells ringing)
00:00:02,00:00:04,"- Do you know what it, or who don't want to wake us up?"
00:00:04,00:00:07,(bells ringing)
00:00:07,00:00:09,- Do you know what it is?
00:00:09,00:00:11,(upbeat music)
00:00:11,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:21,"of ""No Such Thing as a Fish"" a weekly podcast."
00:00:21,00:00:24,"This week, coming to you live from Antwerp."
00:00:24,00:00:27,(audience cheering)
00:00:28,00:00:31,- My name is Dan Schreiber and I am sitting here
00:00:31,00:00:33,"with Anna Chazinski, Andrew Hunter Murray,"
00:00:33,00:00:34,and James Harkin.
00:00:34,00:00:36,"And once again, we have gathered around the microphones"
00:00:36,00:00:39,with our four favorite facts from the last seven days
00:00:39,00:00:43,"and in no particular order, here we go."
00:00:43,00:00:45,"Starting with you, James."
00:00:45,00:00:48,"- Okay, my fact this week is that Pope Leo the 10th"
00:00:48,00:00:51,had a pet elephant who was killed
00:00:51,00:00:54,when doctors gave it a gold enema.
00:00:54,00:00:56,(audience laughing)
00:00:56,00:00:58,So there's quite a lot to unpack.
00:00:58,00:00:59,"- Yeah, yeah."
00:00:59,00:01:01,- It's the fact that really has everything.
00:01:01,00:01:02,(audience laughing)
00:01:02,00:01:04,"It has popes, it has elephants,"
00:01:04,00:01:06,it has gold and it has bottoms.
00:01:06,00:01:07,(laughing)
00:01:07,00:01:11,"So anyway, so this was in 1514,"
00:01:11,00:01:14,there was King Manuel I of Portugal.
00:01:14,00:01:17,He gave Leo the 10th this white elephant called Hano.
00:01:17,00:01:20,And the Pope liked absolutely loved this elephant.
00:01:20,00:01:22,He thought it was the greatest thing in the world.
00:01:22,00:01:23,It almost made him understand
00:01:23,00:01:26,why people worshipped false idols.
00:01:26,00:01:29,As long as they were white elephants called Hano.
00:01:29,00:01:32,"But unfortunately, Hano didn't really like it living"
00:01:32,00:01:35,in Rome and he stopped eating and it turned out
00:01:35,00:01:37,he had very severe constipation.
00:01:37,00:01:40,And so Leo called in all the best doctor's in the land
00:01:40,00:01:42,and they decided to use the normal thing
