start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"Hello and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Covenant Garden.
00:00:22,00:00:26,"My name is Dan Schreiber, I am sitting here with Aniches enski, Andrew Hunter Murray and"
00:00:26,00:00:31,James Harkin and once again we have gathered around the microphones with our four favorite
00:00:31,00:00:37,"facts from the last seven days and in no particular order here we go, starting with you, James."
00:00:37,00:00:43,Okay my fact this week is that using too much red lipstick can make your urine turn red.
00:00:43,00:00:47,That's weird so it gets into your kidney somehow.
00:00:47,00:00:48,"Yeah, I reckon."
00:00:48,00:00:49,How do you wear lipstick?
00:00:49,00:00:52,"I must have worn it wrong before at times I've worn it, not wearing it on the outside,"
00:00:52,00:00:53,are you?
00:00:53,00:00:56,"I screwed it up, you put it on your tongue didn't you?"
00:00:56,00:01:04,So I found this on the website of improbable research our friends who also make the Ig Nobel
00:01:04,00:01:10,Prizes and this was a case for 28 year old woman who turned up at a nephrology clinic with
00:01:10,00:01:15,"a five day history of passing red colored urine but she didn't have any other symptoms,"
00:01:15,00:01:19,"she had no pain, she didn't have chills, she didn't have anything else that could have"
00:01:19,00:01:25,caused this like blood in your urine for instance and the doctor said that the only noticeable
00:01:25,00:01:30,"feature was her bright red lipstick, which I think is a bit harsh actually, I'm sure she"
00:01:30,00:01:35,had lots of other great features but anyway they tested all the other things like her liver
00:01:35,00:01:40,function and her blood counts and everything like that and they found out that she would
00:01:40,00:01:45,apply her lipstick 20 to 25 times a day and they worked out that it was the lipstick that
00:01:45,00:01:48,was causing the urine to turn red.
00:01:48,00:01:52,It kind of makes sense because like lots of things can make your urine turn colors like
00:01:52,00:01:56,lots of food so if she's accidentally ingesting this stuff then it could happen.
00:01:56,00:02:01,So that's an abnormal number of times to reapply lipstick over the course of the day?
00:02:01,00:02:03,It's certainly more than I've ever done.
00:02:03,00:02:04,Wow.
00:02:04,00:02:09,It's weird because just the idea that it's like say beetroot not known to color your urine
00:02:09,00:02:14,I don't think so much as the back passage when you go to the toilet.
00:02:14,00:02:16,"No, it doesn't pass."
