start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,[stammering]
00:00:05,00:00:10,[stammering]
00:00:10,00:00:14,[stammering]
00:00:14,00:00:18,"Hello, welcome to another episode of No Succeeding as a Fish. My name is Alex Bell."
00:00:18,00:00:22,"No, a weekly episode. No, what is it? A weekly podcast coming to you."
00:00:22,00:00:24,You're doing real good.
00:00:24,00:00:28,Shut up. I'm hosting a weekly podcast from the offices of QI.
00:00:28,00:00:33,"For the QI offices in Covent Garden, my name is Alex Bell, and I'm joined by James Hawking,"
00:00:33,00:00:38,"Andrew Hunter-Marie and Anna Chisinski, and I forgot what happened next."
00:00:38,00:00:44,"This is once again, we are going to drown the microphone to share our favourite facts in the last seven days."
00:00:44,00:00:48,"In a particular order, here we go, starting with you, James."
00:00:48,00:00:50,"That was the flawless, I can't believe it."
00:00:50,00:00:52,"Well, I would say flawless."
00:00:52,00:00:56,"It's so nice, you've given us outtakes for a year."
00:00:56,00:01:00,"See, we all think down is a complete idiot, but now I see how difficult that job is."
00:01:00,00:01:02,It's not easy.
00:01:02,00:01:04,You found respect for the man.
00:01:04,00:01:10,"Okay, well, my fact this week is that in Japan, you can buy left-handed chopsticks."
00:01:10,00:01:12,Amazing.
00:01:12,00:01:14,"It's not amazing, because chopsticks are just a stick."
00:01:14,00:01:16,How can they be left-handed?
00:01:16,00:01:21,"You would think they're just a stick, but I went to a shop in Nashiki Market, which is in Kyoto,"
00:01:21,00:01:27,"and they had a whole shop full of chopsticks, and if they were just sticks, I don't think they'd be able to do that."
00:01:27,00:01:29,I think you've been had.
00:01:29,00:01:31,Did you spend a lot of extra money on them?
00:01:31,00:01:34,"No, because I'm not left-handed, so they weren't really for me."
00:01:34,00:01:37,"But they also had right-handed ones, which I also didn't buy."
00:01:37,00:01:39,So what do they look like?
00:01:39,00:01:44,"They look like chopsticks, but they're in a box that says left-handed."
00:01:44,00:01:46,I think you were.
00:01:46,00:01:52,"But there is a very, very important difference, and that is that the not-just sticks are slightly molded."
00:01:52,00:01:56,And I put them on my social media to see if people could explain what was going on.
00:01:56,00:02:04,"And our good friend, Karyad Lloyd, asked her friend, who I don't know, called @goome_thefutureisme,"
