start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,[cheers and applause]
00:00:04,00:00:10,♪
00:00:10,00:00:12,[laughter]
00:00:12,00:00:14,[cheers and applause]
00:00:14,00:00:18,[cheers and applause]
00:00:18,00:00:20,[cheers and applause]
00:00:20,00:00:24,"Hello, and welcome to another episode of ""No Such Thing"""
00:00:24,00:00:28,"as a fish, a weekly podcast this week coming to you live from Boston!"
00:00:28,00:00:30,[cheers and applause]
00:00:30,00:00:32,[cheers and applause]
00:00:32,00:00:42,"My name is Dan Schreiber, and I am sitting here with Anitrasinski, Andrew Huntson Murray, and James Harkin."
00:00:42,00:00:50,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here, we go!"
00:00:50,00:00:54,"Starting with fact number one, and that is my fact."
00:00:54,00:01:02,"And just before you start, fact number one, we actually played a little bit of the stars and stripes, theme tune, theme tune."
00:01:02,00:01:04,[laughter]
00:01:04,00:01:08,As I believe you call it.
00:01:08,00:01:10,[laughter]
00:01:10,00:01:12,"Okay, the National Anthem."
00:01:12,00:01:14,[laughter]
00:01:14,00:01:22,"We actually got a sent effect before the show on this subject by Gadget Gav, who said that if in Boston,"
00:01:22,00:01:28,"but singing or playing the National Anthem, you have to then go on with it all the way to the end on pain of a hundred dollar fine."
00:01:28,00:01:30,[laughter]
00:01:30,00:01:32,"So, if you wouldn't mind just..."
00:01:32,00:01:34,[laughter]
00:01:34,00:01:36,[laughter]
00:01:36,00:01:38,As far as I know the lyrics.
00:01:38,00:01:40,"Great theme tune though, guys, honestly."
00:01:40,00:01:44,[laughter]
00:01:44,00:01:50,"Okay, it is time for fact number one, and that is my fact, my fact this week, is that the first criminal in Boston to be sent to the stocks,"
00:01:50,00:01:54,was the man who'd actually built the stocks.
00:01:54,00:01:56,[laughter]
00:01:56,00:02:00,And he was found guilty of overcharging for the building of those stocks.
00:02:00,00:02:02,[laughter]
00:02:02,00:02:04,This is a wonderful fact.
00:02:04,00:02:10,"This was back in 1639, and it was a guy called Edward Palmer, and it's exactly as the factors on the tin."
00:02:10,00:02:12,It's a guy who did the labor and went and went to input.
00:02:12,00:02:18,"He invoiced for £1, 13 shillings and £7, and they thought that was unacceptable."
00:02:18,00:02:22,"So, immediately once it was open, he was the first person charged."
00:02:22,00:02:24,"He got £5 as well, didn't he?"
00:02:24,00:02:28,So he got £3 times more than he charged for them.
00:02:28,00:02:32,"Yeah, and so he had to go and be put in the stocks for it was an hour."
00:02:32,00:02:36,So just a quick humiliation and then a serious amount of money to...
00:02:36,00:02:42,"At least he hadn't been charged to build, you know, a guillotine or something."
00:02:42,00:02:44,"Yes, he must have been grateful for that."
00:02:44,00:02:48,"Look, did he make actual stocks or a pillory?"
00:02:48,00:02:51,Because there's been a lot of confusion about this for 500 years.
00:02:51,00:02:54,"So they were stocks, I believe they were stocks?"
00:02:54,00:02:58,"They were stocks, okay, because pillory was the one where..."
00:02:58,00:03:02,"I think you should get taught in primary school, they're what stocks are."
00:03:02,00:03:05,Where you shove your arms through two holes and you shove your head through a hole.
00:03:05,00:03:09,Like when you're taking those comical photos with cardboard cutouts.
00:03:09,00:03:12,"And that was actually a pillory, whereas stocks is more like..."
00:03:12,00:03:16,"Just had your ankles often like strapped to the ground or something, didn't you?"
00:03:16,00:03:18,"Yeah, it was just you put your feet in."
00:03:18,00:03:20,Or you just put your feet in.
00:03:20,00:03:23,"Yeah, and the idea is that as well as being a humiliation, the public will see what you look like."
00:03:23,00:03:25,"So they've walked past the God, that's a bad guy."
00:03:25,00:03:29,But actually small boys would walk past and tickle the feet of people in the stocks.
00:03:29,00:03:31,"Oh, really?"
00:03:31,00:03:35,"That's pretty brave, because the people in there are criminals."
00:03:35,00:03:37,That's in your neighbourhood.
00:03:37,00:03:38,"Yeah, that's true."
00:03:38,00:03:42,"And they're probably out in an hour, so..."
00:03:42,00:03:47,"But the thing is, it's like it was for quite minor things usually, the stock."
00:03:47,00:03:54,"So in England, for instance, it would be for petty thieves, for unruly servants, for hedge terrors."
00:03:54,00:03:56,"Don't know what a hedge terrors, yeah."
00:03:56,00:03:59,"Gambler's drunkards, ballad singers."
00:03:59,00:04:01,Seemed harsh.
00:04:01,00:04:04,"Yeah, and any kind of travelling musicians."
00:04:04,00:04:11,"They were way harsh. I mean, they were minor crimes, but they were police quite heavily."
00:04:11,00:04:15,"So there is a great book called Curious Punishments of Bygone Days,"
00:04:15,00:04:23,"which is published in the late 19th century, and it's got all kinds of now hilarious stories of quite a repressive sounding time."
00:04:23,00:04:28,"So again, in Boston, there was a man called Captain Campbell, who was a sailor,"
00:04:28,00:04:40,and he got done for publicly kissing his wife on a Sunday after returning from three years at sea.
00:04:40,00:04:42,"No, thank you."
00:04:42,00:04:45,"Now, in his punishment, I think I've mistyped it."
00:04:45,00:04:51,I have written punishment was three years in the stock. I think it was three hours.
00:04:51,00:04:55,Imagine if he was in for three years and they came out and they kissed his wife again.
00:04:55,00:04:59,"I was like, sorry."
00:04:59,00:05:03,"Yeah, because sometimes the things people threw at you in the stocks were even worse than having your feet tickled."
00:05:03,00:05:07,I'm very confused that you think that was a bad thing to do is tickle the feet of someone passing by.
00:05:07,00:05:10,Because often you've got dead animals thrown at you.
00:05:10,00:05:13,Dead cat was a good one.
00:05:13,00:05:16,"In fact, I think there was a quote from someone at the time who said,"
00:05:16,00:05:20,"""It's someone in the stock, you walk past the marketplace of an evening,"
00:05:20,00:05:24,"and someone in the stock, you think brilliant, and a dead cat is a treat if you can spot one of them,"
00:05:24,00:05:29,"and a live cat, and even greater treat."""
00:05:29,00:05:31,"But that book is incredible, actually."
00:05:31,00:05:36,So there are a few other good tales of bygone punishments in this book written in 1886.
00:05:36,00:05:41,"And another one is about a, it tells a man in Moscow, actually, in the 17th century,"
00:05:41,00:05:46,who'd published a pamphlet about people's liberties that the people should be free.
00:05:46,00:05:48,And so he'd gotten a lot of job of saying that.
00:05:48,00:05:55,And so he was sentenced to three days of being tied to a scaffold and forced to literally eat his words.
00:05:55,00:05:58,"So they got his pamphlet, it's actually very clever."
00:05:58,00:06:01,They got his pamphlet and they tore it up and they fed it to him.
00:06:01,00:06:06,And there was an eyewitness account that said they'd serve him one page at a time.
00:06:06,00:06:09,"And when it got to a stage where it looked like he might actually be incredibly ill,"
00:06:09,00:06:12,"they'd wait until the next day, and then keep serving it up."
00:06:12,00:06:15,So they didn't cook it at all?
00:06:15,00:06:20,It's actually a misconception you can get food poisoning from rural pamphlet.
00:06:20,00:06:25,But thank goodness Russia is now a paragon of liberty.
00:06:25,00:06:28,"Also in Boston, we were talking about Boston stuff."
00:06:28,00:06:34,"In 1679, there was a Frenchman who was suspected of setting a fire in Boston."
00:06:34,00:06:41,And he was ordered to go to the pillory and have both his ears cut off for suspected arson.
00:06:41,00:06:46,"That's amazing. But there's quite a lot of history isn't there in Boston,"
00:06:46,00:06:48,especially compared to the rest of America.
00:06:48,00:06:53,Because Dan and I were walking through Cambridge yesterday.
00:06:53,00:06:57,"Dan appointed to a quite new-looking building and he said, ""You know what?"
00:06:57,00:07:02,"I can't believe that building was built in 1588."""
00:07:02,00:07:09,"And I said, ""No, Dan, that is a street number at that house."""
00:07:09,00:07:14,"I really, I was suspicious. I was like, ""This brickwork looks good."""
00:07:14,00:07:19,"Yeah, the next one was built in 1592."
00:07:19,00:07:22,Whipping? Whipping was a thing.
00:07:22,00:07:27,Just to drag us back to the topic at hand.
00:07:27,00:07:30,"There was one. Obviously, whipping was absolutely huge."
00:07:30,00:07:33,Major League punishment. Very big back then.
00:07:33,00:07:38,"So in one case of whipping, the man carrying it out was a church official called the Church Beedle."
00:07:38,00:07:42,And he wasn't doing a very good job of it.
00:07:42,00:07:47,"He was so light-handed that the sheriff, who was watching the whipping, the punishment take place,"
00:07:47,00:07:49,"grabbed the whip from him, whipped the offenders."
00:07:49,00:07:54,But not before he had whipped the beetle himself for being bad at whipping.
00:07:54,00:07:56,That was an offense at the time.
00:07:56,00:07:59,"Well, I actually read about that story as well."
00:07:59,00:08:02,So what had happened was the beetle was almost pretending to whip him.
00:08:02,00:08:04,And he had like some red ink in his hand.
00:08:04,00:08:07,And he kind of went like that and then he would smear the red ink.
00:08:07,00:08:10,So he looked like he'd been whipped on the back when he hadn't really.
00:08:10,00:08:13,I think the guy might have paid him some money to do that.
00:08:13,00:08:16,"And then like you say, the constable then started whipping the beetle."
00:08:16,00:08:20,But then a lady came and started beating up the constable.
00:08:20,00:08:21,Wow.
00:08:21,00:08:26,Four people attacking each other in an awful violent conge.
00:08:26,00:08:28,"It's weird, isn't it?"
00:08:28,00:08:30,I was looking into the police boards here.
00:08:30,00:08:33,So this fact was 1639.
00:08:33,00:08:39,"And it was in 1630, the sort of foundations of the first ever American police force came about."
00:08:39,00:08:41,So it was a night watch and so on.
00:08:41,00:08:45,"And it was only in the 1800s, 1833 that it sort of became officially Boston police."
00:08:45,00:08:50,But am I right saying police badges have 1630 written on them?
00:08:50,00:08:52,We have no idea in this audience.
00:08:52,00:08:53,Very Laura Biden audience.
00:08:53,00:08:54,Very Laura Biden audience.
00:08:54,00:08:56,No one wants to admit to anything.
00:08:56,00:08:59,"No, but so yeah, so they had that."
00:08:59,00:09:07,"And what happens really fun fact about them in 1903, the Boston police force got the first ever police car of anywhere in America."
00:09:07,00:09:10,But no one knew how to drive it.
00:09:10,00:09:14,So they had to hire a chauffeur.
00:09:14,00:09:19,We would take them to all the crime spots.
00:09:19,00:09:21,The whole transport system with the Boston police.
00:09:21,00:09:26,"A couple years ago, they added to their fleet a ice cream truck."
00:09:26,00:09:29,"It's a part of, there's a ice cream truck which is run by the police."
00:09:29,00:09:30,What for?
00:09:30,00:09:36,"They think it's sort of if they go around, you know, maybe if the criminal doesn't want to come out, because they're around."
00:09:36,00:09:38,"Oh, sure."
00:09:38,00:09:42,They're not luring criminals out with Mr. Whippies.
00:09:42,00:09:43,That doesn't make any sense.
00:09:43,00:09:52,"Because you just have a queue of small child, small child, small child, massive criminal."
00:09:52,00:09:58,"And then presumably it's someone in a policeman's hat and badge, cackhandedly trying to scoop some ice cream."
00:09:58,00:09:59,Yeah.
00:09:59,00:10:00,"Holy cow, scoop."
00:10:00,00:10:01,Please.
00:10:01,00:10:04,"Oh, wait."
00:10:04,00:10:10,I don't need your pity plan.
00:10:10,00:10:13,We're going to have to move on fairly soon to our next fact.
00:10:13,00:10:18,Just a thing about putting people in the stock specifically in Boston and in New England.
00:10:18,00:10:24,They just got way more into it than the English have been so they brought it over from England when they came.
