start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[MUSIC]
00:00:14,00:00:25,">> Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live from Philadelphia."
00:00:25,00:00:31,[APPLAUSE]
00:00:31,00:00:33,>> My name is Dan Schreiber.
00:00:33,00:00:37,"I am sitting here with Anna Chazinski, Andrew Hunter Murray, and James Harkin."
00:00:37,00:00:42,And once again we have gathered around the microphones with our four favorite facts from the last seven days.
00:00:42,00:00:47,"And in no particular order, here we go, starting with you, Andy."
00:00:47,00:00:53,"My fact is that the star of the film Candy Man, where a character has bees coming out of his mouth,"
00:00:53,00:00:58,"negotiated a $1,000 bonus for every time he got stung."
00:00:58,00:01:02,"He ended up with $23,000."
00:01:02,00:01:03,>> Wow.
00:01:03,00:01:05,>> How bad is it to be stung by a bee?
00:01:05,00:01:12,Do you think you'd be deliberately angering the bees so that you got a few more stings that they've been mumbling or not?
00:01:12,00:01:16,">> I would, but that says more about me than it does about me."
00:01:16,00:01:19,"Yeah, although in the mouth, I imagine it would be a lot more painful than normal."
00:01:19,00:01:22,"So this is Candy Man, this is Tony Todd."
00:01:22,00:01:24,This is a kind of cult horror film.
00:01:24,00:01:28,"And one of the inspirations was from the Johnny Carson show,"
00:01:28,00:01:32,"where there was a man called Norman Gary, who was a bee-based performer."
00:01:32,00:01:37,And he had an act where he played the clarinet while covered in bees.
00:01:37,00:01:39,And people loved this.
00:01:39,00:01:43,"And he then became the bee wrangler, the official bee person on Candy Man."
00:01:43,00:01:46,">> Yeah. >> And I think it's him and Tony Todd,"
00:01:46,00:01:52,they're the only two people to have done all three Candy Man films is the star and the bee guy.
00:01:52,00:01:55,">> Can you explain what Candy Man is, because I haven't seen it, so."
00:01:55,00:01:59,">> It's, Dan, you watch it like a child."
00:01:59,00:02:00,">> Yeah, yeah, it's a horror film."
00:02:00,00:02:05,"There's a guy who has a hook, and if you say his name into a mirror five times, he kills you."
00:02:05,00:02:08,"So in theory, you shouldn't do that, but people they do."
00:02:08,00:02:09,>> They're then.
00:02:09,00:02:12,">> Yeah, but it's times if we said it itself, I don't understand."
00:02:12,00:02:16,">> But it was written by Clive Barker, the great horror writer."
00:02:16,00:02:17,I think he did Hellraiser as well.
00:02:17,00:02:21,"And the bees that they use, actually, there is a logic."
00:02:21,00:02:24,It wasn't bees that were just ready and furious and waiting to sting.
00:02:24,00:02:27,They made sure that the bees were only 12 hours old.
00:02:27,00:02:29,So imagine you've just been born.
00:02:29,00:02:33,"And just suddenly in a Hollywood movie, it's incredible."
00:02:33,00:02:35,"And so yeah, so they went into the mouth."
00:02:35,00:02:39,And the idea is that the stings wouldn't be sharpened up.
00:02:39,00:02:43,"Even when he was stung, it wouldn't have the sting of, say, 14-hour old bee."
00:02:43,00:02:50,"And once they'd done each take, the bees would be vacuumed up using a tiny bee vacuum"
00:02:50,00:02:52,to do you know that you can get a bee vacuum cleaner?
00:02:52,00:02:55,How's that different from a normal vacuum cleaner?
00:02:55,00:02:58,">> I think it's just a little bit kinder on the bees, I would guess."
00:02:58,00:02:59,>> It was a mini one.
00:02:59,00:03:02,I guess it was different because it's a bee size.
00:03:02,00:03:04,Not like a bee would use it as a vacuum cleaner.
00:03:04,00:03:08,>> And they'd be sucked up and then returned to their dressing room.
00:03:08,00:03:10,For the sort of to await the next take.
00:03:10,00:03:11,>> Wow.
00:03:11,00:03:13,>> They didn't have their own dressing room.
00:03:13,00:03:15,They do mean a wooden box.
00:03:15,00:03:16,>> I think.
00:03:16,00:03:19,">> Yeah, well, you've seen our dressing room tonight, that's."
00:03:19,00:03:20,>> It's full of bees.
00:03:20,00:03:25,">> But actually, the main thing is with this beading thing,"
00:03:25,00:03:27,"which is what the clarinetist did, okay."
00:03:27,00:03:31,So what you do is you get a queen bee and you put it in a little cage by your face.
00:03:31,00:03:35,And then all of the other bees kind of come along because they like the queen bee so much
00:03:35,00:03:36,and they hang around your face.
00:03:36,00:03:40,And the way that you get them off normally is you spend maybe a couple of hours
00:03:40,00:03:43,getting them on so you have a massive bee beard and then you just jump in the air.
00:03:43,00:03:46,"And when you land, all the bees just disappear."
00:03:46,00:03:50,They just stop holding onto your face.
00:03:50,00:03:54,">> That's amazing, does that not irritate them?"
00:03:54,00:03:56,">> A little bit, you might get stung a few times."
00:03:56,00:04:00,But then you walk backwards and someone's kind of firing smoke in your face
00:04:00,00:04:04,"so that they're getting a bit sleepy, a little bit drowsy, and then you can get away."
00:04:04,00:04:05,">> That's so crafty, cool."
00:04:05,00:04:11,">> Really, that's so weird, because Virginia Madden, who I think was the lead female character"
00:04:11,00:04:15,"in the film, said it used to take ages for there to be ranked as the sweet the bees are."
00:04:15,00:04:20,">> Well, yeah, because what they did with them is they kind of smeared their face in the pheromone."
00:04:20,00:04:23,And so the bees just really did not want to leave them.
00:04:23,00:04:29,"She said that it basically, you have pheromones on them, so they're all in love with you, all the bees."
00:04:29,00:04:30,"That's nice, isn't it?"
00:04:30,00:04:32,">> She was allergic to bees, I think."
00:04:32,00:04:33,">> She was very slightly, wasn't she?"
00:04:33,00:04:35,">> The director said, no, you're not, you're just afraid."
00:04:35,00:04:44,"This guy Norman Gary, the bee wrangler, he has a Guinness World Record that is obviously"
00:04:44,00:04:47,"be related, but it is for most bees in a mouth."
00:04:47,00:04:49,">> Wow, really?"
00:04:49,00:04:50,>> How many guesses?
00:04:50,00:04:54,>> I would say about 14.
00:04:54,00:04:55,>> 14?
00:04:55,00:04:56,>> 14.
00:04:56,00:04:57,>> 16.
00:04:57,00:04:58,>> 16.
00:04:58,00:04:59,>> 16.
00:04:59,00:05:00,>> 16.
00:05:00,00:05:01,>> 16.
00:05:01,00:05:02,>> 16.
00:05:02,00:05:03,>> Okay.
00:05:03,00:05:08,">> By an incredibly dubious method, Dan Wins."
00:05:08,00:05:13,">> But you're still out, he had 109 live bees in his mouth at one time."
00:05:13,00:05:18,"And you get a sponge soaked in sugar, and they like that, obviously, so they always seek"
00:05:18,00:05:22,"that out, so you can sort of train them to go where you want them to go by that with that"
00:05:22,00:05:23,sponge.
00:05:23,00:05:27,"So then he put it in his mouth, you have to close your mouth for 10 seconds for the record"
00:05:27,00:05:32,"to be valid, so they're all in there, and then you put a mesh cage up to your lips, you"
00:05:32,00:05:36,"blow them all into the cage at the same time, then you close the bag, and then you to do"
00:05:36,00:05:40,"the count, you have to allow them to escape one by one while you're telling them."
00:05:40,00:05:43,>> One by one.
00:05:43,00:05:47,">> Until then, you don't know if you've got the record, because you've just got to let a bee's"
00:05:47,00:05:48,in your mouth.
00:05:48,00:05:50,"It's easier to count them out than it is to count them in, I guess."
00:05:50,00:05:51,">> Yeah, I see that."
00:05:51,00:05:55,">> Hey, I was looking into horror movies generally, because I realize I just don't know much about"
00:05:55,00:05:57,sort of like the behind the scenes of movies.
00:05:57,00:06:02,"I found this really fun fact, which is the Omen, the movie The Omen, so Damien, who is, it's"
00:06:02,00:06:06,"now the classic name for, yeah, so he wasn't meant to be called Damien."
00:06:06,00:06:07,">> Oh, no."
00:06:07,00:06:12,">> Yeah, originally, the screenwriter, David Celtser, he wanted to name the anti-Christ"
00:06:12,00:06:18,"Domlin, D-O-M-L-I-N, and the reason he wanted to call him Domlin is because he knew"
00:06:18,00:06:22,"a Domlin who was a totally obnoxious brat, he said."
00:06:22,00:06:27,"It was a friend, it was the child of a friend of his, and it was his wife, the screenwriter's"
00:06:27,00:06:33,"wife, who went, you can't fucking do this to Domlin, immortalize him as the anti-Christ"
00:06:33,00:06:34,in a movie.
00:06:34,00:06:36,">> It's not, they're not going to go, well, it might be another Domlin."
00:06:36,00:06:37,">> Yeah, exactly."
00:06:37,00:06:41,">> So it's Damien, yeah, it should have been Domlin."
00:06:41,00:06:42,>> Wow.
00:06:42,00:06:44,"But not all the Damians get that, it seems unfair."
00:06:44,00:06:49,">> But at least there are all the Damians, there's not just one Damien at the world, he knows"
00:06:49,00:06:50,it's about him.
00:06:50,00:06:54,">> They used to have a lot of horror movies within Sexon, like this one Candy Man with"
00:06:54,00:07:02,"the Bees, with it between 1966 and 1978, there were six major films featuring Bees as"
00:07:02,00:07:04,the main horror in that film.
00:07:04,00:07:12,"One of them was called The Swarm, and the Sunday Times has said it's the worst film ever made."
00:07:12,00:07:16,"Richard Velt in the Wilmington Morning Star said, ""The Swarm may not be the worst movie ever"
00:07:16,00:07:17,made.
00:07:17,00:07:23,"I'll have to see them all to be sure, but it's certainly as bad as any I've ever seen."""
00:07:23,00:07:25,All the actors involved in this fiasco should be ashamed.
00:07:25,00:07:30,"Apparently, it's absolutely awful, it's got Michael Cain in it."
00:07:30,00:07:34,"It costs tons, it was really expensive, the budget was like 20 million."
00:07:34,00:07:39,"He came out in the same year as Star Wars, which was made for a lot less money, and is basically"
00:07:39,00:07:41,about a load of killer bees.
00:07:41,00:07:47,"Now, the American Bee Association decided to do a cease and desist to the Swarm for defaming"
00:07:47,00:07:52,"the American Honey Bee, and as a result, at the end of the movie, there's a disclaimer"
00:07:52,00:07:57,saying that the killer bees in the film are no resemblance to real crop pollinating honey
00:07:57,00:07:58,bees.
00:07:58,00:08:03,I thought it was some resemblance.
00:08:03,00:08:07,"I was reading about the Swarm too, it does sound absolutely amazing, it's two hours and"
00:08:07,00:08:10,"forty minutes long, which is hefty."
00:08:10,00:08:14,Michael Cain said that he only did it because his mother needed a house to live in.
00:08:14,00:08:19,"It's quite sweet, but also, they kept finding all the way through the film, because they"
00:08:19,00:08:23,"filmed it with nearly a million bees, so it was a big huge cast, basically."
00:08:23,00:08:27,"Huge got one, the credits at the end, B1, B2, B3."
00:08:27,00:08:32,"But the cast and the crew, they kept finding little yellow dots on their clothing because"
00:08:32,00:08:36,"of all the bees, and Michael Cain would eat that, before eventually being informed that"
00:08:36,00:08:41,"that was not honey he was eating, but that was just bee excrement that he'd casually been"
00:08:41,00:08:43,snacking on throughout the filming.
00:08:43,00:08:44,Wow.
00:08:44,00:08:48,"That's when you do need a bee with a little vacuum cleaner, don't you?"
00:08:48,00:08:50,The cleaner bee.
00:08:50,00:08:56,"Another horror film, which involves animals going nuts, was the birds, and they had a bird"
00:08:56,00:09:00,"trainer in the birds, and in fact he's called Ray Berrick, and he trained all birds in"
00:09:00,00:09:04,"all films that you've seen with birds in for about twenty years, so like the Birdman of"
00:09:04,00:09:09,"Alcatraz is another big one, and he had such cool tricks, so I don't know if you've seen"
00:09:09,00:09:13,"the birds, but there are lots of scenes where the birds fly towards the lens of the camera"
