start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:09,(cheers and applause)
00:00:09,00:00:17,Hello and welcome to another episode
00:00:17,00:00:20,"of ""No Such Thing as a Fish"" a weekly podcast"
00:00:20,00:00:23,this week coming to you live from New York City!
00:00:23,00:00:26,(cheers and applause)
00:00:28,00:00:30,- My name is Dan Schreiber.
00:00:30,00:00:32,"I am sitting here with Anichezinski,"
00:00:32,00:00:34,"Andrew Hunter Murray, and James Harkin."
00:00:34,00:00:36,"And once again, we have gathered around the microphones"
00:00:36,00:00:39,with our four favorite facts from the last seven days
00:00:39,00:00:42,"and in no particular order, here we go."
00:00:42,00:00:46,"Starting with fact number one, and that's my fact this week,"
00:00:46,00:00:51,my fact is Carl Sagan spent two years suing Apple computers
00:00:51,00:00:53,for calling him a butt head.
00:00:53,00:00:55,(audience laughs)
00:00:55,00:00:57,- That's gonna be hard 'cause you have to prove
00:00:57,00:00:58,that you're not a butt head drinker.
00:00:58,00:00:59,"- Yeah, absolutely."
00:00:59,00:01:03,"So for listeners who don't know who Carl Sagan is,"
00:01:03,00:01:05,he is of course the great scientist.
00:01:05,00:01:08,"He did the TV show, ""Cosmos,"" the golden disc"
00:01:08,00:01:10,"on the Voyager, he was the person who dreamt that up."
00:01:10,00:01:12,He's one of the greatest public science speakers
00:01:12,00:01:14,"of all time, if not the best."
00:01:14,00:01:16,"- Is he a New Yorker, who's he?"
00:01:16,00:01:17,"- He's born in Brooklyn, yeah."
00:01:17,00:01:18,(audience cheers)
00:01:18,00:01:20,Born in the same little village
00:01:20,00:01:23,that the three stoogers were born in.
00:01:23,00:01:24,So this was in 1993.
00:01:24,00:01:27,So basically what happened is that Apple computers
00:01:27,00:01:31,"were releasing the Power Macintosh 7100,"
00:01:31,00:01:32,"and when they were putting it together,"
00:01:32,00:01:34,"and they had to talk to the media and stuff,"
00:01:34,00:01:37,"they had a code name that they used, which was Carl Sagan."
