start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:29,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live from New York City!"
00:00:29,00:00:35,[APPLAUSE]
00:00:35,00:00:41,"My name is Dan Schreiber, I am sitting here with Aniches Incki, Andrew Hunter Murray, and James Harkin."
00:00:41,00:00:50,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:00:50,00:00:53,"Starting with fact number one, and that is James."
00:00:53,00:01:03,"Okay, my fact this week is that when race horses travel by airplane, they're allowed to bring an emotional support goat for no extra cost."
00:01:03,00:01:04,[LAUGHTER]
00:01:04,00:01:14,"So this is absolutely true, it was an article I read in USA Today about a company called HE Text Sutton."
00:01:14,00:01:24,They are the only company in America that has a specific aircraft that it uses to fly horses. That plane is known as Air Horse One.
00:01:24,00:01:26,[LAUGHTER]
00:01:26,00:01:27,Nice.
00:01:27,00:01:33,Amazing. So I read the pet goats keep them calm when they're flying because they are friends.
00:01:33,00:01:34,They're mates.
00:01:34,00:01:42,"But they're free, they're basically hand luggage, but also there are human grooms who are accompanying the horses, and you don't have to pay for them either."
00:01:42,00:01:44,So they're also hand luggage.
00:01:44,00:01:47,The humans are basically the carry-on luggage of the horses.
00:01:47,00:01:53,And who goes up in the overhead compartment and who goes under the seat of those two? Go in the overhead?
00:01:53,00:01:54,Go in the overhead.
00:01:54,00:01:56,"It's not always going socially, is it?"
00:01:56,00:01:59,It's anything that makes the horses feel chilled.
00:01:59,00:02:07,So chickens quite often come with them. Basically they try to recreate the atmosphere of their stable exactly because these race horses are very precious.
00:02:07,00:02:13,"And if they make them feel comfortable, they do that, and they have constant grooms, don't they? Is that like the proper race horses, the big guns?"
00:02:13,00:02:17,"We'll have sort of 12, 15 grooms constantly struggling with ensuring them."
00:02:17,00:02:19,"You're not a very good flyer, are you?"
00:02:19,00:02:20,"No, yeah."
00:02:20,00:02:23,Would you like it to have like 15 men just stroking you to have their journey?
00:02:23,00:02:24,[LAUGHTER]
00:02:24,00:02:25,"Well, they can only help, right?"
00:02:25,00:02:26,"Yeah, exactly."
00:02:26,00:02:30,They do get separated by according to how much they pay.
00:02:30,00:02:34,"So if you don't pay very much, there are three of you in a stall, and that's basically the economy."
00:02:34,00:02:39,"And then if you're in first class, you've got a whole stall to yourself, and they're separated by sex."
00:02:39,00:02:40,Are they?
00:02:40,00:02:49,"Yes, the fillies, the lady horses are loaded at the back, so the cults, which further up, don't smell them and get excited."
00:02:49,00:02:50,Wow.
00:02:50,00:02:52,Because the wind is going this way.
00:02:52,00:02:54,Why is the wind going that way?
00:02:54,00:02:55,"Well, you're flying, I imagine."
00:02:55,00:02:56,"No, no, no, no."
00:02:56,00:02:58,I'm pretty sure you have fun the men play.
00:02:58,00:03:00,You've misunderstood how aeroplane is.
00:03:00,00:03:01,[LAUGHTER]
00:03:01,00:03:02,The air is rushing past this way.
00:03:02,00:03:05,They don't wind the windows down.
00:03:05,00:03:09,I think Andy flies in convertible planes.
00:03:09,00:03:10,[LAUGHTER]
00:03:10,00:03:13,So there's no mile high club in the horse world.
00:03:13,00:03:14,Nothing.
00:03:14,00:03:16,"No, imagine it would be mayhem."
00:03:16,00:03:17,There must have been at some point.
00:03:17,00:03:18,"No, no, there's no."
00:03:18,00:03:19,Come on.
00:03:19,00:03:21,They don't have free time.
00:03:21,00:03:24,"It's not like the seatbelt sign goes off, and the horses can wander around the plane."
00:03:24,00:03:25,All right.
00:03:25,00:03:28,"I bet sometimes one of the backs, like, oh, this toilet's taken."
00:03:28,00:03:33,Do you mind if I just pop up front and use the girls?
00:03:33,00:03:34,Maybe not.
00:03:34,00:03:38,This air horse one is not just horses that go in it.
00:03:38,00:03:42,"One time, someone took the miniature cow in the aeroplane."
00:03:42,00:03:45,"And apparently, once, they took five dolphins."
00:03:45,00:03:46,No.
00:03:46,00:03:48,But I have no idea how that works.
00:03:48,00:03:49,How does that work?
00:03:49,00:03:54,"They just have an emotional support crab with them, and then they're fine."
00:03:54,00:03:55,Did you say you did know?
00:03:55,00:03:58,"Yes, because they did this in other times."
00:03:58,00:04:01,"So in 1965, they flew with dolphins for the first time."
00:04:01,00:04:03,And this was from the US to the Netherlands.
00:04:03,00:04:06,"I'm not entirely sure why, maybe they were going on holiday."
00:04:06,00:04:08,But they had hammocks for them.
00:04:08,00:04:12,So you can see pictures of these dolphins in these hammocks with little holes for their fins.
00:04:12,00:04:17,And they had each dolphin had a groom next to them covering them with water at all times.
00:04:17,00:04:20,So they had to be constantly flanneling them down.
00:04:20,00:04:21,Wow.
00:04:21,00:04:24,"I read about this dolphins, the dolphins going on air horse one."
00:04:24,00:04:27,And the operations manager was interviewed about the trip.
00:04:27,00:04:31,"And he said, everyone involved with those dolphins was very harsh."
00:04:31,00:04:36,"They had a police escort, and no one would say anything or answer questions."
00:04:36,00:04:41,Which made you think they were probably military dolphins.
00:04:41,00:04:43,OK.
00:04:43,00:04:47,"You know, they get the pilots treat these animals better than they treat us."
00:04:47,00:04:51,"When they're flying, they fly more carefully for the animals."
00:04:51,00:04:55,"So the horses, the horses are really expensive, much more expensive than human."
00:04:55,00:04:57,And so they really don't want them.
00:04:57,00:05:00,These race horses to be damaged by falling over or whatever.
00:05:00,00:05:06,"So the pilots do extremely wide turns in the air and very, very gentle ascent and descents."
00:05:06,00:05:13,To the extent that the aircraft can actually detour for more than 500 miles in order to just not disturb the horses.
00:05:13,00:05:14,No.
