start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,How's he been? Who James?
00:00:06,00:00:07,Father Christmas.
00:00:07,00:00:08,Has he been where?
00:00:08,00:00:11,"To your house to give you presents, because it's Christmas Day!"
00:00:11,00:00:13,It is Christmas Day!
00:00:13,00:00:14,Yes!
00:00:14,00:00:19,"He has, he went down the chimney of my laptop to deliver me a new episode of No Such Thing As A Fish."
00:00:19,00:00:20,Amazing.
00:00:20,00:00:21,Yes!
00:00:21,00:00:26,What we have got for you today a little bit earlier than scheduled is our Christmas special recorded
00:00:26,00:00:30,live in the most Christmasy of places Birmingham!
00:00:30,00:00:32,"Oh, it was so Christmassy."
00:00:32,00:00:33,It was so Christmassy.
00:00:33,00:00:37,"There was stuff outside, there were lights, there were German sausages."
00:00:37,00:00:38,So many German sausages.
00:00:38,00:00:40,It was like flippy lapland.
00:00:40,00:00:41,It was.
00:00:41,00:00:42,It was Christmas.
00:00:42,00:00:43,It was Christmas City.
00:00:43,00:00:46,It was such a fun episode to do.
00:00:46,00:00:49,"We enjoyed ourselves, like we always do in Birmingham."
00:00:49,00:00:52,"It's one of the best places that we go and visit, really, really hope you enjoy it."
00:00:52,00:00:56,It's full of Christmassy facts that you can tell all of your family over the Christmas
00:00:56,00:00:57,table.
00:00:57,00:00:58,Over the Christmas table?
00:00:58,00:00:59,Over it.
00:00:59,00:01:00,Over the Christmas table.
00:01:00,00:01:03,Get over that table and tell them our facts.
00:01:03,00:01:06,"Well, hey, this has been successful."
00:01:06,00:01:08,Enjoy your day.
00:01:08,00:01:09,That's the main thing.
00:01:09,00:01:11,"Yeah, the main thing is that you have a really good day."
00:01:11,00:01:12,Enjoy your Christmas.
00:01:12,00:01:17,"Hope you got lots of amazing presents, and here is an extra rarely episode of No Such Thing"
00:01:17,00:01:18,As A Fish.
00:01:18,00:01:19,"Oh, ho, ho, ho."
00:01:19,00:01:20,Such Thing As A Fish.
00:01:20,00:01:21,Sure.
00:01:21,00:01:28,"Okay, on with the podcast."
00:01:28,00:01:31,"On with the son of God, cast not like."
00:01:31,00:01:36,"On with the son of God, cast not like."
00:01:36,00:01:59,"Hello, and welcome to another episode of No Such Thing As A Fish, a weekly podcast this"
00:01:59,00:02:04,week coming to you live from Birmingham!
00:02:04,00:02:13,"My name is Dan Schreiber, I am sitting here with Anna Chazinski, Andrew Hunter Murray and"
