start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[band playing]
00:00:14,00:00:23,"Hello, and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast coming to you from the QI offices in Covenant Garden."
00:00:23,00:00:36,"My name is Dan Schreiber, I'm sitting here with Andrew Hunter Murray, Anna Chazinski, and James Harkin, and once again we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:00:36,00:00:39,"Starting with fact number one, that's my fact."
00:00:39,00:00:51,"My fact is, in 1996, a wind surfer successfully broke into Alcatraz prison while it was hosting the movie premiere of The Rock, a film about people trying to break into Alcatraz."
00:00:51,00:00:53,"Wow, that's good."
00:00:53,00:00:55,So he broke into the prison.
00:00:55,00:01:06,"This is a guy called Jeff Bunch, and he was a wind surfer who was on the outskirts of it, and he wanted to go, so he wore a sort of tuxedo over his wetsuit, and he got to the island."
00:01:06,00:01:12,"Over his wetsuit? I know, a bit weird, right? I guess he didn't plan on falling in, so if you don't fall in, you're dry."
00:01:12,00:01:22,"I guess so. That is sensible, actually, yeah. Because actually James Bunch does it the wrong way, doesn't he? Like he has wetsuit over his tuxedo, doesn't he?"
00:01:22,00:01:28,"And then he has to go to the changing room. He's wide-a-pound to put it in the locker, take his wetsuit off."
00:01:28,00:01:35,"And it actually doesn't make any sense because the wetsuit doesn't stop you getting wet underneath, so actually when he reveals a tuxedo, James Bunch, it should be drenched."
00:01:35,00:01:39,"Yeah, I started to wonder if that scene in the movie had just made it up."
00:01:39,00:01:44,So this guy did it the right way around. He wanted to get to the premiere.
00:01:44,00:01:51,"Yeah, he wanted to get to the premiere, and supposedly he did. He was arrested and taken off premises, but he said he managed to get a cocktail with Sean Connery."
00:01:51,00:01:53,So I haven't seen the rock.
00:01:53,00:01:57,"What? I know, but I gather it's Michael Bay's best film."
00:01:57,00:02:02,"Well, I gather that in a crowded field of other films, Michael Bay has made."
00:02:02,00:02:04,Better than Transformers 3?
00:02:04,00:02:10,"I know, I know, I know, it's a controversial opinion. I've read, I've read a thing saying it says, I think it's supposed to be quite good, isn't it?"
00:02:10,00:02:11,"I love it. Yeah, okay."
00:02:11,00:02:15,"It's an awesome movie, and I think it's his favourite movie that he's made."
00:02:15,00:02:19,"All I saw was it, I got 66% on Rotten Tomatoes, which to me is definitely not worth this."
00:02:19,00:02:22,"Yeah, but to Michael Bay, that is an absolute triumph."
00:02:22,00:02:25,It's real Michael Bay slamming today.
00:02:25,00:02:26,It's awesome.
00:02:26,00:02:33,"Okay, so it is about, and it has Sean Connery in it, and it has apparently Navy Seals trying to break into the island in the film, and they use real Navy Seals."
00:02:33,00:02:35,"In the production, didn't they?"
00:02:35,00:02:39,"Absolutely, so just for anyone who doesn't know the movie, which apparently no one does."
00:02:39,00:02:47,"The idea is that many, many years ago, someone successfully escaped from Alcatraz, and he was put in prison when he was caught on the other side."
00:02:47,00:02:54,"He's been in solitary confinement for years, and suddenly the rock, as he is known, is taken over by a bunch of militaries, people have gone rogue."
00:02:54,00:03:00,"So they need to break back into it, and they get this guy, Sean Connery, out of jail, to help them back in with Nicholas Cage."
00:03:00,00:03:03,"That's the basic premise, so the rock is in it."
00:03:03,00:03:08,"The rock is not in it, the island plays the role of the rock in it."
00:03:08,00:03:10,Alcatraz is known as the rock.
00:03:10,00:03:12,"This party sounds really cool, actually."
00:03:12,00:03:21,"There were 500 guests, and they were told to dress in formally, this is according to an article I read in SF Gate, and Patricia Raquette was there,"
00:03:21,00:03:32,"and she was wearing a chocolate brown, 3/4 length satin coat, with matching pants by Dolce and Gabbana, and an aqua silk blouse that matched her iridescent eyeshadow."
00:03:32,00:03:34,So that was her dressing in formally.
00:03:34,00:03:39,"And Sean Connery was wearing a tan parker, a fisherman sweater, and no toupee."
00:03:39,00:03:42,"No toupee, according to SF Gate."
00:03:42,00:03:44,That's the dress down Friday.
00:03:44,00:03:50,"You never get asked on the red carpet, and who's toupee are you wearing tonight?"
00:03:50,00:03:57,"He was a tiny little funny fact, I found, about the actual making of the rock."
00:03:57,00:04:03,"The script was done, but they brought in some writers to sort of punch up the script, add some jokes, but also to do some rewrites."
00:04:03,00:04:07,"And the two people they brought in, with the guys who wrote ""poorage"", the British sitcom."
00:04:07,00:04:08,Wow!
00:04:08,00:04:14,"This is a Michael Bay action, and yeah, the creator of the ""Likely Lads"" came into the script."
00:04:14,00:04:16,That's a great bit of trivia.
00:04:16,00:04:22,"So the rock of Alcatraz, this is not the only time that a former criminal from Alcatraz has gone back to it."
00:04:22,00:04:26,"I think that happens fictionally in the film, but it's happened in real life as well."
00:04:26,00:04:32,"So they're pretty sure that Whitey Bulger, he was a gangster, he was involved in lots of murders, not a nice guy."
00:04:32,00:04:35,He was there for four years when it was operating as a prison.
00:04:35,00:04:37,"And then later on, he went back as a tourist."
00:04:37,00:04:39,He went there with a girlfriend.
00:04:39,00:04:40,Really?
00:04:40,00:04:43,And he did a girlfriend just take you back to my old house.
00:04:43,00:04:47,"Well, when they were there, they did all the tourist stuff."
00:04:47,00:04:49,So he dressed up in a striped uniform.
00:04:49,00:04:50,What is that you do?
00:04:50,00:04:51,Wow.
00:04:51,00:04:53,And he had a photo taken behind a set of replica bars.
00:04:53,00:04:54,That is a nice one.
00:04:54,00:04:55,When was this?
00:04:55,00:04:57,Because he wasn't here in the ages ago.
00:04:57,00:04:59,"I think he was in the late 60s, early 70s."
00:04:59,00:05:00,And he went back?
00:05:00,00:05:01,"He was close in the 60s, didn't it?"
00:05:01,00:05:02,62.
00:05:02,00:05:04,"Ah, okay, my six degree was close."
00:05:04,00:05:07,"Okay, but he went back, obviously later, when it was a tourist attraction."
00:05:07,00:05:10,"Yeah, I wonder what date you bring up that you were far back Alcatraz."
00:05:10,00:05:12,"Yeah, person."
00:05:12,00:05:14,I think it's on the Tinder profile.
00:05:14,00:05:16,"It's quite right, or else."
